Date,Depth_m,PAR,Chla_ugL
2019-06-06T15:56:07Z,-0.301,601.79,0.7367
2019-06-06T15:56:07Z,-0.297,609.38,0.7062
2019-06-06T15:56:07Z,-0.292,697.6,0.7214
2019-06-06T15:56:07Z,-0.286,1161.4,0.7443
2019-06-06T15:56:07Z,-0.272,1509,0.7329
2019-06-06T15:56:07Z,-0.255,1506.9,0.7252
2019-06-06T15:56:07Z,-0.236,1567.5,0.7062
2019-06-06T15:56:07Z,-0.213,1518.5,0.6146
2019-06-06T15:56:07Z,-0.187,1608.6,0.6337
2019-06-06T15:56:07Z,-0.16,1454.1,0.6451
2019-06-06T15:56:07Z,-0.131,745.13,0.6413
2019-06-06T15:56:07Z,-0.106,1529.3,0.607
2019-06-06T15:56:07Z,-0.085,1436.5,0.6184
2019-06-06T15:56:07Z,-0.066,648.03,0.6528
2019-06-06T15:56:07Z,-0.05,1450.2,0.6489
2019-06-06T15:56:07Z,-0.036,1535.1,0.6947
2019-06-06T15:56:07Z,-0.022,1290.7,0.6757
2019-06-06T15:56:07Z,-0.002,1169.2,0.6757
2019-06-06T15:56:07Z,0.02,1344.7,0.7062
2019-06-06T15:56:07Z,0.039,1189.5,0.7176
2019-06-06T15:56:07Z,0.058,755.66,0.7291
2019-06-06T15:56:07Z,0.086,730.11,0.7252
2019-06-06T15:56:07Z,0.103,425.83,0.7138
2019-06-06T15:56:07Z,0.107,1171.5,0.7214
2019-06-06T15:56:07Z,0.114,1831.7,0.71
2019-06-06T15:56:07Z,0.144,997.1,0.7024
2019-06-06T15:56:07Z,0.187,745.26,0.7405
2019-06-06T15:56:07Z,0.22,1003.3,0.7252
2019-06-06T15:56:07Z,0.244,619.39,0.71
2019-06-06T15:56:07Z,0.262,932.08,0.6871
2019-06-06T15:56:07Z,0.288,1690.7,0.7291
2019-06-06T15:56:07Z,0.328,920.1,0.7405
2019-06-06T15:56:07Z,0.366,553.49,0.7825
2019-06-06T15:56:07Z,0.396,901.17,0.7939
2019-06-06T15:56:07Z,0.43,933.47,0.7672
2019-06-06T15:56:07Z,0.469,1047.2,0.7748
2019-06-06T15:56:07Z,0.508,792.04,0.8969
2019-06-06T15:56:07Z,0.54,842.88,0.8893
2019-06-06T15:56:07Z,0.57,795.9,0.9045
2019-06-06T15:56:07Z,0.603,736.4,0.9007
2019-06-06T15:56:07Z,0.63,834.09,1.1563
2019-06-06T15:56:07Z,0.654,862.05,1.1411
2019-06-06T15:56:07Z,0.677,922.29,1.1487
2019-06-06T15:56:07Z,0.694,619.01,1.1601
2019-06-06T15:56:07Z,0.715,596.11,1.1411
2019-06-06T15:56:07Z,0.748,523.8,1.3394
2019-06-06T15:56:07Z,0.782,532.58,1.3318
2019-06-06T15:56:07Z,0.813,580.83,1.3356
2019-06-06T15:56:07Z,0.839,537.01,1.328
2019-06-06T15:56:07Z,0.863,772.84,1.2746
2019-06-06T15:56:07Z,0.888,530.32,1.2975
2019-06-06T15:56:07Z,0.912,431.33,1.3013
2019-06-06T15:56:07Z,0.934,559.73,1.2593
2019-06-06T15:56:07Z,0.953,437.75,1.4424
2019-06-06T15:56:07Z,0.975,401.92,1.4539
2019-06-06T15:56:07Z,0.998,360.63,1.4424
2019-06-06T15:56:07Z,1.018,459.7,1.4729
2019-06-06T15:56:07Z,1.039,725.39,1.6217
2019-06-06T15:56:07Z,1.066,535.93,1.6408
2019-06-06T15:56:07Z,1.095,415.8,1.6599
2019-06-06T15:56:07Z,1.125,576.33,1.6332
2019-06-06T15:56:07Z,1.155,486.18,1.6866
2019-06-06T15:56:07Z,1.184,410.47,1.7209
2019-06-06T15:56:07Z,1.214,446.44,1.698
2019-06-06T15:56:07Z,1.242,515.41,1.6904
2019-06-06T15:56:07Z,1.267,472.25,1.6827
2019-06-06T15:56:07Z,1.295,417.84,1.698
2019-06-06T15:56:07Z,1.322,435.08,1.7018
2019-06-06T15:56:07Z,1.35,497.17,1.6942
2019-06-06T15:56:07Z,1.377,516.07,1.7094
