Date,Depth_m,Temp_C,Chla_ugL,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,pH,ORP_mV,PAR,Salinity,Descent Rate (m/s),Density_mg_m3,Flag
2019-06-06T13:21:06Z,0.018,24.3525,0.9122,19.6311,33.656036,34.087,8.105,96.686,9.124,247.7259,611.5,0.0231,0.094,997.2224,0
2019-06-06T13:21:06Z,0.033,24.3374,0.8969,19.6455,33.534512,33.952,8.0605,96.121,9.121,246.4388,422.76,0.0231,0.095,997.2247,0
2019-06-06T13:21:06Z,0.043,24.3224,0.9198,18.2468,33.521685,33.961,8.0334,95.756,9.117,246.4388,398.84,0.0231,0.089,997.2281,0
2019-06-06T13:21:06Z,0.056,24.3079,0.9122,18.1315,33.583113,34.028,7.9978,95.278,9.111,247.0823,461.93,0.0231,0.082,997.232,0
2019-06-06T13:21:06Z,0.077,24.2973,0.9007,18.0882,33.517334,33.982,7.9635,94.834,9.106,246.7416,380.93,0.0231,0.076,997.2359,0
2019-06-06T13:21:06Z,0.107,24.2876,0.9045,18.1315,33.485032,33.935,7.954,94.702,9.1,246.6659,356.34,0.023,0.075,997.2395,0
2019-06-06T13:21:06Z,0.133,24.2759,1.0266,17.9296,33.504796,33.999,7.943,94.524,9.093,246.3252,349.69,0.0231,0.075,997.2423,0
2019-06-06T13:21:06Z,0.159,24.2655,1.019,17.9873,33.433482,33.892,7.9106,94.09,9.087,246.2116,329.05,0.023,0.078,997.2449,0
2019-06-06T13:21:06Z,0.188,24.2522,0.9961,17.8719,33.455266,33.957,7.8493,93.33,9.08,246.1738,325.18,0.023,0.084,997.2479,0
2019-06-06T13:21:06Z,0.216,24.2353,1.0075,17.8575,33.477693,33.964,7.7459,92.063,9.069,246.0223,317.44,0.023,0.093,997.2506,0
2019-06-06T13:21:06Z,0.245,24.2175,0.9351,17.7998,33.405577,33.917,7.6348,90.726,9.059,245.7573,312.87,0.023,0.102,997.254,0
2019-06-06T13:21:06Z,0.271,24.1986,0.9618,17.9296,33.367239,33.872,7.5268,89.412,9.054,245.7952,310.12,0.023,0.107,997.2583,0
2019-06-06T13:21:06Z,0.304,24.1749,0.9808,18.0017,33.406892,33.941,7.4175,88.093,9.046,246.0223,307.71,0.023,0.11,997.263,0
2019-06-06T13:21:06Z,0.345,24.1452,0.9656,17.8575,33.474758,34.011,7.3207,86.916,9.042,245.7952,303.41,0.023,0.114,997.2679,0
2019-06-06T13:21:06Z,0.387,24.1253,0.9465,18.3333,33.579093,34.14,7.2551,86.128,9.043,245.8709,298.89,0.0231,0.122,997.2739,0
2019-06-06T13:21:06Z,0.426,24.1137,0.9694,18.4487,33.573363,34.161,7.1985,85.441,9.04,248.4452,290.84,0.0231,0.129,997.2815,0
2019-06-06T13:21:06Z,0.461,24.0872,0.9846,18.5785,33.4819,34.061,7.1655,85.035,9.038,247.8773,286.77,0.023,0.136,997.2866,0
2019-06-06T13:21:06Z,0.495,24.0606,0.9694,18.6217,33.455885,34.069,7.1486,84.785,9.038,248.1802,283.31,0.023,0.141,997.2895,0
2019-06-06T13:21:06Z,0.534,24.0408,0.9541,18.5208,33.427967,34.031,7.1222,84.457,9.034,248.7102,278.13,0.023,0.145,997.2963,0
2019-06-06T13:21:06Z,0.573,24.022,1.0953,18.045,33.457395,34.107,7.0911,84.104,9.028,246.8552,273.88,0.023,0.148,997.3031,0
2019-06-06T13:21:06Z,0.62,24.0089,1.0876,18.1891,33.478534,34.119,7.0537,83.644,9.025,246.893,269.57,0.023,0.151,997.3082,0
2019-06-06T13:21:06Z,0.672,23.9938,1.0876,18.2036,33.520192,34.191,6.999,82.992,9.02,252.1173,267.39,0.0231,0.155,997.3131,0
2019-06-06T13:21:06Z,0.718,23.9778,1.0876,18.1026,33.524083,34.198,6.9327,82.208,9.014,251.6252,264.61,0.0231,0.161,997.3165,0
2019-06-06T13:21:06Z,0.757,23.9646,1.3242,16.6462,33.414439,34.097,6.8704,81.47,9.009,251.7766,262.04,0.023,0.166,997.3204,0
2019-06-06T13:21:06Z,0.793,23.9558,1.3013,16.7039,33.301086,33.992,6.8303,80.996,9.006,250.7166,259.09,0.023,0.169,997.3245,0
2019-06-06T13:21:06Z,0.834,23.9493,1.3394,16.6895,33.368854,34.06,6.8402,81.077,9,248.5209,256.03,0.023,0.17,997.3279,0
2019-06-06T13:21:06Z,0.872,23.9371,1.3318,16.7039,33.448631,34.178,6.9121,81.858,8.994,248.6345,251.18,0.023,0.168,997.3303,0
2019-06-06T13:21:06Z,0.92,23.9084,1.3738,17.9152,33.409221,34.099,7.017,82.979,8.991,252.3445,246.03,0.023,0.166,997.3321,0
2019-06-06T13:21:06Z,0.966,23.8987,1.3814,17.8575,33.447533,34.191,7.1017,83.867,8.985,252.6852,240.86,0.023,0.164,997.3352,0
2019-06-06T13:21:06Z,1.009,23.9069,1.3776,17.9008,33.371329,34.099,7.1937,84.85,8.977,252.9881,237.09,0.023,0.163,997.3425,0
2019-06-06T13:21:06Z,1.049,23.8983,1.4043,17.8575,33.355915,34.105,7.2991,85.987,8.974,251.4359,232.57,0.023,0.164,997.3451,0
2019-06-06T13:21:06Z,1.08,23.8955,1.8697,16.4155,33.40746,34.156,7.411,87.166,8.969,251.6252,232.27,0.023,0.164,997.3432,0
2019-06-06T13:21:06Z,1.111,23.8965,1.8353,16.4155,33.425703,34.163,7.5398,88.504,8.964,252.0795,234.58,0.023,0.16,997.3454,0
2019-06-06T13:21:06Z,1.144,23.8984,1.8887,16.4011,33.451735,34.221,7.6885,89.957,8.96,251.5495,225.86,0.023,0.154,997.3463,0
2019-06-06T13:21:06Z,1.175,23.8976,1.8659,16.4732,33.375066,34.106,7.8599,91.642,8.955,252.7988,225.11,0.023,0.147,997.3462,0
2019-06-06T13:21:06Z,1.198,23.8755,1.946,16.6751,33.343335,34.106,8.0817,93.934,8.946,252.4202,225.84,0.023,0.135,997.3458,0
2019-06-06T13:21:06Z,1.224,23.8263,1.9345,16.6318,33.313443,34.048,8.3426,96.694,8.944,252.6852,215.77,0.023,0.125,997.3461,0
2019-06-06T13:21:06Z,1.265,23.7519,1.9421,16.5597,33.29375,34.065,8.6161,99.573,8.938,252.7988,214.54,0.023,0.121,997.3517,0
2019-06-06T13:21:06Z,1.313,23.677,1.9307,16.6607,33.249334,34.04,8.8773,102.323,8.933,252.7609,214.72,0.0229,0.124,997.3641,0
2019-06-06T13:21:06Z,1.36,23.6144,1.9345,16.5453,33.161331,34.008,9.1298,104.971,8.932,252.4581,207.03,0.0229,0.132,997.3824,0
2019-06-06T13:21:06Z,1.404,23.5464,2.0795,16.6607,33.047743,33.944,9.319,106.876,8.928,252.7609,201.23,0.0229,0.141,997.4008,0
2019-06-06T13:21:06Z,1.443,23.4645,2.0413,16.6174,33.00554,33.932,9.4327,107.932,8.927,253.2531,201.97,0.0228,0.15,997.4162,0
2019-06-06T13:21:06Z,1.479,23.3534,2.0451,16.7183,32.858327,33.863,9.5124,108.599,8.92,253.8588,201.73,0.0228,0.157,997.4328,0
2019-06-06T13:21:06Z,1.512,23.1863,2.049,16.6462,32.608763,33.605,9.5563,108.86,8.916,253.8209,196.55,0.0227,0.161,997.4527,0
2019-06-06T13:21:06Z,1.551,23.0003,1.9917,16.8481,32.486542,33.622,9.6194,109.348,8.913,253.6316,194.93,0.0226,0.161,997.4796,0
2019-06-06T13:21:06Z,1.604,22.8374,2.0032,16.9058,32.269762,33.451,9.6904,109.932,8.911,256.1302,187.8,0.0225,0.16,997.5198,0
2019-06-06T13:21:06Z,1.66,22.6874,1.9803,16.8481,32.078641,33.434,9.7589,110.419,8.909,256.4709,180.79,0.0225,0.162,997.5643,0
2019-06-06T13:21:06Z,1.707,22.5367,1.9879,16.8193,31.95413,33.374,9.8239,110.82,8.904,256.8495,176.06,0.0224,0.167,997.6029,0
2019-06-06T13:21:06Z,1.75,22.3986,1.9383,16.5165,31.743342,33.302,9.9217,111.584,8.903,257.5309,169.77,0.0223,0.172,997.6383,0
2019-06-06T13:21:06Z,1.79,22.268,1.9345,16.4732,31.481823,33.086,10.0773,112.963,8.901,255.9788,165.67,0.0222,0.177,997.6735,0
2019-06-06T13:21:06Z,1.826,22.1372,1.946,16.3723,31.331568,33.064,10.272,114.749,8.897,256.5088,161.11,0.0221,0.178,997.7056,0
2019-06-06T13:21:06Z,1.859,22.0174,1.946,16.3867,31.219337,33.008,10.4919,116.804,8.896,260.7109,156.43,0.0221,0.175,997.7358,0
2019-06-06T13:21:06Z,1.888,21.901,1.6827,15.334,30.969754,32.863,10.8366,120.27,8.889,260.8624,152.57,0.022,0.165,997.7658,0
2019-06-06T13:21:06Z,1.92,21.7859,1.7094,15.3052,30.634915,32.56,11.1751,123.622,8.887,261.3545,148.44,0.0218,0.152,997.7932,0
2019-06-06T13:21:06Z,1.968,21.6782,1.6866,15.2764,30.510284,32.523,11.5029,126.681,8.888,261.8467,142.78,0.0218,0.145,997.8197,0
2019-06-06T13:21:06Z,2.015,21.5713,1.7094,15.3629,30.443501,32.542,11.8019,129.347,8.886,260.3324,139.83,0.0217,0.144,997.8458,0
2019-06-06T13:21:06Z,2.047,21.4374,1.6942,17.4682,30.273685,32.409,12.0127,131.04,8.884,260.4081,138.09,0.0217,0.144,997.87,0
2019-06-06T13:21:06Z,2.07,21.283,1.6255,17.4393,30.069897,32.302,12.1456,131.881,8.882,260.8624,136.07,0.0216,0.142,997.8939,0
2019-06-06T13:21:06Z,2.099,21.1267,1.6408,17.4249,29.749146,32.005,12.2599,132.538,8.883,261.3545,133.39,0.0214,0.14,997.9237,0
2019-06-06T13:21:06Z,2.136,20.9595,1.6332,17.4682,29.547153,31.931,12.3449,132.942,8.881,260.8624,130.47,0.0213,0.139,997.9578,0
2019-06-06T13:21:06Z,2.172,20.783,1.6293,17.4249,29.314091,31.767,12.4676,133.771,8.884,260.7867,128.27,0.0212,0.138,997.9921,0
2019-06-06T13:21:06Z,2.203,20.6088,1.4272,17.5114,29.091269,31.64,12.6304,135.029,8.88,261.2031,126.42,0.0211,0.133,998.0285,0
2019-06-06T13:21:06Z,2.237,20.4528,1.4729,17.4537,28.965414,31.64,12.8035,136.353,8.88,261.1274,123.83,0.0211,0.128,998.0667,0
2019-06-06T13:21:06Z,2.283,20.284300000000002,1.4424,17.4682,28.789434,31.547,12.9782,137.537,8.881,261.3545,120.6,0.021,0.13,998.1041,0
2019-06-06T13:21:06Z,2.332,20.0615,1.4577,17.5258,28.658619,31.532,13.1681,138.784,8.881,259.8781,117.81,0.0209,0.139,998.1373,0
2019-06-06T13:21:06Z,2.374,19.8177,1.3051,16.4588,28.446936,31.401,13.3534,139.958,8.88,261.9224,115.64,0.0208,0.149,998.1728,0
2019-06-06T13:21:06Z,2.408,19.5833,1.3318,16.4155,28.253113,31.342,13.5024,140.914,8.879,262.2631,113.57,0.0207,0.154,998.2193,0
2019-06-06T13:21:06Z,2.437,19.3529,1.3203,16.4444,28.129713,31.387,13.5642,141.054,8.879,262.3009,111.59,0.0207,0.153,998.2696,0
2019-06-06T13:21:06Z,2.467,19.1351,1.3242,16.4444,27.978518,31.365,13.5092,140.031,8.879,262.9445,109.32,0.0206,0.151,998.3173,0
