Date,Depth_m,PAR,Chla_ugL
2019-06-10T09:59:09Z,-0.364,114.28,-0.053
2019-06-10T09:59:09Z,-0.363,115.52,-0.0873
2019-06-10T09:59:09Z,-0.363,116.51,-0.0759
2019-06-10T09:59:09Z,-0.362,116.91,-0.0682
2019-06-10T09:59:09Z,-0.36,117.13,0.0195
2019-06-10T09:59:09Z,-0.359,116.61,-0.0072
2019-06-10T09:59:09Z,-0.358,116.09,-0.0224
2019-06-10T09:59:09Z,-0.358,116.54,-0.0034
2019-06-10T09:59:09Z,-0.357,116.67,0.1187
2019-06-10T09:59:09Z,-0.355,116.02,0.1263
2019-06-10T09:59:09Z,-0.354,116.3,0.1111
2019-06-10T09:59:09Z,-0.353,117.81,0.0958
2019-06-10T09:59:09Z,-0.352,119.07,0.34
2019-06-10T09:59:09Z,-0.353,119.81,0.3247
2019-06-10T09:59:09Z,-0.352,120.41,0.3209
2019-06-10T09:59:09Z,-0.352,120.64,0.3018
2019-06-10T09:59:09Z,-0.35,120.68,0.3743
2019-06-10T09:59:09Z,-0.35,120.87,0.34
2019-06-10T09:59:09Z,-0.349,121.01,0.3476
2019-06-10T09:59:09Z,-0.348,120.79,0.3552
2019-06-10T09:59:09Z,-0.346,120.44,0.3476
2019-06-10T09:59:09Z,-0.346,120.54,0.5574
2019-06-10T09:59:09Z,-0.348,119.23,0.5765
2019-06-10T09:59:09Z,-0.359,117.84,0.5307
2019-06-10T09:59:09Z,-0.369,118.86,0.5612
2019-06-10T09:59:09Z,-0.37,120.17,0.2598
2019-06-10T09:59:09Z,-0.365,120.01,0.2331
2019-06-10T09:59:09Z,-0.36,118.63,0.2675
2019-06-10T09:59:09Z,-0.354,118.23,0.2255
2019-06-10T09:59:09Z,-0.345,118.77,0.1797
2019-06-10T09:59:09Z,-0.335,120.14,0.1797
2019-06-10T09:59:09Z,-0.323,122.38,0.2026
2019-06-10T09:59:09Z,-0.309,124.4,0.1645
2019-06-10T09:59:09Z,-0.294,125.91,2.5907
2019-06-10T09:59:09Z,-0.279,126.79,2.5983
2019-06-10T09:59:09Z,-0.266,127.47,2.6097
2019-06-10T09:59:09Z,-0.254,128.29,2.6021
2019-06-10T09:59:09Z,-0.236,129.49,2.7318
2019-06-10T09:59:09Z,-0.215,130.74,2.7089
2019-06-10T09:59:09Z,-0.2,131.86,2.7089
2019-06-10T09:59:09Z,-0.186,132.71,2.7394
2019-06-10T09:59:09Z,-0.174,133.33,2.7471
2019-06-10T09:59:09Z,-0.16,133.6,2.728
2019-06-10T09:59:09Z,-0.15,133.29,2.7051
2019-06-10T09:59:09Z,-0.142,133.17,2.7318
2019-06-10T09:59:09Z,-0.132,133.5,2.7242
2019-06-10T09:59:09Z,-0.123,133.67,2.7089
2019-06-10T09:59:09Z,-0.117,133.52,2.6975
2019-06-10T09:59:09Z,-0.11,133.66,2.7356
2019-06-10T09:59:09Z,-0.105,134.14,2.7013
2019-06-10T09:59:09Z,-0.102,134.55,2.9264
2019-06-10T09:59:09Z,-0.098,134.66,2.9035
2019-06-10T09:59:09Z,-0.096,134.95,2.892
2019-06-10T09:59:09Z,-0.092,135.28,2.8958
2019-06-10T09:59:09Z,-0.087,134.96,2.7318
2019-06-10T09:59:09Z,-0.085,134.83,2.7394
2019-06-10T09:59:09Z,-0.08,135.26,2.7394
2019-06-10T09:59:09Z,-0.075,135.79,2.7242
2019-06-10T09:59:09Z,-0.071,136.36,2.8691
2019-06-10T09:59:09Z,-0.064,137.01,2.8462
2019-06-10T09:59:09Z,-0.06,137.68,2.8462
2019-06-10T09:59:09Z,-0.055,138.32,2.8539
2019-06-10T09:59:09Z,-0.05,139.09,2.8272
2019-06-10T09:59:09Z,-0.047,139.55,2.7318
2019-06-10T09:59:09Z,-0.044,139.98,2.7127
2019-06-10T09:59:09Z,-0.042,140.74,2.7165
2019-06-10T09:59:09Z,-0.038,141.69,2.7394
2019-06-10T09:59:09Z,-0.036,142.53,2.583
2019-06-10T09:59:09Z,-0.035,142.5,2.6059
2019-06-10T09:59:09Z,-0.033,142.03,2.6021
2019-06-10T09:59:09Z,-0.03,141.62,2.6174
2019-06-10T09:59:09Z,-0.028,141.57,2.6746
2019-06-10T09:59:09Z,-0.026,141.09,2.6746
2019-06-10T09:59:09Z,-0.023,140.52,2.6479
2019-06-10T09:59:09Z,-0.02,140.57,2.667
2019-06-10T09:59:09Z,-0.018,140.68,2.7814
2019-06-10T09:59:09Z,-0.016,140.37,2.7928
2019-06-10T09:59:09Z,-0.014,141.22,2.7928
2019-06-10T09:59:09Z,-0.011,140.07,2.789
2019-06-10T09:59:09Z,-0.009,141.19,2.789
2019-06-10T09:59:09Z,-0.005,138.72,2.7928
