Date,Depth_m,PAR,Chla_ugL
2019-06-10T13:12:02Z,-0.226,760.98,1.5721
2019-06-10T13:12:02Z,-0.209,768.44,1.6408
2019-06-10T13:12:02Z,-0.189,770.13,1.6332
2019-06-10T13:12:02Z,-0.168,783.94,1.6522
2019-06-10T13:12:02Z,-0.15,800.18,1.6446
2019-06-10T13:12:02Z,-0.135,802.45,1.7743
2019-06-10T13:12:02Z,-0.115,805.99,1.7743
2019-06-10T13:12:02Z,-0.095,800.18,1.7552
2019-06-10T13:12:02Z,-0.078,801.63,1.7819
2019-06-10T13:12:02Z,-0.064,785.22,1.7781
2019-06-10T13:12:02Z,-0.047,801.36,1.8048
2019-06-10T13:12:02Z,-0.026,781.73,1.7819
2019-06-10T13:12:02Z,0.002,585.52,1.7743
2019-06-10T13:12:02Z,0.035,505.75,1.8315
2019-06-10T13:12:02Z,0.06,534.07,1.8315
2019-06-10T13:12:02Z,0.082,509.82,1.8163
2019-06-10T13:12:02Z,0.109,506.41,1.8277
2019-06-10T13:12:02Z,0.132,497.02,1.8163
2019-06-10T13:12:02Z,0.158,494,1.8887
2019-06-10T13:12:02Z,0.183,487.86,1.8887
2019-06-10T13:12:02Z,0.2,473.46,1.8964
2019-06-10T13:12:02Z,0.218,470.65,1.8697
2019-06-10T13:12:02Z,0.233,471.17,1.8964
2019-06-10T13:12:02Z,0.248,470.55,1.904
2019-06-10T13:12:02Z,0.259,469.81,1.8887
2019-06-10T13:12:02Z,0.27,466.22,1.8811
2019-06-10T13:12:02Z,0.285,459.18,2.1748
2019-06-10T13:12:02Z,0.298,453.25,2.1787
2019-06-10T13:12:02Z,0.311,449.06,2.1901
2019-06-10T13:12:02Z,0.327,446.02,2.2054
2019-06-10T13:12:02Z,0.348,441.91,1.9765
2019-06-10T13:12:02Z,0.369,433.9,1.9841
2019-06-10T13:12:02Z,0.389,426.29,2.0184
2019-06-10T13:12:02Z,0.407,421.06,2.0375
2019-06-10T13:12:02Z,0.422,416.17,2.1558
2019-06-10T13:12:02Z,0.442,411.62,2.1558
2019-06-10T13:12:02Z,0.462,409.65,2.1901
2019-06-10T13:12:02Z,0.478,408.17,2.1863
2019-06-10T13:12:02Z,0.49,403.71,2.1977
2019-06-10T13:12:02Z,0.506,398.5,2.5487
2019-06-10T13:12:02Z,0.524,391.99,2.5334
2019-06-10T13:12:02Z,0.547,386.63,2.5525
2019-06-10T13:12:02Z,0.565,384.55,2.5487
2019-06-10T13:12:02Z,0.581,381.53,2.6174
2019-06-10T13:12:02Z,0.598,378.76,2.5983
2019-06-10T13:12:02Z,0.615,378.24,2.6059
2019-06-10T13:12:02Z,0.632,376.81,2.6174
2019-06-10T13:12:02Z,0.649,374.84,2.8043
2019-06-10T13:12:02Z,0.668,373.56,2.7776
2019-06-10T13:12:02Z,0.687,371.92,2.7967
2019-06-10T13:12:02Z,0.707,367.47,2.8234
2019-06-10T13:12:02Z,0.728,361.87,2.667
2019-06-10T13:12:02Z,0.75,356.68,2.6784
2019-06-10T13:12:02Z,0.77,352.32,2.6708
2019-06-10T13:12:02Z,0.785,350.14,2.6898
2019-06-10T13:12:02Z,0.801,347.73,2.7356
2019-06-10T13:12:02Z,0.819,343.8,2.7318
2019-06-10T13:12:02Z,0.84,338.83,2.7165
2019-06-10T13:12:02Z,0.862,333.76,2.7356
2019-06-10T13:12:02Z,0.881,327.79,2.7432
2019-06-10T13:12:02Z,0.899,321.51,2.5563
2019-06-10T13:12:02Z,0.915,316.14,2.5373
2019-06-10T13:12:02Z,0.929,311.01,2.5525
2019-06-10T13:12:02Z,0.942,305.69,2.5487
2019-06-10T13:12:02Z,0.956,300.4,2.3961
2019-06-10T13:12:02Z,0.969,295.99,2.3847
2019-06-10T13:12:02Z,0.98,292.41,2.3618
2019-06-10T13:12:02Z,0.993,288.72,2.3618
2019-06-10T13:12:02Z,1.013,284.29,2.5105
2019-06-10T13:12:02Z,1.033,281.24,2.4877
2019-06-10T13:12:02Z,1.048,281.28,2.4877
2019-06-10T13:12:02Z,1.052,278.44,2.4838
2019-06-10T13:12:02Z,1.071,271.04,2.4953
2019-06-10T13:12:02Z,1.1,265.73,2.4915
2019-06-10T13:12:02Z,1.124,261.6,2.4838
2019-06-10T13:12:02Z,1.155,254.27,2.4686
2019-06-10T13:12:02Z,1.197,247.68,2.4648
2019-06-10T13:12:02Z,1.233,243.57,2.5029
2019-06-10T13:12:02Z,1.265,239.14,2.5105
2019-06-10T13:12:02Z,1.297,234.94,2.4953
2019-06-10T13:12:02Z,1.329,230.19,2.48
2019-06-10T13:12:02Z,1.362,225.74,2.3656
2019-06-10T13:12:02Z,1.394,222.78,2.3732
2019-06-10T13:12:02Z,1.418,218.66,2.3961
2019-06-10T13:12:02Z,1.45,213.65,2.3618
2019-06-10T13:12:02Z,1.482,210.67,2.1329
2019-06-10T13:12:02Z,1.501,208.86,2.1596
2019-06-10T13:12:02Z,1.517,205.47,2.1405
2019-06-10T13:12:02Z,1.538,201.02,2.1291
2019-06-10T13:12:02Z,1.562,197.93,2.1024
2019-06-10T13:12:02Z,1.582,194.39,2.1176
2019-06-10T13:12:02Z,1.607,189.03,2.1596
2019-06-10T13:12:02Z,1.639,184.17,2.11
2019-06-10T13:12:02Z,1.666,180.4,2.171
2019-06-10T13:12:02Z,1.687,176.74,2.1787
2019-06-10T13:12:02Z,1.711,171.83,2.1863
2019-06-10T13:12:02Z,1.747,166.42,2.2054
