Date,Depth_m,Temp_C,Chla_ugL,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,pH,ORP_mV,PAR,Salinity,Descent Rate (m/s),Density_mg_m3,Flag
2019-06-10T09:59:09Z,0.01,21.6186,2.8043,1.3324,30.608824,32.84,8.7251,99.058,8.804,269.5695,93.926,0.0218,0.01,997.8746,0
2019-06-10T09:59:09Z,0.017,21.6188,2.7967,1.3757,30.57506,32.78,8.7302,99.11,8.8,269.3803,94.616,0.0218,0.013,997.8745,0
2019-06-10T09:59:09Z,0.031,21.6186,2.7967,1.4045,30.561307,32.779,8.7311,99.114,8.803,269.1153,88.675,0.0218,0.018,997.8745,0
2019-06-10T09:59:09Z,0.048,21.6182,2.7852,1.318,30.566687,32.779,8.733,99.132,8.802,268.8881,89.504,0.0218,0.026,997.8745,0
2019-06-10T09:59:09Z,0.064,21.6183,2.6746,1.0729,30.568364,32.779,8.7292,99.087,8.791,269.0395,90.08,0.0218,0.034,997.8746,0
2019-06-10T09:59:09Z,0.074,21.6185,2.7013,1.0873,30.618473,32.839,8.7194,98.978,8.774,269.0017,86.967,0.0218,0.042,997.8748,0
2019-06-10T09:59:09Z,0.078,21.618,2.6822,1.1882,30.622834,32.839,8.7144,98.923,8.756,269.1153,85.984,0.0218,0.046,997.8748,0
2019-06-10T09:59:09Z,0.086,21.6174,2.6555,1.0729,30.562938,32.779,8.7081,98.852,8.743,268.7745,87.932,0.0218,0.045,997.8747,0
2019-06-10T09:59:09Z,0.094,21.6169,2.7814,1.4766,30.574508,32.78,8.7112,98.888,8.733,269.0017,86.588,0.0218,0.043,997.8749,0
2019-06-10T09:59:09Z,0.11,21.6158,2.77,1.2171,30.608436,32.84,8.7063,98.831,8.729,267.2981,86.302,0.0218,0.042,997.8751,0
2019-06-10T09:59:09Z,0.128,21.6131,2.8119,1.3324,30.520716,32.721,8.7245,99.037,8.719,267.5631,86.203,0.0218,0.042,997.8753,0
2019-06-10T09:59:09Z,0.143,21.6094,2.8043,1.3469,30.446664,32.661,8.73,99.098,8.714,267.2602,84.912,0.0217,0.043,997.8756,0
2019-06-10T09:59:09Z,0.155,21.6062,2.7165,1.4045,30.404333,32.603,8.709,98.859,8.712,268.7367,83.842,0.0217,0.046,997.8762,0
2019-06-10T09:59:09Z,0.164,21.6044,2.7089,1.4478,30.395643,32.606,8.7097,98.865,8.707,268.8503,84.14,0.0217,0.048,997.8771,0
2019-06-10T09:59:09Z,0.171,21.604,2.7242,1.4478,30.398226,32.608,8.6995,98.748,8.706,268.4717,82.894,0.0217,0.05,997.8778,0
2019-06-10T09:59:09Z,0.187,21.6048,2.7471,1.3036,30.401119,32.609,8.6845,98.577,8.709,265.1402,81.4,0.0217,0.051,997.8782,0
2019-06-10T09:59:09Z,0.197,21.6057,2.7814,1.2892,30.451297,32.67,8.675,98.468,8.692,266.7681,81.641,0.0217,0.049,997.8784,0
2019-06-10T09:59:09Z,0.199,21.606,2.7814,1.3324,30.454285,32.669,8.6651,98.354,8.682,266.806,81.131,0.0217,0.044,997.8783,0
2019-06-10T09:59:09Z,0.204,21.6062,2.8043,1.4045,30.456651,32.668,8.6553,98.242,8.685,266.9952,81.051,0.0217,0.038,997.8781,0
2019-06-10T09:59:09Z,0.208,21.6058,2.7776,1.3613,30.44835,32.668,8.6608,98.304,8.686,266.7681,81.035,0.0217,0.033,997.878,0
2019-06-10T09:59:09Z,0.217,21.6051,2.789,1.3036,30.405364,32.608,8.673,98.442,8.701,268.1688,80.269,0.0217,0.03,997.878,0
2019-06-10T09:59:09Z,0.234,21.6045,2.7967,1.1161,30.391646,32.609,8.6805,98.527,8.715,265.9731,80.199,0.0217,0.03,997.8782,0
2019-06-10T09:59:09Z,0.245,21.6041,2.789,1.1738,30.406171,32.609,8.6845,98.572,8.723,265.8974,79.999,0.0217,0.032,997.8784,0
2019-06-10T09:59:09Z,0.259,21.6034,2.8005,1.2027,30.387286,32.609,8.6893,98.626,8.73,265.8595,79.657,0.0217,0.034,997.8786,0
2019-06-10T09:59:09Z,0.273,21.6028,2.8043,1.145,30.355896,32.55,8.6954,98.695,8.735,265.9731,78.915,0.0217,0.039,997.8787,0
2019-06-10T09:59:09Z,0.292,21.6021,2.6479,1.3324,30.385984,32.61,8.6895,98.628,8.733,266.276,77.767,0.0217,0.047,997.8789,0
2019-06-10T09:59:09Z,0.315,21.6012,2.667,1.3324,30.409094,32.611,8.6888,98.619,8.73,266.9574,76.45,0.0217,0.055,997.8792,0
2019-06-10T09:59:09Z,0.332,21.6009,2.6822,1.491,30.386389,32.611,8.6828,98.552,8.717,267.2224,75.516,0.0217,0.061,997.8794,0
2019-06-10T09:59:09Z,0.348,21.6003,2.6746,1.4045,30.354989,32.552,8.6839,98.564,8.712,267.601,74.514,0.0217,0.065,997.8797,0
2019-06-10T09:59:09Z,0.366,21.6002,2.9798,1.3757,30.388921,32.612,8.6872,98.601,8.709,267.071,73.485,0.0217,0.067,997.8799,0
2019-06-10T09:59:09Z,0.378,21.5998,2.9798,1.3324,30.403415,32.612,8.6913,98.647,8.702,267.2981,72.801,0.0217,0.068,997.88,0
2019-06-10T09:59:09Z,0.39,21.5994,2.9492,1.3324,30.396204,32.613,8.6961,98.702,8.704,267.3738,72.006,0.0217,0.066,997.8801,0
2019-06-10T09:59:09Z,0.402,21.5993,2.9798,1.4045,30.397895,32.613,8.706,98.813,8.697,267.3738,71.643,0.0217,0.063,997.8803,0
2019-06-10T09:59:09Z,0.412,21.5992,2.789,1.2315,30.401311,32.613,8.7155,98.92,8.691,267.6388,70.698,0.0217,0.058,997.8804,0
2019-06-10T09:59:09Z,0.428,21.5994,2.7814,1.3613,30.391952,32.613,8.7118,98.878,8.688,269.721,69.417,0.0217,0.054,997.8805,0
2019-06-10T09:59:09Z,0.443,21.5992,2.7852,1.3613,30.409539,32.613,8.7114,98.874,8.683,268.9638,69.033,0.0217,0.052,997.8806,0
2019-06-10T09:59:09Z,0.447,21.599,2.7661,1.3469,30.438677,32.673,8.7074,98.827,8.669,269.2288,68.71,0.0217,0.049,997.8805,0
2019-06-10T09:59:09Z,0.45,21.599,2.7165,1.4622,30.414945,32.613,8.7086,98.839,8.658,268.3581,68.233,0.0217,0.044,997.8806,0
2019-06-10T09:59:09Z,0.454,21.5988,2.7204,1.3757,30.37982,32.613,8.7081,98.833,8.663,268.2445,67.877,0.0217,0.04,997.8806,0
2019-06-10T09:59:09Z,0.458,21.5987,2.6975,1.3036,30.363884,32.553,8.7104,98.859,8.667,269.0395,67.305,0.0217,0.034,997.8807,0
2019-06-10T09:59:09Z,0.469,21.5985,2.7051,1.3613,30.375526,32.613,8.7287,99.066,8.677,270.1374,66.299,0.0217,0.03,997.8808,0
2019-06-10T09:59:09Z,0.48,21.5982,2.7394,1.4045,30.365333,32.554,8.7044,98.789,8.684,270.2888,64.966,0.0217,0.028,997.8808,0
2019-06-10T09:59:09Z,0.493,21.5979,2.7814,1.4478,30.376568,32.614,8.6949,98.681,8.691,270.4403,63.653,0.0217,0.028,997.8809,0
2019-06-10T09:59:09Z,0.509,21.5976,2.789,1.3757,30.361544,32.554,8.6893,98.615,8.695,269.7588,62.467,0.0217,0.031,997.8811,0
2019-06-10T09:59:09Z,0.523,21.5975,2.8043,1.4334,30.384031,32.614,8.6856,98.571,8.696,269.6453,61.201,0.0217,0.038,997.8812,0
2019-06-10T09:59:09Z,0.541,21.5975,2.789,1.3469,30.407834,32.614,8.685,98.564,8.695,270.1374,60.02,0.0217,0.045,997.8814,0
2019-06-10T09:59:09Z,0.559,21.5969,2.7432,1.3324,30.391173,32.614,8.6873,98.589,8.69,270.1374,59.327,0.0217,0.053,997.8815,0
2019-06-10T09:59:09Z,0.574,21.5962,2.7242,1.3469,30.404766,32.614,8.6925,98.648,8.683,269.9481,58.862,0.0217,0.058,997.8815,0
2019-06-10T09:59:09Z,0.586,21.5959,2.7204,1.3469,30.450169,32.675,8.6887,98.605,8.678,270.0617,58.49,0.0217,0.06,997.8817,0
2019-06-10T09:59:09Z,0.594,21.5957,2.7432,1.4334,30.453174,32.675,8.6991,98.724,8.663,269.8724,58.38,0.0217,0.059,997.8819,0
2019-06-10T09:59:09Z,0.598,21.5954,2.7814,1.0873,30.401029,32.615,8.6979,98.708,8.646,269.8724,58.171,0.0217,0.054,997.882,0
2019-06-10T09:59:09Z,0.607,21.5949,2.77,1.1161,30.39656,32.616,8.6882,98.598,8.639,270.1374,57.953,0.0217,0.049,997.8821,0
2019-06-10T09:59:09Z,0.615,21.5946,2.7738,1.0873,30.399484,32.616,8.6771,98.47,8.631,270.4024,57.948,0.0217,0.043,997.8822,0
2019-06-10T09:59:09Z,0.621,21.5937,2.789,1.1161,30.397391,32.616,8.6609,98.285,8.625,270.516,57.714,0.0217,0.037,997.8823,0
2019-06-10T09:59:09Z,0.63,21.5928,2.8691,1.1882,30.399165,32.616,8.6399,98.046,8.629,269.7967,57.282,0.0217,0.032,997.8824,0
2019-06-10T09:59:09Z,0.642,21.5921,2.8691,1.0873,30.397275,32.617,8.6198,97.818,8.639,269.7967,57.067,0.0217,0.031,997.8826,0
2019-06-10T09:59:09Z,0.648,21.5917,2.8424,1.1161,30.399743,32.618,8.6107,97.714,8.645,269.721,56.87,0.0217,0.031,997.8829,0
2019-06-10T09:59:09Z,0.65,21.5922,2.8501,1.1738,30.396094,32.618,8.6021,97.609,8.654,269.2288,56.629,0.0217,0.03,997.8831,0
2019-06-10T09:59:09Z,0.656,21.5923,2.7394,1.1161,30.401817,32.618,8.604,97.62,8.662,269.5317,56.485,0.0217,0.029,997.8832,0
2019-06-10T09:59:09Z,0.662,21.5919,2.7356,1.1161,30.392621,32.618,8.6094,97.68,8.67,271.6895,56.352,0.0217,0.027,997.8831,0
2019-06-10T09:59:09Z,0.667,21.5913,2.7318,1.1594,30.407538,32.618,8.6215,97.817,8.67,271.0081,56.357,0.0217,0.026,997.8831,0
2019-06-10T09:59:09Z,0.669,21.5908,2.7242,1.1306,30.442504,32.678,8.6284,97.868,8.674,271.311,56.569,0.0217,0.023,997.8832,0
2019-06-10T09:59:09Z,0.672,21.5903,2.6975,1.0873,30.408357,32.619,8.6292,97.838,8.676,271.2353,56.876,0.0217,0.02,997.8834,0
2019-06-10T09:59:09Z,0.677,21.5898,2.7394,1.1882,30.450033,32.679,8.6227,97.731,8.68,270.1374,56.919,0.0217,0.017,997.8835,0
2019-06-10T09:59:09Z,0.687,21.5895,2.7242,1.0873,30.449892,32.679,8.616,97.62,8.684,270.0617,56.787,0.0217,0.018,997.8837,0
2019-06-10T09:59:09Z,0.699,21.5892,2.7509,1.1017,30.408535,32.62,8.6151,97.56,8.685,273.5067,57.015,0.0217,0.021,997.8838,0
2019-06-10T09:59:09Z,0.703,21.5884,2.7204,1.145,30.442252,32.68,8.6097,97.455,8.683,272.9767,57.457,0.0217,0.023,997.8839,0
2019-06-10T09:59:09Z,0.704,21.5848,2.8501,1.1738,30.407932,32.62,8.6022,97.345,8.687,273.1281,57.74,0.0217,0.023,997.884,0
2019-06-10T09:59:09Z,0.707,21.5793,2.8539,1.1882,30.391992,32.621,8.5878,97.152,8.685,273.2038,57.699,0.0217,0.023,997.8841,0
2019-06-10T09:59:09Z,0.717,21.5789,2.8577,1.2171,30.402836,32.623,8.5806,97.037,8.688,272.4088,57.117,0.0217,0.024,997.885,0
2019-06-10T09:59:09Z,0.739,21.5781,2.8424,1.0585,30.394438,32.627,8.5785,96.976,8.687,272.4088,56.157,0.0217,0.028,997.8862,0
2019-06-10T09:59:09Z,0.763,21.5646,3.0484,1.4622,30.402447,32.628,8.5634,96.767,8.681,272.7117,55.544,0.0217,0.035,997.8865,0
2019-06-10T09:59:09Z,0.779,21.5435,3.0294,1.3901,30.392871,32.628,8.5617,96.711,8.674,273.6203,55.129,0.0217,0.042,997.8868,0
2019-06-10T09:59:09Z,0.794,21.5258,3.0255,1.3757,30.347106,32.577,8.5574,96.643,8.666,273.4688,54.638,0.0217,0.049,997.8898,0
2019-06-10T09:59:09Z,0.806,21.5073,3.0332,1.3613,30.340903,32.592,8.5716,96.789,8.661,273.5824,54.137,0.0217,0.057,997.8946,0
2019-06-10T09:59:09Z,0.814,21.4811,3.2125,1.3613,30.341344,32.605,8.5859,96.94,8.656,273.2417,53.422,0.0217,0.061,997.8986,0
2019-06-10T09:59:09Z,0.82,21.4583,3.2315,1.3757,30.257685,32.527,8.6091,97.187,8.648,273.166,52.998,0.0217,0.059,997.9027,0
2019-06-10T09:59:09Z,0.827,21.4443,3.1896,1.4622,30.26727,32.546,8.638,97.493,8.652,273.2038,52.379,0.0217,0.053,997.9085,0
2019-06-10T09:59:09Z,0.839,21.4291,3.201,1.318,30.270177,32.592,8.664,97.754,8.655,272.5981,51.343,0.0217,0.046,997.9136,0
