Date,Depth_m,Temp_C,Chla_ugL,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,pH,ORP_mV,PAR,Salinity,Descent Rate (m/s),Density_mg_m3,Flag
2019-07-10T11:33:38Z,0.005,27.3498,0.7329,0.8838,27.148,28.422837,7.1696,90.536,5.847,268.1979,653,1.3347713980867557,0.113,996.4339,0
2019-07-10T11:33:38Z,0.039,27.3476,0.7338,0.8872,26.908,28.165407,7.1569,90.357,5.84,268.4041,661.11,1.322391565127179,0.117,996.4347,0
2019-07-10T11:33:38Z,0.069,27.347,0.7256,0.8416,26.741,27.981061,7.1435,90.16,5.833,268.7705,675.74,1.3137557200798478,0.119,996.435,0
2019-07-10T11:33:38Z,0.095,27.3454,0.7293,0.8228,26.68,27.906923,7.1377,90.056,5.83,269.0143,620.56,1.310639588931924,0.119,996.4357,0
2019-07-10T11:33:38Z,0.123,27.3428,0.7609,0.8893,26.624,27.83999,7.1374,90.025,5.831,269.3728,553.51,1.307809767426198,0.12,996.4365,0
2019-07-10T11:33:38Z,0.155,27.3324,0.814,1.0238,26.599,27.806213,7.1426,90.069,5.834,270.0078,517.79,1.3067967154183906,0.123,996.4395,0
2019-07-10T11:33:38Z,0.187,27.3112,0.8421,1.1049,26.614,27.815732,7.1556,90.215,5.839,270.669,494.01,1.308148663879976,0.128,996.4455,0
2019-07-10T11:33:38Z,0.22,27.291,0.8398,1.0841,26.63,27.828184,7.1751,90.448,5.844,271.2575,471.37,1.3095264217928748,0.132,996.4512,0
2019-07-10T11:33:38Z,0.255,27.275,0.8384,1.0012,26.635,27.829874,7.1987,90.735,5.849,271.704,441.27,1.310220443962125,0.132,996.4557,0
2019-07-10T11:33:38Z,0.292,27.2613,0.8432,0.8901,26.644,27.836165,7.2202,90.996,5.853,271.8512,410.47,1.3110597298286568,0.126,996.4597,0
2019-07-10T11:33:38Z,0.329,27.2501,0.8449,0.8217,26.651,27.840798,7.2328,91.147,5.855,271.9191,384.37,1.3117275578696588,0.116,996.463,0
2019-07-10T11:33:38Z,0.36,27.2419,0.8423,0.8288,26.635,27.822437999999998,7.2359,91.181,5.855,272.0946,364.3,1.3111203063282726,0.104,996.4654,0
2019-07-10T11:33:38Z,0.383,27.2358,0.8553,0.8779,26.619,27.804507,7.2361,91.18,5.855,272.2526,348.53,1.3104557940873387,0.092,996.4672,0
2019-07-10T11:33:38Z,0.4,27.23,0.8891,0.9243,26.63,27.814327,7.2378,91.198,5.852,272.367,329.9,1.3111845656239904,0.082,996.4689,0
2019-07-10T11:33:38Z,0.415,27.2253,0.9131,0.897,26.631,27.814275,7.2378,91.195,5.852,272.6173,308.2,1.311364371741563,0.073,996.4702,0
2019-07-10T11:33:38Z,0.43,27.222,0.9106,0.8106,26.622,27.803878,7.2317,91.115,5.853,273.0421,286.64,1.3109868993346276,0.065,996.4712,0
2019-07-10T11:33:38Z,0.45,27.2197,0.9112,0.7643,26.634,27.815507,7.2209,90.977,5.856,273.3726,265.93,1.3116723847079195,0.057,996.472,0
2019-07-10T11:33:38Z,0.471,27.2178,0.9379,0.796,26.646,27.827997,7.208,90.813,5.863,273.6018,247.19,1.3123469305985338,0.051,996.47260000000006,0
2019-07-10T11:33:38Z,0.484,27.2158,0.9652,0.8335,26.646,27.827998,7.1897,90.581,5.868,273.8351,231.14,1.312401300553823,0.048,996.4732,0
2019-07-10T11:33:38Z,0.488,27.2141,0.9722,0.8256,26.634,27.815523,7.1634,90.25,5.869,274.0425,218.14,1.3118245720707067,0.05,996.4738,0
2019-07-10T11:33:38Z,0.491,27.2127,0.9531,0.7981,26.623,27.804049,7.1318,89.851,5.865,274.3026,211.4,1.3112915334485522,0.06,996.4741,0
2019-07-10T11:33:38Z,0.501,27.212,0.9256,0.7965,26.635,27.816156,7.1053,89.517,5.86,274.7427,210.4,1.3119336669890376,0.078,996.4743,0
2019-07-10T11:33:38Z,0.521,27.2116,0.917,0.8384,26.654,27.835013,7.0897,89.32,5.855,275.2345,208.95,1.3129309996288856,0.106,996.4746,0
2019-07-10T11:33:38Z,0.553,27.2106,0.9176,0.8787,26.66,27.841716,7.0804,89.203,5.852,275.4303,207.8,1.313269468403687,0.14,996.4749,0
2019-07-10T11:33:38Z,0.594,27.2103,0.9158,0.8905,26.653,27.833755,7.0776,89.165,5.852,275.4748,209.05,1.312913631802203,0.171,996.4751,0
2019-07-10T11:33:38Z,0.645,27.2105,0.9209,0.8831,26.624,27.802202,7.0808,89.198,5.852,275.6018,208.1,1.3114015529992709,0.191,996.4753,0
2019-07-10T11:33:38Z,0.706,27.2109,0.9446,0.8871,26.603,27.777422,7.091,89.32,5.852,275.6744,203.83,1.3102993971191543,0.197,996.4755,0
2019-07-10T11:33:38Z,0.769,27.211,0.9683,0.9071,26.616,27.787908,7.1049,89.488,5.854,275.6639,199.43,1.3109708940086855,0.191,996.4758,0
2019-07-10T11:33:38Z,0.825,27.2095,0.9735,0.8949,26.631,27.802108,7.1156,89.617,5.855,275.6472,195.91,1.311790011617272,0.176,996.4765,0
2019-07-10T11:33:38Z,0.867,27.2053,0.9817,0.8701,26.651,27.822213,7.1248,89.728,5.855,275.8166,193.11,1.3129427683558106,0.156,996.4778,0
2019-07-10T11:33:38Z,0.896,27.2,1.0069,0.8706,26.67,27.840659,7.1316,89.81,5.853,276.2498,190.39,1.3140741246605185,0.14,996.4794,0
2019-07-10T11:33:38Z,0.919,27.196,1.0263,0.8672,26.666,27.834797,7.1422,89.939,5.849,276.5825,186.37,1.313975350352315,0.131,996.4807,0
2019-07-10T11:33:38Z,0.943,27.1924,1.0338,0.8617,26.649,27.814779,7.1561,90.109,5.846,276.5704,180.56,1.3131902147459549,0.132,996.4817,0
2019-07-10T11:33:38Z,0.973,27.1898,1.0196,0.8699,26.626,27.788958,7.1588,90.136,5.843,276.5338,173.23,1.312065955437806,0.142,996.4825,0
2019-07-10T11:33:38Z,1.014,27.1873,0.985,0.8687,26.617,27.776365,7.1508,90.026,5.84,276.655,164.81,1.3116660404349025,0.155,996.4834,0
2019-07-10T11:33:38Z,1.063,27.1844,0.9719,0.8463,26.633,27.789402,7.1448,89.941,5.838,276.7456,157.18,1.3125758151383058,0.165,996.4845,0
2019-07-10T11:33:38Z,1.111,27.1814,0.9814,0.8291,26.664,27.819688,7.1392,89.864,5.838,276.7698,151.44,1.3142680183905504,0.169,996.4855,0
2019-07-10T11:33:38Z,1.157,27.177,0.9872,0.8239,26.671,27.825332,7.1327,89.775,5.839,276.7757,146.22,1.3147515270690384,0.164,996.4869,0
2019-07-10T11:33:38Z,1.201,27.1711,0.9821,0.8162,26.642,27.794196,7.1334,89.78,5.841,276.817,141.62,1.3134049830974595,0.153,996.4887,0
2019-07-10T11:33:38Z,1.24,27.1651,0.9717,0.8345,26.611,27.76045,7.1404,89.865,5.842,276.9246,138.73,1.311957090056431,0.138,996.4906,0
2019-07-10T11:33:38Z,1.271,27.1603,0.9653,0.8817,26.587,27.73452,7.152,90.01,5.843,277.0442,136.48,1.3108402158181338,0.124,996.492,0
2019-07-10T11:33:38Z,1.298,27.1567,0.9653,0.8953,26.587,27.734459,7.1643,90.163,5.844,277.1443,134.21,1.3109380649204514,0.111,996.4931,0
2019-07-10T11:33:38Z,1.323,27.1541,0.9631,0.8678,26.612,27.759708,7.1721,90.259,5.842,277.1875,132.73,1.312308331247633,0.101,996.494,0
2019-07-10T11:33:38Z,1.346,27.1521,0.9558,0.8437,26.638,27.786027,7.176,90.306,5.839,277.1365,131.79,1.313714488696114,0.096,996.4946,0
2019-07-10T11:33:38Z,1.369,27.1515,0.9558,0.8336,26.651,27.798905,7.1781,90.33,5.836,277.1301,130.77,1.3144065619696592,0.094,996.4949,0
2019-07-10T11:33:38Z,1.392,27.151,0.9627,0.8435,26.641,27.788525,7.1809,90.364,5.833,277.2831,129.95,1.3138999777659113,0.094,996.4951,0
2019-07-10T11:33:38Z,1.416,27.1495,0.9782,0.8648,26.64,27.7874,7.1872,90.444,5.83,277.4375,129.25,1.3138886976912652,0.094,996.4956,0
2019-07-10T11:33:38Z,1.441,27.1478,1.0042,0.8946,26.638,27.785303,7.1977,90.577,5.825,277.4488,128.24,1.313830859759105,0.093,996.4962,0
2019-07-10T11:33:38Z,1.466,27.1463,1.0168,0.9095,26.617,27.763178,7.2098,90.731,5.82,277.3336,127.29,1.3127795629495411,0.088,996.4967,0
2019-07-10T11:33:38Z,1.49,27.1461,1.0179,0.8815,26.627,27.773664,7.2215,90.878,5.822,277.3348,126.33,1.3133047265179771,0.083,996.4969,0
2019-07-10T11:33:38Z,1.512,27.1466,1.018,0.8502,26.638,27.785198,7.2305,90.989,5.829,277.5493,124.98,1.3138627721745393,0.08,996.4969,0
2019-07-10T11:33:38Z,1.53,27.1472,1.018,0.8258,26.63,27.775743,7.2355,91.051,5.837,277.6901,123.71,1.3134301232597487,0.082,996.4968,0
2019-07-10T11:33:38Z,1.543,27.1476,1.0273,0.8171,26.64,27.786229,7.2349,91.041,5.843,277.661,122.54,1.3139390816731678,0.087,996.4967,0
2019-07-10T11:33:38Z,1.559,27.1473,1.0347,0.8432,26.64,27.785103,7.2279,90.95,5.848,277.6274,120.75,1.3139471326313723,0.095,996.4968,0
2019-07-10T11:33:38Z,1.586,27.1468,1.0458,0.8466,26.62,27.76212,7.217,90.808,5.85,277.6278,118.27,1.3129204661843936,0.102,996.4971,0
2019-07-10T11:33:38Z,1.622,27.1461,1.0667,0.8246,26.621,27.762119,7.2039,90.639,5.851,277.5798,115.94,1.3129910978331867,0.106,996.4976,0
2019-07-10T11:33:38Z,1.658,27.1447,1.0791,0.8396,26.644,27.785084,7.1919,90.485,5.853,277.4779,114.07,1.3142249235315606,0.104,996.4981,0
2019-07-10T11:33:38Z,1.688,27.1427,1.0833,0.8644,26.645,27.78601,7.1863,90.413,5.856,277.4277,112.07,1.3143312466853145,0.094,996.4987,0
2019-07-10T11:33:38Z,1.711,27.1397,1.0743,0.8614,26.634,27.773321,7.1866,90.416,5.86,277.4888,110.45,1.3138409324928437,0.079,996.4996,0
2019-07-10T11:33:38Z,1.726,27.1369,1.0567,0.8374,26.619,27.758554,7.1883,90.436,5.863,277.6153,109.53,1.3131371582337172,0.064,996.5005,0
2019-07-10T11:33:38Z,1.735,27.1349,1.0432,0.8358,26.596,27.734339,7.1908,90.47,5.865,277.7522,108.6,1.3119955162219004,0.054,996.5011,0
2019-07-10T11:33:38Z,1.741,27.1338,1.0336,0.8753,26.596,27.73432,7.1961,90.536,5.865,277.8531,107.91,1.312025487831353,0.054,996.5014,0
2019-07-10T11:33:38Z,1.749,27.1333,1.0354,0.954,26.619,27.758324000000002,7.2023,90.613,5.861,277.8883,107.56,1.3132353017890737,0.063,996.5016,0
2019-07-10T11:33:38Z,1.762,27.133,1.0386,1.0665,26.632,27.770794,7.2084,90.687,5.858,277.9197,106.93,1.313919539623389,0.078,996.5017,0
2019-07-10T11:33:38Z,1.784,27.1336,1.0289,1.1205,26.621,27.7582,7.2155,90.772,5.858,277.9755,106.23,1.3133307374840104,0.094,996.5016,0
2019-07-10T11:33:38Z,1.816,27.1343,1.0224,1.1153,26.598,27.732938,7.2217,90.845,5.857,277.9609,105.67,1.3121149354676667,0.109,996.5016,0
2019-07-10T11:33:38Z,1.853,27.1342,1.0294,1.1023,26.587,27.719126,7.2251,90.882,5.856,278.0006,105.22,1.3115451033408898,0.12,996.5018,0
2019-07-10T11:33:38Z,1.887,27.1328,1.0442,1.0284,26.587,27.718087,7.2276,90.91,5.856,278.112,105.13,1.3115828893495143,0.125,996.5023,0
2019-07-10T11:33:38Z,1.918,27.1296,1.0623,0.91,26.59,27.720365,7.23,90.935,5.857,278.1023,105.13,1.311825912733479,0.124,996.5034,0
2019-07-10T11:33:38Z,1.949,27.1256,1.0748,0.8513,26.617,27.746666,7.2304,90.937,5.858,278.0556,104.97,1.3133392546490648,0.117,996.5047,0
2019-07-10T11:33:38Z,1.981,27.1223,1.0834,0.8763,26.652,27.782321,7.2295,90.923,5.861,278.0636,104.77,1.3152499772771058,0.108,996.5057,0
2019-07-10T11:33:38Z,2.009,27.1196,1.0793,0.949,26.642,27.770797,7.2287,90.911,5.863,278.1133,104.5,1.3148032224665491,0.098,996.5065,0
2019-07-10T11:33:38Z,2.032,27.1172,1.0508,1.0097,26.608,27.734217,7.2271,90.889,5.864,278.1401,104.24,1.3130995887894532,0.086,996.5073,0
2019-07-10T11:33:38Z,2.052,27.115,1.0253,1.0524,26.595,27.720696,7.2236,90.844,5.866,278.13,104.01,1.3124831226331726,0.073,996.508,0
2019-07-10T11:33:38Z,2.069,27.1128,1.0224,1.1057,26.608,27.734207,7.2203,90.802,5.869,278.0764,103.66,1.3132194263655836,0.061,996.5087,0
2019-07-10T11:33:38Z,2.083,27.1113,1.0245,1.0646,26.643,27.770684,7.22,90.799,5.873,277.9226,103.34,1.315081548261768,0.053,996.5091,0
2019-07-10T11:33:38Z,2.092,27.1103,1.0246,0.9489,26.652,27.781074,7.2225,90.832,5.874,277.9053,103.12,1.3155771974196517,0.05,996.5094,0
2019-07-10T11:33:38Z,2.099,27.1098,1.0236,0.8859,26.607,27.732949,7.2243,90.852,5.874,278.039,102.75,1.3132490561115793,0.053,996.5096,0
2019-07-10T11:33:38Z,2.108,27.1098,1.0126,0.8595,26.574,27.69635,7.2229,90.829,5.874,278.076,101.94,1.311531843229059,0.061,996.5096,0
2019-07-10T11:33:38Z,2.123,27.1099,0.9957,0.8925,26.599,27.719222,7.22,90.781,5.872,278.0954,100.74,1.312829772626739,0.071,996.5097,0
2019-07-10T11:33:38Z,2.145,27.1111,0.9833,0.9901,26.637,27.755707,7.2174,90.739,5.871,278.1872,99.566,1.3147740570342838,0.081,996.5094,0
2019-07-10T11:33:38Z,2.172,27.112,0.9763,1.0556,26.639,27.756832,7.2149,90.703,5.871,278.2397,98.45,1.3148531720123062,0.088,996.5093,0
2019-07-10T11:33:38Z,2.2,27.1077,0.9709,1.0616,26.618,27.732817,7.2135,90.681,5.872,278.2995,97.416,1.313877659141686,0.093,996.5106,0
2019-07-10T11:33:38Z,2.226,27.099,0.9797,1.064,26.611,27.719111,7.2153,90.681,5.874,278.4809,96.704,1.3137509782581398,0.094,996.5131,0
2019-07-10T11:33:38Z,2.248,27.0921,1.0135,1.085,26.625,27.717992,7.2193,90.686,5.875,278.5392,96.12,1.3146682970430763,0.093,996.5151,0
2019-07-10T11:33:38Z,2.268,27.0907,1.0407,1.0855,26.644,27.719265,7.2235,90.681,5.875,278.4886,95.488,1.315695556143043,0.091,996.5156,0
2019-07-10T11:33:38Z,2.29,27.092,1.0399,1.07,26.675,27.734471,7.227,90.671,5.875,278.5578,95.014,1.317273610323463,0.09,996.5153,0
2019-07-10T11:33:38Z,2.314,27.0819,1.0292,1.0936,26.735,27.774928,7.2302,90.649,5.875,278.6866,94.734,1.3206752240316666,0.091,996.5182,0
2019-07-10T11:33:38Z,2.337,27.048,1.0068,1.0759,26.81,27.827742,7.2307,90.578,5.875,278.8417,94.511,1.325517493852464,0.091,996.5276,0
2019-07-10T11:33:38Z,2.361,27.0086,0.9861,0.9543,26.872,27.865442,7.2242,90.417,5.876,279.0567,94.307,1.3298414163825694,0.091,996.5386,0
2019-07-10T11:33:38Z,2.386,26.9806,0.979,0.8684,26.938,27.913494,7.2107,90.186,5.876,279.3076,94.114,1.3340643397424166,0.09,996.5465,0
2019-07-10T11:33:38Z,2.409,26.9442,0.9721,0.8574,27.063,28.028032,7.1942,89.935,5.877,279.4657,93.884,1.3416116677847756,0.089,996.5565,0
2019-07-10T11:33:38Z,2.43,26.8915,0.9983,0.9189,27.217,28.171734,7.1749,89.645,5.877,279.5919,93.592,1.351150327284553,0.087,996.5712,0
2019-07-10T11:33:38Z,2.451,26.8385,1.0535,1.0222,27.321,28.255166,7.1515,89.283,5.878,279.8013,93.287,1.3580997318075985,0.084,996.5857,0
2019-07-10T11:33:38Z,2.473,26.7991,1.0848,1.0573,27.371,28.275425,7.1262,88.875,5.879,280.0186,93.077,1.3618429953107203,0.082,996.5966,0
2019-07-10T11:33:38Z,2.494,26.778,1.0997,1.0815,27.419,28.289743,7.098,88.422,5.88,280.3265,92.974,1.3649645334202958,0.081,996.6026,0
2019-07-10T11:33:38Z,2.513,26.7545,1.2325,1.1176,27.465,28.301338,7.068,87.944,5.878,280.6846,92.906,1.3680527940651652,0.082,996.6091,0
2019-07-10T11:33:38Z,2.532,26.708,1.486,1.134,27.487,28.288669,7.0373,87.46,5.876,280.9068,92.751,1.3705426977608117,0.082,996.6219,0
2019-07-10T11:33:38Z,2.552,26.6466,1.6239,1.1486,27.494,28.263402,7.0015,86.922,5.876,281.1198,92.286,1.3726761570128632,0.081,996.6387,0
2019-07-10T11:33:38Z,2.576,26.5835,1.6257,1.1303,27.508,28.249562,6.9596,86.322,5.877,281.281,91.566,1.3752326263142864,0.08,996.6559,0
2019-07-10T11:33:38Z,2.599,26.5168,1.5859,1.11,27.53,28.248184,6.9138,85.688,5.878,281.3072,90.964,1.3783219912742173,0.076,996.6741,0
2019-07-10T11:33:38Z,2.618,26.4502,1.5155,1.0994,27.548,28.246712,6.8671,85.053,5.88,281.3512,90.425,1.3812050206832862,0.066,996.6921,0
2019-07-10T11:33:38Z,2.636,26.3902,1.4763,1.1008,27.543,28.231727,6.8216,84.46,5.884,281.3817,89.737,1.3826849285972218,0.047,996.7084,0
2019-07-10T11:33:38Z,2.653,26.3385,1.4682,1.1266,27.495,28.193876,6.7789,83.961,5.886,281.4188,89.336,1.3816460941247735,0.027,996.7224,0
2019-07-10T11:33:38Z,2.661,26.2971,1.3735,1.1164,27.44,28.169751,6.7421,83.596,5.883,281.6275,89.801,1.379933774049482,0.014,996.7336,0
2019-07-10T11:33:38Z,2.652,26.2574,1.1987,1.1084,27.43,28.193864,6.7203,83.421,5.878,281.9267,90.942,1.3805586295086394,0.013,996.7443,0
2019-07-10T11:33:38Z,2.634,26.2286,1.1058,1.1287,27.454,28.231699,6.7218,83.477,5.873,282.1962,91.812,1.3826732323678506,0.023,996.7519,0
2019-07-10T11:33:38Z,2.628,26.2447,1.1003,1.0996,27.479,28.246563,6.7421,83.698,5.869,282.563,91.772,1.3835316664803696,0.038,996.7475,0
2019-07-10T11:33:38Z,2.646,26.3225,1.1148,1.0511,27.505,28.246671,6.7684,83.952,5.868,282.9195,91.042,1.3826425170286314,0.054,996.7266,0
2019-07-10T11:33:38Z,2.681,26.4048,1.2803,1.0674,27.517,28.232956,6.7899,84.145,5.868,283.0655,90.342,1.380882898664682,0.068,996.7046,0
2019-07-10T11:33:38Z,2.716,26.4265,1.5851,1.1002,27.507,28.207593,6.8046,84.285,5.87,283.124,90.252,1.3797227452118377,0.073,996.699,0
2019-07-10T11:33:38Z,2.739,26.401,1.7576,1.1193,27.496,28.193763,6.8163,84.422,5.873,283.1967,90.665,1.379880665830506,0.064,996.706,0
2019-07-10T11:33:38Z,2.75,26.3432,1.7789,1.1344,27.49,28.192628,6.826,84.558,5.877,283.256,91.342,1.3812430001168234,0.047,996.7216,0
2019-07-10T11:33:38Z,2.754,26.2847,1.7984,1.1199,27.483,28.193873,6.8315,84.649,5.88,283.324,92.202,1.3825754221231426,0.03,996.7373,0
2019-07-10T11:33:38Z,2.752,26.2593,1.8461,1.1069,27.492,28.208838,6.8268,84.605,5.881,283.5036,92.98,1.3837941629022128,0.02,996.7442,0
