Date,Depth_m,Temp_C,Chla_ugL,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,pH,ORP_mV,PAR,Salinity,Descent Rate (m/s),Density_mg_m3,Flag
2019-07-10T21:15:55Z,0.002,27.1338,0.8969,0.8998,27.086766,25.96,5.8138,73.347,6.048,218.4623,0.12381,0.0206,0.052,996.4915,0
2019-07-10T21:15:55Z,0.025,27.1311,0.9122,0.8998,27.11363,26.016,5.9261,74.824,6.02,218.3865,0.12376,0.0206,0.066,996.4925,0
2019-07-10T21:15:55Z,0.052,27.1307,0.9122,0.8422,27.097878,25.964,5.9842,75.575,6.012,218.538,0.12359,0.0206,0.078,996.4938,0
2019-07-10T21:15:55Z,0.082,27.1297,0.8511,0.871,27.106372,26.019,5.9962,75.747,6.012,218.538,0.12377,0.0206,0.09,996.4946,0
2019-07-10T21:15:55Z,0.107,27.1271,0.8321,0.8854,27.04382,25.912,5.9561,75.27,6.023,218.6894,0.12386,0.0206,0.097,996.4948,0
2019-07-10T21:15:55Z,0.134,27.1235,0.8511,0.8998,27.057242,25.966,5.9147,74.766,6.014,219.3708,0.12382,0.0206,0.101,996.4953,0
2019-07-10T21:15:55Z,0.16,27.125,0.8664,0.9143,27.06005,25.941,6.0639,76.746,6.016,219.4844,0.12372,0.0206,0.102,996.4961,0
2019-07-10T21:15:55Z,0.181,27.1546,0.8549,1.1738,27.129188,26.023,6.4601,81.858,6.029,219.5223,0.12377,0.0206,0.102,996.4972,0
2019-07-10T21:15:55Z,0.207,27.2055,0.8244,1.044,27.237787,26.129,6.9502,88.137,6.048,219.9765,0.12382,0.0207,0.102,996.4969,0
2019-07-10T21:15:55Z,0.246,27.2459,0.8549,1.1306,27.369207,26.222,7.3743,93.558,6.06,221.1123,0.12384,0.0207,0.105,996.4889,0
2019-07-10T21:15:55Z,0.287,27.2888,0.8702,1.1306,27.380318,26.249,7.7325,98.129,6.057,222.0208,0.12376,0.0207,0.11,996.475,0
2019-07-10T21:15:55Z,0.311,27.3324,0.9503,1.044,27.105462,25.909,7.9829,101.323,6.041,222.6265,0.12377,0.0206,0.113,996.4639,0
2019-07-10T21:15:55Z,0.321,27.3462,0.9351,1.1161,27.059589,25.887,8.1409,103.337,6.03,223.0808,0.12381,0.0206,0.112,996.452,0
2019-07-10T21:15:55Z,0.346,27.3625,0.9389,1.1161,27.230044,25.999,8.1896,103.96,6.028,223.4594,0.12357,0.0207,0.109,996.4401,0
2019-07-10T21:15:55Z,0.371,27.3815,0.9694,1.1161,27.159907,25.966,8.1321,103.233,6.015,224.0273,0.12353,0.0207,0.107,996.4363,0
2019-07-10T21:15:55Z,0.378,27.4007,0.9198,1.145,27.176488,25.905,8.0067,101.644,6.016,224.2544,0.12371,0.0206,0.099,996.4319,0
2019-07-10T21:15:55Z,0.382,27.4647,0.8931,1.1161,27.624096,26.4,7.8793,100.028,6.015,224.6708,0.1236,0.0208,0.085,996.4267,0
2019-07-10T21:15:55Z,0.384,27.5339,0.874,1.1161,27.906181,26.606,7.7815,98.785,6.015,225.3523,0.12359,0.0209,0.067,996.4214,0
2019-07-10T21:15:55Z,0.395,27.5766,0.8969,1.0729,27.95103,26.651,7.7099,97.875,6.022,225.7687,0.12373,0.021,0.053,996.4036,0
2019-07-10T21:15:55Z,0.41,27.6033,0.9198,1.0296,27.982962,26.617,7.6698,97.366,6.034,226.223,0.12371,0.021,0.046,996.3843,0
2019-07-10T21:15:55Z,0.416,27.6181,0.9122,1.1161,27.955284,26.594,7.6434,97.031,6.04,226.3744,0.12373,0.021,0.041,996.3724,0
2019-07-10T21:15:55Z,0.414,27.6275,0.9045,1.044,27.985459,26.581,7.6248,96.793,6.039,226.1473,0.12377,0.021,0.032,996.3648,0
2019-07-10T21:15:55Z,0.429,27.6319,0.9236,1.044,28.004644,26.627,7.6168,96.691,6.043,226.6773,0.12394,0.021,0.028,996.3608,0
2019-07-10T21:15:55Z,0.453,27.6345,0.8855,1.1161,27.990648,26.569,7.6163,96.685,6.028,226.9801,0.12373,0.021,0.034,996.3583,0
2019-07-10T21:15:55Z,0.457,27.6362,0.8244,1.1738,28.002874,26.62,7.6217,96.752,6.004,227.5858,0.12349,0.021,0.038,996.3571,0
2019-07-10T21:15:55Z,0.449,27.638,0.8015,1.0585,27.989427,26.566,7.6269,96.809,6,227.8508,0.12367,0.021,0.036,996.3563,0
2019-07-10T21:15:55Z,0.446,27.6384,0.8244,1.0585,27.948136,26.565,7.6357,96.915,6.007,228.1916,0.12372,0.021,0.029,996.3558,0
2019-07-10T21:15:55Z,0.447,27.6382,0.8282,1.1161,27.90615,26.484,7.6349,96.907,6.014,228.343,0.12362,0.0209,0.022,996.3554,0
2019-07-10T21:15:55Z,0.447,27.6374,0.8397,1.145,27.952815,26.564,7.641,96.99,6.015,228.8351,0.12377,0.021,0.017,996.3552,0
2019-07-10T21:15:55Z,0.449,27.6371,0.8092,1.1017,27.978927,26.564,7.6461,97.059,6.015,228.9487,0.12384,0.021,0.011,996.3552,0
2019-07-10T21:15:55Z,0.45,27.6372,0.8397,1.0585,27.962518,26.564,7.6502,97.114,6.007,229.1759,0.1236,0.021,0.003,996.3555,0
2019-07-10T21:15:55Z,0.452,27.6364,0.9122,1.1306,27.972035,26.565,7.6437,97.032,6.021,230.198,0.12372,0.021,0.002,996.3557,0
2019-07-10T21:15:55Z,0.45,27.6346,0.8969,0.9719,27.965214,26.565,7.6394,96.976,6.023,230.1601,0.12367,0.021,0.002,996.3558,0
2019-07-10T21:15:55Z,0.446,27.6302,0.8664,1.2027,27.974077,26.565,7.63,96.856,6.02,230.2737,0.12361,0.021,0.001,996.3558,0
2019-07-10T21:15:55Z,0.471,27.6315,0.8359,0.8133,28.025863,26.622,7.6026,96.507,6.009,230.993,0.12364,0.021,0.005,996.3584,0
2019-07-10T21:15:55Z,0.517,27.6337,0.8168,0.8566,28.02072,26.622,7.6154,96.669,5.994,231.258,0.12359,0.021,0.022,996.3583,0
2019-07-10T21:15:55Z,0.553,27.6356,0.8855,1.0873,27.9734,26.567,7.6306,96.861,5.982,231.0309,0.1236,0.021,0.043,996.3576,0
2019-07-10T21:15:55Z,0.586,27.6368,0.8969,1.1882,27.966266,26.566,7.6433,97.023,5.976,231.4851,0.12372,0.021,0.066,996.3571,0
2019-07-10T21:15:55Z,0.614,27.6364,0.9312,1.0729,27.970354,26.565,7.6425,97.012,5.976,231.7123,0.12378,0.021,0.089,996.3567,0
2019-07-10T21:15:55Z,0.625,27.6356,0.8778,1.145,27.968313,26.564,7.6445,97.036,5.974,231.8259,0.12375,0.021,0.103,996.3564,0
2019-07-10T21:15:55Z,0.636,27.6345,0.8893,1.1017,27.968806,26.565,7.643,97.016,5.974,232.2801,0.12377,0.021,0.107,996.3565,0
2019-07-10T21:15:55Z,0.645,27.634,0.8855,1.1306,27.969741,26.565,7.6374,96.943,5.975,232.318,0.12366,0.021,0.101,996.3568,0
2019-07-10T21:15:55Z,0.652,27.6341,0.9045,1.0729,27.96715,26.566,7.6346,96.907,5.982,232.4316,0.12368,0.021,0.086,996.3571,0
2019-07-10T21:15:55Z,0.678,27.6341,0.9007,1.044,27.972029,26.566,7.6402,96.975,5.987,232.7344,0.12371,0.021,0.071,996.3574,0
2019-07-10T21:15:55Z,0.709,27.6339,0.8893,1.0585,28.022911,26.619,7.649,97.085,5.989,232.5451,0.12374,0.021,0.065,996.3576,0
2019-07-10T21:15:55Z,0.732,27.6336,0.8588,1.1882,28.022316,26.619,7.6491,97.085,5.984,233.113,0.12374,0.021,0.065,996.3577,0
2019-07-10T21:15:55Z,0.744,27.6334,0.8397,1.2027,27.97277,26.566,7.6528,97.13,5.983,232.9616,0.12362,0.021,0.067,996.3578,0
2019-07-10T21:15:55Z,0.756,27.6332,0.8168,1.1306,27.966083,26.566,7.6488,97.077,5.983,233.5294,0.12352,0.021,0.071,996.3579,0
2019-07-10T21:15:55Z,0.765,27.6325,0.8359,1.0585,27.971395,26.566,7.6474,97.058,5.982,233.1887,0.12366,0.021,0.071,996.358,0
2019-07-10T21:15:55Z,0.774,27.6323,0.8931,0.9864,27.96616,26.566,7.6499,97.087,5.978,233.908,0.12377,0.021,0.068,996.3581,0
