Date,Depth_m,PAR,Chla_ugL
2019-07-10T21:15:55Z,-0.109,0.12376,0.9236
2019-07-10T21:15:55Z,-0.11,0.12355,0.8931
2019-07-10T21:15:55Z,-0.108,0.12355,0.9618
2019-07-10T21:15:55Z,-0.107,0.12374,0.9427
2019-07-10T21:15:55Z,-0.108,0.12362,0.9465
2019-07-10T21:15:55Z,-0.107,0.1237,0.9503
2019-07-10T21:15:55Z,-0.104,0.12367,0.9503
2019-07-10T21:15:55Z,-0.103,0.12363,0.9579
2019-07-10T21:15:55Z,-0.104,0.1237,0.9618
2019-07-10T21:15:55Z,-0.102,0.12369,0.9427
2019-07-10T21:15:55Z,-0.099,0.12374,0.9045
2019-07-10T21:15:55Z,-0.096,0.12367,0.8664
2019-07-10T21:15:55Z,-0.088,0.12365,0.8855
2019-07-10T21:15:55Z,-0.073,0.12378,0.9084
2019-07-10T21:15:55Z,-0.048,0.12359,0.9122
2019-07-10T21:15:55Z,-0.021,0.12347,0.9236
2019-07-10T21:15:55Z,0.002,0.12381,0.8969
2019-07-10T21:15:55Z,0.025,0.12376,0.9122
2019-07-10T21:15:55Z,0.052,0.12359,0.9122
2019-07-10T21:15:55Z,0.082,0.12377,0.8511
2019-07-10T21:15:55Z,0.107,0.12386,0.8321
2019-07-10T21:15:55Z,0.134,0.12382,0.8511
2019-07-10T21:15:55Z,0.16,0.12372,0.8664
2019-07-10T21:15:55Z,0.181,0.12377,0.8549
2019-07-10T21:15:55Z,0.207,0.12382,0.8244
2019-07-10T21:15:55Z,0.246,0.12384,0.8549
2019-07-10T21:15:55Z,0.287,0.12376,0.8702
2019-07-10T21:15:55Z,0.311,0.12377,0.9503
2019-07-10T21:15:55Z,0.321,0.12381,0.9351
2019-07-10T21:15:55Z,0.346,0.12357,0.9389
2019-07-10T21:15:55Z,0.371,0.12353,0.9694
2019-07-10T21:15:55Z,0.378,0.12371,0.9198
2019-07-10T21:15:55Z,0.382,0.1236,0.8931
2019-07-10T21:15:55Z,0.384,0.12359,0.874
2019-07-10T21:15:55Z,0.395,0.12373,0.8969
2019-07-10T21:15:55Z,0.41,0.12371,0.9198
2019-07-10T21:15:55Z,0.416,0.12373,0.9122
2019-07-10T21:15:55Z,0.414,0.12377,0.9045
2019-07-10T21:15:55Z,0.429,0.12394,0.9236
2019-07-10T21:15:55Z,0.453,0.12373,0.8855
2019-07-10T21:15:55Z,0.457,0.12349,0.8244
2019-07-10T21:15:55Z,0.449,0.12367,0.8015
2019-07-10T21:15:55Z,0.446,0.12372,0.8244
2019-07-10T21:15:55Z,0.447,0.12362,0.8282
2019-07-10T21:15:55Z,0.447,0.12377,0.8397
2019-07-10T21:15:55Z,0.449,0.12384,0.8092
2019-07-10T21:15:55Z,0.45,0.1236,0.8397
2019-07-10T21:15:55Z,0.448,0.12364,0.8321
2019-07-10T21:15:55Z,0.45,0.1238,0.9007
2019-07-10T21:15:55Z,0.452,0.12372,0.9122
2019-07-10T21:15:55Z,0.45,0.12367,0.8969
2019-07-10T21:15:55Z,0.446,0.12361,0.8664
2019-07-10T21:15:55Z,0.446,0.12358,0.8588
2019-07-10T21:15:55Z,0.45,0.12369,0.8397
2019-07-10T21:15:55Z,0.471,0.12364,0.8359
2019-07-10T21:15:55Z,0.517,0.12359,0.8168
2019-07-10T21:15:55Z,0.553,0.1236,0.8855
2019-07-10T21:15:55Z,0.586,0.12372,0.8969
2019-07-10T21:15:55Z,0.614,0.12378,0.9312
2019-07-10T21:15:55Z,0.625,0.12375,0.8778
2019-07-10T21:15:55Z,0.636,0.12377,0.8893
2019-07-10T21:15:55Z,0.645,0.12366,0.8855
2019-07-10T21:15:55Z,0.652,0.12368,0.9045
2019-07-10T21:15:55Z,0.678,0.12371,0.9007
2019-07-10T21:15:55Z,0.709,0.12374,0.8893
2019-07-10T21:15:55Z,0.732,0.12374,0.8588
2019-07-10T21:15:55Z,0.744,0.12362,0.8397
2019-07-10T21:15:55Z,0.756,0.12352,0.8168
2019-07-10T21:15:55Z,0.765,0.12366,0.8359
2019-07-10T21:15:55Z,0.774,0.12377,0.8931
2019-07-10T21:15:55Z,0.79,0.12367,0.9274
2019-07-10T21:15:55Z,0.798,0.12364,0.8893
2019-07-10T21:15:55Z,0.802,0.1237,0.8893
2019-07-10T21:15:55Z,0.809,0.12381,1.0152
2019-07-10T21:15:55Z,0.821,0.12382,1.0533
2019-07-10T21:15:55Z,0.838,0.12379,1.0457
2019-07-10T21:15:55Z,0.854,0.12378,1.0457
2019-07-10T21:15:55Z,0.873,0.12384,0.9465
2019-07-10T21:15:55Z,0.901,0.1238,0.9541
2019-07-10T21:15:55Z,0.929,0.12372,0.9503
2019-07-10T21:15:55Z,0.952,0.12374,0.9694
2019-07-10T21:15:55Z,0.976,0.12365,0.9465
2019-07-10T21:15:55Z,0.999,0.12364,0.9694
2019-07-10T21:15:55Z,1.012,0.12384,0.9541
2019-07-10T21:15:55Z,1.02,0.12387,0.9846
2019-07-10T21:15:55Z,1.03,0.12372,0.9618
2019-07-10T21:15:55Z,1.041,0.12364,0.9465
2019-07-10T21:15:55Z,1.051,0.1237,0.9694
2019-07-10T21:15:55Z,1.063,0.12373,0.9732
2019-07-10T21:15:55Z,1.069,0.12368,0.9694
2019-07-10T21:15:55Z,1.074,0.12374,1.0152
2019-07-10T21:15:55Z,1.077,0.12375,1.0381
2019-07-10T21:15:55Z,1.082,0.12376,1.0381
2019-07-10T21:15:55Z,1.093,0.12374,1.0457
2019-07-10T21:15:55Z,1.108,0.12375,1.0113
2019-07-10T21:15:55Z,1.121,0.12375,1.0381
2019-07-10T21:15:55Z,1.129,0.12356,1.0228
2019-07-10T21:15:55Z,1.135,0.12355,1.0342
2019-07-10T21:15:55Z,1.148,0.12372,1.0037
2019-07-10T21:15:55Z,1.163,0.12366,1.0457
2019-07-10T21:15:55Z,1.182,0.12363,1.0495
2019-07-10T21:15:55Z,1.201,0.12384,1.0495
2019-07-10T21:15:55Z,1.214,0.12367,1.0037
2019-07-10T21:15:55Z,1.225,0.12355,0.9541
2019-07-10T21:15:55Z,1.243,0.12366,0.9465
2019-07-10T21:15:55Z,1.272,0.12362,0.9808
2019-07-10T21:15:55Z,1.298,0.12372,0.9541
2019-07-10T21:15:55Z,1.316,0.12381,1.0381
2019-07-10T21:15:55Z,1.357,0.1237,1.0228
2019-07-10T21:15:55Z,1.394,0.12356,1.0113
2019-07-10T21:15:55Z,1.402,0.12355,1.0381
2019-07-10T21:15:55Z,1.404,0.12374,0.9427
2019-07-10T21:15:55Z,1.413,0.12376,0.9465
2019-07-10T21:15:55Z,1.425,0.12367,0.9846
2019-07-10T21:15:55Z,1.428,0.12375,0.9694
2019-07-10T21:15:55Z,1.429,0.12366,0.9694
2019-07-10T21:15:55Z,1.434,0.12371,0.9541
2019-07-10T21:15:55Z,1.446,0.12382,0.9427
2019-07-10T21:15:55Z,1.45,0.12371,0.977
2019-07-10T21:15:55Z,1.449,0.12374,0.9465
2019-07-10T21:15:55Z,1.449,0.12377,0.9198
2019-07-10T21:15:55Z,1.449,0.12376,0.9541
2019-07-10T21:15:55Z,1.453,0.12378,0.9618
2019-07-10T21:15:55Z,1.457,0.12371,0.9503
2019-07-10T21:15:55Z,1.472,0.12362,1.0113
2019-07-10T21:15:55Z,1.494,0.12385,0.9961
2019-07-10T21:15:55Z,1.506,0.12396,1.0266
2019-07-10T21:15:55Z,1.516,0.12376,1.0152
2019-07-10T21:15:55Z,1.534,0.12366,0.8969
2019-07-10T21:15:55Z,1.54,0.12367,0.9084
2019-07-10T21:15:55Z,1.551,0.12375,0.8778
2019-07-10T21:15:55Z,1.578,0.12362,0.9045
2019-07-10T21:15:55Z,1.599,0.12368,0.9618
2019-07-10T21:15:55Z,1.614,0.12385,0.9618
2019-07-10T21:15:55Z,1.63,0.12381,0.9236
2019-07-10T21:15:55Z,1.642,0.1238,0.9541
2019-07-10T21:15:55Z,1.656,0.12362,1.1105
2019-07-10T21:15:55Z,1.665,0.12356,1.0686
2019-07-10T21:15:55Z,1.677,0.12372,1.0876
2019-07-10T21:15:55Z,1.688,0.12373,1.0762
2019-07-10T21:15:55Z,1.693,0.12372,0.8969
2019-07-10T21:15:55Z,1.706,0.12354,0.8969
2019-07-10T21:15:55Z,1.728,0.12356,0.9274
2019-07-10T21:15:55Z,1.751,0.12373,0.874
2019-07-10T21:15:55Z,1.773,0.12369,0.8702
2019-07-10T21:15:55Z,1.782,0.12365,0.977
2019-07-10T21:15:55Z,1.779,0.12361,0.9389
2019-07-10T21:15:55Z,1.785,0.12365,0.9389
2019-07-10T21:15:55Z,1.795,0.12369,0.9541
2019-07-10T21:15:55Z,1.799,0.12376,0.9618
2019-07-10T21:15:55Z,1.813,0.12375,0.9885
2019-07-10T21:15:55Z,1.837,0.12373,0.9465
2019-07-10T21:15:55Z,1.855,0.12384,0.9503
2019-07-10T21:15:55Z,1.864,0.12362,0.9618
2019-07-10T21:15:55Z,1.871,0.12355,0.9579
2019-07-10T21:15:55Z,1.884,0.1238,0.9732
2019-07-10T21:15:55Z,1.903,0.12385,0.9618
2019-07-10T21:15:55Z,1.921,0.12387,1.0915
2019-07-10T21:15:55Z,1.941,0.12371,1.0953
2019-07-10T21:15:55Z,1.962,0.12362,1.0876
2019-07-10T21:15:55Z,1.982,0.12364,1.0686
2019-07-10T21:15:55Z,2.003,0.12356,0.9541
2019-07-10T21:15:55Z,2.014,0.12369,0.9618
2019-07-10T21:15:55Z,2.018,0.12375,0.9618
2019-07-10T21:15:55Z,2.021,0.12374,0.9694
2019-07-10T21:15:55Z,2.026,0.12372,0.9541
2019-07-10T21:15:55Z,2.043,0.12362,0.9541
2019-07-10T21:15:55Z,2.057,0.12367,0.9465
2019-07-10T21:15:55Z,2.071,0.12377,0.9618
2019-07-10T21:15:55Z,2.093,0.12378,0.9465
2019-07-10T21:15:55Z,2.104,0.12363,0.9694
2019-07-10T21:15:55Z,2.115,0.12361,0.9389
2019-07-10T21:15:55Z,2.132,0.12379,0.977
2019-07-10T21:15:55Z,2.153,0.1238,0.9541
2019-07-10T21:15:55Z,2.186,0.1238,0.9465
2019-07-10T21:15:55Z,2.216,0.12382,0.9694
2019-07-10T21:15:55Z,2.232,0.12377,0.9656
2019-07-10T21:15:55Z,2.242,0.12375,0.9503
2019-07-10T21:15:55Z,2.251,0.12368,1.019
2019-07-10T21:15:55Z,2.26,0.12362,1.0228
2019-07-10T21:15:55Z,2.277,0.12376,1.0381
2019-07-10T21:15:55Z,2.298,0.12391,1.0113
2019-07-10T21:15:55Z,2.316,0.12378,0.9007
2019-07-10T21:15:55Z,2.332,0.1237,0.8816
2019-07-10T21:15:55Z,2.341,0.12367,0.9236
2019-07-10T21:15:55Z,2.349,0.12364,0.9274
2019-07-10T21:15:55Z,2.358,0.12369,0.8969
2019-07-10T21:15:55Z,2.374,0.12357,0.8855
2019-07-10T21:15:55Z,2.395,0.12367,0.9122
2019-07-10T21:15:55Z,2.423,0.12367,0.9045
2019-07-10T21:15:55Z,2.457,0.12358,0.8855
2019-07-10T21:15:55Z,2.488,0.12359,0.8397
2019-07-10T21:15:55Z,2.514,0.12361,0.8473
2019-07-10T21:15:55Z,2.539,0.12375,0.8473
2019-07-10T21:15:55Z,2.557,0.12369,0.8321
2019-07-10T21:15:55Z,2.565,0.12371,0.9045
2019-07-10T21:15:55Z,2.572,0.12369,0.8855
2019-07-10T21:15:55Z,2.586,0.1236,0.9007
2019-07-10T21:15:55Z,2.6,0.12359,0.9007
2019-07-10T21:15:55Z,2.617,0.12374,0.8931
2019-07-10T21:15:55Z,2.635,0.12384,0.8931
2019-07-10T21:15:55Z,2.652,0.1238,0.9236
2019-07-10T21:15:55Z,2.68,0.1237,0.9198
2019-07-10T21:15:55Z,2.707,0.12357,0.9198
2019-07-10T21:15:55Z,2.726,0.12375,0.8893
2019-07-10T21:15:55Z,2.744,0.12389,0.9045
2019-07-10T21:15:55Z,2.769,0.12388,0.9045
2019-07-10T21:15:55Z,2.791,0.12383,0.874
2019-07-10T21:15:55Z,2.813,0.12361,0.9198
2019-07-10T21:15:55Z,2.836,0.12349,0.8778
2019-07-10T21:15:55Z,2.854,0.12348,0.9122
2019-07-10T21:15:55Z,2.877,0.12347,0.9122
2019-07-10T21:15:55Z,2.907,0.12367,1.0075
2019-07-10T21:15:55Z,2.934,0.12368,1.0266
2019-07-10T21:15:55Z,2.96,0.12371,1.0304
2019-07-10T21:15:55Z,2.989,0.12381,1.0342
2019-07-10T21:15:55Z,3.017,0.1236,1.0342
2019-07-10T21:15:55Z,3.037,0.1236,1.0266
2019-07-10T21:15:55Z,3.048,0.12364,1.0381
2019-07-10T21:15:55Z,3.053,0.12353,1.019
2019-07-10T21:15:55Z,3.062,0.12365,1.1029
2019-07-10T21:15:55Z,3.07,0.12374,1.0915
2019-07-10T21:15:55Z,3.079,0.12375,1.0457
2019-07-10T21:15:55Z,3.092,0.12377,1.0762
2019-07-10T21:15:55Z,3.11,0.12368,1.1449
2019-07-10T21:15:55Z,3.131,0.12376,1.1525
2019-07-10T21:15:55Z,3.149,0.12366,1.1372
2019-07-10T21:15:55Z,3.162,0.12356,1.1487
2019-07-10T21:15:55Z,3.177,0.12364,1.1411
2019-07-10T21:15:55Z,3.193,0.12367,1.1182
2019-07-10T21:15:55Z,3.214,0.12366,1.1411
2019-07-10T21:15:55Z,3.237,0.12377,1.1411
2019-07-10T21:15:55Z,3.254,0.12382,1.1487
2019-07-10T21:15:55Z,3.265,0.12366,1.2135
2019-07-10T21:15:55Z,3.271,0.12361,1.225
2019-07-10T21:15:55Z,3.272,0.12374,1.2059
2019-07-10T21:15:55Z,3.284,0.12381,1.2173
2019-07-10T21:15:55Z,3.303,0.12367,1.286
2019-07-10T21:15:55Z,3.32,0.12364,1.2631
2019-07-10T21:15:55Z,3.338,0.12378,1.2479
2019-07-10T21:15:55Z,3.363,0.12377,1.2669
2019-07-10T21:15:55Z,3.4,0.12365,1.2517
2019-07-10T21:15:55Z,3.429,0.12371,1.2746
2019-07-10T21:15:55Z,3.438,0.12377,1.2746
2019-07-10T21:15:55Z,3.452,0.12364,1.2669
2019-07-10T21:15:55Z,3.485,0.12379,1.5187
2019-07-10T21:15:55Z,3.513,0.1239,1.5187
