Date,Depth_m,PAR,Chla_ugL
2019-07-10T23:39:08Z,-0.213,0.12366,0.7786
2019-07-10T23:39:08Z,-0.175,0.12371,0.8054
2019-07-10T23:39:08Z,-0.135,0.12372,0.7748
2019-07-10T23:39:08Z,-0.094,0.12368,0.771
2019-07-10T23:39:08Z,-0.054,0.12378,0.7748
2019-07-10T23:39:08Z,-0.003,0.12369,0.6757
2019-07-10T23:39:08Z,0.05,0.12365,0.71
2019-07-10T23:39:08Z,0.095,0.12367,0.6795
2019-07-10T23:39:08Z,0.135,0.12366,0.6947
2019-07-10T23:39:08Z,0.17,0.12372,0.7176
2019-07-10T23:39:08Z,0.204,0.12382,0.7329
2019-07-10T23:39:08Z,0.24,0.12369,0.7214
2019-07-10T23:39:08Z,0.279,0.12364,0.6757
2019-07-10T23:39:08Z,0.321,0.1237,0.7252
2019-07-10T23:39:08Z,0.357,0.12371,0.7405
2019-07-10T23:39:08Z,0.393,0.1238,0.7367
2019-07-10T23:39:08Z,0.423,0.12365,0.7024
2019-07-10T23:39:08Z,0.45,0.12377,0.7138
2019-07-10T23:39:08Z,0.48,0.12392,0.7825
2019-07-10T23:39:08Z,0.501,0.12369,0.7558
2019-07-10T23:39:08Z,0.506,0.1236,0.7901
2019-07-10T23:39:08Z,0.508,0.12367,0.771
2019-07-10T23:39:08Z,0.519,0.12365,0.71
2019-07-10T23:39:08Z,0.556,0.12358,0.7252
2019-07-10T23:39:08Z,0.591,0.1236,0.7329
2019-07-10T23:39:08Z,0.624,0.12365,0.7062
2019-07-10T23:39:08Z,0.648,0.12376,0.7176
2019-07-10T23:39:08Z,0.665,0.12378,0.7329
2019-07-10T23:39:08Z,0.684,0.1236,0.7176
2019-07-10T23:39:08Z,0.708,0.12366,0.6947
2019-07-10T23:39:08Z,0.726,0.1237,0.7062
2019-07-10T23:39:08Z,0.752,0.12352,0.6947
2019-07-10T23:39:08Z,0.784,0.12378,0.7405
2019-07-10T23:39:08Z,0.82,0.12379,0.7138
2019-07-10T23:39:08Z,0.854,0.12362,0.6985
2019-07-10T23:39:08Z,0.887,0.12364,0.7252
2019-07-10T23:39:08Z,0.917,0.12368,0.6757
2019-07-10T23:39:08Z,0.945,0.12371,0.7291
2019-07-10T23:39:08Z,0.972,0.12366,0.7252
2019-07-10T23:39:08Z,1.004,0.12361,0.7596
2019-07-10T23:39:08Z,1.039,0.12361,0.7977
2019-07-10T23:39:08Z,1.071,0.12375,0.7786
2019-07-10T23:39:08Z,1.092,0.12357,0.7825
2019-07-10T23:39:08Z,1.111,0.12359,0.7748
2019-07-10T23:39:08Z,1.127,0.12382,0.7748
2019-07-10T23:39:08Z,1.141,0.12379,0.7901
2019-07-10T23:39:08Z,1.166,0.12385,0.7939
2019-07-10T23:39:08Z,1.194,0.12374,0.71
2019-07-10T23:39:08Z,1.217,0.12352,0.7252
2019-07-10T23:39:08Z,1.238,0.12363,0.71
2019-07-10T23:39:08Z,1.269,0.12374,0.7291
2019-07-10T23:39:08Z,1.302,0.12375,0.7214
2019-07-10T23:39:08Z,1.334,0.12365,0.7214
2019-07-10T23:39:08Z,1.359,0.12356,0.7481
2019-07-10T23:39:08Z,1.379,0.12361,0.7252
2019-07-10T23:39:08Z,1.398,0.12367,0.874
2019-07-10T23:39:08Z,1.425,0.12365,0.8282
2019-07-10T23:39:08Z,1.46,0.12367,0.8397
2019-07-10T23:39:08Z,1.491,0.1238,0.8321
2019-07-10T23:39:08Z,1.525,0.12385,0.8397
