Date,Depth_m,PAR,Chla_ugL
2019-07-11T04:47:08Z,-0.097,0.12379,0.7024
2019-07-11T04:47:08Z,-0.098,0.12369,0.7291
2019-07-11T04:47:08Z,-0.098,0.12369,0.7176
2019-07-11T04:47:08Z,-0.096,0.12373,0.7291
2019-07-11T04:47:08Z,-0.091,0.12383,0.6833
2019-07-11T04:47:08Z,-0.08,0.12377,0.6833
2019-07-11T04:47:08Z,-0.07,0.12368,0.7062
2019-07-11T04:47:08Z,-0.067,0.12368,0.6833
2019-07-11T04:47:08Z,-0.062,0.12381,0.6833
2019-07-11T04:47:08Z,-0.055,0.12375,0.7176
2019-07-11T04:47:08Z,-0.049,0.12377,0.7291
2019-07-11T04:47:08Z,-0.044,0.12398,0.6833
2019-07-11T04:47:08Z,-0.04,0.12369,0.668
2019-07-11T04:47:08Z,-0.037,0.12362,0.6566
2019-07-11T04:47:08Z,-0.035,0.12375,0.6909
2019-07-11T04:47:08Z,-0.034,0.1237,0.6757
2019-07-11T04:47:08Z,-0.034,0.12365,0.7024
2019-07-11T04:47:08Z,-0.025,0.12367,0.7138
2019-07-11T04:47:08Z,-0.012,0.12384,0.7214
2019-07-11T04:47:08Z,-0.007,0.12372,0.7291
2019-07-11T04:47:08Z,-0.003,0.12359,0.6833
2019-07-11T04:47:08Z,-0.001,0.12368,0.6489
2019-07-11T04:47:08Z,0.001,0.12382,0.6795
2019-07-11T04:47:08Z,0.004,0.1238,0.6871
2019-07-11T04:47:08Z,0.004,0.12364,0.6757
2019-07-11T04:47:08Z,0.003,0.12364,0.6909
2019-07-11T04:47:08Z,0.001,0.12364,0.7062
2019-07-11T04:47:08Z,0,0.12378,0.7176
2019-07-11T04:47:08Z,0.002,0.12371,0.7138
2019-07-11T04:47:08Z,0.005,0.12358,0.6642
2019-07-11T04:47:08Z,0.008,0.12377,0.668
2019-07-11T04:47:08Z,0.01,0.1237,0.6985
2019-07-11T04:47:08Z,0.01,0.12363,0.668
2019-07-11T04:47:08Z,0.011,0.12369,0.7252
2019-07-11T04:47:08Z,0.014,0.12373,0.7176
2019-07-11T04:47:08Z,0.014,0.12363,0.7024
2019-07-11T04:47:08Z,0.012,0.12368,0.7024
2019-07-11T04:47:08Z,0.013,0.12375,0.6833
2019-07-11T04:47:08Z,0.014,0.1236,0.71
2019-07-11T04:47:08Z,0.012,0.12364,0.7252
2019-07-11T04:47:08Z,0.012,0.12374,0.7138
2019-07-11T04:47:08Z,0.013,0.12367,0.7062
2019-07-11T04:47:08Z,0.013,0.1236,0.7176
2019-07-11T04:47:08Z,0.013,0.12375,0.6985
2019-07-11T04:47:08Z,0.014,0.12374,0.7291
2019-07-11T04:47:08Z,0.02,0.12378,0.7214
2019-07-11T04:47:08Z,0.025,0.12383,0.6528
2019-07-11T04:47:08Z,0.027,0.1237,0.6604
2019-07-11T04:47:08Z,0.027,0.12385,0.668
2019-07-11T04:47:08Z,0.027,0.1237,0.668
2019-07-11T04:47:08Z,0.028,0.12361,0.7367
2019-07-11T04:47:08Z,0.027,0.12378,0.7405
2019-07-11T04:47:08Z,0.025,0.12382,0.7291
2019-07-11T04:47:08Z,0.028,0.12379,0.7291
2019-07-11T04:47:08Z,0.037,0.12372,0.7901
2019-07-11T04:47:08Z,0.044,0.1237,0.7634
2019-07-11T04:47:08Z,0.049,0.12367,0.7672
2019-07-11T04:47:08Z,0.054,0.1238,0.7825
2019-07-11T04:47:08Z,0.054,0.12367,0.7863
2019-07-11T04:47:08Z,0.057,0.12352,0.7748
2019-07-11T04:47:08Z,0.067,0.12371,0.7901
2019-07-11T04:47:08Z,0.071,0.12378,0.7825
2019-07-11T04:47:08Z,0.072,0.12358,0.7329
2019-07-11T04:47:08Z,0.084,0.12364,0.7024
2019-07-11T04:47:08Z,0.103,0.12369,0.7367
2019-07-11T04:47:08Z,0.116,0.12368,0.7214
2019-07-11T04:47:08Z,0.129,0.12376,0.7519
2019-07-11T04:47:08Z,0.149,0.12364,0.6146
2019-07-11T04:47:08Z,0.167,0.12377,0.6108
2019-07-11T04:47:08Z,0.185,0.1237,0.6184
2019-07-11T04:47:08Z,0.201,0.12361,0.6337
2019-07-11T04:47:08Z,0.21,0.12374,0.6833
2019-07-11T04:47:08Z,0.218,0.12368,0.6337
2019-07-11T04:47:08Z,0.23,0.12373,0.6833
2019-07-11T04:47:08Z,0.249,0.12371,0.6604
2019-07-11T04:47:08Z,0.269,0.12373,0.6871
2019-07-11T04:47:08Z,0.29,0.1238,0.6604
2019-07-11T04:47:08Z,0.309,0.12374,0.6604
2019-07-11T04:47:08Z,0.327,0.12376,0.6566
2019-07-11T04:47:08Z,0.338,0.12371,0.7176
2019-07-11T04:47:08Z,0.346,0.12353,0.7176
2019-07-11T04:47:08Z,0.365,0.12369,0.7024
2019-07-11T04:47:08Z,0.393,0.12389,0.6947
2019-07-11T04:47:08Z,0.412,0.12385,0.668
2019-07-11T04:47:08Z,0.42,0.12359,0.6757
2019-07-11T04:47:08Z,0.427,0.12346,0.6604
2019-07-11T04:47:08Z,0.432,0.12368,0.6718
2019-07-11T04:47:08Z,0.436,0.1237,0.668
2019-07-11T04:47:08Z,0.435,0.12362,0.6947
