Date,Depth_m,Temp_C,Chla_ugL,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,pH,ORP_mV,PAR,Salinity,Descent Rate (m/s),Density_mg_m3,Flag
2019-07-11T06:14:34Z,0.012,26.3308,0.6985,0.8854,30.065889,29.32,4.8408,60.066,6.496,305.0039,6.2467,0.0217,0.062,996.719,0
2019-07-11T06:14:34Z,0.027,26.3313,0.6718,0.871,29.809436,29.012,4.8545,60.247,6.497,305.0418,6.1529,0.0216,0.064,996.7153,0
2019-07-11T06:14:34Z,0.045,26.3314,0.668,0.8422,29.650805,28.899,4.901,60.947,6.502,304.7389,6.0281,0.0216,0.063,996.7134,0
2019-07-11T06:14:34Z,0.065,26.3332,0.668,0.8998,29.433814,28.654,5.1726,64.639,6.491,304.2468,5.8309,0.0215,0.062,996.7132,0
2019-07-11T06:14:34Z,0.091,26.34,0.7634,1.1161,29.575862,28.79,5.7983,72.761,6.483,304.3604,5.5615,0.0215,0.064,996.7134,0
2019-07-11T06:14:34Z,0.12,26.3459,0.7825,1.1161,29.681397,28.952,6.4626,81.312,6.471,305.3446,5.3583,0.0216,0.07,996.7131,0
2019-07-11T06:14:34Z,0.139,26.3471,0.7748,1.145,29.450599,28.622,7.0653,89.026,6.437,305.0796,5.1079,0.0214,0.076,996.7113,0
2019-07-11T06:14:34Z,0.156,26.347,0.7672,1.1017,29.32985,28.619,7.5511,95.218,6.41,305.5718,4.9118,0.0214,0.081,996.7097,0
2019-07-11T06:14:34Z,0.174,26.3497,0.6833,1.1161,29.476176,28.618,7.9018,99.687,6.404,305.1175,4.6177,0.0214,0.084,996.7095,0
2019-07-11T06:14:34Z,0.203,26.355,0.6947,1.1594,30.06836,29.352,8.1066,102.307,6.411,304.8525,4.2549,0.0217,0.086,996.7099,0
2019-07-11T06:14:34Z,0.231,26.3636,0.6871,1.145,30.399985,29.541,8.1809,103.247,6.422,305.1932,4.0384,0.0218,0.089,996.7093,0
2019-07-11T06:14:34Z,0.254,26.3739,0.6757,1.0008,30.337338,29.592,8.1166,102.424,6.435,305.3068,3.87,0.0218,0.09,996.708,0
2019-07-11T06:14:34Z,0.269,26.4917,0.668,1.0729,30.531451,29.641,7.9686,100.554,6.445,305.3446,3.7569,0.0219,0.088,996.7058,0
2019-07-11T06:14:34Z,0.285,26.7533,0.6718,1.1738,30.010288,29.337,7.8269,98.767,6.454,305.7989,3.6542,0.0217,0.085,996.703,0
2019-07-11T06:14:34Z,0.304,26.9895,0.6795,1.1306,28.586346,27.619,7.7167,97.368,6.459,306.2532,3.542,0.0211,0.084,996.6708,0
2019-07-11T06:14:34Z,0.327,27.1348,0.6604,1.2171,28.215378,27.34,7.6289,96.244,6.461,306.7454,3.3728,0.0211,0.083,996.5997,0
2019-07-11T06:14:34Z,0.357,27.219,0.7176,1.1306,28.190856,27.057,7.565,95.425,6.455,307.0104,3.1448,0.021,0.084,996.5352,0
2019-07-11T06:14:34Z,0.383,27.2604,0.7214,1.0873,28.053956,26.926,7.5149,94.786,6.447,307.4268,3.0475,0.021,0.084,996.4953,0
2019-07-11T06:14:34Z,0.401,27.2873,0.7519,1.145,28.148712,26.938,7.4748,94.293,6.439,307.1239,3.0271,0.021,0.084,996.4721,0
2019-07-11T06:14:34Z,0.419,27.306,0.7214,1.044,27.954412,26.755,7.4551,94.066,6.433,307.8432,3.001,0.021,0.085,996.4606,0
2019-07-11T06:14:34Z,0.428,27.3083,0.6604,1.1017,27.910657,26.662,7.4255,93.701,6.399,307.9189,2.9884,0.0209,0.084,996.4531,0
2019-07-11T06:14:34Z,0.423,27.3017,0.6604,1.145,28.173533,26.946,7.4208,93.65,6.365,307.8054,3.0118,0.021,0.075,996.448,0
2019-07-11T06:14:34Z,0.42,27.3003,0.6795,1.2171,28.24932,26.998,7.4132,93.569,6.367,307.8432,3.0801,0.0211,0.061,996.4474,0
2019-07-11T06:14:34Z,0.425,27.3011,0.6757,1.2027,28.082935,26.841,7.4083,93.513,6.372,308.4111,3.0839,0.021,0.045,996.4492,0
2019-07-11T06:14:34Z,0.424,27.2959,0.6947,1.145,28.084378,26.842,7.4045,93.469,6.355,308.4489,3.0602,0.021,0.028,996.4496,0
2019-07-11T06:14:34Z,0.421,27.2865,0.7138,0.8422,28.188282,26.948,7.4086,93.516,6.346,308.7518,3.0759,0.021,0.015,996.4494,0
2019-07-11T06:14:34Z,0.424,27.2791,0.7138,0.871,28.249848,27.004,7.4101,93.531,6.353,308.8654,3.1131,0.0211,0.006,996.4509,0
2019-07-11T06:14:34Z,0.432,27.2752,0.7176,0.8998,28.303982,27.063,7.4091,93.516,6.365,309.4711,3.1163,0.0211,0.003,996.4535,0
2019-07-11T06:14:34Z,0.447,27.2825,0.6757,0.8998,28.298651,27.067,7.412,93.55,6.383,308.9789,3.0587,0.0211,0.007,996.4557,0
2019-07-11T06:14:34Z,0.483,27.2949,0.71,0.871,28.137998,26.909,7.4157,93.591,6.394,309.6225,2.9457,0.021,0.022,996.4568,0
2019-07-11T06:14:34Z,0.514,27.3002,0.6909,0.7989,28.029959,26.798,7.4184,93.62,6.387,310.1147,2.864,0.021,0.04,996.4549,0
2019-07-11T06:14:34Z,0.535,27.3057,0.7329,0.8998,28.077638,26.845,7.4186,93.618,6.376,309.5468,2.8468,0.021,0.056,996.4516,0
2019-07-11T06:14:34Z,0.556,27.3138,0.7138,0.8854,28.078659,26.842,7.412,93.532,6.368,310.3039,2.8194,0.021,0.072,996.4502,0
2019-07-11T06:14:34Z,0.567,27.3182,0.7443,0.8277,28.028685,26.786,7.4153,93.573,6.333,310.4175,2.7865,0.021,0.082,996.4487,0
2019-07-11T06:14:34Z,0.571,27.3195,0.7825,0.9287,27.962096,26.728,7.4186,93.62,6.317,310.4554,2.7395,0.021,0.082,996.4465,0
2019-07-11T06:14:34Z,0.585,27.3179,0.7939,0.871,27.983794,26.726,7.4191,93.628,6.327,310.4554,2.7157,0.021,0.078,996.4452,0
2019-07-11T06:14:34Z,0.601,27.3152,0.7748,0.8854,28.120168,26.886,7.4117,93.541,6.325,310.5689,2.6851,0.021,0.07,996.445,0
2019-07-11T06:14:34Z,0.607,27.3138,0.7596,0.7845,28.088599,26.833,7.4072,93.487,6.31,311.5911,2.6641,0.021,0.057,996.4455,0
2019-07-11T06:14:34Z,0.609,27.3117,0.7748,0.7989,28.023082,26.781,7.4037,93.448,6.309,311.0989,2.687,0.021,0.046,996.4462,0
2019-07-11T06:14:34Z,0.611,27.3087,0.7672,0.8998,28.083216,26.835,7.4049,93.47,6.322,311.0611,2.6391,0.021,0.037,996.4466,0
2019-07-11T06:14:34Z,0.623,27.3056,0.813,0.8566,28.073007,26.836,7.398,93.383,6.336,311.6668,2.5821,0.021,0.033,996.4472,0
2019-07-11T06:14:34Z,0.639,27.3028,0.6909,1.1161,28.095033,26.838,7.3871,93.246,6.349,312.0075,2.4957,0.021,0.033,996.4481,0
2019-07-11T06:14:34Z,0.659,27.301,0.6947,1.0873,28.115052,26.893,7.3828,93.191,6.359,312.3861,2.4032,0.021,0.037,996.4491,0
2019-07-11T06:14:34Z,0.671,27.3015,0.6985,1.0008,28.048095,26.788,7.3905,93.292,6.359,312.1589,2.4034,0.021,0.039,996.45,0
2019-07-11T06:14:34Z,0.675,27.3036,0.6947,1.1161,28.059872,26.842,7.4106,93.544,6.357,312.0454,2.398,0.021,0.041,996.4505,0
2019-07-11T06:14:34Z,0.68,27.3054,0.6985,1.0873,28.100396,26.842,7.423,93.699,6.36,311.8182,2.3807,0.021,0.042,996.4503,0
2019-07-11T06:14:34Z,0.692,27.3084,0.7786,0.9719,28.116152,26.894,7.445,93.977,6.367,312.3861,2.3455,0.021,0.044,996.4498,0
2019-07-11T06:14:34Z,0.705,27.3106,0.7786,0.9719,28.040265,26.786,7.4593,94.162,6.373,312.1968,2.3064,0.021,0.045,996.4493,0
2019-07-11T06:14:34Z,0.718,27.3139,0.7825,0.8998,28.017104,26.785,7.4658,94.258,6.378,312.5754,2.2754,0.021,0.043,996.4486,0
2019-07-11T06:14:34Z,0.733,27.3174,0.7748,0.8133,28.026486,26.784,7.4642,94.252,6.385,312.5754,2.2439,0.021,0.042,996.4481,0
2019-07-11T06:14:34Z,0.748,27.318,0.7329,0.8133,27.969344,26.729,7.4395,93.951,6.386,313.3704,2.2118,0.021,0.043,996.4472,0
2019-07-11T06:14:34Z,0.762,27.3182,0.6871,0.9143,27.969727,26.727,7.4236,93.756,6.388,313.1811,2.1874,0.021,0.047,996.4463,0
2019-07-11T06:14:34Z,0.776,27.3187,0.7024,0.8998,27.966765,26.726,7.4114,93.603,6.39,313.3704,2.1625,0.021,0.052,996.4462,0
2019-07-11T06:14:34Z,0.79,27.3196,0.7367,0.9287,27.973031,26.726,7.4052,93.524,6.392,313.5218,2.1445,0.021,0.054,996.4461,0
2019-07-11T06:14:34Z,0.806,27.3191,0.7214,0.7845,27.961929,26.726,7.3916,93.351,6.394,313.7111,2.1139,0.021,0.056,996.4462,0
2019-07-11T06:14:34Z,0.82,27.3183,0.7214,0.8277,27.980581,26.725,7.3947,93.39,6.391,313.5218,2.0702,0.021,0.056,996.4459,0
2019-07-11T06:14:34Z,0.831,27.3185,0.7062,0.9287,27.949819,26.726,7.3982,93.432,6.389,313.7111,2.0572,0.021,0.056,996.4461,0
2019-07-11T06:14:34Z,0.843,27.3215,0.6757,0.8133,27.911346,26.646,7.4089,93.567,6.389,313.8247,2.0344,0.0209,0.054,996.4464,0
2019-07-11T06:14:34Z,0.856,27.3294,0.7748,0.9864,27.939595,26.726,7.4179,93.68,6.389,314.014,2.0218,0.021,0.053,996.4464,0
2019-07-11T06:14:34Z,0.868,27.3379,0.7748,0.8422,27.855422,26.591,7.4219,93.732,6.382,314.0897,2.0111,0.0209,0.052,996.4456,0
2019-07-11T06:14:34Z,0.88,27.3438,0.7596,0.8277,27.808746,26.587,7.4262,93.787,6.381,314.0897,1.989,0.0209,0.051,996.4434,0
2019-07-11T06:14:34Z,0.894,27.3471,0.7748,0.9575,27.790328,26.53,7.4325,93.862,6.379,314.014,1.9339,0.0209,0.05,996.4411,0
2019-07-11T06:14:34Z,0.916,27.3482,0.7939,0.9143,27.819096,26.58,7.4359,93.903,6.378,313.749,1.8789,0.0209,0.051,996.4396,0
2019-07-11T06:14:34Z,0.942,27.3475,0.771,0.9431,27.832187,26.578,7.4382,93.932,6.366,313.4082,1.8412,0.0209,0.057,996.4387,0
2019-07-11T06:14:34Z,0.967,27.347,0.7672,0.871,27.774038,26.524,7.4439,94.004,6.338,313.5218,1.8,0.0209,0.065,996.4385,0
2019-07-11T06:14:34Z,0.988,27.3471,0.7443,0.871,27.772974,26.525,7.446,94.032,6.31,313.8625,1.7765,0.0209,0.072,996.4388,0
2019-07-11T06:14:34Z,0.999,27.3463,0.7519,0.8566,27.774266,26.525,7.4454,94.024,6.263,313.4082,1.7534,0.0209,0.075,996.439,0
2019-07-11T06:14:34Z,1.002,27.3455,0.7672,0.7556,27.772431,26.525,7.4451,94.019,6.236,313.6354,1.7513,0.0209,0.074,996.439,0
2019-07-11T06:14:34Z,1.015,27.3456,0.7596,0.8133,27.775258,26.525,7.4482,94.059,6.24,313.5218,1.7449,0.0209,0.07,996.4393,0
2019-07-11T06:14:34Z,1.035,27.3467,0.7748,0.8566,27.829989,26.579,7.4553,94.147,6.256,313.6354,1.7155,0.0209,0.066,996.4396,0
2019-07-11T06:14:34Z,1.05,27.3466,0.7748,0.8854,27.822805,26.579,7.4463,94.031,6.263,313.8625,1.7019,0.0209,0.06,996.4397,0
2019-07-11T06:14:34Z,1.06,27.344,0.7977,0.9287,27.784199,26.525,7.4391,93.939,6.27,313.6732,1.6679,0.0209,0.054,996.4394,0
2019-07-11T06:14:34Z,1.076,27.3426,0.7825,0.8422,27.818791,26.578,7.4395,93.946,6.284,313.3704,1.6342,0.0209,0.051,996.4395,0
2019-07-11T06:14:34Z,1.091,27.3426,0.7672,0.8566,27.779759,26.526,7.4387,93.94,6.284,313.7111,1.6245,0.0209,0.052,996.4403,0
2019-07-11T06:14:34Z,1.106,27.3426,0.7825,0.9287,27.773532,26.527,7.4322,93.861,6.282,313.484,1.5909,0.0209,0.055,996.4407,0
2019-07-11T06:14:34Z,1.128,27.3431,0.7672,0.9287,27.826539,26.581,7.4318,93.857,6.286,313.8625,1.5737,0.0209,0.06,996.4408,0
2019-07-11T06:14:34Z,1.144,27.3434,0.7825,0.8422,27.773036,26.527,7.4305,93.843,6.276,313.7111,1.5885,0.0209,0.062,996.4409,0
2019-07-11T06:14:34Z,1.154,27.3433,0.7672,0.8998,27.780873,26.527,7.4264,93.794,6.265,314.0897,1.5595,0.0209,0.061,996.4408,0
2019-07-11T06:14:34Z,1.162,27.3428,0.7825,0.8422,27.816784,26.58,7.4293,93.833,6.26,314.0897,1.5541,0.0209,0.059,996.4407,0
2019-07-11T06:14:34Z,1.173,27.3424,0.8244,1.2459,27.787588,26.527,7.4316,93.863,6.266,313.749,1.5527,0.0209,0.057,996.4408,0
2019-07-11T06:14:34Z,1.189,27.341,0.8321,1.0008,27.81721,26.58,7.4213,93.735,6.28,313.749,1.5182,0.0209,0.055,996.441,0
2019-07-11T06:14:34Z,1.204,27.3399,0.8397,1.1161,27.839164,26.581,7.4136,93.638,6.293,314.2032,1.5003,0.0209,0.053,996.4412,0
2019-07-11T06:14:34Z,1.217,27.3415,0.8397,1.044,27.819508,26.581,7.4052,93.527,6.303,314.1275,1.4855,0.0209,0.051,996.4417,0
