Date,Depth_m,PAR,Chla_ugL
2019-07-11T06:14:34Z,-0.099,10.032,0.7519
2019-07-11T06:14:34Z,-0.101,10.092,0.7672
2019-07-11T06:14:34Z,-0.102,9.8275,0.7672
2019-07-11T06:14:34Z,-0.089,8.1261,0.7672
2019-07-11T06:14:34Z,-0.068,7.1226,0.6833
2019-07-11T06:14:34Z,-0.05,7.0969,0.6604
2019-07-11T06:14:34Z,-0.029,6.6711,0.668
2019-07-11T06:14:34Z,-0.012,6.4874,0.6757
2019-07-11T06:14:34Z,-0.002,6.3736,0.6718
2019-07-11T06:14:34Z,0.012,6.2467,0.6985
2019-07-11T06:14:34Z,0.027,6.1529,0.6718
2019-07-11T06:14:34Z,0.045,6.0281,0.668
2019-07-11T06:14:34Z,0.065,5.8309,0.668
2019-07-11T06:14:34Z,0.091,5.5615,0.7634
2019-07-11T06:14:34Z,0.12,5.3583,0.7825
2019-07-11T06:14:34Z,0.139,5.1079,0.7748
2019-07-11T06:14:34Z,0.156,4.9118,0.7672
2019-07-11T06:14:34Z,0.174,4.6177,0.6833
2019-07-11T06:14:34Z,0.203,4.2549,0.6947
2019-07-11T06:14:34Z,0.231,4.0384,0.6871
2019-07-11T06:14:34Z,0.254,3.87,0.6757
2019-07-11T06:14:34Z,0.269,3.7569,0.668
2019-07-11T06:14:34Z,0.285,3.6542,0.6718
2019-07-11T06:14:34Z,0.304,3.542,0.6795
2019-07-11T06:14:34Z,0.327,3.3728,0.6604
2019-07-11T06:14:34Z,0.357,3.1448,0.7176
2019-07-11T06:14:34Z,0.383,3.0475,0.7214
2019-07-11T06:14:34Z,0.401,3.0271,0.7519
2019-07-11T06:14:34Z,0.419,3.001,0.7214
2019-07-11T06:14:34Z,0.428,2.9884,0.6604
2019-07-11T06:14:34Z,0.423,3.0118,0.6604
2019-07-11T06:14:34Z,0.42,3.0801,0.6795
2019-07-11T06:14:34Z,0.425,3.0839,0.6757
2019-07-11T06:14:34Z,0.424,3.0602,0.6947
2019-07-11T06:14:34Z,0.421,3.0759,0.7138
2019-07-11T06:14:34Z,0.424,3.1131,0.7138
2019-07-11T06:14:34Z,0.432,3.1163,0.7176
2019-07-11T06:14:34Z,0.447,3.0587,0.6757
2019-07-11T06:14:34Z,0.483,2.9457,0.71
2019-07-11T06:14:34Z,0.514,2.864,0.6909
2019-07-11T06:14:34Z,0.535,2.8468,0.7329
2019-07-11T06:14:34Z,0.556,2.8194,0.7138
2019-07-11T06:14:34Z,0.567,2.7865,0.7443
2019-07-11T06:14:34Z,0.571,2.7395,0.7825
2019-07-11T06:14:34Z,0.585,2.7157,0.7939
2019-07-11T06:14:34Z,0.601,2.6851,0.7748
2019-07-11T06:14:34Z,0.607,2.6641,0.7596
2019-07-11T06:14:34Z,0.609,2.687,0.7748
2019-07-11T06:14:34Z,0.611,2.6391,0.7672
2019-07-11T06:14:34Z,0.623,2.5821,0.813
2019-07-11T06:14:34Z,0.639,2.4957,0.6909
2019-07-11T06:14:34Z,0.659,2.4032,0.6947
2019-07-11T06:14:34Z,0.671,2.4034,0.6985
2019-07-11T06:14:34Z,0.675,2.398,0.6947
2019-07-11T06:14:34Z,0.68,2.3807,0.6985
2019-07-11T06:14:34Z,0.692,2.3455,0.7786
2019-07-11T06:14:34Z,0.705,2.3064,0.7786
2019-07-11T06:14:34Z,0.718,2.2754,0.7825
2019-07-11T06:14:34Z,0.733,2.2439,0.7748
2019-07-11T06:14:34Z,0.748,2.2118,0.7329
2019-07-11T06:14:34Z,0.762,2.1874,0.6871
2019-07-11T06:14:34Z,0.776,2.1625,0.7024
2019-07-11T06:14:34Z,0.79,2.1445,0.7367
2019-07-11T06:14:34Z,0.806,2.1139,0.7214
2019-07-11T06:14:34Z,0.82,2.0702,0.7214
2019-07-11T06:14:34Z,0.831,2.0572,0.7062
2019-07-11T06:14:34Z,0.843,2.0344,0.6757
2019-07-11T06:14:34Z,0.856,2.0218,0.7748
2019-07-11T06:14:34Z,0.868,2.0111,0.7748
2019-07-11T06:14:34Z,0.88,1.989,0.7596
2019-07-11T06:14:34Z,0.894,1.9339,0.7748
2019-07-11T06:14:34Z,0.916,1.8789,0.7939
2019-07-11T06:14:34Z,0.942,1.8412,0.771
2019-07-11T06:14:34Z,0.967,1.8,0.7672
2019-07-11T06:14:34Z,0.988,1.7765,0.7443
2019-07-11T06:14:34Z,0.999,1.7534,0.7519
2019-07-11T06:14:34Z,1.002,1.7513,0.7672
2019-07-11T06:14:34Z,1.015,1.7449,0.7596
2019-07-11T06:14:34Z,1.035,1.7155,0.7748
2019-07-11T06:14:34Z,1.05,1.7019,0.7748
2019-07-11T06:14:34Z,1.06,1.6679,0.7977
2019-07-11T06:14:34Z,1.076,1.6342,0.7825
2019-07-11T06:14:34Z,1.091,1.6245,0.7672
2019-07-11T06:14:34Z,1.106,1.5909,0.7825
2019-07-11T06:14:34Z,1.128,1.5737,0.7672
2019-07-11T06:14:34Z,1.144,1.5885,0.7825
2019-07-11T06:14:34Z,1.154,1.5595,0.7672
2019-07-11T06:14:34Z,1.162,1.5541,0.7825
2019-07-11T06:14:34Z,1.173,1.5527,0.8244
2019-07-11T06:14:34Z,1.189,1.5182,0.8321
2019-07-11T06:14:34Z,1.204,1.5003,0.8397
2019-07-11T06:14:34Z,1.217,1.4855,0.8397
2019-07-11T06:14:34Z,1.23,1.496,0.7596
2019-07-11T06:14:34Z,1.241,1.4859,0.7977
2019-07-11T06:14:34Z,1.249,1.4841,0.7825
2019-07-11T06:14:34Z,1.262,1.4693,0.7405
2019-07-11T06:14:34Z,1.277,1.4495,0.771
2019-07-11T06:14:34Z,1.289,1.4332,0.7825
2019-07-11T06:14:34Z,1.312,1.3956,0.7825
2019-07-11T06:14:34Z,1.338,1.4056,0.7901
2019-07-11T06:14:34Z,1.347,1.4117,0.7596
2019-07-11T06:14:34Z,1.359,1.3639,0.7672
2019-07-11T06:14:34Z,1.372,1.3596,0.7825
2019-07-11T06:14:34Z,1.378,1.3724,0.7596
2019-07-11T06:14:34Z,1.392,1.3577,0.7596
2019-07-11T06:14:34Z,1.411,1.3314,0.7825
2019-07-11T06:14:34Z,1.425,1.3043,0.7901
2019-07-11T06:14:34Z,1.433,1.3251,0.7748
2019-07-11T06:14:34Z,1.442,1.2786,0.7519
2019-07-11T06:14:34Z,1.462,1.2449,0.7748
2019-07-11T06:14:34Z,1.484,1.249,0.7901
2019-07-11T06:14:34Z,1.502,1.2313,0.771
