Date,Depth_m,Temp_C,Chla_ugL,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,pH,ORP_mV,PAR,Salinity,Descent Rate (m/s),Density_mg_m3,Flag
2019-07-11T09:31:14Z,0.001,27.3812,0.6222,0.7701,28.024484,26.747,7.375,93.182,6.275,284.1824,258.26,0.021,0.133,996.4252,0
2019-07-11T09:31:14Z,0.023,27.3811,0.6375,0.8133,28.027925,26.748,7.382,93.272,6.28,284.296,232.96,0.021,0.133,996.4253,0
2019-07-11T09:31:14Z,0.104,27.3787,0.6299,0.9719,28.017942,26.747,7.3736,93.167,6.276,284.6746,175,0.021,0.143,996.4256,0
2019-07-11T09:31:14Z,0.211,27.3736,0.6184,0.8998,28.036909,26.747,7.3667,93.079,6.273,285.621,155.23,0.021,0.168,996.4261,0
2019-07-11T09:31:14Z,0.262,27.3696,0.6146,0.871,28.063566,26.802,7.3619,93.017,6.276,285.2424,153.85,0.021,0.191,996.4271,0
2019-07-11T09:31:14Z,0.285,27.3676,0.6261,0.8854,28.044013,26.751,7.3601,92.997,6.28,285.8482,150.61,0.021,0.202,996.4286,0
2019-07-11T09:31:14Z,0.297,27.3675,0.6375,0.9431,28.061244,26.807,7.3573,92.965,6.283,285.3939,144.47,0.021,0.199,996.4297,0
2019-07-11T09:31:14Z,0.3,27.3686,0.6222,0.9287,28.042122,26.754,7.3625,93.033,6.284,285.6967,136.97,0.021,0.187,996.4303,0
2019-07-11T09:31:14Z,0.309,27.37,0.6795,0.9143,28.008566,26.754,7.365,93.067,6.285,285.7346,138.29,0.021,0.165,996.4304,0
2019-07-11T09:31:14Z,0.315,27.3713,0.6985,0.9864,28.043761,26.754,7.3698,93.129,6.29,285.5832,143.33,0.021,0.13,996.4301,0
2019-07-11T09:31:14Z,0.306,27.372,0.6947,0.8998,28.057567,26.806,7.3806,93.266,6.295,285.5453,142.1,0.021,0.08,996.4296,0
2019-07-11T09:31:14Z,0.297,27.3727,0.6947,0.8277,27.991386,26.699,7.389,93.374,6.293,285.5453,142.13,0.021,0.036,996.4293,0
2019-07-11T09:31:14Z,0.303,27.3732,0.6871,0.9143,28.007635,26.752,7.3903,93.39,6.297,285.9617,139.94,0.021,0.016,996.4291,0
2019-07-11T09:31:14Z,0.324,27.373,0.6604,0.8566,28.037344,26.752,7.3881,93.362,6.295,286.1132,145.51,0.021,0.011,996.429,0
2019-07-11T09:31:14Z,0.337,27.3723,0.6871,0.9287,28.072901,26.805,7.3861,93.336,6.292,286.1132,154.76,0.021,0.013,996.4289,0
2019-07-11T09:31:14Z,0.324,27.3731,0.6909,0.9431,28.081872,26.805,7.3793,93.248,6.282,285.7724,160.38,0.021,0.013,996.4289,0
2019-07-11T09:31:14Z,0.299,27.3755,0.6642,0.8133,28.026178,26.752,7.3703,93.134,6.284,285.9239,184.41,0.021,0.005,996.429,0
2019-07-11T09:31:14Z,0.358,27.3801,0.7176,0.9287,28.019499,26.748,7.3856,93.301,6.291,286.7189,180.49,0.021,0.02,996.427,0
2019-07-11T09:31:14Z,0.377,27.38,0.6871,0.8998,28.033312,26.748,7.3885,93.334,6.29,286.7946,195.51,0.021,0.042,996.4271,0
2019-07-11T09:31:14Z,0.399,27.3791,0.7024,0.9575,28.070085,26.801,7.3914,93.368,6.292,286.9839,187.06,0.021,0.058,996.4272,0
2019-07-11T09:31:14Z,0.417,27.3784,0.7062,0.7845,28.03298,26.748,7.3932,93.391,6.286,287.2489,183.49,0.021,0.069,996.4274,0
2019-07-11T09:31:14Z,0.436,27.3774,0.7024,0.8998,28.020247,26.748,7.3845,93.281,6.284,287.3624,155.66,0.021,0.076,996.4277,0
2019-07-11T09:31:14Z,0.465,27.3753,0.7176,0.9431,28.026687,26.749,7.3742,93.15,6.283,287.476,146.39,0.021,0.081,996.428,0
2019-07-11T09:31:14Z,0.481,27.3732,0.7519,0.9719,28.024964,26.749,7.3736,93.141,6.279,287.4003,148.95,0.021,0.081,996.4284,0
2019-07-11T09:31:14Z,0.483,27.3718,0.7329,0.8133,28.022391,26.75,7.3796,93.214,6.273,287.5896,154.78,0.021,0.077,996.429,0
2019-07-11T09:31:14Z,0.486,27.3705,0.7214,0.8854,28.029889,26.751,7.3851,93.281,6.282,287.5139,162.04,0.021,0.068,996.4295,0
2019-07-11T09:31:14Z,0.497,27.3675,0.7405,0.871,28.015633,26.752,7.3926,93.372,6.287,287.6275,146.65,0.021,0.06,996.43,0
2019-07-11T09:31:14Z,0.508,27.3634,0.7977,0.8998,27.980889,26.7,7.3949,93.402,6.291,288.006,148.17,0.021,0.052,996.4303,0
2019-07-11T09:31:14Z,0.514,27.3606,0.7825,0.8422,28.013885,26.754,7.382,93.244,6.291,287.9303,167.98,0.021,0.044,996.4312,0
2019-07-11T09:31:14Z,0.522,27.3593,0.7825,0.7845,27.974571,26.703,7.3804,93.227,6.295,287.4003,181.54,0.021,0.037,996.4324,0
2019-07-11T09:31:14Z,0.534,27.359,0.7977,1.0008,27.970572,26.705,7.3723,93.127,6.298,288.2332,181.07,0.021,0.032,996.4333,0
2019-07-11T09:31:14Z,0.544,27.359,0.7405,0.8133,28.018865,26.759,7.3637,93.02,6.302,288.3089,169.02,0.021,0.032,996.4337,0
2019-07-11T09:31:14Z,0.55,27.3588,0.6871,0.7412,27.973718,26.705,7.3543,92.9,6.303,288.2332,158.14,0.021,0.035,996.4338,0
2019-07-11T09:31:14Z,0.56,27.3579,0.7291,0.9143,27.967514,26.705,7.3595,92.961,6.305,287.9682,173.42,0.021,0.036,996.4338,0
2019-07-11T09:31:14Z,0.572,27.3562,0.7176,0.9143,28.026586000000002,26.759,7.3663,93.04,6.305,288.8389,162.78,0.021,0.036,996.4339,0
2019-07-11T09:31:14Z,0.579,27.3544,0.7138,0.8998,28.018691,26.759,7.381,93.221,6.306,288.4225,153.21,0.021,0.036,996.4343,0
2019-07-11T09:31:14Z,0.595,27.3523,0.7748,0.8422,27.977339,26.707,7.3929,93.373,6.304,288.4225,169.8,0.021,0.038,996.4348,0
2019-07-11T09:31:14Z,0.616,27.3529,0.7977,0.7701,27.95956,26.708,7.3927,93.37,6.3,288.7632,157.72,0.021,0.042,996.4354,0
2019-07-11T09:31:14Z,0.631,27.3554,0.7977,0.9287,27.981573,26.709,7.3863,93.292,6.299,289.0282,150.22,0.021,0.046,996.4361,0
2019-07-11T09:31:14Z,0.64,27.3573,0.7748,0.9431,28.009189,26.762,7.3871,93.307,6.294,288.9146,154.74,0.021,0.05,996.4359,0
2019-07-11T09:31:14Z,0.651,27.3589,0.8588,0.9287,27.984436,26.707,7.3714,93.113,6.29,289.0282,143.52,0.021,0.052,996.4352,0
2019-07-11T09:31:14Z,0.664,27.3601,0.8244,0.9143,28.012377,26.76,7.3585,92.953,6.287,289.0282,145.01,0.021,0.053,996.4347,0
2019-07-11T09:31:14Z,0.678,27.3593,0.8549,0.8277,28.03366,26.759,7.3574,92.939,6.284,289.0282,207.52,0.021,0.053,996.4344,0
2019-07-11T09:31:14Z,0.691,27.3561,0.874,0.8422,28.017192,26.758,7.3584,92.95,6.281,288.9525,190.55,0.021,0.053,996.4341,0
2019-07-11T09:31:14Z,0.697,27.3524,0.8549,0.8133,27.973627,26.705,7.3617,92.989,6.278,288.8767,155.13,0.021,0.049,996.4343,0
2019-07-11T09:31:14Z,0.713,27.3502,0.8473,0.8566,27.96939,26.707,7.3672,93.056,6.279,289.1417,154.03,0.021,0.047,996.4353,0
2019-07-11T09:31:14Z,0.727,27.3505,0.8702,0.7845,28.022466,26.762,7.374,93.139,6.282,288.9525,166.83,0.021,0.047,996.4364,0
2019-07-11T09:31:14Z,0.741,27.351,0.8282,0.8998,28.026063,26.763,7.3816,93.23,6.283,289.3689,203.82,0.021,0.049,996.437,0
2019-07-11T09:31:14Z,0.752,27.3521,0.7443,0.8998,27.964915,26.71,7.3887,93.314,6.281,289.0282,153.99,0.021,0.049,996.4371,0
2019-07-11T09:31:14Z,0.759,27.3548,0.7329,0.8133,27.980078,26.71,7.3925,93.356,6.283,289.2932,163.4,0.021,0.048,996.4369,0
2019-07-11T09:31:14Z,0.769,27.3575,0.7329,0.8566,28.007193,26.762,7.3853,93.26,6.285,289.6339,163.01,0.021,0.046,996.4366,0
2019-07-11T09:31:14Z,0.778,27.3592,0.7214,0.9287,27.990413,26.708,7.3699,93.064,6.291,289.596,156.46,0.021,0.045,996.4359,0
2019-07-11T09:31:14Z,0.791,27.3593,0.7214,0.9287,28.00096,26.76,7.3576,92.91,6.295,289.6339,215.32,0.021,0.044,996.4353,0
2019-07-11T09:31:14Z,0.806,27.3579,0.7405,1.0008,27.994069,26.705,7.3558,92.888,6.296,289.9367,185,0.021,0.043,996.4348,0
2019-07-11T09:31:14Z,0.82,27.3566,0.7329,0.8998,27.998988,26.759,7.3554,92.879,6.297,289.7475,154.74,0.021,0.043,996.4349,0
2019-07-11T09:31:14Z,0.83,27.3555,0.7214,0.8422,27.994836,26.706,7.3515,92.825,6.294,290.0882,158.46,0.021,0.044,996.4353,0
2019-07-11T09:31:14Z,0.831,27.3536,0.7252,0.871,27.999235,26.76,7.3496,92.799,6.281,290.0125,160.06,0.021,0.043,996.4357,0
2019-07-11T09:31:14Z,0.832,27.3505,0.7634,0.8854,27.993515,26.707,7.3549,92.865,6.273,289.7853,177.71,0.021,0.04,996.436,0
2019-07-11T09:31:14Z,0.843,27.347,0.7748,0.8854,27.942713,26.708,7.3583,92.907,6.278,289.6717,152.3,0.021,0.037,996.4366,0
2019-07-11T09:31:14Z,0.864,27.3436,0.7825,0.8998,27.94397,26.656,7.371,93.068,6.28,289.9367,128.16,0.0209,0.037,996.4375,0
2019-07-11T09:31:14Z,0.879,27.3404,0.7901,0.8566,27.932709,26.712,7.3806,93.191,6.285,290.2396,148.68,0.021,0.038,996.4385,0
2019-07-11T09:31:14Z,0.887,27.3391,0.8015,0.8854,27.927108,26.633,7.3782,93.161,6.278,290.0882,167.11,0.0209,0.038,996.4395,0
2019-07-11T09:31:14Z,0.888,27.3401,0.771,0.8133,27.980562,26.768,7.3775,93.152,6.269,290.0882,155.14,0.021,0.037,996.4405,0
2019-07-11T09:31:14Z,0.892,27.3406,0.7825,0.8422,27.92543,26.636,7.3738,93.104,6.267,289.9746,133.61,0.0209,0.037,996.4408,0
2019-07-11T09:31:14Z,0.906,27.3384,0.7825,0.871,27.936477,26.715,7.3632,92.972,6.277,290.0125,150.96,0.021,0.039,996.4405,0
2019-07-11T09:31:14Z,0.921,27.3356,0.7748,0.9287,27.996437,26.715,7.3548,92.864,6.287,290.1639,175.38,0.021,0.04,996.4406,0
2019-07-11T09:31:14Z,0.931,27.3342,0.8054,0.9431,27.939677,26.716,7.3471,92.766,6.292,290.1639,133.06,0.021,0.038,996.4412,0
2019-07-11T09:31:14Z,0.936,27.3336,0.7748,0.9287,27.918249,26.637,7.3355,92.618,6.296,290.3153,117.46,0.0209,0.034,996.4419,0
2019-07-11T09:31:14Z,0.94,27.3333,0.7672,0.8422,27.993482,26.771,7.3326,92.579,6.299,290.3153,139.79,0.021,0.033,996.4423,0
2019-07-11T09:31:14Z,0.945,27.3337,0.8473,0.9431,27.99416,26.718,7.3413,92.688,6.305,290.5803,129.06,0.021,0.033,996.4426,0
2019-07-11T09:31:14Z,0.952,27.3347,0.874,0.9575,27.947027,26.719,7.3439,92.721,6.312,290.4289,134.3,0.021,0.033,996.4427,0
2019-07-11T09:31:14Z,0.957,27.335,0.8473,0.7845,27.904031,26.638,7.3479,92.771,6.319,290.2396,130,0.0209,0.03,996.4426,0
2019-07-11T09:31:14Z,0.969,27.3347,0.8588,0.8422,27.958803,26.718,7.3466,92.753,6.324,290.5425,116.24,0.021,0.027,996.4424,0
2019-07-11T09:31:14Z,0.979,27.3345,0.9007,0.8998,27.967728,26.718,7.339,92.658,6.327,290.7317,109.17,0.021,0.026,996.4423,0
2019-07-11T09:31:14Z,0.983,27.3345,0.9236,0.9287,27.892924,26.638,7.3316,92.564,6.325,290.8075,111.66,0.0209,0.026,996.4424,0
2019-07-11T09:31:14Z,0.983,27.3342,0.9236,0.8277,27.96303,26.718,7.3369,92.631,6.32,290.8832,113.65,0.021,0.026,996.4425,0
2019-07-11T09:31:14Z,0.988,27.3333,0.9045,0.871,27.969347,26.718,7.3437,92.717,6.323,290.8075,110.73,0.021,0.025,996.4425,0
2019-07-11T09:31:14Z,0.996,27.3322,0.9045,0.8133,27.973929,26.718,7.3512,92.812,6.327,290.9589,112.57,0.021,0.024,996.4426,0
2019-07-11T09:31:14Z,1.003,27.3313,0.8588,0.9575,27.957328,26.719,7.3641,92.976,6.33,290.5803,119.79,0.021,0.024,996.4429,0
2019-07-11T09:31:14Z,1.008,27.3307,0.8664,0.8998,27.871519,26.612,7.3657,92.995,6.332,290.8075,125.91,0.0209,0.023,996.4432,0
2019-07-11T09:31:14Z,1.013,27.3304,0.8549,0.871,27.873365,26.64,7.3603,92.926,6.336,290.8453,108.92,0.0209,0.021,996.4435,0
2019-07-11T09:31:14Z,1.016,27.33,0.8549,0.8422,27.895789,26.64,7.3536,92.842,6.337,290.7317,110.26,0.0209,0.02,996.4437,0
2019-07-11T09:31:14Z,1.025,27.3296,0.8778,0.9864,27.873234,26.64,7.3476,92.765,6.335,291.0725,135.3,0.0209,0.022,996.4438,0
