Date,Depth_m,PAR,Chla_ugL
2019-07-11T09:31:14Z,-0.268,382.97,0.6947
2019-07-11T09:31:14Z,-0.267,384.01,0.6375
2019-07-11T09:31:14Z,-0.256,367.76,0.6184
2019-07-11T09:31:14Z,-0.235,358.97,0.6261
2019-07-11T09:31:14Z,-0.207,326.52,0.6566
2019-07-11T09:31:14Z,-0.171,287.24,0.5536
2019-07-11T09:31:14Z,-0.139,270.82,0.5688
2019-07-11T09:31:14Z,-0.105,229.55,0.5612
2019-07-11T09:31:14Z,-0.058,213.67,0.5498
2019-07-11T09:31:14Z,-0.022,236.16,0.5536
2019-07-11T09:31:14Z,0.001,258.26,0.6222
2019-07-11T09:31:14Z,0.023,232.96,0.6375
2019-07-11T09:31:14Z,0.104,175,0.6299
2019-07-11T09:31:14Z,0.211,155.23,0.6184
2019-07-11T09:31:14Z,0.262,153.85,0.6146
2019-07-11T09:31:14Z,0.285,150.61,0.6261
2019-07-11T09:31:14Z,0.297,144.47,0.6375
2019-07-11T09:31:14Z,0.3,136.97,0.6222
2019-07-11T09:31:14Z,0.309,138.29,0.6795
2019-07-11T09:31:14Z,0.315,143.33,0.6985
2019-07-11T09:31:14Z,0.306,142.1,0.6947
2019-07-11T09:31:14Z,0.297,142.13,0.6947
2019-07-11T09:31:14Z,0.303,139.94,0.6871
2019-07-11T09:31:14Z,0.324,145.51,0.6604
2019-07-11T09:31:14Z,0.337,154.76,0.6871
2019-07-11T09:31:14Z,0.324,160.38,0.6909
2019-07-11T09:31:14Z,0.299,184.41,0.6642
2019-07-11T09:31:14Z,0.289,166.04,0.7024
2019-07-11T09:31:14Z,0.286,169.34,0.6947
2019-07-11T09:31:14Z,0.287,199.23,0.6833
2019-07-11T09:31:14Z,0.297,170.72,0.6833
2019-07-11T09:31:14Z,0.317,161.6,0.6718
2019-07-11T09:31:14Z,0.336,163.84,0.7024
2019-07-11T09:31:14Z,0.358,180.49,0.7176
2019-07-11T09:31:14Z,0.377,195.51,0.6871
2019-07-11T09:31:14Z,0.399,187.06,0.7024
2019-07-11T09:31:14Z,0.417,183.49,0.7062
2019-07-11T09:31:14Z,0.436,155.66,0.7024
2019-07-11T09:31:14Z,0.465,146.39,0.7176
2019-07-11T09:31:14Z,0.481,148.95,0.7519
2019-07-11T09:31:14Z,0.483,154.78,0.7329
2019-07-11T09:31:14Z,0.486,162.04,0.7214
2019-07-11T09:31:14Z,0.497,146.65,0.7405
2019-07-11T09:31:14Z,0.508,148.17,0.7977
2019-07-11T09:31:14Z,0.514,167.98,0.7825
2019-07-11T09:31:14Z,0.522,181.54,0.7825
2019-07-11T09:31:14Z,0.534,181.07,0.7977
2019-07-11T09:31:14Z,0.544,169.02,0.7405
2019-07-11T09:31:14Z,0.55,158.14,0.6871
2019-07-11T09:31:14Z,0.56,173.42,0.7291
2019-07-11T09:31:14Z,0.572,162.78,0.7176
2019-07-11T09:31:14Z,0.579,153.21,0.7138
2019-07-11T09:31:14Z,0.595,169.8,0.7748
2019-07-11T09:31:14Z,0.616,157.72,0.7977
2019-07-11T09:31:14Z,0.631,150.22,0.7977
2019-07-11T09:31:14Z,0.64,154.74,0.7748
2019-07-11T09:31:14Z,0.651,143.52,0.8588
2019-07-11T09:31:14Z,0.664,145.01,0.8244
2019-07-11T09:31:14Z,0.678,207.52,0.8549
2019-07-11T09:31:14Z,0.691,190.55,0.874
2019-07-11T09:31:14Z,0.697,155.13,0.8549
2019-07-11T09:31:14Z,0.713,154.03,0.8473
2019-07-11T09:31:14Z,0.727,166.83,0.8702
2019-07-11T09:31:14Z,0.741,203.82,0.8282
2019-07-11T09:31:14Z,0.752,153.99,0.7443
2019-07-11T09:31:14Z,0.759,163.4,0.7329
2019-07-11T09:31:14Z,0.769,163.01,0.7329
2019-07-11T09:31:14Z,0.778,156.46,0.7214
2019-07-11T09:31:14Z,0.791,215.32,0.7214
2019-07-11T09:31:14Z,0.806,185,0.7405
2019-07-11T09:31:14Z,0.82,154.74,0.7329
2019-07-11T09:31:14Z,0.83,158.46,0.7214
2019-07-11T09:31:14Z,0.831,160.06,0.7252
2019-07-11T09:31:14Z,0.832,177.71,0.7634
2019-07-11T09:31:14Z,0.843,152.3,0.7748
2019-07-11T09:31:14Z,0.864,128.16,0.7825
2019-07-11T09:31:14Z,0.879,148.68,0.7901
2019-07-11T09:31:14Z,0.887,167.11,0.8015
2019-07-11T09:31:14Z,0.888,155.14,0.771
2019-07-11T09:31:14Z,0.892,133.61,0.7825
2019-07-11T09:31:14Z,0.906,150.96,0.7825
2019-07-11T09:31:14Z,0.921,175.38,0.7748
2019-07-11T09:31:14Z,0.931,133.06,0.8054
2019-07-11T09:31:14Z,0.936,117.46,0.7748
2019-07-11T09:31:14Z,0.94,139.79,0.7672
2019-07-11T09:31:14Z,0.945,129.06,0.8473
2019-07-11T09:31:14Z,0.952,134.3,0.874
2019-07-11T09:31:14Z,0.957,130,0.8473
2019-07-11T09:31:14Z,0.969,116.24,0.8588
2019-07-11T09:31:14Z,0.979,109.17,0.9007
2019-07-11T09:31:14Z,0.983,111.66,0.9236
2019-07-11T09:31:14Z,0.983,113.65,0.9236
2019-07-11T09:31:14Z,0.988,110.73,0.9045
2019-07-11T09:31:14Z,0.996,112.57,0.9045
2019-07-11T09:31:14Z,1.003,119.79,0.8588
2019-07-11T09:31:14Z,1.008,125.91,0.8664
2019-07-11T09:31:14Z,1.013,108.92,0.8549
2019-07-11T09:31:14Z,1.016,110.26,0.8549
2019-07-11T09:31:14Z,1.025,135.3,0.8778
2019-07-11T09:31:14Z,1.036,128.65,0.8549
2019-07-11T09:31:14Z,1.044,105.22,0.8397
2019-07-11T09:31:14Z,1.054,99.392,0.8664
2019-07-11T09:31:14Z,1.062,105.1,0.7748
2019-07-11T09:31:14Z,1.069,104.01,0.7825
2019-07-11T09:31:14Z,1.079,102.7,0.7901
2019-07-11T09:31:14Z,1.091,112.42,0.7786
2019-07-11T09:31:14Z,1.101,108.33,0.7977
2019-07-11T09:31:14Z,1.108,101.53,0.7786
2019-07-11T09:31:14Z,1.119,103.71,0.7786
2019-07-11T09:31:14Z,1.132,106.28,0.8168
2019-07-11T09:31:14Z,1.138,97.398,0.7519
2019-07-11T09:31:14Z,1.141,97.586,0.7901
2019-07-11T09:31:14Z,1.146,102.32,0.7786
2019-07-11T09:31:14Z,1.154,101.65,0.8015
2019-07-11T09:31:14Z,1.165,107.41,0.771
2019-07-11T09:31:14Z,1.172,93.765,0.8549
2019-07-11T09:31:14Z,1.174,100.1,0.8244
2019-07-11T09:31:14Z,1.18,111.81,0.8549
2019-07-11T09:31:14Z,1.195,100.52,0.8664
2019-07-11T09:31:14Z,1.209,92.704,0.8588
2019-07-11T09:31:14Z,1.217,95.742,0.8664
2019-07-11T09:31:14Z,1.22,96.831,0.8549
2019-07-11T09:31:14Z,1.223,94.62,0.8893
2019-07-11T09:31:14Z,1.228,98.045,0.9045
2019-07-11T09:31:14Z,1.237,91.789,0.9236
2019-07-11T09:31:14Z,1.245,87.142,0.9389
2019-07-11T09:31:14Z,1.257,95.863,0.8969
2019-07-11T09:31:14Z,1.267,96.074,0.977
2019-07-11T09:31:14Z,1.273,89.285,0.9541
2019-07-11T09:31:14Z,1.278,90.823,0.9732
2019-07-11T09:31:14Z,1.284,88.097,1.0075
2019-07-11T09:31:14Z,1.288,89.551,0.9045
