Date,Depth_m,Temp_C,Chla_ugL,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,pH,ORP_mV,PAR,Salinity,Descent Rate (m/s),Density_mg_m3,Flag
2019-07-11T11:30:20Z,0.009,27.6487,0.504,0.8277,28.439271,27.001,6.5957,83.692,6.366,267.8281,175.81,0.0212,0.075,996.3463,0
2019-07-11T11:30:20Z,0.032,27.6393,0.5765,0.871,28.368398,26.926,6.5238,82.778,6.369,268.1688,168.18,0.0211,0.07,996.3488,0
2019-07-11T11:30:20Z,0.05,27.6312,0.5536,0.8422,28.438454,27.009,6.4221,81.487,6.368,267.9795,163.38,0.0212,0.068,996.3507,0
2019-07-11T11:30:20Z,0.069,27.627,0.5612,0.7989,28.411335,26.988,6.301,79.951,6.366,267.7145,153.02,0.0211,0.068,996.3535,0
2019-07-11T11:30:20Z,0.097,27.6235,0.5727,0.7845,28.313285,26.886,6.1725,78.32,6.365,268.0553,136.44,0.0211,0.072,996.3558,0
2019-07-11T11:30:20Z,0.122,27.6193,0.5727,0.8998,28.353125,26.941,6.08,77.151,6.354,268.2445,132.04,0.0211,0.078,996.3571,0
2019-07-11T11:30:20Z,0.138,27.6164,0.5765,0.9575,28.361757,26.943,5.9978,76.107,6.352,268.2824,126.33,0.0211,0.082,996.3581,0
2019-07-11T11:30:20Z,0.161,27.6148,0.5612,0.8133,28.302543,26.892,5.9249,75.185,6.347,268.661,112.39,0.0211,0.084,996.3594,0
2019-07-11T11:30:20Z,0.189,27.6118,0.5498,0.8133,28.308329,26.893,5.8816,74.637,6.35,268.4338,105.37,0.0211,0.087,996.3603,0
2019-07-11T11:30:20Z,0.206,27.6108,0.565,0.8854,28.354558,26.947,5.8583,74.341,6.348,268.661,98.442,0.0211,0.087,996.3609,0
2019-07-11T11:30:20Z,0.217,27.6116,0.5612,0.9575,28.304256,26.895,5.8409,74.121,6.351,268.8503,91.139,0.0211,0.085,996.3617,0
2019-07-11T11:30:20Z,0.226,27.6106,0.5612,0.871,28.311686,26.896,5.8327,74.02,6.354,269.0774,86.779,0.0211,0.079,996.3621,0
2019-07-11T11:30:20Z,0.236,27.6099,0.5879,0.7845,28.345314,26.949,5.8309,73.996,6.361,269.721,83.515,0.0211,0.07,996.3619,0
2019-07-11T11:30:20Z,0.247,27.6097,0.5383,0.7989,28.321651,26.896,5.8269,73.947,6.367,269.6831,83.514,0.0211,0.062,996.3622,0
2019-07-11T11:30:20Z,0.252,27.6108,0.5574,0.9143,28.341133,26.95,5.8556,74.313,6.367,269.721,83.818,0.0211,0.054,996.3625,0
2019-07-11T11:30:20Z,0.264,27.6128,0.5841,0.871,28.321068,26.896,5.8579,74.34,6.374,270.1753,85.349,0.0211,0.046,996.3625,0
2019-07-11T11:30:20Z,0.282,27.6129,0.5879,0.8422,28.346621,26.949,5.8507,74.248,6.376,270.6674,90.033,0.0211,0.042,996.3623,0
2019-07-11T11:30:20Z,0.292,27.6144,0.6375,0.7845,28.368577,26.948,5.8156,73.802,6.378,270.9703,93.351,0.0211,0.041,996.3618,0
2019-07-11T11:30:20Z,0.309,27.6161,0.6184,0.7412,28.293745,26.895,5.7641,73.15,6.38,271.1595,94.006,0.0211,0.044,996.3618,0
2019-07-11T11:30:20Z,0.33,27.6155,0.6642,0.871,28.262016,26.841,5.7007,72.346,6.376,271.4245,93.443,0.0211,0.049,996.3615,0
2019-07-11T11:30:20Z,0.343,27.6166,0.6184,0.8133,28.289573,26.893,5.6434,71.619,6.372,271.576,93.516,0.0211,0.053,996.3611,0
2019-07-11T11:30:20Z,0.357,27.6178,0.6261,0.8133,28.318695,26.894,5.6187,71.304,6.369,271.7653,93.274,0.0211,0.057,996.3614,0
2019-07-11T11:30:20Z,0.369,27.6181,0.6146,0.7701,28.344265,26.946,5.5938,70.984,6.368,272.1817,92.534,0.0211,0.059,996.3611,0
2019-07-11T11:30:20Z,0.382,27.6193,0.6032,0.8998,28.316996,26.892,5.5833,70.851,6.367,272.1438,92.97,0.0211,0.059,996.3607,0
2019-07-11T11:30:20Z,0.396,27.6198,0.6451,0.871,28.293385,26.892,5.589,70.921,6.37,272.3331,93.945,0.0211,0.057,996.3608,0
2019-07-11T11:30:20Z,0.41,27.6185,0.6184,0.8422,28.314401,26.892,5.5858,70.88,6.373,272.5603,94.674,0.0211,0.056,996.3606,0
2019-07-11T11:30:20Z,0.425,27.6177,0.5345,0.8277,28.350085,26.944,5.5923,70.964,6.374,272.5981,96.275,0.0211,0.055,996.3604,0
2019-07-11T11:30:20Z,0.438,27.6183,0.5841,0.871,28.367468,26.945,5.6093,71.18,6.373,272.7117,99.388,0.0211,0.053,996.3608,0
2019-07-11T11:30:20Z,0.441,27.6193,0.5879,0.8277,28.352015,26.945,5.644,71.622,6.372,272.901,102,0.0211,0.051,996.3611,0
2019-07-11T11:30:20Z,0.44,27.6199,0.5803,0.8422,28.310073,26.892,5.6864,72.156,6.366,273.0146,105.02,0.0211,0.045,996.3609,0
2019-07-11T11:30:20Z,0.436,27.6199,0.6032,0.5538,28.301175,26.892,5.71,72.455,6.364,272.901,105.83,0.0211,0.036,996.3606,0
2019-07-11T11:30:20Z,0.45,27.6183,0.6184,0.6691,28.303843,26.891,5.7362,72.788,6.366,272.901,103.76,0.0211,0.03,996.3604,0
2019-07-11T11:30:20Z,0.472,27.6163,0.6375,0.6259,28.247507,26.838,5.7691,73.206,6.367,273.1281,104.95,0.0211,0.029,996.3605,0
2019-07-11T11:30:20Z,0.488,27.6156,0.6299,0.597,28.252795,26.839,5.7985,73.575,6.365,273.1281,105.29,0.0211,0.031,996.3611,0
2019-07-11T11:30:20Z,0.509,27.6139,0.5536,0.8133,28.297263,26.893,5.8136,73.763,6.365,273.431,104.28,0.0211,0.036,996.3617,0
2019-07-11T11:30:20Z,0.525,27.6133,0.5307,0.8422,28.310657,26.893,5.7984,73.573,6.361,273.3931,104.34,0.0211,0.045,996.362,0
2019-07-11T11:30:20Z,0.543,27.6143,0.565,0.7845,28.295371,26.894,5.7955,73.54,6.361,273.961,103.32,0.0211,0.055,996.3626,0
2019-07-11T11:30:20Z,0.558,27.6152,0.5879,0.8422,28.257044,26.842,5.8235,73.891,6.362,273.8096,101.28,0.0211,0.064,996.3628,0
2019-07-11T11:30:20Z,0.576,27.6153,0.6261,0.9287,28.299111,26.894,5.8398,74.095,6.363,273.9988,97.907,0.0211,0.07,996.3626,0
2019-07-11T11:30:20Z,0.603,27.6129,0.6184,0.871,28.302262,26.894,5.8254,73.911,6.357,273.7717,95.135,0.0211,0.072,996.3625,0
