Date,Depth_m,PAR,Chla_ugL
2019-07-15T10:42:54Z,0.308,920.88,4.8277
2019-07-15T10:42:54Z,0.304,963.15,4.8282
2019-07-15T10:42:54Z,0.306,950.2,4.8298
2019-07-15T10:42:54Z,0.313,964.66,4.8646
2019-07-15T10:42:54Z,0.321,975.71,4.9279
2019-07-15T10:42:54Z,0.328,903.22,4.9539
2019-07-15T10:42:54Z,0.336,843.51,4.9534
2019-07-15T10:42:54Z,0.346,892.9,4.9573
2019-07-15T10:42:54Z,0.36,917.36,4.9583
2019-07-15T10:42:54Z,0.379,850.41,4.9651
2019-07-15T10:42:54Z,0.4,829.89,4.9782
2019-07-15T10:42:54Z,0.418,859.54,4.9785
2019-07-15T10:42:54Z,0.425,858.94,4.9605
2019-07-15T10:42:54Z,0.429,812.06,4.9327
2019-07-15T10:42:54Z,0.443,744.54,4.9122
2019-07-15T10:42:54Z,0.474,722.99,4.9023
2019-07-15T10:42:54Z,0.509,731.21,4.9093
2019-07-15T10:42:54Z,0.534,708.78,4.9439
2019-07-15T10:42:54Z,0.544,691.52,4.9743
2019-07-15T10:42:54Z,0.546,693.47,4.982
2019-07-15T10:42:54Z,0.549,686.92,5.0115
2019-07-15T10:42:54Z,0.558,680.09,5.0697
2019-07-15T10:42:54Z,0.569,674.21,5.105
2019-07-15T10:42:54Z,0.577,675,5.1091
2019-07-15T10:42:54Z,0.583,676.58,5.1287
2019-07-15T10:42:54Z,0.588,662.17,5.1772
2019-07-15T10:42:54Z,0.595,644.68,5.2087
2019-07-15T10:42:54Z,0.603,637.09,5.2154
2019-07-15T10:42:54Z,0.61,634.65,5.2151
2019-07-15T10:42:54Z,0.618,625.5,5.2224
2019-07-15T10:42:54Z,0.63,604.92,5.2512
2019-07-15T10:42:54Z,0.645,586.02,5.277
2019-07-15T10:42:54Z,0.66,576.01,5.2742000000000004
2019-07-15T10:42:54Z,0.671,568.15,5.2348
2019-07-15T10:42:54Z,0.678,558.22,5.1828
2019-07-15T10:42:54Z,0.685,544.49,5.1572
2019-07-15T10:42:54Z,0.699,526.11,5.1586
2019-07-15T10:42:54Z,0.72,505.76,5.2166
2019-07-15T10:42:54Z,0.742,492.94,5.322
2019-07-15T10:42:54Z,0.757,492.55,5.3752
2019-07-15T10:42:54Z,0.765,495.84,5.3836
2019-07-15T10:42:54Z,0.771,495.47,5.4063
2019-07-15T10:42:54Z,0.781,485.59,5.4322
2019-07-15T10:42:54Z,0.801,464.44,5.4448
2019-07-15T10:42:54Z,0.827,445.14,5.4466
2019-07-15T10:42:54Z,0.852,431.44,5.4275
2019-07-15T10:42:54Z,0.874,414.44,5.3873
2019-07-15T10:42:54Z,0.897,394.46,5.3685
2019-07-15T10:42:54Z,0.92,377.99,5.3911
2019-07-15T10:42:54Z,0.937,368.9,5.5391
2019-07-15T10:42:54Z,0.949,359.05,5.7878
2019-07-15T10:42:54Z,0.961,346.8,5.9104
2019-07-15T10:42:54Z,0.972,339.03,5.9113
2019-07-15T10:42:54Z,0.979,334.4,5.92
2019-07-15T10:42:54Z,0.984,330.13,5.9717
2019-07-15T10:42:54Z,0.991,321.21,6.0513
2019-07-15T10:42:54Z,1.001,312.28,6.0932
2019-07-15T10:42:54Z,1.016,310.94,6.0889
2019-07-15T10:42:54Z,1.031,307.24,6.0336
2019-07-15T10:42:54Z,1.04,299.18,5.9536
2019-07-15T10:42:54Z,1.043,294.65,5.9279
2019-07-15T10:42:54Z,1.043,288.66,5.9221
2019-07-15T10:42:54Z,1.045,279.91,5.7972
2019-07-15T10:42:54Z,1.05,267.33,5.5799
2019-07-15T10:42:54Z,1.057,249.72,5.4615
2019-07-15T10:42:54Z,1.067,232.79,5.4494
2019-07-15T10:42:54Z,1.08,216.26,5.4769
2019-07-15T10:42:54Z,1.097,200.26,5.5341
2019-07-15T10:42:54Z,1.122,184.15,5.5687
2019-07-15T10:42:54Z,1.155,169.11,5.5653
2019-07-15T10:42:54Z,1.183,159.85,5.545
2019-07-15T10:42:54Z,1.194,153.31,5.5225
2019-07-15T10:42:54Z,1.192,145.93,5.5107
2019-07-15T10:42:54Z,1.19,138.15,5.5061
2019-07-15T10:42:54Z,1.193,130.84,5.5104
2019-07-15T10:42:54Z,1.202,125.17,5.5364
2019-07-15T10:42:54Z,1.215,120.05,5.5595
2019-07-15T10:42:54Z,1.231,114.78,5.5563
2019-07-15T10:42:54Z,1.251,111.53,5.5505
2019-07-15T10:42:54Z,1.266,110.78,5.5585
2019-07-15T10:42:54Z,1.275,110.92,5.5663
2019-07-15T10:42:54Z,1.28,110.11,5.5659
2019-07-15T10:42:54Z,1.285,107.79,5.5718
2019-07-15T10:42:54Z,1.295,105.36,5.6723
2019-07-15T10:42:54Z,1.31,102.99,5.8615
2019-07-15T10:42:54Z,1.329,100.24,5.9696
2019-07-15T10:42:54Z,1.348,97.532,5.9821
2019-07-15T10:42:54Z,1.36,95.008,6.0303
2019-07-15T10:42:54Z,1.367,92.671,6.1354
2019-07-15T10:42:54Z,1.372,90.432,6.2045
2019-07-15T10:42:54Z,1.381,88.563,6.2151
2019-07-15T10:42:54Z,1.394,87.252,6.2377
2019-07-15T10:42:54Z,1.407,86.461,6.2873
2019-07-15T10:42:54Z,1.417,86.12,6.3206
2019-07-15T10:42:54Z,1.425,85.915,6.3364
2019-07-15T10:42:54Z,1.434,85.831,6.3394
2019-07-15T10:42:54Z,1.445,85.736,6.2882
2019-07-15T10:42:54Z,1.461,85.642,6.2031
2019-07-15T10:42:54Z,1.476,85.745,6.1596
2019-07-15T10:42:54Z,1.487,85.849,6.153
2019-07-15T10:42:54Z,1.498,86.019,6.133
2019-07-15T10:42:54Z,1.509,86.16,6.1082
2019-07-15T10:42:54Z,1.521,85.962,6.1043
2019-07-15T10:42:54Z,1.539,85.339,6.1033
2019-07-15T10:42:54Z,1.561,84.563,6.0694
2019-07-15T10:42:54Z,1.579,83.898,6.0066
2019-07-15T10:42:54Z,1.592,83.073,5.968
2019-07-15T10:42:54Z,1.605,82.201,5.9672
2019-07-15T10:42:54Z,1.618,81.374,6.005
2019-07-15T10:42:54Z,1.629,80.385,6.0696
2019-07-15T10:42:54Z,1.642,79.604,6.0984
2019-07-15T10:42:54Z,1.656,79.04,6.0927
2019-07-15T10:42:54Z,1.669,78.366,6.0619
2019-07-15T10:42:54Z,1.682,77.871,6.0038
2019-07-15T10:42:54Z,1.695,77.545,5.9709
2019-07-15T10:42:54Z,1.71,77.155,5.9683
2019-07-15T10:42:54Z,1.726,76.826,5.972
2019-07-15T10:42:54Z,1.741,76.473,6.0066
2019-07-15T10:42:54Z,1.757,75.996,6.0657
2019-07-15T10:42:54Z,1.773,75.527,6.0971
2019-07-15T10:42:54Z,1.789,75,6.1006
2019-07-15T10:42:54Z,1.804,74.396,6.1252
2019-07-15T10:42:54Z,1.819,73.852,6.1778
2019-07-15T10:42:54Z,1.834,73.279,6.2081
2019-07-15T10:42:54Z,1.846,72.79,6.2134
2019-07-15T10:42:54Z,1.856,72.459,6.2422
2019-07-15T10:42:54Z,1.865,72.114,6.2868
2019-07-15T10:42:54Z,1.873,71.836,6.32
2019-07-15T10:42:54Z,1.879,71.632,6.3405
2019-07-15T10:42:54Z,1.885,71.503,6.334
2019-07-15T10:42:54Z,1.894,71.462,6.3024
2019-07-15T10:42:54Z,1.909,71.245,6.2797
2019-07-15T10:42:54Z,1.929,70.973,6.2675
2019-07-15T10:42:54Z,1.949,70.988,6.189
2019-07-15T10:42:54Z,1.961,71.328,6.0508
2019-07-15T10:42:54Z,1.969,71.764,5.9758
2019-07-15T10:42:54Z,1.977,72.129,5.9659
2019-07-15T10:42:54Z,1.986,72.614,5.9664
2019-07-15T10:42:54Z,1.994,73.131,6.0239
2019-07-15T10:42:54Z,1.999,73.44,6.1325
2019-07-15T10:42:54Z,2.002,73.444,6.1884
2019-07-15T10:42:54Z,2.002,72.994,6.1959
2019-07-15T10:42:54Z,2.006,72.224,6.232
2019-07-15T10:42:54Z,2.016,71.268,6.2955
2019-07-15T10:42:54Z,2.033,70.151,6.3309
2019-07-15T10:42:54Z,2.053,69.185,6.3389
2019-07-15T10:42:54Z,2.07,68.575,6.4005
2019-07-15T10:42:54Z,2.079,68.208,6.5126
2019-07-15T10:42:54Z,2.081,67.965,6.5763
2019-07-15T10:42:54Z,2.081,67.601,6.6159
2019-07-15T10:42:54Z,2.085,66.945,7.0268
2019-07-15T10:42:54Z,2.095,66.373,7.7898
2019-07-15T10:42:54Z,2.106,66.147,8.2103
2019-07-15T10:42:54Z,2.116,65.97,8.2623
2019-07-15T10:42:54Z,2.131,65.387,8.5232
2019-07-15T10:42:54Z,2.155,64.113,9.0155
2019-07-15T10:42:54Z,2.189,62.391,9.2812
2019-07-15T10:42:54Z,2.224,60.686,9.2997
2019-07-15T10:42:54Z,2.256,59.346,9.2649
2019-07-15T10:42:54Z,2.278,58.496,9.1903
2019-07-15T10:42:54Z,2.29,57.986,9.1424
2019-07-15T10:42:54Z,2.296,57.708,9.1366
2019-07-15T10:42:54Z,2.301,57.628,9.1209
2019-07-15T10:42:54Z,2.306,57.725,8.9779
2019-07-15T10:42:54Z,2.31,57.948,8.7334
2019-07-15T10:42:54Z,2.313,58.174,8.6009
2019-07-15T10:42:54Z,2.316,58.359,8.5821
2019-07-15T10:42:54Z,2.318,58.595,8.5837
2019-07-15T10:42:54Z,2.32,58.964,8.5941
2019-07-15T10:42:54Z,2.322,59.397,8.5947
2019-07-15T10:42:54Z,2.324,59.815,8.5831
2019-07-15T10:42:54Z,2.327,60.289,8.4975
2019-07-15T10:42:54Z,2.33,60.864,8.3488
2019-07-15T10:42:54Z,2.332,61.42,8.2678
2019-07-15T10:42:54Z,2.335,61.853,8.2633
2019-07-15T10:42:54Z,2.337,62.067,8.3462
2019-07-15T10:42:54Z,2.337,61.973,8.499
2019-07-15T10:42:54Z,2.338,61.714,8.5758
2019-07-15T10:42:54Z,2.338,61.478,8.5727
2019-07-15T10:42:54Z,2.339,61.345,8.5052
2019-07-15T10:42:54Z,2.339,61.44,8.3757
2019-07-15T10:42:54Z,2.339,61.659,8.3064
2019-07-15T10:42:54Z,2.339,61.743,8.3092
2019-07-15T10:42:54Z,2.339,61.633,8.3139
2019-07-15T10:42:54Z,2.339,61.383,8.3118
2019-07-15T10:42:54Z,2.339,61.073,8.3095
