Date,Depth_m,Temp_C,Chla_ugL,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,pH,ORP_mV,PAR,Salinity,Descent Rate (m/s),Density_mg_m3,Flag
2019-07-29T11:44:43Z,0.293,26.2748,5.1465,2.2986,36.736191,35.819,6.7358,83.414,8.524,157.0956,508.95,0.0243,0.002,996.7315,0
2019-07-29T11:44:43Z,0.302,26.2754,5.1275,2.4283,36.8731,35.955,6.7521,83.614,8.524,157.2849,539.48,0.0244,0.008,996.7317,0
2019-07-29T11:44:43Z,0.311,26.2765,5.4288,2.5725,36.844876,35.928,6.7693,83.85,8.521,157.3985,417.41,0.0244,0.013,996.7318,0
2019-07-29T11:44:43Z,0.321,26.2763,5.4517,2.6158,36.800952,35.873,6.7909,84.118,8.524,158.0042,457.83,0.0243,0.018,996.7316,0
2019-07-29T11:44:43Z,0.329,26.2756,5.4288,2.5725,36.838859,35.926,6.8085,84.301,8.522,157.6635,545.57,0.0244,0.02,996.7313,0
2019-07-29T11:44:43Z,0.336,26.2721,5.4365,2.6014,36.797701000000004,35.872,6.8184,84.417,8.522,158.5342,461.87,0.0243,0.022,996.7315,0
2019-07-29T11:44:43Z,0.342,26.2664,5.4822,2.6158,36.792903,35.873,6.8019,84.216,8.518,158.3071,393.51,0.0243,0.026,996.7317,0
2019-07-29T11:44:43Z,0.339,26.2641,5.4822,2.6014,36.696656,35.793,6.7843,83.997,8.519,158.4585,358.53,0.0243,0.027,996.7326,0
2019-07-29T11:44:43Z,0.333,26.2641,5.4899,2.6014,36.591498,35.661,6.7635,83.74,8.519,158.3449,462.77,0.0243,0.023,996.734,0
2019-07-29T11:44:43Z,0.348,26.2617,5.5051,2.6302,36.71633,35.826,6.7439,83.501,8.515,159.3671,661.25,0.0243,0.019,996.7347,0
2019-07-29T11:44:43Z,0.384,26.2535,5.4403,2.6014,36.867287,35.935,6.7238,83.246,8.509,160.0864,559.55,0.0244,0.025,996.7349,0
2019-07-29T11:44:43Z,0.421,26.2525,5.4327,2.5293,36.966696,36.073,6.7081,83.051,8.505,160.6542,477.49,0.0244,0.038,996.7358,0
2019-07-29T11:44:43Z,0.436,26.2672,5.4403,2.6302,36.800065,35.888,6.7054,83.014,8.502,160.8435,466.91,0.0243,0.051,996.738,0
2019-07-29T11:44:43Z,0.435,26.2664,5.4136,2.5149,36.570867,35.671,6.7255,83.25,8.503,161.0328,446.02,0.0243,0.058,996.7382,0
2019-07-29T11:44:43Z,0.424,26.2461,5.013,2.6735,36.51106,35.606,6.7626,83.707,8.508,160.8814,442.61,0.0242,0.059,996.7342,0
2019-07-29T11:44:43Z,0.428,26.2398,4.994,2.6735,36.578146,35.66,6.8075,84.262,8.514,161.2599,466.61,0.0243,0.056,996.7344,0
2019-07-29T11:44:43Z,0.449,26.2425,5.0054,2.587,36.665188,35.785,6.8638,84.953,8.516,161.6385,480.57,0.0243,0.052,996.7399,0
2019-07-29T11:44:43Z,0.471,26.2414,5.0397,2.5581,36.758358,35.843,6.9218,85.661,8.52,162.0928,498.21,0.0243,0.045,996.7418,0
2019-07-29T11:44:43Z,0.497,26.2424,5.4327,2.4139,36.788182,35.923,6.9848,86.433,8.52,162.6228,485.75,0.0244,0.041,996.7412,0
2019-07-29T11:44:43Z,0.515,26.2435,5.4555,2.5149,36.716976,35.787,7.0466,87.192,8.523,162.7742,437.42,0.0243,0.043,996.7416,0
2019-07-29T11:44:43Z,0.536,26.2403,5.4212,2.3418,36.81734,35.951,7.095,87.784,8.525,163.0014,482.76,0.0244,0.054,996.7414,0
2019-07-29T11:44:43Z,0.562,26.2399,5.4136,2.4139,36.811458,35.895,7.1355,88.273,8.528,163.0771,483.08,0.0243,0.07,996.7412,0
2019-07-29T11:44:43Z,0.586,26.2373,5.4136,2.4428,36.842835,35.952,7.1793,88.802,8.531,163.0014,472.42,0.0244,0.083,996.7422,0
2019-07-29T11:44:43Z,0.618,26.2296,5.4555,2.6014,36.985735,36.088,7.2101,89.172,8.534,163.8342,486.89,0.0244,0.091,996.7425,0
2019-07-29T11:44:43Z,0.644,26.2275,5.4403,2.7023,36.989241,36.09,7.2366,89.484,8.535,164.0992,450.17,0.0244,0.095,996.7433,0
2019-07-29T11:44:43Z,0.667,26.2268,5.467,2.6302,36.98665,36.096,7.2537,89.676,8.537,164.2885,444.81,0.0244,0.097,996.7455,0
2019-07-29T11:44:43Z,0.688,26.223,5.4327,2.5581,36.988963,36.097,7.2516,89.642,8.54,164.6671,458.44,0.0244,0.097,996.7462,0
2019-07-29T11:44:43Z,0.709,26.2174,5.7416,2.5149,36.986364,36.098,7.2166,89.208,8.542,164.7428,434.11,0.0244,0.098,996.7464,0
2019-07-29T11:44:43Z,0.731,26.2121,5.7607,2.6014,36.989887,36.1,7.1591,88.495,8.542,164.8564,442.26,0.0244,0.096,996.7476,0
2019-07-29T11:44:43Z,0.751,26.2083,5.734,2.5437,36.92531,36.05,7.0814,87.531,8.547,165.0835,439.24,0.0244,0.093,996.7491,0
2019-07-29T11:44:43Z,0.767,26.2036,5.734,2.6302,36.859286,35.972,7.0064,86.599,8.55,164.97,419.96,0.0244,0.088,996.7506,0
2019-07-29T11:44:43Z,0.792,26.1961,5.7226,2.7456,36.983153,36.111,6.9341,85.701,8.554,165.5757,432.6,0.0244,0.084,996.7518,0
2019-07-29T11:44:43Z,0.818,26.1886,5.734,2.6158,37.037879,36.168,6.8755,84.968,8.556,165.6135,416.82,0.0244,0.083,996.7531,0
2019-07-29T11:44:43Z,0.843,26.1821,5.7264,2.6158,36.998628,36.119,6.8427,84.55,8.558,165.6892,417.16,0.0244,0.085,996.7552,0
2019-07-29T11:44:43Z,0.877,26.1719,5.7035,2.6446,37.091273,36.234,6.8359,84.447,8.559,166.4842,395.76,0.0245,0.09,996.7574,0
2019-07-29T11:44:43Z,0.912,26.1606,5.9209,2.6446,37.15967,36.293,6.8508,84.615,8.559,166.3707,378.12,0.0245,0.097,996.7594,0
2019-07-29T11:44:43Z,0.94,26.1554,5.9209,2.5725,37.032055,36.191,6.8785,84.948,8.558,166.6735,390.9,0.0244,0.104,996.7621,0
2019-07-29T11:44:43Z,0.95,26.1542,5.9019,2.5725,36.864836,36.008,6.9143,85.377,8.561,166.9007,379.91,0.0244,0.105,996.7651,0
2019-07-29T11:44:43Z,0.958,26.1529,5.9019,2.5581,36.775075,35.957,6.9364,85.632,8.564,166.7871,387.5,0.0243,0.101,996.7665,0
2019-07-29T11:44:43Z,0.97,26.1507,6.2566,2.3274,36.758509,35.903,6.9706,86.032,8.567,166.825,387.72,0.0243,0.092,996.7669,0
2019-07-29T11:44:43Z,0.99,26.1478,6.2643,2.3851,36.855818,36.041,6.9871,86.208,8.572,167.2414,383.54,0.0244,0.083,996.7674,0
2019-07-29T11:44:43Z,1.017,26.1443,6.2681,2.3995,36.920691,36.069,7.002,86.365,8.575,167.7714,368.95,0.0244,0.076,996.7681,0
2019-07-29T11:44:43Z,1.039,26.139,6.2833,2.5149,36.974127,36.153,7.0068,86.399,8.576,167.3171,360.1,0.0244,0.071,996.769,0
2019-07-29T11:44:43Z,1.06,26.1302,6.2643,2.3995,36.996764,36.156,7.0029,86.328,8.577,167.6957,350.3,0.0244,0.069,996.7701,0
2019-07-29T11:44:43Z,1.086,26.1184,6.1193,2.5149,36.981425,36.16,6.9932,86.194,8.577,168.0364,338.09,0.0244,0.073,996.7716,0
2019-07-29T11:44:43Z,1.111,26.1084,6.1422,2.486,36.993219,36.166,6.9674,85.864,8.577,167.9607,331.81,0.0244,0.082,996.7741,0
2019-07-29T11:44:43Z,1.131,26.1018,6.1422,2.4139,37.041362,36.229,6.9493,85.633,8.577,168.5285,327.13,0.0244,0.088,996.7773,0
2019-07-29T11:44:43Z,1.152,26.0932,6.1689,2.5293,37.04006,36.236,6.9182,85.246,8.582,168.6043,323.36,0.0244,0.09,996.78,0
2019-07-29T11:44:43Z,1.176,26.0817,6.2261,2.4139,37.054116,36.24,6.8842,84.822,8.581,169.1721,315.49,0.0244,0.09,996.7819,0
2019-07-29T11:44:43Z,1.2,26.0675,6.207,2.3851,37.083144,36.301,6.8466,84.353,8.584,169.0964,312.49,0.0245,0.09,996.7843,0
2019-07-29T11:44:43Z,1.225,26.0498,6.1994,2.4139,37.063211,36.255,6.825,84.07,8.583,169.4371,296.92,0.0244,0.091,996.7875,0
2019-07-29T11:44:43Z,1.256,26.0329,6.2147,2.3851,37.1382,36.374,6.8254,84.041,8.585,169.5128,288.15,0.0245,0.093,996.7915,0
2019-07-29T11:44:43Z,1.286,26.0168,6.6267,2.6879,37.108369,36.332,6.8655,84.498,8.59,169.4371,283.12,0.0245,0.096,996.7963,0
2019-07-29T11:44:43Z,1.314,26.0021,6.6572,2.5437,37.041071,36.289,6.9293,85.259,8.595,169.8535,269.39,0.0245,0.101,996.8009,0
2019-07-29T11:44:43Z,1.343,25.9927,6.619,2.5004,37.044149,36.301,7.0043,86.173,8.601,170.005,259.54,0.0245,0.106,996.8053,0
2019-07-29T11:44:43Z,1.364,25.9856,6.6038,2.6446,37.045279,36.312,7.0409,86.617,8.609,169.8157,257.5,0.0245,0.107,996.8093,0
2019-07-29T11:44:43Z,1.385,25.9808,7.4201,2.5725,37.039673,36.318,7.0636,86.869,8.615,169.475,250.78,0.0245,0.106,996.8119,0
2019-07-29T11:44:43Z,1.401,25.9779,7.4049,2.3995,36.932589,36.214,7.0585,86.76,8.622,169.7021,249.65,0.0244,0.102,996.8137,0
2019-07-29T11:44:43Z,1.411,25.9746,7.4049,2.4139,36.85256,36.135,7.0373,86.455,8.628,169.9293,248.56,0.0244,0.093,996.8151,0
2019-07-29T11:44:43Z,1.424,25.9705,7.3896,2.4283,36.84292,36.137,7.0011,85.964,8.632,169.7021,240.42,0.0244,0.082,996.8159,0
2019-07-29T11:44:43Z,1.437,25.9596,7.321,2.4283,36.855683,36.139,6.9522,85.324,8.638,169.5885,238.88,0.0244,0.072,996.8169,0
2019-07-29T11:44:43Z,1.462,25.9377,7.3362,2.4572,36.984853,36.279,6.9111,84.796,8.642,170.2321,227.37,0.0244,0.067,996.8182,0
2019-07-29T11:44:43Z,1.495,25.9136,7.3248,2.4283,37.037795,36.342,6.8727,84.333,8.643,170.1564,220.15,0.0245,0.067,996.8211,0
2019-07-29T11:44:43Z,1.53,25.8984,7.3553,2.5004,36.997251,36.303,6.8386,83.929,8.644,170.9514,212.85,0.0244,0.075,996.8271,0
2019-07-29T11:44:43Z,1.563,25.8926,7.3057,2.3851,36.97605,36.32,6.8089,83.575,8.641,171.6328,205,0.0244,0.085,996.8337,0
2019-07-29T11:44:43Z,1.587,25.8881,8.7629,2.6735,36.916015,36.248,6.7756,83.165,8.641,171.4814,201.73,0.0244,0.096,996.8378,0
2019-07-29T11:44:43Z,1.607,25.8711,8.7706,2.6446,36.89416,36.252,6.7601,82.948,8.645,172.3521,196.23,0.0244,0.104,996.8394,0
2019-07-29T11:44:43Z,1.629,25.8425,8.7629,2.6446,36.914347,36.255,6.76,82.896,8.641,172.7685,191.37,0.0244,0.108,996.8406,0
2019-07-29T11:44:43Z,1.651,25.8136,8.7706,2.6158,36.861262,36.24,6.7809,83.078,8.641,173.0714,186.82,0.0244,0.107,996.8453,0
2019-07-29T11:44:43Z,1.671,25.7846,11.4561,2.7023,36.871327,36.234,6.8121,83.401,8.638,173.3364,183.16,0.0244,0.101,996.853,0
2019-07-29T11:44:43Z,1.691,25.7586,11.4218,2.9042,36.872199,36.308,6.8481,83.83,8.635,173.98,178.45,0.0244,0.093,996.8606,0
2019-07-29T11:44:43Z,1.712,25.7448,11.4409,2.9186,36.830558,36.22,6.8729,84.13,8.634,173.7907,174.18,0.0244,0.086,996.8684,0
