Date,Depth_m,Temp_C,Chla_ugL,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,pH,ORP_mV,PAR,Salinity,Descent Rate (m/s),Density_mg_m3,Flag
2019-08-01T10:57:25Z,0.047,27.0275,1.5485,1.0309,27.354,28.464382,7.2456,90.979,7.324,245.254,1173,1.3545049406877807,0.076,996.5235,0
2019-08-01T10:57:25Z,0.065,27.0267,1.5634,1.0844,27.35,28.458568,7.2402,90.908,7.323,245.319,973.42,1.35431839831856,0.077,996.5237,0
2019-08-01T10:57:25Z,0.085,27.0259,1.5679,1.1439,27.355,28.462525,7.2414,90.918,7.323,245.357,1105,1.354601892764828,0.08,996.524,0
2019-08-01T10:57:25Z,0.105,27.0254,1.6209,1.1939,27.344,28.448783,7.2464,90.973,7.323,245.4552,1259.4,1.3540412247580949,0.081,996.5243,0
2019-08-01T10:57:25Z,0.126,27.0238,1.7014,1.2623,27.318,28.419295,7.2513,91.027,7.323,245.6464,1259.5,1.3527281902667363,0.08,996.5248,0
2019-08-01T10:57:25Z,0.149,27.0213,1.7434,1.3157,27.325,28.423218,7.2545,91.058,7.323,245.8616,1118,1.353164015088078,0.078,996.5256,0
2019-08-01T10:57:25Z,0.172,27.0189,1.7471,1.3479,27.337,28.432766,7.2564,91.072,7.323,246.1638,813.36,1.3538582052834631,0.074,996.5264,0
2019-08-01T10:57:25Z,0.191,27.0145,1.7465,1.357,27.316,28.407836,7.2585,91.089,7.322,246.6334,575.62,1.3528852005690981,0.07,996.5277,0
2019-08-01T10:57:25Z,0.205,27.0085,1.7447,1.328,27.288,28.375579,7.2619,91.121,7.319,247.1523,546.78,1.3515915770126519,0.067,996.5294,0
2019-08-01T10:57:25Z,0.218,27.0029,1.7428,1.2916,27.277,28.359968,7.2652,91.151,7.317,247.6189,679.11,1.35117458054085,0.065,996.531,0
2019-08-01T10:57:25Z,0.233,26.9976,1.749,1.2769,27.268,28.345975,7.2672,91.163,7.317,248.0584,904.21,1.350853542541314,0.065,996.5325,0
