Date,Depth_m,PAR,Chla_ugL
2019-08-05T15:27:19Z,-0.014,594.38,2.8671
2019-08-05T15:27:19Z,-0.012,580.62,2.8687
2019-08-05T15:27:19Z,-0.005,527.27,2.875
2019-08-05T15:27:19Z,0.006,452.41,2.8736
2019-08-05T15:27:19Z,0.021,402.65,2.8695
2019-08-05T15:27:19Z,0.038,388.28,2.8767
2019-08-05T15:27:19Z,0.055,384.25,2.8831
2019-08-05T15:27:19Z,0.068,375.09,2.8785
2019-08-05T15:27:19Z,0.082,370.06,2.8722
2019-08-05T15:27:19Z,0.104,362.38,2.8674
2019-08-05T15:27:19Z,0.132,341.04,2.873
2019-08-05T15:27:19Z,0.157,326.7,2.8795
2019-08-05T15:27:19Z,0.178,318.63,2.8766
2019-08-05T15:27:19Z,0.198,307.06,2.8813
2019-08-05T15:27:19Z,0.218,298.24,2.9178
2019-08-05T15:27:19Z,0.234,295.51,2.972
2019-08-05T15:27:19Z,0.245,296.62,2.99
2019-08-05T15:27:19Z,0.257,296.09,2.9884
2019-08-05T15:27:19Z,0.272,296.33,2.9962
2019-08-05T15:27:19Z,0.291,296.54,2.9975
2019-08-05T15:27:19Z,0.312,294.54,2.9945
2019-08-05T15:27:19Z,0.333,289.83,2.9956
2019-08-05T15:27:19Z,0.351,290.84,3.0108
2019-08-05T15:27:19Z,0.364,294.34,3.0389
2019-08-05T15:27:19Z,0.378,286.5,3.0583
2019-08-05T15:27:19Z,0.394,277.52,3.0547
2019-08-05T15:27:19Z,0.412,271.38,3.0303
2019-08-05T15:27:19Z,0.43,266.65,3.0057
2019-08-05T15:27:19Z,0.449,265.26,3.0007
2019-08-05T15:27:19Z,0.471,262.05,3.0034
2019-08-05T15:27:19Z,0.494,256.91,2.9956
2019-08-05T15:27:19Z,0.514,252.26,3.0015
2019-08-05T15:27:19Z,0.527,248.87,3.0315
2019-08-05T15:27:19Z,0.538,246.51,3.0546
2019-08-05T15:27:19Z,0.55,243.49,3.0642
2019-08-05T15:27:19Z,0.564,241.41,3.0612
2019-08-05T15:27:19Z,0.583,238.01,3.0531
2019-08-05T15:27:19Z,0.605,229.52,3.053
2019-08-05T15:27:19Z,0.625,222.26,3.06
2019-08-05T15:27:19Z,0.641,218.86,3.0769
2019-08-05T15:27:19Z,0.653,217.33,3.1006
2019-08-05T15:27:19Z,0.662,218.09,3.1121
2019-08-05T15:27:19Z,0.666,217.98,3.113
2019-08-05T15:27:19Z,0.67,214.91,3.1459
2019-08-05T15:27:19Z,0.68,209.09,3.2061
2019-08-05T15:27:19Z,0.705,200.77,3.234
2019-08-05T15:27:19Z,0.738,192.7,3.2415
2019-08-05T15:27:19Z,0.769,186.35,3.339
2019-08-05T15:27:19Z,0.798,180.99,3.5113
2019-08-05T15:27:19Z,0.825,176.05,3.6001
2019-08-05T15:27:19Z,0.847,172,3.6066
2019-08-05T15:27:19Z,0.864,169.2,3.6064
2019-08-05T15:27:19Z,0.876,166.64,3.6588
2019-08-05T15:27:19Z,0.889,163.81,3.7718
2019-08-05T15:27:19Z,0.906,160.11,3.8375
2019-08-05T15:27:19Z,0.926,155.45,3.8457
2019-08-05T15:27:19Z,0.948,151.17,3.9053
2019-08-05T15:27:19Z,0.971,147.51,4.0207
2019-08-05T15:27:19Z,0.994,143.94,4.0877
2019-08-05T15:27:19Z,1.014,140.57,4.1002
2019-08-05T15:27:19Z,1.032,137.3,4.1798
2019-08-05T15:27:19Z,1.051,133.88,4.3398
2019-08-05T15:27:19Z,1.074,130.02,4.4403
2019-08-05T15:27:19Z,1.1,125.77,4.4757
2019-08-05T15:27:19Z,1.129,121.62,4.6817
2019-08-05T15:27:19Z,1.158,117.72,5.0488
2019-08-05T15:27:19Z,1.185,114.22,5.2378
2019-08-05T15:27:19Z,1.211,111.14,5.2687
2019-08-05T15:27:19Z,1.235,108.02,5.4298
2019-08-05T15:27:19Z,1.259,104.8,5.7031
2019-08-05T15:27:19Z,1.284,101.88,5.8507
2019-08-05T15:27:19Z,1.306,99.693,5.8628
2019-08-05T15:27:19Z,1.324,98.175,5.8672
2019-08-05T15:27:19Z,1.338,96.94,5.9377
2019-08-05T15:27:19Z,1.349,95.873,6.0657
2019-08-05T15:27:19Z,1.357,94.951,6.1407
2019-08-05T15:27:19Z,1.366,93.83,6.1584
2019-08-05T15:27:19Z,1.378,91.93,6.1763
2019-08-05T15:27:19Z,1.398,89.374,6.2004
