Date,Depth_m,PAR,Chla_ugL
2019-08-08T10:58:23Z,-0.366,272.03,1.6736
2019-08-08T10:58:23Z,-0.291,214.54,1.7825
2019-08-08T10:58:23Z,-0.22,172.74,1.835
2019-08-08T10:58:23Z,-0.167,146.88,1.8327
2019-08-08T10:58:23Z,-0.131,124.77,1.8325
2019-08-08T10:58:23Z,-0.099,97.076,1.8592
2019-08-08T10:58:23Z,-0.068,75.672,1.9125
2019-08-08T10:58:23Z,-0.039,70.737,1.9481
2019-08-08T10:58:23Z,-0.015,71.406,1.9593
2019-08-08T10:58:23Z,0.003,71.086,1.9783
2019-08-08T10:58:23Z,0.021,68.878,2.0051
2019-08-08T10:58:23Z,0.046,65.23,2.0153
2019-08-08T10:58:23Z,0.072,63.68,2.0142
2019-08-08T10:58:23Z,0.088,63.207,2.0182
2019-08-08T10:58:23Z,0.093,62.635,2.0201
2019-08-08T10:58:23Z,0.092,62.005,2.0206
2019-08-08T10:58:23Z,0.09,59.652,2.0236
2019-08-08T10:58:23Z,0.092,56.649,2.0211
2019-08-08T10:58:23Z,0.101,55.156,2.017
2019-08-08T10:58:23Z,0.112,55.757,2.0174
2019-08-08T10:58:23Z,0.118,57.458,2.0171
2019-08-08T10:58:23Z,0.118,56.507,2.0049
2019-08-08T10:58:23Z,0.116,54.226,1.9744
2019-08-08T10:58:23Z,0.117,53.072,1.9518
2019-08-08T10:58:23Z,0.122,51.155,1.9481
2019-08-08T10:58:23Z,0.129,49.89,1.9466
2019-08-08T10:58:23Z,0.134,51.24,1.9511
2019-08-08T10:58:23Z,0.136,51.777,1.9593
2019-08-08T10:58:23Z,0.136,50.184,1.9587
2019-08-08T10:58:23Z,0.136,50.931,1.9529
2019-08-08T10:58:23Z,0.137,52.298,1.9763
2019-08-08T10:58:23Z,0.138,51.128,2.0247
2019-08-08T10:58:23Z,0.138,51.588,2.0348
2019-08-08T10:58:23Z,0.138,53.728,2.0114
2019-08-08T10:58:23Z,0.138,54.259,1.9933
2019-08-08T10:58:23Z,0.138,54.058,1.9799
2019-08-08T10:58:23Z,0.138,52.988,1.9716
2019-08-08T10:58:23Z,0.137,52.137,1.9707
2019-08-08T10:58:23Z,0.135,53.427,1.9769
2019-08-08T10:58:23Z,0.13,54.271,1.9776
2019-08-08T10:58:23Z,0.126,53.51,1.9618
2019-08-08T10:58:23Z,0.124,53.467,1.9509
2019-08-08T10:58:23Z,0.123,55.128,1.967
2019-08-08T10:58:23Z,0.122,56.803,2.0013
2019-08-08T10:58:23Z,0.122,56.453,2.027
2019-08-08T10:58:23Z,0.123,55.482,2.0351
2019-08-08T10:58:23Z,0.124,54.996,2.0304
2019-08-08T10:58:23Z,0.126,54.039,2.0223
2019-08-08T10:58:23Z,0.128,53.815,2.0234
2019-08-08T10:58:23Z,0.129,53.842,2.0259
2019-08-08T10:58:23Z,0.13,52.983,2.0182
2019-08-08T10:58:23Z,0.13,52.628,1.9993
2019-08-08T10:58:23Z,0.131,53.415,1.9789
2019-08-08T10:58:23Z,0.133,54.148,1.9625
2019-08-08T10:58:23Z,0.135,54.063,1.9493
2019-08-08T10:58:23Z,0.136,54.175,1.9665
2019-08-08T10:58:23Z,0.137,54.278,2.0062
2019-08-08T10:58:23Z,0.137,53.82,2.0215
2019-08-08T10:58:23Z,0.138,53.773,2.022
2019-08-08T10:58:23Z,0.139,54.536,2.0381
2019-08-08T10:58:23Z,0.139,54.967,2.0682
2019-08-08T10:58:23Z,0.139,53.938,2.0827
2019-08-08T10:58:23Z,0.139,53.037,2.0741
2019-08-08T10:58:23Z,0.139,52.827,2.0679
2019-08-08T10:58:23Z,0.14,53.212,2.0691
2019-08-08T10:58:23Z,0.14,54.707,2.0801
