Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	r.u.	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
7/1/2019 8:45:49 AM	0.00	1.18	0.00	0.00	0.00	0.00	0.00	0.00	1.18	77.44	0.02	21.48	0	1185	0	0	0	0	0	0	1185	135.00	-0.29	-0.30	7.47	-1.26	7.64	0.51	1.00	37.56	11.85
7/1/2019 8:45:51 AM	2.45	2.08	0.10	0.04	0.00	0.00	0.00	0.04	4.67	80.11	0.13	22.71	1299	2076	44	1	0	0	0	0	3420	139.64	3.87	4.66	13.57	5.63	12.67	9.07	1.01	37.63	11.87
7/1/2019 8:45:54 AM	6.23	4.40	1.27	0.00	0.00	0.00	0.00	0.32	11.90	95.82	0.25	24.73	3300	4401	572	0	0	0	0	0	8273	167.00	11.66	4.78	27.53	17.60	28.39	29.27	1.02	37.68	11.87
7/1/2019 8:45:56 AM	6.99	3.98	0.03	0.45	0.00	0.00	0.00	0.40	11.44	95.57	0.33	25.37	3703	3979	11	13	0	0	0	0	7706	166.58	10.32	5.38	26.03	17.83	27.66	28.68	1.03	37.74	11.90
7/1/2019 8:45:59 AM	6.76	4.25	1.38	0.00	0.00	0.00	0.00	0.39	12.39	95.17	0.39	25.42	3580	4252	623	0	0	0	0	0	8455	165.89	12.15	6.77	28.05	19.11	27.40	31.92	1.04	37.81	11.88
7/1/2019 8:46:01 AM	6.81	3.59	0.76	0.90	0.00	0.00	0.00	0.37	12.07	95.30	0.40	25.43	3610	3590	343	27	0	0	0	0	7570	166.10	13.04	5.24	25.65	18.96	28.86	32.94	1.04	37.86	11.90
7/1/2019 8:46:03 AM	7.53	4.50	1.42	0.00	0.00	0.00	0.00	0.19	13.46	96.40	0.41	25.16	3993	4500	641	0	0	0	0	0	9134	168.02	12.76	3.35	29.79	18.38	29.62	33.05	1.04	37.93	11.89
7/1/2019 8:46:06 AM	6.69	4.68	1.95	0.00	0.00	0.00	0.00	0.25	13.32	95.32	0.41	24.75	3544	4678	878	0	0	0	0	0	9101	166.13	13.70	5.07	30.47	18.90	30.00	33.25	1.04	37.99	11.91
7/1/2019 8:46:08 AM	9.56	3.45	0.00	0.84	0.00	0.00	0.00	0.08	13.86	95.35	0.40	24.45	5069	3448	0	25	0	0	0	0	8542	166.19	11.72	4.94	26.15	18.43	29.52	35.82	1.04	38.05	11.92
7/1/2019 8:46:11 AM	6.28	4.54	1.54	0.00	0.00	0.00	0.00	0.46	12.36	97.51	0.45	24.16	3326	4542	693	0	0	0	0	0	8561	169.95	12.81	5.71	29.08	19.70	28.74	31.78	1.04	38.11	11.93
7/1/2019 8:46:13 AM	8.14	4.30	1.37	0.00	0.00	0.00	0.00	0.09	13.82	95.61	0.49	24.12	4317	4299	618	0	0	0	0	0	9234	166.65	12.47	4.37	29.33	18.05	28.95	33.97	1.05	38.19	11.93
7/1/2019 8:46:15 AM	7.17	4.36	2.23	0.00	0.00	0.00	0.00	0.17	13.76	95.95	0.52	24.72	3802	4360	1004	0	0	0	0	0	9165	167.24	14.16	5.90	30.49	19.04	28.32	35.29	1.05	38.24	11.94
7/1/2019 8:46:18 AM	7.53	4.68	1.71	0.00	0.00	0.00	0.00	0.16	13.92	95.75	0.57	25.11	3992	4680	770	0	0	0	0	0	9442	166.88	13.35	4.18	29.42	18.76	32.14	34.22	1.06	38.30	11.95
7/1/2019 8:46:20 AM	7.42	4.05	2.05	0.19	0.00	0.00	0.00	0.00	13.71	96.45	0.62	25.15	3935	4047	921	6	0	0	0	0	8909	168.11	13.58	5.86	28.00	17.13	29.25	34.75	1.06	38.36	11.95
7/1/2019 8:46:22 AM	7.39	4.22	1.38	0.15	0.00	0.00	0.00	0.27	13.15	95.72	0.65	25.28	3918	4221	622	5	0	0	0	0	8766	166.84	12.72	5.99	28.16	19.04	29.14	33.68	1.06	38.43	11.99
7/1/2019 8:46:25 AM	6.29	4.64	1.80	0.00	0.00	0.00	0.00	0.52	12.73	95.92	0.72	25.31	3332	4644	812	0	0	0	0	0	8788	167.19	13.79	5.15	30.32	20.77	29.11	33.42	1.07	38.49	11.97
7/1/2019 8:46:27 AM	9.16	4.58	0.43	0.08	0.00	0.00	0.00	0.36	14.25	96.68	0.78	25.36	4856	4584	192	2	0	0	0	0	9635	168.50	11.82	5.47	29.94	20.93	31.27	35.65	1.08	38.57	11.97
7/1/2019 8:46:30 AM	6.37	4.53	1.96	0.00	0.00	0.00	0.00	0.40	12.85	96.21	0.81	25.30	3375	4529	881	0	0	0	0	0	8785	167.69	13.75	4.62	28.70	19.90	30.22	33.44	1.08	38.61	11.99
7/1/2019 8:46:32 AM	6.96	4.53	2.00	0.00	0.00	0.00	0.00	0.25	13.50	95.25	0.85	25.24	3688	4532	902	0	0	0	0	0	9122	166.03	13.84	5.73	30.59	19.28	29.03	34.30	1.08	38.67	11.99
7/1/2019 8:46:34 AM	7.30	4.63	1.66	0.00	0.00	0.00	0.00	0.31	13.58	95.53	0.86	25.08	3868	4627	745	0	0	0	0	0	9240	166.51	13.52	4.28	30.48	19.79	30.14	34.33	1.08	38.73	11.99
7/1/2019 8:46:37 AM	7.59	4.52	1.24	0.00	0.00	0.00	0.00	0.38	13.35	94.01	0.93	24.91	4025	4520	556	0	0	0	0	0	9101	163.85	12.60	5.56	29.34	20.14	29.83	33.98	1.09	38.77	12.02
7/1/2019 8:46:39 AM	8.15	4.88	1.08	0.00	0.00	0.00	0.00	0.19	14.11	95.87	0.97	24.88	4321	4880	485	0	0	0	0	0	9685	167.11	12.35	5.49	30.86	18.95	31.91	33.65	1.10	38.86	12.01
7/1/2019 8:46:42 AM	6.67	4.68	1.96	0.04	0.00	0.00	0.00	0.27	13.35	95.39	1.02	24.77	3536	4684	882	1	0	0	0	0	9102	166.26	13.72	6.20	29.87	19.19	30.77	33.60	1.10	38.91	12.03
7/1/2019 8:46:44 AM	7.82	4.46	1.81	0.00	0.00	0.00	0.00	0.07	14.09	96.37	1.08	24.91	4143	4461	817	0	0	0	0	0	9421	167.98	13.28	5.65	29.74	18.28	30.17	34.78	1.11	38.97	12.03
7/1/2019 8:46:46 AM	7.03	4.68	1.61	0.18	0.00	0.00	0.00	0.23	13.50	96.03	1.12	25.20	3726	4677	723	5	0	0	0	0	9132	167.38	13.44	5.85	29.93	18.88	31.46	33.47	1.11	39.03	12.04
7/1/2019 8:46:49 AM	6.60	4.66	2.57	0.00	0.00	0.00	0.00	0.10	13.83	95.69	1.17	25.09	3497	4664	1157	0	0	0	0	0	9318	166.78	14.64	5.69	30.48	18.27	30.80	34.48	1.11	39.11	12.04
7/1/2019 8:46:51 AM	7.13	4.49	1.89	0.00	0.00	0.00	0.00	0.34	13.51	95.57	1.24	24.94	3777	4492	852	0	0	0	0	0	9121	166.58	13.75	5.98	29.45	20.19	29.98	35.06	1.12	39.16	12.07
7/1/2019 8:46:53 AM	7.87	4.78	1.29	0.00	0.00	0.00	0.00	0.28	13.94	95.84	1.30	25.11	4170	4782	581	0	0	0	0	0	9534	167.04	12.80	7.14	31.58	19.83	30.07	34.39	1.13	39.22	12.08
