Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	r.u.	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
6/3/2019 8:26:43 AM	0.00	2.20	0.00	0.84	0.00	0.00	0.00	0.48	3.04	85.01	0.17	21.38	0	2197	0	25	0	0	0	0	2223	148.18	6.46	3.10	12.91	8.13	15.96	7.60	1.02	37.99	11.57
6/3/2019 8:26:45 AM	2.80	3.17	0.58	0.29	0.00	0.00	0.00	0.36	6.86	98.50	0.28	22.60	1486	3174	263	9	0	0	0	0	4932	171.67	7.84	5.23	19.57	11.51	19.99	16.40	1.03	38.09	11.58
6/3/2019 8:26:48 AM	3.59	3.15	0.27	0.37	0.00	0.00	0.00	0.37	7.39	98.92	0.29	22.69	1904	3153	123	11	0	0	0	0	5191	172.40	7.85	4.68	19.75	12.31	20.91	17.97	1.03	38.09	11.57
6/3/2019 8:26:50 AM	2.35	3.21	1.24	0.00	0.00	0.00	0.00	0.52	6.79	98.42	0.35	22.68	1243	3209	558	0	0	0	0	0	5011	171.55	8.84	3.12	19.03	13.15	20.14	17.85	1.03	38.12	11.59
6/3/2019 8:26:53 AM	3.42	3.14	1.01	0.00	0.00	0.00	0.00	0.39	7.56	99.60	0.43	22.64	1814	3136	452	0	0	0	0	0	5402	173.60	8.49	3.19	19.19	12.89	20.49	19.21	1.04	38.12	11.60
6/3/2019 8:26:55 AM	1.35	3.29	2.09	0.13	0.00	0.00	0.00	0.51	6.85	99.02	0.54	22.60	714	3285	942	4	0	0	0	0	4945	172.59	10.62	4.56	19.65	13.33	20.92	18.89	1.05	38.19	11.58
6/3/2019 8:26:57 AM	3.09	3.28	1.33	0.00	0.00	0.00	0.00	0.27	7.70	99.03	0.61	22.65	1636	3277	600	0	0	0	0	0	5514	172.61	8.89	3.03	19.53	11.85	21.45	18.67	1.06	38.20	11.60
6/3/2019 8:27:00 AM	2.99	2.91	0.00	0.83	0.00	0.00	0.00	0.63	6.73	98.11	0.70	22.63	1585	2908	0	25	0	0	0	0	4518	170.99	8.43	5.05	18.72	14.34	21.44	18.89	1.07	38.25	11.62
6/3/2019 8:27:02 AM	2.97	2.90	1.19	0.49	0.00	0.00	0.00	0.26	7.55	98.72	0.77	22.63	1575	2905	536	15	0	0	0	0	5030	172.07	9.62	3.87	18.86	11.88	21.32	19.57	1.08	38.28	11.61
