Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	r.u.	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
6/28/2019 10:09:33 AM	0.19	0.32	0.75	0.00	0.00	0.00	0.00	0.09	1.26	90.31	0.34	25.78	100	323	336	0	0	0	0	0	760	157.41	2.80	1.16	4.23	2.63	4.38	4.30	1.03	42.17	13.28
6/28/2019 10:09:36 AM	0.00	0.35	0.72	0.00	0.00	0.00	0.00	0.19	1.07	100.00	0.36	26.35	0	353	324	0	0	0	0	0	677	176.78	3.24	0.70	3.84	3.44	4.82	4.23	1.03	42.25	13.24
6/28/2019 10:09:38 AM	0.92	0.42	0.20	0.02	0.00	0.00	0.00	0.18	1.55	100.00	0.45	26.47	487	418	88	1	0	0	0	0	994	176.67	2.27	0.61	4.01	3.72	5.87	5.05	1.04	42.32	13.25
6/28/2019 10:09:40 AM	0.86	0.13	0.42	0.00	0.00	0.00	0.00	0.10	1.42	100.00	0.53	26.39	458	134	188	0	0	0	0	0	780	176.55	2.23	0.92	3.12	2.94	4.33	5.01	1.05	42.38	13.34
6/28/2019 10:09:43 AM	0.37	0.00	0.00	0.67	0.00	0.00	0.00	0.15	1.04	100.00	0.60	26.28	195	0	0	20	0	0	0	0	215	176.11	3.04	1.09	2.96	3.16	5.98	4.92	1.06	42.43	13.29
6/28/2019 10:09:45 AM	0.90	0.15	0.08	0.16	0.00	0.00	0.00	0.18	1.29	100.00	0.68	26.22	479	154	35	5	0	0	0	0	672	174.88	2.15	1.61	3.45	3.63	4.51	5.06	1.07	42.53	13.26
6/28/2019 10:09:48 AM	0.70	0.34	0.36	0.01	0.00	0.00	0.00	0.20	1.40	100.00	0.76	26.24	368	343	160	0	0	0	0	0	872	176.71	2.44	1.27	3.91	3.88	5.09	5.17	1.07	42.57	13.34
6/28/2019 10:09:50 AM	0.96	0.04	0.00	0.45	0.00	0.00	0.00	0.10	1.45	100.00	0.82	26.16	510	40	0	13	0	0	0	0	563	176.58	2.52	1.15	3.14	3.12	5.64	5.45	1.08	42.64	13.33
6/28/2019 10:09:52 AM	1.42	0.36	0.00	0.00	0.00	0.00	0.00	0.15	1.79	100.00	0.85	25.98	755	363	0	0	0	0	0	0	1118	176.30	1.15	1.44	4.21	3.91	5.42	5.53	1.08	42.73	13.30
6/28/2019 10:09:55 AM	0.13	0.36	0.64	0.00	0.00	0.00	0.00	0.19	1.12	100.00	0.93	25.98	66	359	287	0	0	0	0	0	713	176.12	2.75	1.24	3.85	3.41	4.87	4.44	1.09	42.79	13.32
