Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	r.u.	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
8/14/2019 11:04:12 AM	10.65	11.56	2.28	0.00	0.00	0.00	0.00	0.48	24.49	93.70	0.35	25.84	5644	11562	1024	0	0	0	0	0	18230	163.31	23.14	11.55	65.47	32.61	62.64	51.52	1.03	38.71	12.35
8/14/2019 11:04:14 AM	11.48	11.88	2.38	0.00	0.00	0.00	0.00	0.29	25.74	95.04	0.42	26.10	6083	11880	1072	0	0	0	0	0	19036	165.65	23.59	12.53	67.58	32.28	64.61	53.24	1.04	38.76	12.34
8/14/2019 11:04:17 AM	13.01	11.84	1.62	0.00	0.00	0.00	0.00	0.41	26.47	93.39	0.45	26.05	6893	11839	731	0	0	0	0	0	19463	162.79	23.21	10.61	68.73	34.34	64.49	55.73	1.04	38.84	12.36
8/14/2019 11:04:19 AM	13.02	11.65	2.30	0.00	0.00	0.00	0.00	0.11	26.97	95.26	0.47	25.97	6899	11651	1036	0	0	0	0	0	19587	166.04	23.66	11.98	67.33	32.28	65.20	56.30	1.05	38.91	12.35
8/14/2019 11:04:22 AM	12.51	11.52	3.21	0.00	0.00	0.00	0.00	0.04	27.24	93.88	0.46	25.85	6628	11524	1443	0	0	0	0	0	19595	163.63	25.31	11.60	67.39	32.27	65.06	58.01	1.05	38.97	12.37
8/14/2019 11:04:24 AM	11.88	12.02	3.12	0.00	0.00	0.00	0.00	0.07	27.01	94.04	0.50	25.85	6294	12019	1403	0	0	0	0	0	19715	163.91	24.99	14.23	69.14	31.96	66.01	56.04	1.05	39.06	12.37
8/14/2019 11:04:26 AM	12.38	11.37	1.93	0.00	0.00	0.00	0.00	0.27	25.68	94.82	0.49	25.79	6559	11373	869	0	0	0	0	0	18801	165.28	22.64	10.62	64.82	32.16	63.78	53.80	1.05	39.11	12.39
8/14/2019 11:04:29 AM	12.94	11.63	2.44	0.00	0.00	0.00	0.00	0.18	27.01	93.69	0.50	25.71	6856	11628	1099	0	0	0	0	0	19583	163.31	24.02	12.34	66.64	33.12	65.90	57.23	1.05	39.20	12.40
8/14/2019 11:04:31 AM	12.64	12.05	2.68	0.00	0.00	0.00	0.00	0.03	27.36	94.41	0.50	25.68	6698	12047	1204	0	0	0	0	0	19949	164.55	24.37	12.92	68.67	31.91	67.30	56.26	1.05	39.28	12.40
8/14/2019 11:04:34 AM	12.59	12.40	1.90	0.00	0.00	0.00	0.00	0.14	26.90	94.44	0.50	25.47	6674	12403	857	0	0	0	0	0	19934	164.61	23.19	12.66	70.71	31.87	66.76	53.65	1.05	39.35	12.42
8/14/2019 11:04:36 AM	10.41	12.58	3.10	0.00	0.00	0.00	0.00	0.45	26.10	94.37	0.54	25.22	5520	12583	1395	0	0	0	0	0	19497	164.48	25.81	11.43	70.06	34.13	68.49	54.50	1.05	39.41	12.41
8/14/2019 11:04:38 AM	12.16	11.85	2.32	0.00	0.00	0.00	0.00	0.33	26.34	93.92	0.73	25.44	6447	11850	1045	0	0	0	0	0	19342	163.71	23.98	10.55	66.32	33.47	67.12	55.49	1.07	39.47	12.42
8/14/2019 11:04:41 AM	12.17	12.08	2.06	0.00	0.00	0.00	0.00	0.32	26.30	94.04	0.91	25.94	6449	12076	927	0	0	0	0	0	19452	163.91	23.37	12.89	67.98	33.15	66.44	54.35	1.09	39.55	12.43
