Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	r.u.	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
11/15/2019 1:25:45 PM	1.68	0.12	4.26	4.36	0.00	0.00	0.00	1.15	10.42	100.00	0.38	8.75	889	122	1918	131	0	0	0	0	3060	176.16	23.76	6.43	15.67	24.21	22.33	43.83	1.04	25.43	7.80
11/15/2019 1:25:47 PM	1.56	0.55	7.42	2.91	0.00	0.00	0.00	0.96	12.44	100.00	0.45	8.15	825	552	3340	87	0	0	0	0	4804	173.88	27.04	7.80	18.05	25.66	22.08	50.23	1.04	25.53	7.77
11/15/2019 1:25:49 PM	3.75	0.28	6.05	3.45	0.00	0.00	0.00	0.84	13.53	100.00	0.54	8.18	1988	278	2722	104	0	0	0	0	5092	174.50	25.91	6.54	17.59	25.44	23.26	51.09	1.05	25.56	7.77
11/15/2019 1:25:52 PM	4.87	2.13	8.39	0.06	0.00	0.00	0.00	0.91	15.45	100.00	0.59	8.44	2583	2126	3776	2	0	0	0	0	8487	175.66	25.00	6.15	21.82	27.69	23.01	53.58	1.06	25.61	7.74
11/15/2019 1:25:54 PM	5.36	1.08	6.34	2.76	0.00	0.00	0.00	1.00	15.54	100.00	0.68	8.34	2841	1078	2854	83	0	0	0	0	6856	174.73	26.57	7.01	20.87	28.60	25.52	55.58	1.07	25.64	7.77
11/15/2019 1:25:56 PM	6.75	0.99	6.92	2.28	0.00	0.00	0.00	0.74	16.94	100.00	0.73	8.26	3576	992	3116	68	0	0	0	0	7753	175.32	26.68	7.03	21.11	28.09	25.04	57.96	1.07	25.71	7.80
11/15/2019 1:25:59 PM	6.65	1.30	6.57	2.19	0.00	0.00	0.00	0.80	16.71	100.00	0.72	8.62	3524	1296	2957	66	0	0	0	0	7844	175.89	26.06	6.46	21.56	28.10	25.81	56.60	1.07	25.69	7.89
11/15/2019 1:26:01 PM	3.48	1.06	7.61	2.42	0.00	0.00	0.00	0.94	14.57	100.00	0.79	8.95	1843	1064	3424	73	0	0	0	0	6403	174.79	27.53	7.41	20.36	27.54	24.27	54.30	1.08	25.75	7.77
11/15/2019 1:26:04 PM	5.58	0.81	6.51	3.27	0.00	0.00	0.00	0.80	16.18	100.00	0.85	9.03	2957	813	2931	98	0	0	0	0	6799	175.29	27.54	8.23	21.26	27.85	25.82	56.87	1.08	25.80	7.81
11/15/2019 1:26:06 PM	6.22	0.51	6.26	3.47	0.00	0.00	0.00	0.82	16.45	100.00	0.90	8.85	3295	506	2815	104	0	0	0	0	6720	174.63	27.64	7.21	20.30	28.37	25.93	58.17	1.09	25.81	7.85
11/15/2019 1:26:08 PM	5.73	0.11	5.80	4.45	0.00	0.00	0.00	0.98	16.10	100.00	0.91	8.89	3038	112	2611	134	0	0	0	0	5894	175.73	28.80	8.28	20.05	29.53	26.39	59.34	1.09	25.82	7.91
11/15/2019 1:26:11 PM	5.82	0.60	5.68	3.71	0.00	0.00	0.00	0.97	15.82	100.00	0.93	9.13	3087	600	2558	111	0	0	0	0	6356	175.88	27.08	8.75	20.82	28.78	25.48	56.86	1.09	25.88	7.81
11/15/2019 1:26:13 PM	4.10	0.81	7.69	3.03	0.00	0.00	0.00	0.92	15.64	100.00	0.95	9.28	2175	812	3461	91	0	0	0	0	6540	174.56	29.24	7.84	20.92	28.77	25.67	57.95	1.09	25.93	7.81
11/15/2019 1:26:15 PM	2.14	1.70	9.86	1.48	0.00	0.00	0.00	0.89	15.19	100.00	0.96	9.35	1135	1701	4437	44	0	0	0	0	7318	175.78	30.07	7.16	22.26	28.28	25.54	56.68	1.09	25.98	7.85
11/15/2019 1:26:18 PM	5.31	1.26	7.82	2.47	0.00	0.00	0.00	0.81	16.87	100.00	1.00	9.47	2815	1263	3521	74	0	0	0	0	7673	176.15	28.85	7.40	22.39	28.93	26.75	59.10	1.10	25.95	7.84
11/15/2019 1:26:20 PM	4.49	0.95	7.85	3.25	0.00	0.00	0.00	0.92	16.55	100.00	1.02	9.50	2381	947	3535	98	0	0	0	0	6960	175.10	30.36	8.72	22.39	29.77	27.03	60.32	1.10	26.00	7.84
11/15/2019 1:26:23 PM	7.37	0.51	6.79	3.75	0.00	0.00	0.00	0.76	18.42	100.00	1.05	9.47	3905	508	3057	112	0	0	0	0	7583	176.18	29.90	7.86	22.05	30.29	28.03	63.71	1.10	26.02	7.86
11/15/2019 1:26:25 PM	3.56	1.43	10.01	2.21	0.00	0.00	0.00	0.63	17.21	100.00	1.09	9.50	1889	1431	4504	66	0	0	0	0	7890	174.64	32.02	7.27	23.27	28.57	27.91	61.19	1.11	26.02	7.92
