attributeName	code	definition
Flag_All	1	value removed due to maintenance and set to NA
Flag_All	0	no flag
Flag_DO_1	0	no flag
Flag_DO_1	1	value removed due to maintenance and set to NA
Flag_DO_1	7	missing data
Flag_DO_5	0	no flag
Flag_DO_5	3	negative values set to 0
Flag_DO_5	1	value removed due to maintenance and set to NA
Flag_DO_5	7	missing data
Flag_DO_5	5	questionable value due to potential fouling
Flag_DO_5	6	very questionable value due to potential fouling. Values adjusted using a linear or square root function to match high-resolution CTD profiles are given in RDO_mgL_5 and RDO_sat_percent_5
Flag_DO_9	1	value removed due to maintenance and set to NA
Flag_DO_9	3	negative values set to 0
Flag_DO_9	0	no flag
Flag_DO_9	7	missing data
Flag_DO_9	5	questionable value due to potential fouling
Flag_DO_9	6	very questionable value due to potential fouling. Values adjusted using a linear or square root function to match high-resolution CTD profiles are given in RDO_mgL_5 and RDO_sat_percent_5
Flag_Chla	0	no flag
Flag_Chla	4	value removed due to fouling and set to NA
Flag_Phyco	0	no flag
Flag_Phyco	4	value removed due to fouling and set to NA
Flag_TDS	0	no flag
