"Reservoir","Site","DateTime","Depth_m","TN_ugL","TP_ugL","NH4_ugL","NO3NO2_ugL","SRP_ugL","DOC_mgL","DIC_mgL","DC_mgL","DN_mgL","Flag_TN","Flag_TP","Flag_NH4","Flag_NO3NO2","Flag_SRP","Flag_DOC","Flag_DIC","Flag_DC","Flag_DN"
"BVR",50,2018-05-04 11:00:00,0.1,334.1,11.7,9,5,8,4.8,3.1,7.9,0.2765,0,0,0,0,0,0,0,0,0
"BVR",50,2018-05-04 11:00:00,3,240.1,9.2,11,6,9,4.6,3.3,7.8,0.256,0,0,0,0,0,0,0,0,0
"BVR",50,2018-05-04 11:00:00,6,275.5,10.8,49,9,12,4.2,3.5,7.7,0.3085,0,0,0,0,0,0,0,0,0
"BVR",50,2018-05-04 11:00:00,9,655.9,13.8,322,15,8,4.1,4.2,8.3,0.624,0,0,0,0,0,0,0,0,0
"BVR",50,2018-05-11 11:00:00,0.1,303.5,6.4,6,2,7,4.6,3.2,7.9,0.257,0,0,0,3,0,0,0,0,0
"BVR",50,2018-05-11 11:00:00,3,307.5,5.3,8,5,10,4.5,3.3,7.8,0.258,0,0,0,0,0,0,0,0,0
"BVR",50,2018-05-11 11:00:00,6,249.2,5.5,115,19,7,4,3.8,7.8,0.369,0,0,0,0,0,0,0,0,0
"BVR",50,2018-05-11 11:00:00,9,671.1,12.6,339,13,8,4.1,4.1,8.3,0.596,0,0,0,0,0,0,0,0,0
"BVR",50,2018-05-17 11:00:00,0.1,220.7,3.7,7,4,7,4.2,3,7.2,0.2395,0,0,0,3,0,0,0,0,0
"BVR",50,2018-05-17 11:00:00,3,276.8,7.8,11,3,9,4.3,3.5,7.8,0.2635,0,0,0,3,0,0,0,0,0
"BVR",50,2018-05-17 11:00:00,6,363.2,5.5,61,6,8,3.9,3.4,7.3,0.306,0,0,0,0,0,0,0,0,0
"BVR",50,2018-05-17 11:00:00,9,642.4,14.2,360,12,9,3.8,4.3,8.1,0.663,0,0,0,0,0,0,0,0,0
"BVR",50,2018-05-17 11:00:00,11,0,39,672,7,9,3.9,5.4,9.3,0.983,4,0,0,0,0,0,0,0,0
"BVR",50,2018-05-24 11:00:00,0.1,237.1,5.5,6,2,8,4.3,2.7,7,0.22,0,0,0,3,0,0,0,0,0
"BVR",50,2018-05-24 11:00:00,3,219.8,13.5,9,3,5,4,3,7,0.2715,0,0,0,3,0,0,0,0,0
