"","Reservoir","Site","DateTime","Depth_m","TP_ugL","TN_ugL","Flag_TP","Flag_TN","NH4_ugL","SRP_ugL","NO3NO2_ugL","Flag_NH4","Flag_SRP","Flag_NO3NO2","DOC_mgL","DIC_mgL","DC_mgL","DN_mgL","Flag_DOC","Flag_DIC","Flag_DC","Flag_DN"
"1","BVR","100","2019-01-21 12:00:00",0.1,15.3,80.7,"7, 3","7",4,1,4,"7, 3","7, 3","7",1.5,2.7,3,0.075,7,7,7,"7"
"2","BVR","175","2019-01-21 12:00:00",0.1,13.7,47,"7, 3","7",3,3,6,"7, 3","7","7",1.4,2.5,3.8,0.1,7,7,7,"7"
"3","BVR","200","2019-01-21 12:00:00",0.1,7.4,69.9,"7","7",3,2,14,"7, 3","7, 3","7, 3",1.4,2.3,3.8,0.1,7,7,7,"7"
"4","BVR","215","2019-01-21 12:00:00",0.1,6.8,229.7,"7","7",0,3,3,"4, 3","0","0",0.9,2.5,3.4,0.2,0,0,0,"0"
"5","BVR","50","2019-04-08 12:00:00",0.1,6.6,138,"0","3",3,4,4,"3","0","0",2.8,2.5,5.3,0.1,0,0,0,"0"
"6","BVR","50","2019-04-08 12:00:00",3,4.1,118.5,"3","3",9,8,3,"0","0","0",3.3,2.5,5.8,0.2,0,0,0,"0"
"7","BVR","50","2019-04-08 12:00:00",6,2.7,114,"3","3",9,6,4,"0","0","0",3.5,2.4,5.9,0.2,0,0,0,"0"
"8","BVR","50","2019-04-08 12:00:00",9,10.3,211.5,"3","0",35,2,6,"0","0","0",3.4,2.7,6.1,0.2,0,0,0,"0"
"9","BVR","50","2019-04-08 12:00:00",10.5,6.9,201,"0","3",67,4,8,"0","0","0",3.2,2.1,5.3,0.2,0,0,0,"0"
"10","BVR","1","2019-04-29 12:00:00",0.1,5.1,117,"0","3",4,1,3,"3","3","0",3.8,1.3,5.1,0.1,0,0,0,"0"
"11","BVR","100","2019-04-29 12:00:00",0.1,28.9,99,"3","0",19,5,3,"3","0","0",1.2,3.1,4.3,0.1,0,0,0,"0"
"12","BVR","20","2019-04-29 12:00:00",0.1,4.9,166.5,"0","3",5,1,0,"0","3","4, 3",3.3,1.7,5,0.1,0,0,0,"0"
"13","BVR","200","2019-04-29 12:00:00",0.1,8.6,99,"0","0",24,1,8,"3","3","0",0.5,4.3,4.8,0.1,0,0,0,"0"
"14","BVR","30","2019-04-29 12:00:00",0.1,6.2,186,"0","3",7,2,0,"0","3","4, 3",2.7,2.5,5.3,0.1,0,0,0,"0"
"15","BVR","45","2019-04-29 12:00:00",0.1,4.8,132,"0","3",6,0,3,"0","3","0",1.6,2.2,3.8,0.1,0,0,0,"0"
"16","BVR","50","2019-04-29 12:00:00",0.1,3.5,126,"7, 3","7, 3",7,4,3,"0","0","0",3.5,1.8,5.2,0.1,7,7,7,"7"
"17","BVR","50","2019-04-29 12:00:00",3,3.3,106.5,"3","3",6,4,3,"0","0","0",3.2,2.1,5.3,0.2,0,0,0,"0"
"18","BVR","50","2019-04-29 12:00:00",6,6.8,172.5,"0","3",6,4,3,"0","0","0",2.5,2.5,5,0.1,0,0,0,"0"
"19","BVR","50","2019-04-29 12:00:00",9,5.2,247.5,"0","0",115,1,3,"3","3","0",1.4,2.6,4.1,0.2,0,0,0,"0"
"20","BVR","50","2019-04-29 12:00:00",10.5,3.9,349.5,"3","0",175,3,3,"3","0","0",2.4,3,5.4,0.3,0,0,0,"0"
"21","BVR","50","2019-05-16 12:00:00",0.1,1.8,144,"3","3",6,1,3,"0","3","0",2.5,3,5.5,0.2,0,0,0,"0"
"22","BVR","50","2019-05-16 12:00:00",3,2,93,"3","0",5,8,5,"0","0","0",2.4,2.2,4.6,0.2,0,0,0,"0"
"23","BVR","50","2019-05-16 12:00:00",6,15,304.5,"3","0",9,6,3,"0","0","0",3,2.5,5.5,0.2,7,7,7,"7"
"24","BVR","50","2019-05-16 12:00:00",9,18.8,393,"3","0",173,4,3,"3","0","0",2.7,2.9,5.6,0.3,0,0,0,"0"
"25","BVR","50","2019-05-16 12:00:00",10,17.4,579,"3","0",390,4,5,"0","0","0",2.4,3.5,5.9,0.5,0,0,0,"0"
"26","BVR","50","2019-05-23 12:00:00",0.1,2.4,211.5,"3","0",13,2,3,"3","0","0",2.7,2.6,5.2,0.1,0,0,0,"0"
"27","BVR","50","2019-05-23 12:00:00",3,-1.5,148.5,"3","3",10,4,30,"0","0","5",3.2,2.6,5.8,0.2,0,0,0,"0"
"28","BVR","50","2019-05-23 12:00:00",6,1.6,148.5,"3","3",14,4,3,"3","0","0",3.1,2.4,5.5,0.2,0,0,0,"0"
"29","BVR","50","2019-05-23 12:00:00",9,23.1,616.5,"3","0",217,2,3,"3","3","0",2.4,3.3,5.7,0.3,0,0,0,"0"
"30","BVR","50","2019-05-23 12:00:00",11,26.1,1191,"3","3",863,9,3,"0","0","0",3.4,4.4,7.8,1.1,0,0,0,"0"
"31","BVR","1","2019-05-30 12:00:00",0.1,2.1,121.5,"3","3",5,1,3,"0","3","0",2.8,2.5,5.3,0.1,0,0,0,"0"
"32","BVR","100","2019-05-30 12:00:00",0.1,49.6,162,"0","3",22,5,3,"3","0","0",1,3.4,4.4,0.1,0,0,0,"0"
"33","BVR","20","2019-05-30 12:00:00",0.1,4.6,190.5,"0","3",7,1,0,"0","3","4, 3",3.2,2.5,5.6,0.2,0,0,0,"0"
"34","BVR","200","2019-05-30 12:00:00",0.1,11.7,151.5,"3","3",38,2,3,"0","0","0",2.4,3,5.5,0.2,7,7,7,"7"
"35","BVR","30","2019-05-30 12:00:00",0.1,5.8,213,"0","0",2,1,3,"3","3","0",2.1,2.4,4.5,0.1,0,0,0,"0"
"36","BVR","45","2019-05-30 12:00:00",0.1,4,118.5,"3","3",6,2,3,"0","3","0",1.9,2.2,4.1,0.1,0,0,0,"0"
"37","BVR","50","2019-05-30 12:00:00",0.1,3.5,176.2,"7, 3","7, 3",6,0,0,"0","3","4, 3",3.4,2.1,5.5,0.1,7,7,7,"7"
"38","BVR","50","2019-05-30 12:00:00",3,0.4,133.5,"3","3",7,0,3,"0","4, 3","0",2.9,2.7,5.6,0.2,0,0,0,"0"
