attributeName	code	definition
Reservoir	BVR	Beaverdam Reservoir
Reservoir	CCR	Carvins Cove Reservoir
Reservoir	FCR	Falling Creek Reservoir
Reservoir	GWR	Gatewood Reservoir
Reservoir	SHR	Spring Hollow Reservoir
Flag_TN	0	no flag TN
Flag_TN	7	sample run multiple times and values averaged TN
Flag_TN	1	sample not taken TN
Flag_TN	6	non-standard method TN
Flag_TN	67	non-standard method and sample run multiple times and values averaged TN
Flag_TN	4	negative value set to zero TN
Flag_TN	NA	NA
Flag_TN	3	sample below detection TN
Flag_TN	"7, 3"	 and sample run multiple times and values averaged TN
Flag_TN	"4, 3"	negative value set to zero and sample below detection TN
Flag_TP	0	no flag TP
Flag_TP	7	sample run multiple times and values averaged TP
Flag_TP	1	sample not taken TP
Flag_TP	6	non-standard method TP
Flag_TP	3	sample below detection TP
Flag_TP	67	non-standard method and sample run multiple times and values averaged TP
Flag_TP	4	negative value set to zero TP
Flag_TP	NA	NA
Flag_TP	"7, 3"	 and sample run multiple times and values averaged TP
Flag_NH4	0	no flag NH4
Flag_NH4	6	non-standard method NH4
Flag_NH4	7	sample run multiple times and values averaged NH4
Flag_NH4	3	sample below detection NH4
Flag_NH4	1	sample not taken NH4
Flag_NH4	2	instrument malfunction NH4
Flag_NH4	4	negative value set to zero NH4
Flag_NH4	NA	NA
Flag_NH4	"7, 3"	 and sample run multiple times and values averaged NH4
Flag_NH4	"4, 3"	negative value set to zero and sample below detection NH4
Flag_NO3NO2	0	no flag NO3NO2
Flag_NO3NO2	6	non-standard method NO3NO2
Flag_NO3NO2	3	sample below detection NO3NO2
Flag_NO3NO2	7	sample run multiple times and values averaged NO3NO2
Flag_NO3NO2	4	negative value set to zero NO3NO2
Flag_NO3NO2	1	sample not taken NO3NO2
Flag_NO3NO2	2	instrument malfunction NO3NO2
Flag_NO3NO2	NA	NA
Flag_NO3NO2	"7, 3"	 and sample run multiple times and values averaged NO3NO2
Flag_NO3NO2	"4, 3"	negative value set to zero and sample below detection NO3NO2
Flag_NO3NO2	5	demonic intrusion NO3NO2
Flag_NO3NO2	"7, 4, 3"	"sample run multiple times and values averaged, negative value set to zero, and sample below detection NO3NO2"
Flag_SRP	0	no flag SRP
Flag_SRP	6	non-standard method SRP
Flag_SRP	7	sample run multiple times and values averaged SRP
Flag_SRP	3	sample below detection SRP
Flag_SRP	2	instrument malfunction SRP
Flag_SRP	1	sample not taken SRP
Flag_SRP	4	negative value set to zero SRP
Flag_SRP	NA	NA
Flag_SRP	"7, 3"	 and sample run multiple times and values averaged SRP
Flag_SRP	"4, 3"	negative value set to zero and sample below detection SRP
Flag_SRP	"7, 4, 3"	"sample run multiple times and values averaged, negative value set to zero, and sample below detection SRP"
Flag_DN	NA	NA
Flag_DN	FALSE	FALSE
Flag_DN	7	sample run multiple times and values averaged DN
Flag_DN	0	no flag DN
Flag_DN	3	sample below detection DN
Flag_DN	"7, 3"	 and sample run multiple times and values averaged DN
