attributeName	code	definition
Reservoir	BVR	Beaverdam Reservoir
Reservoir	CCR	Carvins Cove Reservoir
Reservoir	FCR	Falling Creek Reservoir
Reservoir	GWR	Gatewood Reservoir
Reservoir	SHR	Spring Hollow Reservoir
Flag_TN	0	no flag
Flag_TN	7	sample run multiple times and values averaged
Flag_TN	1	sample not taken
Flag_TN	6	non-standard method
Flag_TN	67	non-standard method and sample run multiple times and values averaged
Flag_TN	4	negative value set to zero
Flag_TN	NA	no flag
Flag_TN	3	sample below detection
Flag_TN	"7, 3"	 and sample run multiple times and values averaged
Flag_TN	"4, 3"	negative value set to zero and sample below detection
Flag_TP	0	no flag
Flag_TP	7	sample run multiple times and values averaged
Flag_TP	1	sample not taken
Flag_TP	6	non-standard method
Flag_TP	3	sample below detection
Flag_TP	67	non-standard method and sample run multiple times and values averaged
Flag_TP	4	negative value set to zero
Flag_TP	NA	no flag
Flag_TP	"7, 3"	 and sample run multiple times and values averaged
Flag_NH4	0	no flag
Flag_NH4	6	non-standard method
Flag_NH4	7	sample run multiple times and values averaged
Flag_NH4	3	sample below detection
Flag_NH4	1	sample not taken
Flag_NH4	2	instrument malfunction
Flag_NH4	4	negative value set to zero
Flag_NH4	NA	no flag
Flag_NH4	"7, 3"	 and sample run multiple times and values averaged
Flag_NH4	"4, 3"	negative value set to zero and sample below detection
Flag_NO3NO2	0	no flag
Flag_NO3NO2	6	non-standard method
Flag_NO3NO2	3	sample below detection
Flag_NO3NO2	7	sample run multiple times and values averaged
Flag_NO3NO2	4	negative value set to zero
Flag_NO3NO2	1	sample not taken
Flag_NO3NO2	2	instrument malfunction
Flag_NO3NO2	NA	no flag
Flag_NO3NO2	"7, 3"	 and sample run multiple times and values averaged
Flag_NO3NO2	"4, 3"	negative value set to zero and sample below detection
Flag_NO3NO2	5	demonic intrusion
Flag_NO3NO2	"7, 4, 3"	"sample run multiple times and values averaged, negative value set to zero, and sample below detection"
Flag_SRP	0	no flag
Flag_SRP	6	non-standard method
Flag_SRP	7	sample run multiple times and values averaged
Flag_SRP	3	sample below detection
Flag_SRP	2	instrument malfunction
Flag_SRP	1	sample not taken
Flag_SRP	4	negative value set to zero
Flag_SRP	NA	no flag
Flag_SRP	"7, 3"	 and sample run multiple times and values averaged
Flag_SRP	"4, 3"	negative value set to zero and sample below detection
Flag_SRP	"7, 4, 3"	"sample run multiple times and values averaged, negative value set to zero, and sample below detection"
Flag_DN	NA	no flag
Flag_DN	FALSE	no flag
Flag_DN	7	sample run multiple times and values averaged
Flag_DN	0	no flag
Flag_DN	3	sample below detection
Flag_DN	"7, 3"	 and sample run multiple times and values averaged
