Reservoir,Site,DateTime,Depth_m,DRSI_mgL,Flag_DRSI,Date
BVR,50,2014-04-16T12:00:00Z,0.1,4.316594,0,2014-04-16
BVR,50,2014-04-16T12:00:00Z,4,4.161904,0,2014-04-16
BVR,50,2014-04-16T12:00:00Z,8,5.516232,0,2014-04-16
BVR,50,2014-04-16T12:00:00Z,12,3.113392,0,2014-04-16
BVR,50,2014-04-30T12:00:00Z,0.1,0,4,2014-04-30
BVR,50,2014-04-30T12:00:00Z,4,3.969002,0,2014-04-30
BVR,50,2014-05-14T12:00:00Z,0.1,4.804389,0,2014-05-14
BVR,50,2014-05-14T12:00:00Z,4,7.605824,0,2014-05-14
BVR,50,2014-05-14T12:00:00Z,8,1.967992,0,2014-05-14
BVR,50,2014-05-14T12:00:00Z,12,1.967992,0,2014-05-14
BVR,50,2014-05-29T12:00:00Z,0.1,6.571912,0,2014-05-29
BVR,50,2014-05-29T12:00:00Z,4,10.128018,0,2014-05-29
BVR,50,2014-05-29T12:00:00Z,12,1.813742,0,2014-05-29
BVR,50,2014-06-04T12:00:00Z,0.1,5.419934,0,2014-06-04
BVR,50,2014-06-04T12:00:00Z,4,8.97604,0,2014-06-04
BVR,50,2014-06-04T12:00:00Z,8,3.987152,0,2014-06-04
BVR,50,2014-06-04T12:00:00Z,12,3.616838,0,2014-06-04
BVR,50,2014-06-18T12:00:00Z,0.1,3.616838,0,2014-06-18
BVR,50,2014-06-18T12:00:00Z,4,4.668644,0,2014-06-18
BVR,50,2014-06-18T12:00:00Z,12,3.59396,0,2014-06-18
BVR,50,2014-06-25T12:00:00Z,0.1,8.425094,0,2014-06-25
BVR,50,2014-06-25T12:00:00Z,4,3.817182,0,2014-06-25
BVR,50,2014-06-25T12:00:00Z,12,4.099349,0,2014-06-25
BVR,50,2014-07-02T12:00:00Z,0.1,5.647296,0,2014-07-02
BVR,50,2014-07-02T12:00:00Z,4,4.773536,0,2014-07-02
BVR,50,2014-07-02T12:00:00Z,8,3.943464,0,2014-07-02
BVR,50,2014-07-02T12:00:00Z,12,2.458072,0,2014-07-02
BVR,50,2014-07-09T12:00:00Z,0.1,8.530704,0,2014-07-09
