Reservoir,Site,Date,Depth_m,Chla_ugL,Pheo_ugL,Flag_Chla,Flag_Pheo
CCR,50,2014-04-20,0.1,4,NA,0,2
CCR,50,2014-04-20,5,7.5,NA,0,2
CCR,50,2014-04-20,14,9.2,NA,0,2
CCR,50,2014-05-02,0.1,5.2,NA,0,2
CCR,50,2014-05-02,5,6.9,NA,0,2
CCR,50,2014-05-02,14,4,NA,0,2
CCR,50,2014-05-08,0.1,4,NA,0,2
CCR,50,2014-05-08,6,8.6,NA,0,2
CCR,50,2014-05-08,14,8.1,NA,0,2
CCR,50,2014-05-15,0.1,3.5,NA,0,2
CCR,50,2014-05-15,6,4,NA,0,2
CCR,50,2014-05-15,14,3.5,NA,0,2
CCR,50,2014-05-27,0.1,2.3,NA,0,2
CCR,50,2014-05-27,6,9.8,NA,0,2
CCR,50,2014-05-27,14,8.1,NA,0,2
CCR,50,2014-06-04,0.1,1.7,NA,0,2
CCR,50,2014-06-04,6,3.5,NA,0,2
CCR,50,2014-06-04,20,3.5,NA,0,2
CCR,50,2014-06-12,0.1,3.5,NA,0,2
CCR,50,2014-06-12,6,6.3,NA,0,2
CCR,50,2014-06-12,20,2.3,NA,0,2
CCR,50,2014-07-03,0.1,1.2,NA,0,2
CCR,50,2014-07-03,6,6.9,NA,0,2
CCR,50,2014-07-03,20,9.8,NA,0,2
CCR,50,2014-07-10,0.1,4,NA,0,2
CCR,50,2014-07-10,6,10.9,NA,0,2
CCR,50,2014-07-10,20,17.3,NA,0,2
CCR,50,2014-07-24,0.1,2.9,NA,0,2
CCR,50,2014-07-24,6,10.4,NA,0,2
CCR,50,2014-07-24,20,23,NA,0,2
CCR,50,2014-08-07,0.1,2.9,NA,0,2
CCR,50,2014-08-07,6,10.9,NA,0,2
CCR,50,2014-08-07,20,23,NA,0,2
CCR,50,2014-08-21,0.1,3.5,NA,0,2
CCR,50,2014-08-21,6,8.6,NA,0,2
CCR,50,2014-08-21,19,10.4,NA,0,2
CCR,50,2014-09-05,0.1,2.3,NA,0,2
CCR,50,2014-09-05,6,15,NA,0,2
CCR,50,2014-09-05,19,9.8,NA,0,2
CCR,50,2014-09-19,0.1,7.5,NA,0,2
CCR,50,2014-09-19,6,7.5,NA,0,2
CCR,50,2014-09-19,18,11.5,NA,0,2
CCR,50,2014-10-03,0.1,6.3,NA,0,2
CCR,50,2014-10-03,6,10.9,NA,0,2
CCR,50,2014-10-03,19,9.8,NA,0,2
CCR,50,2014-10-24,0.1,11.5,NA,0,2
CCR,50,2014-10-24,6,14.4,NA,0,2
CCR,50,2014-10-24,20,23,NA,0,2
CLY,50,2014-04-28,0.1,11.5,NA,0,2
CLY,50,2014-04-28,5,10.9,NA,0,2
CLY,50,2014-06-18,0.1,13.2,NA,0,2
CLY,50,2014-06-18,6,19,NA,0,2
CLY,50,2014-06-18,30,3.5,NA,0,2
CLY,50,2014-07-09,0.1,37.4,NA,0,2
CLY,50,2014-08-13,0.1,15.5,NA,0,2
CLY,50,2014-08-13,7,16.1,NA,0,2
CLY,50,2014-08-13,34,5,NA,0,2
GWR,50,2014-04-18,0.1,6.3,NA,0,2
GWR,50,2014-04-18,5,5.8,NA,0,2
GWR,50,2014-04-18,10,1.7,NA,0,2
GWR,50,2014-04-26,0.1,6.3,NA,0,2
GWR,50,2014-04-26,4,8.1,NA,0,2
