attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
Reservoir	Three-letter code corresponding to sampled reservoir	character			NA	No data
Site	Sampling site within each reservoir	numeric	100 = Inflow stream of Falling Creek Reservoir		NA	No data
DateTime	"Date and time of sampling. All data were collected in the eastern time zone of the U.S.A., with daylight savings time observed"	Date		YYYY-MM-DD HH:MM:SS	NA	No data
WVWA_Pressure_psi	Uncorrected pressure measured by the WVWA INW sensor at the weir	numeric	poundsPerSquareInch		NA	No data
WVWA_Baro_pressure_psi	Atmospheric pressure measured by WVWA INW sensor at the dam of Falling Creek Reservoir	numeric	poundsPerSquareInch		NA	No data
WVWA_Pressure_psia	Corrected pressure (with atmospheric pressure subtracted) measured by WVWA INW sensor at the weir	numeric	poundsPerSquareInch		NA	No data
WVWA_Flow_cms	"Discharge flow rate derived from the WVWA pressure measured at the weir and weir rating curve. For 15 May 2013 – 6 June 2019 (rectangular weir) see Gerling et al. 2014 for equations. For 7 June 2019 – present (v-notch weir), see equations in metadata."	numeric	cubicMetersPerSecond		NA	No data
WVWA_Temp_C	Water temperature measured at the weir entering the reservoir by WVWA	numeric	degreesCelsius		NA	No data
VT_Pressure_psia	Corrected pressure (with atmospheric pressure subtracted) by VT sensor	numeric	poundsPerSquareInch		NA	No data
VT_Flow_cms	"Discharge flow rate derived from the VT pressure measured at the weir and weir rating curve. For 22 April 2019 – 6 June 2019 (rectangular weir) see Gerling et al. 2014 for equations. For 7 June 2019 – present (v-notch weir), see equations in metadata."	numeric	cubicMetersPerSecond		NA	No data
VT_Temp_C	Water temperature measured at the weir entering the reservoir by VT researchers	numeric	degreesCelsius		NA	No data
WVWA_Flag_Pressure_psi	Data flag for uncorrected WVWA weir pressure; 1 = value down-corrected to account for artificial increase in pressure after sensor maintenance; 2 = sensor malfunction; 3 = value of NA due to extremely low flows that are not well captured by rectangular or v-notch weir; 4 = demonic intrusion; 5 = value of NA due to leaking at weir	numeric	dimensionless		NA	No data
WVWA_Flag_Baro_pressure_psi	Data flag for WVWA atmospheric pressure; 1 = value down-corrected to account for artificial increase in pressure after sensor maintenance; 2 = sensor malfunction; 3 = value of NA due to extremely low flows that are not well-captured by rectangular or v-notch weir; 4 = demonic intrusion; 5 = value of NA due to leaking at weir	numeric	dimensionless		NA	No data
WVWA_Flag_Pressure_psia	Data flag for corrected WVWA weir pressure; 1 = value down-corrected to account for artificial increase in pressure after sensor maintenance; 2 = sensor malfunction; 3 = value of NA due to extremely low flows that are not well-captured by rectangular or v-notch weir; 4 = demonic intrusion; 5 = value of NA due to leaking at weir	numeric	dimensionless		NA	No data
WVWA_Flag_Flow	Flag for WVWA flow; 1 = value down-corrected to account for artificial increase in pressure after sensor maintenance; 2 = sensor malfunction; 3 = value of NA due to extremely low flows that are not well-captured by rectangular or v-notch weir; 4 = demonic intrusion; 5 = value of NA due to leaking at weir; 6 = flow topping the v-notch weir	numeric	dimensionless		NA	No data
WVWA_Flag_Temp	Flag for WVWA Temp; 1 = value down-corrected to account for artificial increase in pressure after sensor maintenance; 2 = sensor malfunction; 3 = value of NA due to extremely low flows that are not well-captured by rectangular or v-notch weir 4 = demonic intrusion; 5 = value of NA due to leaking at weir	numeric	dimensionless		NA	No data
VT_Flag_Pressure_psia	Flag for corrected VT weir pressure; 1 = value down-corrected to account for artificial increase in pressure after sensor maintenance; 2 = sensor malfunction; 3 = value of NA due to extremely low flows that are not well captured by rectangular or v-notch weir; 4 = demonic intrusion; 5 = value of NA due to leaking at weir	numeric	dimensionless		NA	No data
VT_Flag_Flow	Flag for VT flow; 1 = value down-corrected to account for artificial increase in pressure after sensor maintenance; 2 = sensor malfunction; 3 = value of NA due to extremely low flows that are not well-captured by rectangular or v-notch weir; 4 = demonic intrusion; 5 = value of NA due to leaking at weir; 6 = flow topping the v-notch weir	numeric	dimensionless		NA	No data
VT_Flag_Temp_C	Flag for VT Temp; 1 = value down-corrected to account for artificial increase in pressure after sensor maintenance; 2 = sensor malfunction; 3 = value of NA due to extremely low flows that are not well-captured by rectangular or v-notch weir; 4 = demonic intrusion; 5 = value of NA due to leaking at weir	numeric	dimensionless		NA	No data
