keyword	keywordThesaurus
greenhouse gas	carey lab controlled vocabulary
reservoir	cuahsi controlled vocabulary
depth	lter controlled vocabulary
methane	lter controlled vocabulary
carbon dioxide	lter controlled vocabulary
Virginia Tech	carey lab controlled vocabulary
Stream Team	carey lab controlled vocabulary
lake	cuahsi controlled vocabulary
lakes	lter controlled vocabulary
Western Virginia Water Authority	carey lab controlled vocabulary
Falling Creek Reservoir	carey lab controlled vocabulary
Beaverdam Reservoir	carey lab controlled vocabulary
