attributeName	code	definition
Reservoir	FCR	FCR
Station	MET	MET
Parameter	 Rain_mm_Tot	 Rain_mm_Tot
Parameter	 PAR_Den_Avg	 PAR_Den_Avg
Parameter	 PAR_Tot_Tot	 PAR_Tot_Tot
Parameter	 AirTC_Avg	 AirTC_Avg
Parameter	 RH	 RH
Parameter	 SR01Up_Avg	 SR01Up_Avg
Parameter	 SR01Dn_Avg	 SR01Dn_Avg
Parameter	 IR01DnCo_Avg	 IR01DnCo_Avg
Parameter	 IR01UpCo_Avg	 IR01UpCo_Avg
Parameter	 Albedo_Avg	 Albedo_Avg
Notes	 calibrated_rain_gauge	 calibrated_rain_gauge
Notes	 PAR_sensor_cleaned_sometime_this_day	 PAR_sensor_cleaned_sometime_this_day
Notes	 cleaned_air_temp_shield	 cleaned_air_temp_shield
Notes	 cleaned_radiation_sensor_lenses	 cleaned_radiation_sensor_lenses
Notes	 ccleaned_radiation_sensor_lenses	 ccleaned_radiation_sensor_lenses
Notes	 potentially_high_values_due_to_fouled_sensor_filter	 potentially_high_values_due_to_fouled_sensor_filter
Notes	 sensor_reading_low_values_due_to_fouling	 sensor_reading_low_values_due_to_fouling
