attributeName	code	definition
Reservoir	FCR	Data were collected at Falling Creek Reservoir
Note_PAR_Average_umol_s_m2	PAR_sensor_cleaned_sometime_this_day	PAR_sensor_cleaned_sometime_this_day
Note_PAR_Total_mmol_m2	Outlier_set_to_NA	Outlier_set_to_NA
Note_PAR_Total_mmol_m2	PAR_sensor_cleaned_sometime_this_day	PAR_sensor_cleaned_sometime_this_day
Note_BP_Average_kPa	Outlier_set_to_NA	Outlier_set_to_NA
Note_AirTemp_Average_C	Substituted_value_calculated_from_Panel_Temp_and_linear_model	Substituted_value_calculated_from_Panel_Temp_and_linear_model
Note_AirTemp_Average_C	cleaned_air_temp_shield	cleaned_air_temp_shield
Note_AirTemp_Average_C	replaced_sensor_filter	replaced_sensor_filter
Note_AirTemp_Average_C	Outlier_set_to_NA	Outlier_set_to_NA
Note_RH_percent	Value_set_to_100	Value_set_to_100
Note_RH_percent	potentially_high_values_due_to_fouled_sensor_filter	potentially_high_values_due_to_fouled_sensor_filter
Note_RH_percent	Sample not collected	Sample not collected
Note_RH_percent	cleaned_air_temp_shield	cleaned_air_temp_shield
Note_RH_percent	replaced_sensor_filter	replaced_sensor_filter
Note_Rain_Total_mm	calibrated_rain_gauge	calibrated_rain_gauge
Note_Rain_Total_mm	possibly_calibrated_rain_gauge	possibly_calibrated_rain_gauge
Note_ShortwaveRadiationUp_Average_W_m2	Negative_value_set_to_0	Negative_value_set_to_0
Note_ShortwaveRadiationUp_Average_W_m2	Outlier_set_to_NA	Outlier_set_to_NA
Note_ShortwaveRadiationUp_Average_W_m2	cleaned_radiation_sensor_lenses	 cleaned_radiation_sensor_lenses
Note_ShortwaveRadiationDown_Average_W_m2	Negative_value_set_to_0	Negative_value_set_to_0
Note_ShortwaveRadiationDown_Average_W_m2	Outlier_set_to_NA	Outlier_set_to_NA
Note_ShortwaveRadiationDown_Average_W_m2	sensor_reading_low_values_due_to_fouling	sensor_reading_low_values_due_to_fouling
Note_ShortwaveRadiationDown_Average_W_m2	cleaned_radiation_sensor_lenses	cleaned_radiation_sensor_lenses
Note_InfaredRadiationUp_Average_W_m2	Value_corrected_from_Voltage_with_InfRadUp_equation_as_described_in_metadata	Value_corrected_from_Voltage_with_InfRadUp_equation_as_described_in_metadata
Note_InfaredRadiationUp_Average_W_m2	Outlier_set_to_NA	Outlier_set_to_NA
Note_InfaredRadiationUp_Average_W_m2	cleaned_radiation_sensor_lenses	cleaned_radiation_sensor_lenses
Note_InfaredRadiationDown_Average_W_m2	Value_corrected_from_Voltage_with_InfRadDn_equation_as_described_in_metadata	Value_corrected_from_Voltage_with_InfRadDn_equation_as_described_in_metadata
Note_InfaredRadiationDown_Average_W_m2	Value_corrected_from_mean_InfRadDn_before_fouling_as_described_in_metadata	Value_corrected_from_mean_InfRadDn_before_fouling_as_described_in_metadata
Note_InfaredRadiationDown_Average_W_m2	cleaned_radiation_sensor_lenses	cleaned_radiation_sensor_lenses
Note_Albedo_Average_W_m2	Outlier_set_to_NA	Outlier_set_to_NA
Note_Albedo_Average_W_m2	Negative_value_set_to_0	Negative_value_set_to_0
Note_Albedo_Average_W_m2	Infinite_value_set_to_NA	Infinite_value_set_to_NA
Note_Albedo_Average_W_m2	Set_to_NA_because_Shortwave_equals_NA	Set_to_NA_because_Shortwave_equals_NA
Note_Albedo_Average_W_m2	cleaned_radiation_sensor_lenses	cleaned_radiation_sensor_lenses
Note_WindSpeed_Average_m_s	potential_ice_interference	potential_ice_interference
Note_WindDir_degrees	potential_ice_interference	potential_ice_interference
