Date,Depth_m,Temp_C,Chla_ugL,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,pH,ORP_mV,PAR,Salinity,Descent Rate (m/s),Density_mg_m3,Flag
2019-06-17T10:51:51Z,0.113,22.8073,0.8655,1.868,33.546,32.011139,9.2939,107.757,8.892,292.9674,92.258,1.8405016620490091,-0.003,997.6029,0
2019-06-17T10:51:51Z,0.112,22.7541,0.8659,1.8605,33.475,31.9644,9.2989,107.878,8.888,292.5336,91.834,1.838555445707584,-0.002,997.6154,0
2019-06-17T10:51:51Z,0.104,22.6854,0.8621,1.8685,33.38,31.878486,9.3087,108.007,8.878,289.9812,92.119,1.8358421881187956,0,997.6315,0
2019-06-17T10:51:51Z,0.098,22.6701,0.8627,1.8995,33.315,31.797316,9.3231,108.118,8.866,285.1661,91.82,1.8326831895139402,0.005,997.6351,0
2019-06-17T10:51:51Z,0.1,22.7036,0.8643,1.9075,33.29,31.744438,9.3314,108.123,8.856,281.9797,89.11,1.8298587988562942,0.013,997.6272,0
2019-06-17T10:51:51Z,0.109,22.7468,0.8558,1.8672,33.325,31.746755,9.3283,107.993,8.846,280.795,85.224,1.8301315889265402,0.024,997.6171,0
2019-06-17T10:51:51Z,0.119,22.7613,0.8981,1.8382,33.372,31.761835,9.3201,107.805,8.834,280.0478,83.758,1.832272043292723,0.036,997.6138,0
2019-06-17T10:51:51Z,0.129,22.7215,0.9942,1.8517,33.373,31.736351,9.3101,107.606,8.821,279.6563,83.927,1.8339566459728025,0.045,997.6231,0
2019-06-17T10:51:51Z,0.141,22.6724,1.0475,1.8664,33.349,31.692417,9.2984000000000009,107.405,8.809,279.3311,81.287,1.834568500140837,0.049,997.6346,0
2019-06-17T10:51:51Z,0.157,22.6281,1.0562,1.8522,33.344,31.674812,9.287,107.235,8.799,279.0414,76.895,1.8360920251106316,0.049,997.645,0
2019-06-17T10:51:51Z,0.172,22.5791,1.0996,1.8116,33.319,31.650379,9.2804,107.158,8.79,278.7343,74.673,1.8366437365501798,0.048,997.6565,0
2019-06-17T10:51:51Z,0.185,22.5397,1.1821,1.8014,33.25,31.587375,9.2866,107.236,8.78,278.3717,74.153,1.8342315887813754,0.045,997.6658,0
2019-06-17T10:51:51Z,0.195,22.5064,1.2303,1.8269,33.214,31.54761,9.3078,107.462,8.768,278.2703,74.213,1.8334941086285619,0.04,997.6735,0
2019-06-17T10:51:51Z,0.204,22.4812,1.2408,1.8579,33.228,31.550321,9.3353,107.75,8.756,278.1966,75.918,1.8353469896422516,0.034,997.6793,0
2019-06-17T10:51:51Z,0.213,22.4886,1.2573,1.9136,33.242,31.556683,9.3598,108.011,8.75,277.7384,78.108,1.8358614477622301,0.029,997.6777,0
2019-06-17T10:51:51Z,0.219,22.5013,1.2823,1.9769,33.252,31.561058,9.3762,108.184,8.749,277.2034,79.409,1.8359241858203499,0.027,997.6747,0
2019-06-17T10:51:51Z,0.223,22.4865,1.3002,2.0333,33.235,31.539758,9.3804,108.215,8.748,276.8918,80.578,1.8355382071373845,0.03,997.6782,0
2019-06-17T10:51:51Z,0.228,22.4671,1.3082,2.0707,33.188,31.489505,9.3696,108.073,8.741,276.7236,82.3,1.8335860139243774,0.037,997.6827,0
2019-06-17T10:51:51Z,0.234,22.4588,1.353,2.068,33.164,31.461097,9.3457,107.781,8.731,276.6321,86,1.8325225825720912,0.045,997.6846,0
2019-06-17T10:51:51Z,0.245,22.4535,1.4342,2.0663,33.159,31.450099,9.3151,107.408,8.726,276.5603,91.299,1.8324473854473924,0.052,997.6859,0
2019-06-17T10:51:51Z,0.265,22.4434,1.4761,2.0507,33.134,31.419971,9.2824,107.01,8.726,276.5436,97.725,1.831398401770032,0.057,997.6883,0
2019-06-17T10:51:51Z,0.289,22.4345,1.4866,2.0107,33.134,31.414096,9.2502,106.621,8.727,276.6883,104.9,1.8317629476479627,0.059,997.6905,0
2019-06-17T10:51:51Z,0.305,22.4283,1.5003,2.0078,33.169,31.442523,9.2208,106.268,8.728,276.9335,111.7,1.8340660328580214,0.057,997.692,0
2019-06-17T10:51:51Z,0.316,22.4181,1.4946,2.0159,33.177,31.44639,9.1956,105.968,8.727,277.1857,119.95,1.8349534681817954,0.052,997.6944,0
2019-06-17T10:51:51Z,0.327,22.406,1.4774,2.01,33.193,31.46084,9.176,105.74,8.723,277.3282,128.31,1.8363880213533876,0.043,997.6973,0
2019-06-17T10:51:51Z,0.337,22.3984,1.4753,2.035,33.222,31.490326,9.1627,105.592,8.719,277.2796,136.02,1.8383996800187357,0.034,997.699,0
2019-06-17T10:51:51Z,0.347,22.3912,1.4688,2.0886,33.215,31.485626,9.1546,105.504,8.717,277.2001,146.06,1.8382859820560438,0.026,997.7007,0
2019-06-17T10:51:51Z,0.353,22.3843,1.442,2.1012,33.195,31.467472,9.1523,105.482,8.717,277.1409,158.46,1.8373980962648158,0.02,997.7023,0
2019-06-17T10:51:51Z,0.356,22.3848,1.4197,2.0572,33.189,31.461199,9.157,105.535,8.717,276.9944,173.26,1.8370257971378852,0.018,997.7022,0
2019-06-17T10:51:51Z,0.357,22.3882,1.425,2.0155,33.204,31.473229,9.1678,105.651,8.712,276.8922,190.38,1.8377647999177738,0.023,997.7014,0
2019-06-17T10:51:51Z,0.356,22.3913,1.4453,2.0222,33.223,31.486005,9.1832,105.813,8.703,276.8516,212.28,1.8387505147562684,0.033,997.7008,0
