Date,Depth_m,PAR,Chla_ugL
2019-06-17T10:51:51Z,0.113,92.258,0.8655
2019-06-17T10:51:51Z,0.112,91.834,0.8659
2019-06-17T10:51:51Z,0.104,92.119,0.8621
2019-06-17T10:51:51Z,0.098,91.82,0.8627
2019-06-17T10:51:51Z,0.1,89.11,0.8643
2019-06-17T10:51:51Z,0.109,85.224,0.8558
2019-06-17T10:51:51Z,0.119,83.758,0.8981
2019-06-17T10:51:51Z,0.129,83.927,0.9942
2019-06-17T10:51:51Z,0.141,81.287,1.0475
2019-06-17T10:51:51Z,0.157,76.895,1.0562
2019-06-17T10:51:51Z,0.172,74.673,1.0996
2019-06-17T10:51:51Z,0.185,74.153,1.1821
2019-06-17T10:51:51Z,0.195,74.213,1.2303
2019-06-17T10:51:51Z,0.204,75.918,1.2408
2019-06-17T10:51:51Z,0.213,78.108,1.2573
2019-06-17T10:51:51Z,0.219,79.409,1.2823
2019-06-17T10:51:51Z,0.223,80.578,1.3002
2019-06-17T10:51:51Z,0.228,82.3,1.3082
2019-06-17T10:51:51Z,0.234,86,1.353
2019-06-17T10:51:51Z,0.245,91.299,1.4342
2019-06-17T10:51:51Z,0.265,97.725,1.4761
2019-06-17T10:51:51Z,0.289,104.9,1.4866
2019-06-17T10:51:51Z,0.305,111.7,1.5003
2019-06-17T10:51:51Z,0.316,119.95,1.4946
2019-06-17T10:51:51Z,0.327,128.31,1.4774
2019-06-17T10:51:51Z,0.337,136.02,1.4753
2019-06-17T10:51:51Z,0.347,146.06,1.4688
2019-06-17T10:51:51Z,0.353,158.46,1.442
2019-06-17T10:51:51Z,0.356,173.26,1.4197
2019-06-17T10:51:51Z,0.357,190.38,1.425
2019-06-17T10:51:51Z,0.356,212.28,1.4453
2019-06-17T10:51:51Z,0.359,242.73,1.4568
2019-06-17T10:51:51Z,0.374,291.9,1.4697
2019-06-17T10:51:51Z,0.401,376.05,1.4789
2019-06-17T10:51:51Z,0.428,495.42,1.4816
2019-06-17T10:51:51Z,0.449,606.95,1.5195
2019-06-17T10:51:51Z,0.466,646.2,1.5825
2019-06-17T10:51:51Z,0.478,640.75,1.6097
2019-06-17T10:51:51Z,0.489,590.6,1.6058
2019-06-17T10:51:51Z,0.506,506.65,1.6134
2019-06-17T10:51:51Z,0.526,494.74,1.6228
2019-06-17T10:51:51Z,0.544,544.09,1.616
2019-06-17T10:51:51Z,0.555,656.81,1.609
2019-06-17T10:51:51Z,0.563,775.89,1.6084
2019-06-17T10:51:51Z,0.572,746.94,1.6076
2019-06-17T10:51:51Z,0.586,689.79,1.6
2019-06-17T10:51:51Z,0.604,727.05,1.5945
2019-06-17T10:51:51Z,0.619,795.62,1.619
2019-06-17T10:51:51Z,0.63,865.38,1.6534
2019-06-17T10:51:51Z,0.638,842.36,1.6554
2019-06-17T10:51:51Z,0.644,733.69,1.6434
2019-06-17T10:51:51Z,0.65,627.24,1.6466
2019-06-17T10:51:51Z,0.657,532.85,1.6673
2019-06-17T10:51:51Z,0.664,487.54,1.6864
2019-06-17T10:51:51Z,0.672,508.29,1.6866
2019-06-17T10:51:51Z,0.68,589.44,1.6782
2019-06-17T10:51:51Z,0.689,664.5,1.6718
2019-06-17T10:51:51Z,0.698,690.17,1.6787
2019-06-17T10:51:51Z,0.707,666.1,1.6917
2019-06-17T10:51:51Z,0.716,583.85,1.6909
2019-06-17T10:51:51Z,0.723,520.42,1.6945
2019-06-17T10:51:51Z,0.73,506.37,1.7188
2019-06-17T10:51:51Z,0.736,487,1.7327
2019-06-17T10:51:51Z,0.739,459.06,1.7233
2019-06-17T10:51:51Z,0.739,474.56,1.6751
2019-06-17T10:51:51Z,0.738,538.89,1.6011
2019-06-17T10:51:51Z,0.737,640.95,1.5654
2019-06-17T10:51:51Z,0.736,724.56,1.5553
2019-06-17T10:51:51Z,0.736,769.44,1.5397
2019-06-17T10:51:51Z,0.736,812.77,1.5162
2019-06-17T10:51:51Z,0.739,825.99,1.4963
2019-06-17T10:51:51Z,0.746,804.38,1.4987
2019-06-17T10:51:51Z,0.756,746.03,1.5007
2019-06-17T10:51:51Z,0.766,701.28,1.521
2019-06-17T10:51:51Z,0.774,666.62,1.5798
2019-06-17T10:51:51Z,0.779,612.8,1.6217
2019-06-17T10:51:51Z,0.783,551.8,1.629
2019-06-17T10:51:51Z,0.786,478.06,1.598
2019-06-17T10:51:51Z,0.788,486.72,1.5336
2019-06-17T10:51:51Z,0.791,535.04,1.4925
2019-06-17T10:51:51Z,0.795,499.68,1.4824
2019-06-17T10:51:51Z,0.802,458.33,1.4809
2019-06-17T10:51:51Z,0.812,445.18,1.4827
2019-06-17T10:51:51Z,0.823,425.94,1.4866
2019-06-17T10:51:51Z,0.833,428.43,1.4933
2019-06-17T10:51:51Z,0.84,434.82,1.5024
2019-06-17T10:51:51Z,0.845,433.18,1.5188
2019-06-17T10:51:51Z,0.846,410.59,1.5278
2019-06-17T10:51:51Z,0.846,365.23,1.5325
2019-06-17T10:51:51Z,0.846,339.96,1.5499
2019-06-17T10:51:51Z,0.849,312.48,1.556
2019-06-17T10:51:51Z,0.854,290.56,1.5455
2019-06-17T10:51:51Z,0.861,282.46,1.5447
2019-06-17T10:51:51Z,0.867,249.6,1.5542
2019-06-17T10:51:51Z,0.872,221.96,1.5566
2019-06-17T10:51:51Z,0.874,222.63,1.548
2019-06-17T10:51:51Z,0.878,230.36,1.5369
2019-06-17T10:51:51Z,0.884,229,1.535
2019-06-17T10:51:51Z,0.892,222.2,1.5426
2019-06-17T10:51:51Z,0.903,212.17,1.5506
2019-06-17T10:51:51Z,0.916,188.98,1.5533
2019-06-17T10:51:51Z,0.929,169.16,1.5497
2019-06-17T10:51:51Z,0.943,162.58,1.55
2019-06-17T10:51:51Z,0.954,158.88,1.5486
2019-06-17T10:51:51Z,0.963,155.55,1.5412
2019-06-17T10:51:51Z,0.972,151.82,1.5474
2019-06-17T10:51:51Z,0.981,147.86,1.5895
2019-06-17T10:51:51Z,0.987,144.08,1.6512
2019-06-17T10:51:51Z,0.988,140.12,1.6773
2019-06-17T10:51:51Z,0.989,136.75,1.6715
2019-06-17T10:51:51Z,0.991,135.41,1.6678
2019-06-17T10:51:51Z,0.994,135.46,1.6669
2019-06-17T10:51:51Z,0.998,135.59,1.6688
2019-06-17T10:51:51Z,1.003,135.81,1.6736
2019-06-17T10:51:51Z,1.009,136.21,1.6731
2019-06-17T10:51:51Z,1.016,135.92,1.6723
2019-06-17T10:51:51Z,1.024,134,1.6803
2019-06-17T10:51:51Z,1.033,130.36,1.6833
2019-06-17T10:51:51Z,1.04,125.91,1.6738
2019-06-17T10:51:51Z,1.04,121.84,1.6875
2019-06-17T10:51:51Z,1.033,118.5,1.7275
2019-06-17T10:51:51Z,1.023,116.39,1.7411
2019-06-17T10:51:51Z,1.018,115.92,1.7298
2019-06-17T10:51:51Z,1.019,116.68,1.7303
2019-06-17T10:51:51Z,1.025,117.97,1.7387
2019-06-17T10:51:51Z,1.034,118.89,1.7359
2019-06-17T10:51:51Z,1.044,119.06,1.7217
2019-06-17T10:51:51Z,1.051,118.71,1.723
2019-06-17T10:51:51Z,1.054,117.99,1.7523
2019-06-17T10:51:51Z,1.057,116.92,1.7803
2019-06-17T10:51:51Z,1.062,115.66,1.7843
2019-06-17T10:51:51Z,1.07,113.86,1.7669
2019-06-17T10:51:51Z,1.079,111.55,1.7429
2019-06-17T10:51:51Z,1.084,109.71,1.7281
2019-06-17T10:51:51Z,1.088,108.45,1.7261
2019-06-17T10:51:51Z,1.091,107.37,1.7276
2019-06-17T10:51:51Z,1.094,106.73,1.7376
2019-06-17T10:51:51Z,1.099,106.87,1.7612
2019-06-17T10:51:51Z,1.104,107.58,1.7791
2019-06-17T10:51:51Z,1.109,108.25,1.7889
2019-06-17T10:51:51Z,1.112,108.71,1.7921
2019-06-17T10:51:51Z,1.116,109.1,1.7926
2019-06-17T10:51:51Z,1.121,109.49,1.7951
2019-06-17T10:51:51Z,1.126,109.8,1.7963
2019-06-17T10:51:51Z,1.131,109.85,1.7983
2019-06-17T10:51:51Z,1.136,109.57,1.7936
