Date,Depth_m,PAR,Chla_ugL
2019-06-20T10:39:00Z,-0.265,717.14,0.3815
2019-06-20T10:39:00Z,-0.263,710.26,0.4135
2019-06-20T10:39:00Z,-0.267,745.05,0.4286
2019-06-20T10:39:00Z,-0.273,780.41,0.435
2019-06-20T10:39:00Z,-0.276,745.21,0.4647
2019-06-20T10:39:00Z,-0.273,931.73,0.5107
2019-06-20T10:39:00Z,-0.262,1391.1,0.5307
2019-06-20T10:39:00Z,-0.244,1646,0.5336
2019-06-20T10:39:00Z,-0.227,1638.7,0.5284
2019-06-20T10:39:00Z,-0.215,1523.5,0.5019
2019-06-20T10:39:00Z,-0.205,1313.3,0.4822
2019-06-20T10:39:00Z,-0.187,1132.8,0.4813
2019-06-20T10:39:00Z,-0.157,1111,0.4824
2019-06-20T10:39:00Z,-0.121,1473.6,0.4868
2019-06-20T10:39:00Z,-0.094,1915.6,0.4915
2019-06-20T10:39:00Z,-0.081,2135.5,0.4865
2019-06-20T10:39:00Z,-0.075,2090.2,0.4874
2019-06-20T10:39:00Z,-0.069,1714,0.5104
2019-06-20T10:39:00Z,-0.056,1443.6,0.5396
2019-06-20T10:39:00Z,-0.036,1318.5,0.5551
2019-06-20T10:39:00Z,-0.013,1250.8,0.5582
2019-06-20T10:39:00Z,0.011,1282.8,0.5688
2019-06-20T10:39:00Z,0.032,1369.2,0.5971
2019-06-20T10:39:00Z,0.051,1493.4,0.6135
2019-06-20T10:39:00Z,0.067,1443.9,0.6113
2019-06-20T10:39:00Z,0.081,1269.4,0.6138
2019-06-20T10:39:00Z,0.096,1157,0.6169
2019-06-20T10:39:00Z,0.113,1138.7,0.6154
2019-06-20T10:39:00Z,0.131,1051.6,0.6125
2019-06-20T10:39:00Z,0.148,908.9,0.6169
2019-06-20T10:39:00Z,0.164,895.4,0.6254
2019-06-20T10:39:00Z,0.179,890.27,0.6191
2019-06-20T10:39:00Z,0.189,1160.9,0.6108
2019-06-20T10:39:00Z,0.193,1520.2,0.6116
2019-06-20T10:39:00Z,0.194,1256.5,0.6025
2019-06-20T10:39:00Z,0.2,975.26,0.5786
2019-06-20T10:39:00Z,0.215,1092.5,0.5566
2019-06-20T10:39:00Z,0.233,1143.3,0.5442
2019-06-20T10:39:00Z,0.251,1123.4,0.542
2019-06-20T10:39:00Z,0.269,1107.6,0.5561
2019-06-20T10:39:00Z,0.285,1566.3,0.5669
2019-06-20T10:39:00Z,0.296,2062,0.5607
2019-06-20T10:39:00Z,0.301,1484.5,0.5764
2019-06-20T10:39:00Z,0.3,826.81,0.6177
2019-06-20T10:39:00Z,0.307,791.97,0.6343
2019-06-20T10:39:00Z,0.329,1238.6,0.6221
2019-06-20T10:39:00Z,0.355,1660,0.6089
2019-06-20T10:39:00Z,0.378,1319.2,0.6047
2019-06-20T10:39:00Z,0.401,967.78,0.6061
2019-06-20T10:39:00Z,0.423,858.62,0.5995
2019-06-20T10:39:00Z,0.439,679.46,0.5688
2019-06-20T10:39:00Z,0.45,631.1,0.5295
2019-06-20T10:39:00Z,0.462,736.32,0.5138
2019-06-20T10:39:00Z,0.474,869.57,0.5091
2019-06-20T10:39:00Z,0.484,840.82,0.4908
2019-06-20T10:39:00Z,0.493,757.27,0.4738
2019-06-20T10:39:00Z,0.5,766.99,0.4777
2019-06-20T10:39:00Z,0.507,776.04,0.4853
2019-06-20T10:39:00Z,0.513,788.8,0.4793
2019-06-20T10:39:00Z,0.52,743.83,0.4748
2019-06-20T10:39:00Z,0.531,678.98,0.4825
2019-06-20T10:39:00Z,0.543,740.81,0.4948
2019-06-20T10:39:00Z,0.554,997.41,0.5013
2019-06-20T10:39:00Z,0.566,1127.3,0.484
2019-06-20T10:39:00Z,0.581,794.3,0.4501
2019-06-20T10:39:00Z,0.597,457.17,0.4292
2019-06-20T10:39:00Z,0.612,424.21,0.4227
2019-06-20T10:39:00Z,0.627,497.46,0.4315
2019-06-20T10:39:00Z,0.642,534.93,0.4489
2019-06-20T10:39:00Z,0.655,541.83,0.4508
2019-06-20T10:39:00Z,0.665,565.77,0.4366
