"Plot Title: hobo60"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 2413147, SEN S/N: 2413147)","Host Connected (LGR S/N: 2413147)","Coupler Attached (LGR S/N: 2413147)","Stopped (LGR S/N: 2413147)","End Of File (LGR S/N: 2413147)"
1,12/06/18 05:00:00 PM,4.831,,,,
2,12/06/18 05:10:00 PM,4.831,,,,
3,12/06/18 05:20:00 PM,4.727,,,,
4,12/06/18 05:30:00 PM,4.727,,,,
5,12/06/18 05:40:00 PM,4.727,,,,
6,12/06/18 05:50:00 PM,4.727,,,,
7,12/06/18 06:00:00 PM,4.727,,,,
8,12/06/18 06:10:00 PM,4.727,,,,
9,12/06/18 06:20:00 PM,4.727,,,,
10,12/06/18 06:30:00 PM,4.727,,,,
11,12/06/18 06:40:00 PM,4.727,,,,
12,12/06/18 06:50:00 PM,4.727,,,,
13,12/06/18 07:00:00 PM,4.727,,,,
14,12/06/18 07:10:00 PM,4.727,,,,
15,12/06/18 07:20:00 PM,4.727,,,,
16,12/06/18 07:30:00 PM,4.727,,,,
17,12/06/18 07:40:00 PM,4.727,,,,
18,12/06/18 07:50:00 PM,4.727,,,,
19,12/06/18 08:00:00 PM,4.727,,,,
20,12/06/18 08:10:00 PM,4.727,,,,
21,12/06/18 08:20:00 PM,4.727,,,,
22,12/06/18 08:30:00 PM,4.727,,,,
23,12/06/18 08:40:00 PM,4.727,,,,
24,12/06/18 08:50:00 PM,4.727,,,,
25,12/06/18 09:00:00 PM,4.727,,,,
26,12/06/18 09:10:00 PM,4.727,,,,
27,12/06/18 09:20:00 PM,4.727,,,,
28,12/06/18 09:30:00 PM,4.727,,,,
29,12/06/18 09:40:00 PM,4.727,,,,
30,12/06/18 09:50:00 PM,4.727,,,,
31,12/06/18 10:00:00 PM,4.727,,,,
32,12/06/18 10:10:00 PM,4.623,,,,
33,12/06/18 10:20:00 PM,4.623,,,,
34,12/06/18 10:30:00 PM,4.623,,,,
35,12/06/18 10:40:00 PM,4.623,,,,
36,12/06/18 10:50:00 PM,4.623,,,,
37,12/06/18 11:00:00 PM,4.623,,,,
38,12/06/18 11:10:00 PM,4.623,,,,
39,12/06/18 11:20:00 PM,4.623,,,,
40,12/06/18 11:30:00 PM,4.623,,,,
41,12/06/18 11:40:00 PM,4.623,,,,
42,12/06/18 11:50:00 PM,4.623,,,,
43,12/07/18 12:00:00 AM,4.623,,,,
44,12/07/18 12:10:00 AM,4.623,,,,
45,12/07/18 12:20:00 AM,4.623,,,,
46,12/07/18 12:30:00 AM,4.623,,,,
47,12/07/18 12:40:00 AM,4.623,,,,
48,12/07/18 12:50:00 AM,4.623,,,,
49,12/07/18 01:00:00 AM,4.623,,,,
50,12/07/18 01:10:00 AM,4.623,,,,
51,12/07/18 01:20:00 AM,4.519,,,,
52,12/07/18 01:30:00 AM,4.519,,,,
53,12/07/18 01:40:00 AM,4.623,,,,
54,12/07/18 01:50:00 AM,4.623,,,,
55,12/07/18 02:00:00 AM,4.623,,,,
56,12/07/18 02:10:00 AM,4.519,,,,
57,12/07/18 02:20:00 AM,4.519,,,,
58,12/07/18 02:30:00 AM,4.623,,,,
59,12/07/18 02:40:00 AM,4.623,,,,
60,12/07/18 02:50:00 AM,4.623,,,,
61,12/07/18 03:00:00 AM,4.623,,,,
62,12/07/18 03:10:00 AM,4.623,,,,
63,12/07/18 03:20:00 AM,4.623,,,,
64,12/07/18 03:30:00 AM,4.623,,,,
65,12/07/18 03:40:00 AM,4.623,,,,
66,12/07/18 03:50:00 AM,4.623,,,,
67,12/07/18 04:00:00 AM,4.623,,,,
68,12/07/18 04:10:00 AM,4.623,,,,
69,12/07/18 04:20:00 AM,4.623,,,,
70,12/07/18 04:30:00 AM,4.519,,,,
71,12/07/18 04:40:00 AM,4.519,,,,
72,12/07/18 04:50:00 AM,4.519,,,,
73,12/07/18 05:00:00 AM,4.519,,,,
74,12/07/18 05:10:00 AM,4.519,,,,
75,12/07/18 05:20:00 AM,4.519,,,,
76,12/07/18 05:30:00 AM,4.519,,,,
77,12/07/18 05:40:00 AM,4.519,,,,
78,12/07/18 05:50:00 AM,4.519,,,,
79,12/07/18 06:00:00 AM,4.519,,,,
80,12/07/18 06:10:00 AM,4.519,,,,
81,12/07/18 06:20:00 AM,4.519,,,,
82,12/07/18 06:30:00 AM,4.519,,,,
83,12/07/18 06:40:00 AM,4.519,,,,
84,12/07/18 06:50:00 AM,4.519,,,,
85,12/07/18 07:00:00 AM,4.519,,,,
86,12/07/18 07:10:00 AM,4.519,,,,
87,12/07/18 07:20:00 AM,4.519,,,,
88,12/07/18 07:30:00 AM,4.519,,,,
89,12/07/18 07:40:00 AM,4.519,,,,
90,12/07/18 07:50:00 AM,4.519,,,,
91,12/07/18 08:00:00 AM,4.519,,,,
92,12/07/18 08:10:00 AM,4.519,,,,
93,12/07/18 08:20:00 AM,4.519,,,,
94,12/07/18 08:30:00 AM,4.519,,,,
95,12/07/18 08:40:00 AM,4.519,,,,
96,12/07/18 08:50:00 AM,4.519,,,,
97,12/07/18 09:00:00 AM,4.519,,,,
98,12/07/18 09:10:00 AM,4.519,,,,
99,12/07/18 09:20:00 AM,4.519,,,,
100,12/07/18 09:30:00 AM,4.623,,,,
