"Plot Title: hobo55"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 874439, SEN S/N: 874439)","Host Connected (LGR S/N: 874439)","Stopped (LGR S/N: 874439)","End Of File (LGR S/N: 874439)"
1,12/06/18 05:00:00 PM,4.415,,,
2,12/06/18 05:10:00 PM,4.415,,,
3,12/06/18 05:20:00 PM,4.415,,,
4,12/06/18 05:30:00 PM,4.415,,,
5,12/06/18 05:40:00 PM,4.415,,,
6,12/06/18 05:50:00 PM,4.415,,,
7,12/06/18 06:00:00 PM,4.415,,,
8,12/06/18 06:10:00 PM,4.415,,,
9,12/06/18 06:20:00 PM,4.415,,,
10,12/06/18 06:30:00 PM,4.415,,,
11,12/06/18 06:40:00 PM,4.415,,,
12,12/06/18 06:50:00 PM,4.415,,,
13,12/06/18 07:00:00 PM,4.415,,,
14,12/06/18 07:10:00 PM,4.415,,,
15,12/06/18 07:20:00 PM,4.415,,,
16,12/06/18 07:30:00 PM,4.415,,,
17,12/06/18 07:40:00 PM,4.415,,,
18,12/06/18 07:50:00 PM,4.415,,,
19,12/06/18 08:00:00 PM,4.415,,,
20,12/06/18 08:10:00 PM,4.415,,,
21,12/06/18 08:20:00 PM,4.415,,,
22,12/06/18 08:30:00 PM,4.415,,,
23,12/06/18 08:40:00 PM,4.415,,,
24,12/06/18 08:50:00 PM,4.415,,,
25,12/06/18 09:00:00 PM,4.415,,,
26,12/06/18 09:10:00 PM,4.415,,,
27,12/06/18 09:20:00 PM,4.415,,,
28,12/06/18 09:30:00 PM,4.415,,,
29,12/06/18 09:40:00 PM,4.415,,,
30,12/06/18 09:50:00 PM,4.415,,,
31,12/06/18 10:00:00 PM,4.415,,,
32,12/06/18 10:10:00 PM,4.415,,,
33,12/06/18 10:20:00 PM,4.311,,,
34,12/06/18 10:30:00 PM,4.311,,,
35,12/06/18 10:40:00 PM,4.311,,,
36,12/06/18 10:50:00 PM,4.311,,,
37,12/06/18 11:00:00 PM,4.311,,,
38,12/06/18 11:10:00 PM,4.311,,,
39,12/06/18 11:20:00 PM,4.311,,,
40,12/06/18 11:30:00 PM,4.311,,,
