miniWiper Concatenated Data File
Logger:             5958-292374
Concatenation Date: 2019Jun14 16:04:02 EDT
Wipe Type: 1 Scrub: 0 Angle: 45 (deg)
Timeout: 10 (second)  Threshold: 200 (mA)


            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Wipes Completed,     Wipe Time,  Forward Start Current,  Average Current,  Reverse Start Current,  Final Current,  Source Resistance
                  (Second),                        (none),                        (none),        (Volt),       (deg C),           (none),      (second),                   (mA),             (mA),                   (mA),           (mA),              (Ohm)
                1544126400,           2018-12-06 20:00:00,           2018-12-06 15:00:00,      3.410000,     12.014000,              573,           5.9,                   85.5,             80.6,                   85.5,          201.5,                1.5
                1544133600,           2018-12-06 22:00:00,           2018-12-06 17:00:00,      3.410000,     12.275000,              574,           6.0,                   88.0,             80.7,                   88.0,          230.5,                1.4
                1544140800,           2018-12-07 00:00:00,           2018-12-06 19:00:00,      3.420000,     12.014000,              575,           6.0,                   89.1,             82.2,                   89.1,          218.9,                1.4
                1544148000,           2018-12-07 02:00:00,           2018-12-06 21:00:00,      3.350000,     11.493000,              576,           5.9,                   94.7,             79.0,                   94.7,          222.9,                1.5
                1544155200,           2018-12-07 04:00:00,           2018-12-06 23:00:00,      3.420000,     12.014000,              577,           6.0,                   88.3,             81.2,                   88.3,          229.5,                1.3
                1544162400,           2018-12-07 06:00:00,           2018-12-07 01:00:00,      3.420000,     11.754000,              578,           6.0,                   90.1,             82.8,                   90.1,          211.3,                1.3
                1544169600,           2018-12-07 08:00:00,           2018-12-07 03:00:00,      3.420000,     11.754000,              579,           6.0,                   89.4,             81.5,                   89.4,          222.2,                1.3
                1544176800,           2018-12-07 10:00:00,           2018-12-07 05:00:00,      3.420000,     12.014000,              580,           6.1,                   90.5,             83.9,                   90.5,          233.0,                1.3
                1544184000,           2018-12-07 12:00:00,           2018-12-07 07:00:00,      3.420000,     11.754000,              581,           6.0,                   90.1,             81.9,                   90.1,          206.8,                1.3
                1544191200,           2018-12-07 14:00:00,           2018-12-07 09:00:00,      3.420000,     12.275000,              582,           6.1,                   90.8,             85.0,                   90.8,          221.5,                1.3
                1544198400,           2018-12-07 16:00:00,           2018-12-07 11:00:00,      3.360000,     11.232000,              583,           6.0,                   94.9,             81.0,                   94.9,          226.6,                1.5
