Date,Depth_m,PAR,Chla_ugL
2019-06-06T13:21:06Z,-0.229,516.79,0.9465
2019-06-06T13:21:06Z,-0.206,576.23,0.9541
2019-06-06T13:21:06Z,-0.189,685.88,0.9007
2019-06-06T13:21:06Z,-0.176,540.8,0.8893
2019-06-06T13:21:06Z,-0.172,491.06,0.8816
2019-06-06T13:21:06Z,-0.169,524.08,0.8893
2019-06-06T13:21:06Z,-0.155,507.53,0.8969
2019-06-06T13:21:06Z,-0.133,537.3,0.9045
2019-06-06T13:21:06Z,-0.106,531.31,0.8893
2019-06-06T13:21:06Z,-0.079,557.55,0.9007
2019-06-06T13:21:06Z,-0.057,705.74,0.9045
2019-06-06T13:21:06Z,-0.034,748.01,0.9045
2019-06-06T13:21:06Z,-0.006,673.45,0.8816
2019-06-06T13:21:06Z,0.018,611.5,0.9122
2019-06-06T13:21:06Z,0.033,422.76,0.8969
2019-06-06T13:21:06Z,0.043,398.84,0.9198
2019-06-06T13:21:06Z,0.056,461.93,0.9122
2019-06-06T13:21:06Z,0.077,380.93,0.9007
2019-06-06T13:21:06Z,0.107,356.34,0.9045
2019-06-06T13:21:06Z,0.133,349.69,1.0266
2019-06-06T13:21:06Z,0.159,329.05,1.019
2019-06-06T13:21:06Z,0.188,325.18,0.9961
2019-06-06T13:21:06Z,0.216,317.44,1.0075
2019-06-06T13:21:06Z,0.245,312.87,0.9351
2019-06-06T13:21:06Z,0.271,310.12,0.9618
2019-06-06T13:21:06Z,0.304,307.71,0.9808
2019-06-06T13:21:06Z,0.345,303.41,0.9656
2019-06-06T13:21:06Z,0.387,298.89,0.9465
2019-06-06T13:21:06Z,0.426,290.84,0.9694
2019-06-06T13:21:06Z,0.461,286.77,0.9846
2019-06-06T13:21:06Z,0.495,283.31,0.9694
2019-06-06T13:21:06Z,0.534,278.13,0.9541
2019-06-06T13:21:06Z,0.573,273.88,1.0953
2019-06-06T13:21:06Z,0.62,269.57,1.0876
2019-06-06T13:21:06Z,0.672,267.39,1.0876
2019-06-06T13:21:06Z,0.718,264.61,1.0876
2019-06-06T13:21:06Z,0.757,262.04,1.3242
2019-06-06T13:21:06Z,0.793,259.09,1.3013
2019-06-06T13:21:06Z,0.834,256.03,1.3394
2019-06-06T13:21:06Z,0.872,251.18,1.3318
2019-06-06T13:21:06Z,0.92,246.03,1.3738
2019-06-06T13:21:06Z,0.966,240.86,1.3814
2019-06-06T13:21:06Z,1.009,237.09,1.3776
2019-06-06T13:21:06Z,1.049,232.57,1.4043
2019-06-06T13:21:06Z,1.08,232.27,1.8697
2019-06-06T13:21:06Z,1.111,234.58,1.8353
2019-06-06T13:21:06Z,1.144,225.86,1.8887
2019-06-06T13:21:06Z,1.175,225.11,1.8659
2019-06-06T13:21:06Z,1.198,225.84,1.946
2019-06-06T13:21:06Z,1.224,215.77,1.9345
2019-06-06T13:21:06Z,1.265,214.54,1.9421
2019-06-06T13:21:06Z,1.313,214.72,1.9307
2019-06-06T13:21:06Z,1.36,207.03,1.9345
2019-06-06T13:21:06Z,1.404,201.23,2.0795
2019-06-06T13:21:06Z,1.443,201.97,2.0413
2019-06-06T13:21:06Z,1.479,201.73,2.0451
2019-06-06T13:21:06Z,1.512,196.55,2.049
2019-06-06T13:21:06Z,1.551,194.93,1.9917
2019-06-06T13:21:06Z,1.604,187.8,2.0032
2019-06-06T13:21:06Z,1.66,180.79,1.9803
2019-06-06T13:21:06Z,1.707,176.06,1.9879
2019-06-06T13:21:06Z,1.75,169.77,1.9383
2019-06-06T13:21:06Z,1.79,165.67,1.9345
2019-06-06T13:21:06Z,1.826,161.11,1.946
2019-06-06T13:21:06Z,1.859,156.43,1.946
2019-06-06T13:21:06Z,1.888,152.57,1.6827
2019-06-06T13:21:06Z,1.92,148.44,1.7094
2019-06-06T13:21:06Z,1.968,142.78,1.6866
2019-06-06T13:21:06Z,2.015,139.83,1.7094
2019-06-06T13:21:06Z,2.047,138.09,1.6942
2019-06-06T13:21:06Z,2.07,136.07,1.6255
2019-06-06T13:21:06Z,2.099,133.39,1.6408
2019-06-06T13:21:06Z,2.136,130.47,1.6332
2019-06-06T13:21:06Z,2.172,128.27,1.6293
2019-06-06T13:21:06Z,2.203,126.42,1.4272
2019-06-06T13:21:06Z,2.237,123.83,1.4729
2019-06-06T13:21:06Z,2.283,120.6,1.4424
2019-06-06T13:21:06Z,2.332,117.81,1.4577
2019-06-06T13:21:06Z,2.374,115.64,1.3051
2019-06-06T13:21:06Z,2.408,113.57,1.3318
2019-06-06T13:21:06Z,2.437,111.59,1.3203
2019-06-06T13:21:06Z,2.467,109.32,1.3242
