Date,Depth_m,Temp_C,Chla_ugL,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,pH,ORP_mV,PAR,Salinity,Descent Rate (m/s),Density_mg_m3,Flag
2019-06-13T10:35:28Z,0.016,22.0831,0.3065,1.1031,25.485,23.976345,7.6674,87.762,9.021,248.2709,1055.9,1.399051261706713,0.089,997.7675,0
2019-06-13T10:35:28Z,0.04,22.0784,0.2958,1.0847,25.477,23.962593,7.6626,87.684,9.023,248.4253,1057.9,1.398735382555212,0.09,997.7687,0
2019-06-13T10:35:28Z,0.06,22.0675,0.2993,1.1084,25.458,23.937239,7.6663,87.702,9.026,248.6564,1100.5,1.3979771927704117,0.088,997.7712,0
2019-06-13T10:35:28Z,0.081,22.049,0.3148,1.1604,25.452,23.923515,7.677,87.8,9.029,248.8287,995.52,1.398210477001499,0.084,997.7756,0
2019-06-13T10:35:28Z,0.102,22.0338,0.3186,1.189,25.458,23.923505,7.692,87.95,9.03,248.9601,590.92,1.3990357753773734,0.079,997.7791,0
2019-06-13T10:35:28Z,0.121,22.0237,0.3105,1.192,25.477,23.937116,7.7053,88.089,9.026,249.0409,286.7,1.4004548705394644,0.076,997.7815,0
2019-06-13T10:35:28Z,0.141,22.0077,0.3121,1.197,25.503,23.961212,7.713,88.174,9.017,249.0309,200.74,1.4024666752917745,0.072,997.7852,0
2019-06-13T10:35:28Z,0.161,21.9917,0.3112,1.1833,25.503,23.961107,7.7151,88.198,9.009,249.0966,165.01,1.4029711868178727,0.066,997.7888,0
2019-06-13T10:35:28Z,0.179,21.9788,0.2996,1.1583,25.477,23.935847,7.7139,88.183,9.006,249.2336,157.11,1.4018690651781673,0.059,997.7919,0
2019-06-13T10:35:28Z,0.194,21.9693,0.311,1.1234,25.449,23.90953,7.715,88.194,9.005,249.31,154.44,1.4005430919370816,0.054,997.7941,0
2019-06-13T10:35:28Z,0.205,21.9707,0.354,1.1218,25.437,23.896644,7.724,88.291,9.004,249.4183,155.58,1.3998022276759468,0.05,997.7939,0
2019-06-13T10:35:28Z,0.212,21.9724,0.3862,1.1714,25.451,23.906912,7.7385,88.446,9,249.5977,157.92,1.4005612536771948,0.049,997.7936,0
2019-06-13T10:35:28Z,0.222,21.97,0.3878,1.1669,25.454,23.906797,7.7508,88.578,8.991,249.6716,157.06,1.4008108889862745,0.05,997.7941,0
2019-06-13T10:35:28Z,0.236,21.97,0.3742,1.0994,25.444,23.895254,7.7573,88.646,8.977,249.6232,155.68,1.400230145246749,0.052,997.7942,0
2019-06-13T10:35:28Z,0.251,21.9662,0.3595,1.0764,25.445,23.894205,7.7566,88.632,8.964,249.6149,155.33,1.4004077597837779,0.052,997.7951,0
2019-06-13T10:35:28Z,0.268,21.9586,0.357,1.1176,25.447,23.89412,7.7475,88.522,8.958,249.7434,154.62,1.400763178781559,0.052,997.7969,0
2019-06-13T10:35:28Z,0.284,21.9535,0.3624,1.1391,25.45,23.894215,7.7327,88.344,8.953,249.8862,157.28,1.4010978869982025,0.052,997.7981,0
