Date,Depth_m,PAR,Chla_ugL
2019-07-08T09:42:19Z,0.16,1020.8,1.9307
2019-07-08T09:42:19Z,0.161,725.95,1.9689
2019-07-08T09:42:19Z,0.161,690.67,1.9345
2019-07-08T09:42:19Z,0.161,1017.9,1.946
2019-07-08T09:42:19Z,0.161,794.95,1.9345
2019-07-08T09:42:19Z,0.161,1183.8,1.9345
2019-07-08T09:42:19Z,0.161,901.54,2.1863
2019-07-08T09:42:19Z,0.162,1133.1,2.1787
2019-07-08T09:42:19Z,0.164,1602.7,2.1939
2019-07-08T09:42:19Z,0.168,688.53,2.1748
2019-07-08T09:42:19Z,0.172,524.43,2.1901
2019-07-08T09:42:19Z,0.176,895.16,2.3656
2019-07-08T09:42:19Z,0.18,1025.2,2.3694
2019-07-08T09:42:19Z,0.187,645.34,2.377
2019-07-08T09:42:19Z,0.196,320.35,2.3847
2019-07-08T09:42:19Z,0.207,406.12,2.5029
2019-07-08T09:42:19Z,0.219,486.58,2.5029
2019-07-08T09:42:19Z,0.231,536.22,2.4724
2019-07-08T09:42:19Z,0.244,638.07,2.5029
2019-07-08T09:42:19Z,0.258,527.68,2.5678
2019-07-08T09:42:19Z,0.274,690.55,2.5525
2019-07-08T09:42:19Z,0.291,569.32,2.5525
2019-07-08T09:42:19Z,0.304,652.63,2.5449
2019-07-08T09:42:19Z,0.312,1321.3,2.6708
2019-07-08T09:42:19Z,0.316,672.21,2.6746
2019-07-08T09:42:19Z,0.322,742.76,2.7089
2019-07-08T09:42:19Z,0.327,1463,2.6746
2019-07-08T09:42:19Z,0.338,708.95,2.8653
2019-07-08T09:42:19Z,0.348,590.36,2.8615
2019-07-08T09:42:19Z,0.352,988.31,2.8729
2019-07-08T09:42:19Z,0.364,567.13,2.8768
2019-07-08T09:42:19Z,0.378,400.69,2.8768
2019-07-08T09:42:19Z,0.389,729.3,2.9836
2019-07-08T09:42:19Z,0.401,976.63,2.9683
2019-07-08T09:42:19Z,0.413,559.91,2.9912
2019-07-08T09:42:19Z,0.423,399.09,2.9836
