Date,Depth_m,Temp_C,Chla_ugL,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,pH,ORP_mV,PAR,Salinity,Descent Rate (m/s),Density_mg_m3,Flag
2019-07-08T14:49:07Z,0.016,29.6651,1.7133,2.1832,39.67423,36.256,7.0037,91.877,6.216,255.6381,2435.6,0.0253,0.098,995.7472,0
2019-07-08T14:49:07Z,0.047,29.6255,1.6904,2.1544,39.610056,36.177,6.8979,90.475,6.221,254.6538,1367.4,0.0253,0.108,995.7575,0
2019-07-08T14:49:07Z,0.077,29.5972,1.6942,2.0823,39.675965,36.304,6.8109,89.339,6.227,254.0481,978.4,0.0253,0.115,995.769,0
2019-07-08T14:49:07Z,0.107,29.5736,1.9994,2.2697,39.710783,36.331,6.7455,88.496,6.231,251.8523,1533.6,0.0253,0.121,995.7809,0
2019-07-08T14:49:07Z,0.14,29.5398,2.0184,2.3274,39.6853,36.35,6.7259,88.244,6.23,251.7388,2057.5,0.0253,0.125,995.7895,0
2019-07-08T14:49:07Z,0.17,29.5198,1.9917,2.0823,39.648416,36.313,6.7369,88.359,6.232,251.7009,1586,0.0253,0.125,995.7967,0
2019-07-08T14:49:07Z,0.206,29.5146,1.9879,2.1111,39.578868,36.286,6.7324,88.271,6.232,254.3131,761,0.0253,0.124,995.8069,0
2019-07-08T14:49:07Z,0.248,29.5094,1.9956,2.2553,39.594036,36.299,6.7194,88.092,6.238,253.4045,1455,0.0253,0.126,995.813,0
2019-07-08T14:49:07Z,0.288,29.5027,1.9383,2.1976,39.629551,36.353,6.7182,88.026,6.24,253.9724,1646.7,0.0253,0.132,995.8148,0
2019-07-08T14:49:07Z,0.324,29.5005,1.9383,2.1544,39.65323,36.357,6.7325,88.121,6.244,254.8809,1097.7,0.0253,0.136,995.8165,0
2019-07-08T14:49:07Z,0.358,29.5028,1.946,2.1688,39.623849,36.361,6.7465,88.307,6.248,250.4516,1132.6,0.0253,0.14,995.8187,0
2019-07-08T14:49:07Z,0.401,29.4971,1.9689,2.1399,39.547565,36.261,6.7887,88.878,6.245,252.6473,1094.7,0.0253,0.145,995.8195,0
2019-07-08T14:49:07Z,0.439,29.4983,2.255,2.0967,39.570333,36.309,6.8728,89.822,6.248,252.9881,1058.7,0.0253,0.148,995.8189,0
2019-07-08T14:49:07Z,0.465,29.509,2.2626,2.212,39.536238,36.263,7.0038,91.402,6.249,256.2438,1086.6,0.0253,0.147,995.8207,0
2019-07-08T14:49:07Z,0.494,29.5111,2.2664,2.1255,39.471445,36.21,7.1471,93.281,6.25,256.6602,1021.6,0.0253,0.143,995.8205,0
2019-07-08T14:49:07Z,0.531,29.4935,2.2511,2.1688,39.532411,36.255,7.2576,94.722,6.253,257.0009,917.08,0.0253,0.138,995.8175,0
2019-07-08T14:49:07Z,0.572,29.4745,2.3656,2.1688,39.578917,36.304,7.3331,95.682,6.254,250.4895,832.53,0.0253,0.137,995.8171,0
2019-07-08T14:49:07Z,0.605,29.4682,2.377,2.1832,39.532124,36.265,7.3761,96.237,6.252,253.0259,861.51,0.0253,0.136,995.8224,0
2019-07-08T14:49:07Z,0.631,29.4346,2.3656,2.1111,39.472096,36.226,7.3666,96.107,6.254,253.2531,762.89,0.0253,0.133,995.8282,0
2019-07-08T14:49:07Z,0.662,29.3772,2.377,2.1832,39.475799,36.23,7.2988,95.203,6.253,256.7359,747.29,0.0253,0.129,995.8302,0
2019-07-08T14:49:07Z,0.697,29.3787,2.4266,2.1399,39.527526,36.303,7.1843,93.684,6.253,257.6066,776.62,0.0253,0.129,995.8404,0
2019-07-08T14:49:07Z,0.728,29.3849,2.4304,2.0102,39.526295,36.343,7.0429,91.814,6.252,251.2845,767.65,0.0253,0.129,995.8576,0
2019-07-08T14:49:07Z,0.76,29.2904,2.4304,2.1255,39.418075,36.24,6.8922,89.811,6.252,251.8523,751.02,0.0252,0.128,995.8572,0
2019-07-08T14:49:07Z,0.803,29.2084,2.4228,2.0967,39.365826,36.18,6.7591,88.035,6.251,252.3445,769.25,0.0252,0.128,995.8556,0
2019-07-08T14:49:07Z,0.841,29.2104,2.625,2.212,39.413498,36.298,6.6546,86.584,6.253,252.7609,714.81,0.0252,0.13,995.8837,0
2019-07-08T14:49:07Z,0.88,29.2107,2.6288,2.1544,39.418063,36.354,6.6347,86.193,6.256,254.9566,578.98,0.0252,0.136,995.9081,0
2019-07-08T14:49:07Z,0.919,29.1957,2.6135,2.1976,39.41946,36.35,6.6943,87.046,6.26,255.6002,635.2,0.0252,0.142,995.9077,0
2019-07-08T14:49:07Z,0.934,29.1921,2.625,2.2841,39.411771,36.351,6.8544,89.158,6.265,253.2152,762.95,0.0252,0.14,995.9076,0
2019-07-08T14:49:07Z,0.934,29.1881,2.5907,2.1111,39.368355,36.31,7.0236,91.332,6.269,253.4045,643.23,0.0252,0.128,995.912,0
2019-07-08T14:49:07Z,0.939,29.1768,2.8691,2.1976,39.35494,36.312,7.1687,93.177,6.277,253.1395,600.62,0.0252,0.111,995.9132,0
2019-07-08T14:49:07Z,0.952,29.1611,2.8653,2.1255,39.369192,36.315,7.2915,94.666,6.276,253.2531,700.73,0.0252,0.092,995.9144,0
2019-07-08T14:49:07Z,0.973,29.1452,2.8882,2.1688,39.409898,36.374,7.429,96.566,6.281,253.2152,706.73,0.0252,0.075,995.9178,0
2019-07-08T14:49:07Z,0.999,29.1191,2.8691,2.212,39.422841,36.384,7.6209,99.139,6.284,257.2281,641.68,0.0252,0.064,995.9226,0
2019-07-08T14:49:07Z,1.021,29.0954,2.8615,2.3707,39.41237,36.395,7.7561,100.827,6.281,255.9788,673.14,0.0252,0.059,995.9273,0
2019-07-08T14:49:07Z,1.027,29.0286,2.8386,2.3274,39.363664,36.36,7.8012,101.333,6.279,255.9409,646.19,0.0252,0.056,995.935,0
2019-07-08T14:49:07Z,1.042,28.9539,2.8424,2.3562,39.305639,36.327,7.7801,101.06,6.281,254.5024,608.16,0.0252,0.06,995.942,0
2019-07-08T14:49:07Z,1.059,28.993,2.8768,2.3995,39.366046,36.418,7.7023,100.048,6.279,253.8588,570.29,0.0252,0.066,995.9617,0
2019-07-08T14:49:07Z,1.062,29.0173,2.9874,2.1255,39.407073,36.53,7.5742,98.393,6.283,260.2945,566.88,0.0253,0.064,995.9836,0
2019-07-08T14:49:07Z,1.062,29.0029,2.9988,2.212,39.313885,36.391,7.4132,96.316,6.286,259.42380000000003,704.64,0.0252,0.055,995.9722,0
2019-07-08T14:49:07Z,1.062,28.9685,2.9874,2.0823,39.304182,36.378,7.2194,93.8,6.292,259.1588,638.74,0.0252,0.043,995.9652,0
2019-07-08T14:49:07Z,1.073,28.918,3.0027,2.1399,39.211668,36.311,7.023,91.245,6.296,256.8116,541.26,0.0252,0.033,995.9693,0
2019-07-08T14:49:07Z,1.105,28.9738,2.9607,2.1688,39.191917,36.278,6.8551,89.046,6.291,256.5845,576.66,0.0252,0.034,995.9795,0
2019-07-08T14:49:07Z,1.113,29.0236,2.9836,2.1832,39.328781,36.502,6.7332,87.461,6.294,260.4081,575.42,0.0252,0.037,995.9945,0
2019-07-08T14:49:07Z,1.113,28.9819,2.9912,2.0823,39.189547,36.275,6.6399,86.247,6.296,260.0674,570.68,0.0252,0.035,995.9781,0
2019-07-08T14:49:07Z,1.114,28.9404,2.9759,2.0534,39.098434,36.193,6.5715,85.354,6.3,260.5974,582.48,0.0251,0.034,995.9634,0
