Date,Depth_m,PAR,Chla_ugL
2019-07-08T14:49:07Z,-0.169,2509.6,1.6522
2019-07-08T14:49:07Z,-0.149,2452.6,1.6408
2019-07-08T14:49:07Z,-0.13,2543.7,1.5797
2019-07-08T14:49:07Z,-0.111,2403.9,1.5683
2019-07-08T14:49:07Z,-0.089,2624,1.5874
2019-07-08T14:49:07Z,-0.052,2273.2,1.553
2019-07-08T14:49:07Z,-0.015,1980.7,1.7094
2019-07-08T14:49:07Z,0.016,2435.6,1.7133
2019-07-08T14:49:07Z,0.047,1367.4,1.6904
2019-07-08T14:49:07Z,0.077,978.4,1.6942
2019-07-08T14:49:07Z,0.107,1533.6,1.9994
2019-07-08T14:49:07Z,0.14,2057.5,2.0184
2019-07-08T14:49:07Z,0.17,1586,1.9917
2019-07-08T14:49:07Z,0.206,761,1.9879
2019-07-08T14:49:07Z,0.248,1455,1.9956
2019-07-08T14:49:07Z,0.288,1646.7,1.9383
2019-07-08T14:49:07Z,0.324,1097.7,1.9383
2019-07-08T14:49:07Z,0.358,1132.6,1.946
2019-07-08T14:49:07Z,0.401,1094.7,1.9689
2019-07-08T14:49:07Z,0.439,1058.7,2.255
2019-07-08T14:49:07Z,0.465,1086.6,2.2626
2019-07-08T14:49:07Z,0.494,1021.6,2.2664
2019-07-08T14:49:07Z,0.531,917.08,2.2511
2019-07-08T14:49:07Z,0.572,832.53,2.3656
2019-07-08T14:49:07Z,0.605,861.51,2.377
2019-07-08T14:49:07Z,0.631,762.89,2.3656
2019-07-08T14:49:07Z,0.662,747.29,2.377
2019-07-08T14:49:07Z,0.697,776.62,2.4266
2019-07-08T14:49:07Z,0.728,767.65,2.4304
2019-07-08T14:49:07Z,0.76,751.02,2.4304
2019-07-08T14:49:07Z,0.803,769.25,2.4228
2019-07-08T14:49:07Z,0.841,714.81,2.625
2019-07-08T14:49:07Z,0.88,578.98,2.6288
2019-07-08T14:49:07Z,0.919,635.2,2.6135
2019-07-08T14:49:07Z,0.934,762.95,2.625
2019-07-08T14:49:07Z,0.934,643.23,2.5907
2019-07-08T14:49:07Z,0.939,600.62,2.8691
2019-07-08T14:49:07Z,0.952,700.73,2.8653
2019-07-08T14:49:07Z,0.973,706.73,2.8882
2019-07-08T14:49:07Z,0.999,641.68,2.8691
2019-07-08T14:49:07Z,1.021,673.14,2.8615
2019-07-08T14:49:07Z,1.027,646.19,2.8386
2019-07-08T14:49:07Z,1.042,608.16,2.8424
2019-07-08T14:49:07Z,1.059,570.29,2.8768
2019-07-08T14:49:07Z,1.062,566.88,2.9874
2019-07-08T14:49:07Z,1.062,704.64,2.9988
2019-07-08T14:49:07Z,1.062,638.74,2.9874
2019-07-08T14:49:07Z,1.073,541.26,3.0027
2019-07-08T14:49:07Z,1.105,576.66,2.9607
2019-07-08T14:49:07Z,1.113,575.42,2.9836
2019-07-08T14:49:07Z,1.113,570.68,2.9912
2019-07-08T14:49:07Z,1.114,582.48,2.9759
2019-07-08T14:49:07Z,1.114,579.56,3.0255
2019-07-08T14:49:07Z,1.115,546.59,3.0332
2019-07-08T14:49:07Z,1.115,556.27,3.0713
2019-07-08T14:49:07Z,1.115,544.13,3.0408
2019-07-08T14:49:07Z,1.115,510.27,3.0332
2019-07-08T14:49:07Z,1.117,589,2.9798
2019-07-08T14:49:07Z,1.121,589.17,2.9912
2019-07-08T14:49:07Z,1.123,555.79,2.9874
2019-07-08T14:49:07Z,1.136,587.46,2.9836
2019-07-08T14:49:07Z,1.146,517.68,2.9759
2019-07-08T14:49:07Z,1.147,514.73,2.9988
2019-07-08T14:49:07Z,1.147,578.53,2.9912
2019-07-08T14:49:07Z,1.157,548.35,2.9912
2019-07-08T14:49:07Z,1.199,504.66,3.0027
2019-07-08T14:49:07Z,1.229,486.61,2.9759
2019-07-08T14:49:07Z,1.233,513.42,2.9683
2019-07-08T14:49:07Z,1.241,483.13,3.0179
2019-07-08T14:49:07Z,1.253,475.39,2.9912
2019-07-08T14:49:07Z,1.261,498.95,2.9607
2019-07-08T14:49:07Z,1.288,456,2.9759
2019-07-08T14:49:07Z,1.325,451.9,2.9607
2019-07-08T14:49:07Z,1.335,447.31,3.0408
2019-07-08T14:49:07Z,1.346,428.41,3.0255
2019-07-08T14:49:07Z,1.355,443.58,3.0332
2019-07-08T14:49:07Z,1.356,427,3.037
2019-07-08T14:49:07Z,1.359,449.16,3.0027
2019-07-08T14:49:07Z,1.362,460.83,3.0027
2019-07-08T14:49:07Z,1.375,404.97,2.9759
2019-07-08T14:49:07Z,1.388,427.41,2.9874
2019-07-08T14:49:07Z,1.401,406.75,2.9836
2019-07-08T14:49:07Z,1.419,382.03,2.9988
2019-07-08T14:49:07Z,1.439,404.85,2.9912
2019-07-08T14:49:07Z,1.46,387.92,2.9683
2019-07-08T14:49:07Z,1.478,377.43,2.9721
2019-07-08T14:49:07Z,1.493,373.67,3.1285
2019-07-08T14:49:07Z,1.513,360.86,3.1018
2019-07-08T14:49:07Z,1.521,362,3.1362
2019-07-08T14:49:07Z,1.53,353.58,3.1247
2019-07-08T14:49:07Z,1.559,335.86,3.2926
2019-07-08T14:49:07Z,1.582,341.73,3.2964
2019-07-08T14:49:07Z,1.597,324.54,3.2773
2019-07-08T14:49:07Z,1.622,323.04,3.2926
2019-07-08T14:49:07Z,1.639,327.5,3.8343
2019-07-08T14:49:07Z,1.648,313.67,3.8152
2019-07-08T14:49:07Z,1.664,306.27,3.8343
2019-07-08T14:49:07Z,1.699,292.33,3.8457
2019-07-08T14:49:07Z,1.746,285.67,3.8457
2019-07-08T14:49:07Z,1.767,281.07,3.8419
2019-07-08T14:49:07Z,1.768,281.26,3.8457
2019-07-08T14:49:07Z,1.768,278.59,3.8305
2019-07-08T14:49:07Z,1.77,279.93,3.8381
2019-07-08T14:49:07Z,1.772,284.17,3.7198
2019-07-08T14:49:07Z,1.772,281.23,3.7084
2019-07-08T14:49:07Z,1.773,279.01,3.7198
2019-07-08T14:49:07Z,1.773,278.02,3.7122
2019-07-08T14:49:07Z,1.774,280.91,3.6473
2019-07-08T14:49:07Z,1.774,277.74,3.6321
2019-07-08T14:49:07Z,1.773,282.09,3.6473
2019-07-08T14:49:07Z,1.774,280.19,3.6626
2019-07-08T14:49:07Z,1.774,275.35,3.6473
2019-07-08T14:49:07Z,1.774,279.17,3.655
2019-07-08T14:49:07Z,1.774,277.9,3.6435
2019-07-08T14:49:07Z,1.777,275.79,3.6435
2019-07-08T14:49:07Z,1.787,267.43,3.5978
2019-07-08T14:49:07Z,1.817,262.18,3.6206
2019-07-08T14:49:07Z,1.845,256.15,3.5978
2019-07-08T14:49:07Z,1.873,249.09,3.5978
2019-07-08T14:49:07Z,1.908,236.25,3.5787
2019-07-08T14:49:07Z,1.935,228.85,3.5978
2019-07-08T14:49:07Z,1.96,227.64,3.6016
2019-07-08T14:49:07Z,1.987,218.78,3.5634
2019-07-08T14:49:07Z,2.012,215.1,3.5863
2019-07-08T14:49:07Z,2.04,205.46,3.5825
2019-07-08T14:49:07Z,2.07,199.53,3.613
2019-07-08T14:49:07Z,2.087,196.18,3.6054
2019-07-08T14:49:07Z,2.106,190.39,3.5978
2019-07-08T14:49:07Z,2.133,182.84,3.3918
2019-07-08T14:49:07Z,2.161,176.12,3.3994
2019-07-08T14:49:07Z,2.179,171.99,3.4108
2019-07-08T14:49:07Z,2.193,167.35,3.4261
2019-07-08T14:49:07Z,2.215,161.46,3.4757
2019-07-08T14:49:07Z,2.246,154.89,3.4528
2019-07-08T14:49:07Z,2.279,150.22,3.4604
2019-07-08T14:49:07Z,2.307,145.12,3.4719
2019-07-08T14:49:07Z,2.324,141.91,3.3727
2019-07-08T14:49:07Z,2.335,139.29,3.3994
2019-07-08T14:49:07Z,2.343,138.55,3.3956
2019-07-08T14:49:07Z,2.355,135.36,3.4108
2019-07-08T14:49:07Z,2.377,130.78,3.5482
2019-07-08T14:49:07Z,2.399,127.52,3.5329
2019-07-08T14:49:07Z,2.422,124.14,3.5253
2019-07-08T14:49:07Z,2.447,120.37,3.5215
2019-07-08T14:49:07Z,2.471,116.09,3.5253
2019-07-08T14:49:07Z,2.499,112.02,3.5978
2019-07-08T14:49:07Z,2.529,108.55,3.5558
2019-07-08T14:49:07Z,2.556,105.73,3.5901
2019-07-08T14:49:07Z,2.572,104.01,3.5939
2019-07-08T14:49:07Z,2.588,101.72,3.5405
2019-07-08T14:49:07Z,2.61,98.404,3.5329
2019-07-08T14:49:07Z,2.634,94.73,3.5253
2019-07-08T14:49:07Z,2.666,91.861,3.5253
2019-07-08T14:49:07Z,2.687,91.369,3.3345
2019-07-08T14:49:07Z,2.698,90.4,3.3422
2019-07-08T14:49:07Z,2.714,87.41,3.3689
2019-07-08T14:49:07Z,2.742,84.591,3.3383
2019-07-08T14:49:07Z,2.773,81.189,3.1438
2019-07-08T14:49:07Z,2.809,78.04,3.1705
2019-07-08T14:49:07Z,2.835,77.422,3.1629
2019-07-08T14:49:07Z,2.849,75.537,3.1629
2019-07-08T14:49:07Z,2.877,72.213,3.1972
2019-07-08T14:49:07Z,2.912,70.052,3.2315
2019-07-08T14:49:07Z,2.941,67.812,3.2468
2019-07-08T14:49:07Z,2.976,65.915,3.2468
2019-07-08T14:49:07Z,3.005,64.881,3.2048
2019-07-08T14:49:07Z,3.021,64.139,5.2
2019-07-08T14:49:07Z,3.032,63.342,5.2114
2019-07-08T14:49:07Z,3.045,62.571,5.1618
2019-07-08T14:49:07Z,3.057,62.103,5.1961
2019-07-08T14:49:07Z,3.065,61.516,8.8621
