Date,Depth_m,PAR,Chla_ugL
2019-07-10T11:33:38Z,-0.158,922.42,0.6835
2019-07-10T11:33:38Z,-0.156,920.78,0.6923
2019-07-10T11:33:38Z,-0.154,917.76,0.7047
2019-07-10T11:33:38Z,-0.152,915.55,0.7117
2019-07-10T11:33:38Z,-0.149,915.63,0.7166
2019-07-10T11:33:38Z,-0.147,915.99,0.7205
2019-07-10T11:33:38Z,-0.145,915.03,0.7246
2019-07-10T11:33:38Z,-0.144,914.38,0.7314
2019-07-10T11:33:38Z,-0.142,916.1,0.7247
2019-07-10T11:33:38Z,-0.14,919.22,0.7131
2019-07-10T11:33:38Z,-0.138,922.49,0.73
2019-07-10T11:33:38Z,-0.137,925.48,0.7641
2019-07-10T11:33:38Z,-0.136,926.01,0.7788
2019-07-10T11:33:38Z,-0.135,926.56,0.7775
2019-07-10T11:33:38Z,-0.132,929.85,0.7653
2019-07-10T11:33:38Z,-0.13,933.11,0.744
2019-07-10T11:33:38Z,-0.128,932.26,0.728
2019-07-10T11:33:38Z,-0.123,928.13,0.7197
2019-07-10T11:33:38Z,-0.113,925.52,0.7132
2019-07-10T11:33:38Z,-0.098,920.83,0.7102
2019-07-10T11:33:38Z,-0.079,893.93,0.7174
2019-07-10T11:33:38Z,-0.056,818.85,0.722
2019-07-10T11:33:38Z,-0.028,717.75,0.7233
2019-07-10T11:33:38Z,0.005,653,0.7329
2019-07-10T11:33:38Z,0.039,661.11,0.7338
2019-07-10T11:33:38Z,0.069,675.74,0.7256
2019-07-10T11:33:38Z,0.095,620.56,0.7293
2019-07-10T11:33:38Z,0.123,553.51,0.7609
2019-07-10T11:33:38Z,0.155,517.79,0.814
2019-07-10T11:33:38Z,0.187,494.01,0.8421
2019-07-10T11:33:38Z,0.22,471.37,0.8398
2019-07-10T11:33:38Z,0.255,441.27,0.8384
2019-07-10T11:33:38Z,0.292,410.47,0.8432
2019-07-10T11:33:38Z,0.329,384.37,0.8449
2019-07-10T11:33:38Z,0.36,364.3,0.8423
2019-07-10T11:33:38Z,0.383,348.53,0.8553
2019-07-10T11:33:38Z,0.4,329.9,0.8891
2019-07-10T11:33:38Z,0.415,308.2,0.9131
2019-07-10T11:33:38Z,0.43,286.64,0.9106
2019-07-10T11:33:38Z,0.45,265.93,0.9112
2019-07-10T11:33:38Z,0.471,247.19,0.9379
2019-07-10T11:33:38Z,0.484,231.14,0.9652
2019-07-10T11:33:38Z,0.488,218.14,0.9722
2019-07-10T11:33:38Z,0.491,211.4,0.9531
2019-07-10T11:33:38Z,0.501,210.4,0.9256
2019-07-10T11:33:38Z,0.521,208.95,0.917
2019-07-10T11:33:38Z,0.553,207.8,0.9176
2019-07-10T11:33:38Z,0.594,209.05,0.9158
2019-07-10T11:33:38Z,0.645,208.1,0.9209
2019-07-10T11:33:38Z,0.706,203.83,0.9446
2019-07-10T11:33:38Z,0.769,199.43,0.9683
2019-07-10T11:33:38Z,0.825,195.91,0.9735
2019-07-10T11:33:38Z,0.867,193.11,0.9817
2019-07-10T11:33:38Z,0.896,190.39,1.0069
2019-07-10T11:33:38Z,0.919,186.37,1.0263
2019-07-10T11:33:38Z,0.943,180.56,1.0338
2019-07-10T11:33:38Z,0.973,173.23,1.0196
2019-07-10T11:33:38Z,1.014,164.81,0.985
2019-07-10T11:33:38Z,1.063,157.18,0.9719
2019-07-10T11:33:38Z,1.111,151.44,0.9814
2019-07-10T11:33:38Z,1.157,146.22,0.9872
2019-07-10T11:33:38Z,1.201,141.62,0.9821
2019-07-10T11:33:38Z,1.24,138.73,0.9717
2019-07-10T11:33:38Z,1.271,136.48,0.9653
2019-07-10T11:33:38Z,1.298,134.21,0.9653
2019-07-10T11:33:38Z,1.323,132.73,0.9631
2019-07-10T11:33:38Z,1.346,131.79,0.9558
2019-07-10T11:33:38Z,1.369,130.77,0.9558
2019-07-10T11:33:38Z,1.392,129.95,0.9627
2019-07-10T11:33:38Z,1.416,129.25,0.9782
2019-07-10T11:33:38Z,1.441,128.24,1.0042
2019-07-10T11:33:38Z,1.466,127.29,1.0168
2019-07-10T11:33:38Z,1.49,126.33,1.0179
2019-07-10T11:33:38Z,1.512,124.98,1.018
2019-07-10T11:33:38Z,1.53,123.71,1.018
2019-07-10T11:33:38Z,1.543,122.54,1.0273
2019-07-10T11:33:38Z,1.559,120.75,1.0347
2019-07-10T11:33:38Z,1.586,118.27,1.0458
2019-07-10T11:33:38Z,1.622,115.94,1.0667
2019-07-10T11:33:38Z,1.658,114.07,1.0791
2019-07-10T11:33:38Z,1.688,112.07,1.0833
2019-07-10T11:33:38Z,1.711,110.45,1.0743
2019-07-10T11:33:38Z,1.726,109.53,1.0567
2019-07-10T11:33:38Z,1.735,108.6,1.0432
2019-07-10T11:33:38Z,1.741,107.91,1.0336
2019-07-10T11:33:38Z,1.749,107.56,1.0354
2019-07-10T11:33:38Z,1.762,106.93,1.0386
2019-07-10T11:33:38Z,1.784,106.23,1.0289
2019-07-10T11:33:38Z,1.816,105.67,1.0224
2019-07-10T11:33:38Z,1.853,105.22,1.0294
2019-07-10T11:33:38Z,1.887,105.13,1.0442
2019-07-10T11:33:38Z,1.918,105.13,1.0623
2019-07-10T11:33:38Z,1.949,104.97,1.0748
2019-07-10T11:33:38Z,1.981,104.77,1.0834
2019-07-10T11:33:38Z,2.009,104.5,1.0793
2019-07-10T11:33:38Z,2.032,104.24,1.0508
2019-07-10T11:33:38Z,2.052,104.01,1.0253
2019-07-10T11:33:38Z,2.069,103.66,1.0224
2019-07-10T11:33:38Z,2.083,103.34,1.0245
2019-07-10T11:33:38Z,2.092,103.12,1.0246
2019-07-10T11:33:38Z,2.099,102.75,1.0236
2019-07-10T11:33:38Z,2.108,101.94,1.0126
2019-07-10T11:33:38Z,2.123,100.74,0.9957
2019-07-10T11:33:38Z,2.145,99.566,0.9833
2019-07-10T11:33:38Z,2.172,98.45,0.9763
2019-07-10T11:33:38Z,2.2,97.416,0.9709
2019-07-10T11:33:38Z,2.226,96.704,0.9797
2019-07-10T11:33:38Z,2.248,96.12,1.0135
2019-07-10T11:33:38Z,2.268,95.488,1.0407
2019-07-10T11:33:38Z,2.29,95.014,1.0399
2019-07-10T11:33:38Z,2.314,94.734,1.0292
2019-07-10T11:33:38Z,2.337,94.511,1.0068
2019-07-10T11:33:38Z,2.361,94.307,0.9861
2019-07-10T11:33:38Z,2.386,94.114,0.979
2019-07-10T11:33:38Z,2.409,93.884,0.9721
2019-07-10T11:33:38Z,2.43,93.592,0.9983
2019-07-10T11:33:38Z,2.451,93.287,1.0535
2019-07-10T11:33:38Z,2.473,93.077,1.0848
2019-07-10T11:33:38Z,2.494,92.974,1.0997
2019-07-10T11:33:38Z,2.513,92.906,1.2325
2019-07-10T11:33:38Z,2.532,92.751,1.486
2019-07-10T11:33:38Z,2.552,92.286,1.6239
2019-07-10T11:33:38Z,2.576,91.566,1.6257
2019-07-10T11:33:38Z,2.599,90.964,1.5859
2019-07-10T11:33:38Z,2.618,90.425,1.5155
2019-07-10T11:33:38Z,2.636,89.737,1.4763
2019-07-10T11:33:38Z,2.653,89.336,1.4682
2019-07-10T11:33:38Z,2.661,89.801,1.3735
2019-07-10T11:33:38Z,2.652,90.942,1.1987
2019-07-10T11:33:38Z,2.634,91.812,1.1058
2019-07-10T11:33:38Z,2.628,91.772,1.1003
2019-07-10T11:33:38Z,2.646,91.042,1.1148
2019-07-10T11:33:38Z,2.681,90.342,1.2803
2019-07-10T11:33:38Z,2.716,90.252,1.5851
2019-07-10T11:33:38Z,2.739,90.665,1.7576
2019-07-10T11:33:38Z,2.75,91.342,1.7789
2019-07-10T11:33:38Z,2.754,92.202,1.7984
2019-07-10T11:33:38Z,2.752,92.98,1.8461
2019-07-10T11:33:38Z,2.75,93.379,1.8795
2019-07-10T11:33:38Z,2.754,93.436,1.8902
2019-07-10T11:33:38Z,2.762,93.3,1.9237
2019-07-10T11:33:38Z,2.774,92.645,1.9805
2019-07-10T11:33:38Z,2.799,91.364,2.013
2019-07-10T11:33:38Z,2.833,90.025,1.9957
2019-07-10T11:33:38Z,2.863,88.851,1.8762
2019-07-10T11:33:38Z,2.89,87.582,1.6858
2019-07-10T11:33:38Z,2.915,86.357,1.5923
2019-07-10T11:33:38Z,2.936,85.483,1.596
2019-07-10T11:33:38Z,2.951,84.726,1.5912
2019-07-10T11:33:38Z,2.965,83.691,1.5697
2019-07-10T11:33:38Z,2.984,82.428,1.5692
2019-07-10T11:33:38Z,3.01,81.312,1.5861
2019-07-10T11:33:38Z,3.032,80.504,1.5921
2019-07-10T11:33:38Z,3.046,79.747,1.6416
2019-07-10T11:33:38Z,3.059,78.818,1.7506
2019-07-10T11:33:38Z,3.077,77.75,1.8176
2019-07-10T11:33:38Z,3.099,76.633,1.827
2019-07-10T11:33:38Z,3.122,75.61,1.8214
2019-07-10T11:33:38Z,3.141,74.885,1.81
2019-07-10T11:33:38Z,3.154,74.369,1.8115
2019-07-10T11:33:38Z,3.166,73.676,1.83
2019-07-10T11:33:38Z,3.185,72.789,1.8868
2019-07-10T11:33:38Z,3.21,71.944,1.969
2019-07-10T11:33:38Z,3.235,71.215,2.009
