Date,Depth_m,PAR,Chla_ugL
2019-07-10T18:55:45Z,-0.057,442.05,0.6184
2019-07-10T18:55:45Z,-0.056,431.51,0.6261
2019-07-10T18:55:45Z,-0.054,438.02,0.6833
2019-07-10T18:55:45Z,-0.051,446.8,0.6947
2019-07-10T18:55:45Z,-0.046,421.89,0.6947
2019-07-10T18:55:45Z,-0.035,414.2,0.6718
2019-07-10T18:55:45Z,-0.021,382.15,0.668
2019-07-10T18:55:45Z,-0.006,331.34,0.6871
2019-07-10T18:55:45Z,0.007,308.14,0.668
2019-07-10T18:55:45Z,0.022,369.72,0.6528
2019-07-10T18:55:45Z,0.038,423.67,0.7138
2019-07-10T18:55:45Z,0.051,370.03,0.7062
2019-07-10T18:55:45Z,0.06,337.63,0.7214
2019-07-10T18:55:45Z,0.072,328.29,0.7138
2019-07-10T18:55:45Z,0.096,301.21,0.6528
2019-07-10T18:55:45Z,0.115,284.85,0.6757
2019-07-10T18:55:45Z,0.123,324.09,0.6947
2019-07-10T18:55:45Z,0.133,334.84,0.6757
2019-07-10T18:55:45Z,0.139,319.01,0.6604
2019-07-10T18:55:45Z,0.141,323.5,0.6757
2019-07-10T18:55:45Z,0.141,312.84,0.6947
2019-07-10T18:55:45Z,0.141,306.2,0.6947
2019-07-10T18:55:45Z,0.144,342.8,0.6833
2019-07-10T18:55:45Z,0.146,358.81,0.6833
2019-07-10T18:55:45Z,0.144,338.16,0.6757
2019-07-10T18:55:45Z,0.144,335.37,0.6757
2019-07-10T18:55:45Z,0.146,331.54,0.6757
2019-07-10T18:55:45Z,0.146,348.43,0.6718
2019-07-10T18:55:45Z,0.144,338.17,0.6528
2019-07-10T18:55:45Z,0.148,311.53,0.6795
2019-07-10T18:55:45Z,0.153,322.74,0.6947
2019-07-10T18:55:45Z,0.153,288.54,0.6566
2019-07-10T18:55:45Z,0.153,304.21,0.6604
2019-07-10T18:55:45Z,0.161,323.24,0.668
2019-07-10T18:55:45Z,0.169,259.1,0.6757
2019-07-10T18:55:45Z,0.169,278.61,0.6909
2019-07-10T18:55:45Z,0.174,343.65,0.7062
2019-07-10T18:55:45Z,0.192,267.9,0.6947
2019-07-10T18:55:45Z,0.207,251.5,0.6795
2019-07-10T18:55:45Z,0.218,228.62,0.6947
2019-07-10T18:55:45Z,0.232,234.71,0.6757
2019-07-10T18:55:45Z,0.253,358.24,0.6413
2019-07-10T18:55:45Z,0.279,262.19,0.6757
2019-07-10T18:55:45Z,0.301,268.5,0.6947
2019-07-10T18:55:45Z,0.325,294.39,0.6528
2019-07-10T18:55:45Z,0.355,210.6,0.6375
2019-07-10T18:55:45Z,0.373,199.56,0.6871
2019-07-10T18:55:45Z,0.384,163.09,0.6642
2019-07-10T18:55:45Z,0.399,124.33,0.7367
2019-07-10T18:55:45Z,0.421,112.99,0.7024
2019-07-10T18:55:45Z,0.435,116.72,0.7291
