Date,Depth_m,Temp_C,Chla_ugL,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,pH,ORP_mV,PAR,Salinity,Descent Rate (m/s),Density_mg_m3,Flag
2019-07-10T22:11:09Z,0.024,26.6604,0.7519,1.1882,27.016702,26.159,4.8816,60.946,6.176,255.0324,0.12367,0.0206,0.057,996.6293,0
2019-07-10T22:11:09Z,0.049,26.6678,0.7634,1.1017,27.019709,26.154,4.9475,61.876,6.162,255.1081,0.12362,0.0206,0.066,996.6267,0
2019-07-10T22:11:09Z,0.066,26.6745,0.7748,1.0008,27.023484,26.148,5.2444,65.918,6.157,254.4645,0.12355,0.0206,0.073,996.6236,0
2019-07-10T22:11:09Z,0.089,26.6854,0.7825,0.8854,27.041623,26.171,5.8713,74.109,6.163,254.3509,0.12371,0.0206,0.079,996.6217,0
2019-07-10T22:11:09Z,0.108,26.6917,0.7596,0.871,27.026754,26.141,6.6199,83.778,6.158,254.3888,0.12384,0.0206,0.083,996.62,0
2019-07-10T22:11:09Z,0.121,26.682,0.7634,0.8998,27.071606,26.19,7.2324,91.662,6.161,254.4645,0.12378,0.0206,0.082,996.617,0
2019-07-10T22:11:09Z,0.135,26.678,0.771,0.8998,27.074663,26.186,7.7217,97.934,6.165,254.9566,0.12375,0.0206,0.08,996.6154,0
2019-07-10T22:11:09Z,0.149,26.6859,0.7214,1.0873,27.022946,26.137,8.0708,102.404,6.17,254.8052,0.12369,0.0206,0.074,996.6181,0
2019-07-10T22:11:09Z,0.17,26.6826,0.7176,1.1017,27.017485,26.14,8.2856,105.151,6.173,255.4488,0.12357,0.0206,0.069,996.6192,0
2019-07-10T22:11:09Z,0.189,26.69,0.7252,1.0729,27.081461,26.189,8.3543,106.031,6.167,255.4109,0.12384,0.0206,0.067,996.6172,0
2019-07-10T22:11:09Z,0.207,26.7031,0.71,1.1882,27.032191,26.164,8.2803,105.099,6.175,255.4866,0.12382,0.0206,0.066,996.6182,0
2019-07-10T22:11:09Z,0.225,26.8096,0.7863,1.044,27.108421,26.188,8.1279,103.168,6.182,255.9409,0.12366,0.0206,0.066,996.6163,0
2019-07-10T22:11:09Z,0.236,27.0749,0.7596,0.8422,27.579009,26.692,7.971,101.176,6.174,256.1681,0.12366,0.0208,0.066,996.6129,0
2019-07-10T22:11:09Z,0.248,27.3167,0.7977,0.7989,27.838725,26.858,7.8467,99.599,6.175,257.1145,0.12369,0.0209,0.066,996.584,0
2019-07-10T22:11:09Z,0.264,27.4611,0.7786,1.0008,27.881144,26.768,7.746,98.323,6.176,257.1145,0.12371,0.0209,0.064,996.5112,0
2019-07-10T22:11:09Z,0.277,27.5442,0.7519,0.8422,27.970457,26.728,7.6718,97.384,6.174,257.5309,0.12375,0.021,0.062,996.4444,0
2019-07-10T22:11:09Z,0.29,27.5842,0.7519,0.9287,27.964464,26.652,7.6121,96.628,6.179,257.8717,0.1237,0.021,0.058,996.4042,0
2019-07-10T22:11:09Z,0.306,27.6082,0.7176,0.8133,27.977408,26.611,7.5695,96.088,6.18,258.2502,0.12351,0.021,0.056,996.381,0
2019-07-10T22:11:09Z,0.324,27.6192,0.7176,0.8998,27.954316,26.591,7.541,95.727,6.182,258.5152,0.12375,0.021,0.055,996.3699,0
2019-07-10T22:11:09Z,0.337,27.625,0.7748,1.0873,27.90432,26.499,7.5236,95.506,6.175,258.6667,0.12377,0.0209,0.056,996.3631,0
