Date,Depth_m,Temp_C,Chla_ugL,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,pH,ORP_mV,PAR,Salinity,Descent Rate (m/s),Density_mg_m3,Flag
2019-07-11T07:10:46Z,0.016,26.0505,0.7786,0.871,27.706632,27.182,5.7982,71.953,6.56,270.7053,34.801,0.0208,0.07,996.8065,0
2019-07-11T07:10:46Z,0.05,26.0538,0.7748,0.8998,27.66999,27.115,5.8023,72.193,6.556,271.1974,32.756,0.0208,0.075,996.8005,0
2019-07-11T07:10:46Z,0.073,25.9945,0.7672,0.7845,27.599376,27.035,5.7679,71.891,6.552,271.2731,32.534,0.0207,0.078,996.788,0
2019-07-11T07:10:46Z,0.092,25.9459,0.7672,0.8854,27.61677,27.031,5.725,71.434,6.557,271.311,30.255,0.0207,0.08,996.7871,0
2019-07-11T07:10:46Z,0.127,25.931,0.7748,0.9143,27.648344,27.12,5.6913,71.065,6.558,271.5003,27.821,0.0208,0.088,996.803,0
2019-07-11T07:10:46Z,0.157,25.9282,0.7558,0.9431,27.619342,27.09,5.6749,70.915,6.55,271.6517,27.247,0.0207,0.097,996.8161,0
2019-07-11T07:10:46Z,0.17,25.9366,0.7825,0.8422,27.593637,27.099,5.6776,70.964,6.542,271.7274,26.344,0.0207,0.1,996.8201,0
2019-07-11T07:10:46Z,0.185,25.9684,0.7405,0.8998,27.621098,27.099,5.6815,71.018,6.536,271.841,25.984,0.0207,0.098,996.821,0
2019-07-11T07:10:46Z,0.21,26.0675,0.6985,0.9143,27.64441,27.151,5.6895,71.11,6.534,271.841,26.148,0.0208,0.094,996.8188,0
2019-07-11T07:10:46Z,0.232,26.2214,0.7481,0.8133,27.683107,27.133,5.6831,70.997,6.526,272.4467,25.908,0.0208,0.089,996.8104,0
2019-07-11T07:10:46Z,0.254,26.3722,0.7176,0.9143,27.869141,27.301,5.6768,70.919,6.517,272.901,25.252,0.0209,0.087,996.7842,0
2019-07-11T07:10:46Z,0.277,26.5115,0.7214,0.8133,27.916425,27.243,5.7192,71.523,6.515,273.2038,24.792,0.0209,0.086,996.7432,0
2019-07-11T07:10:46Z,0.29,26.6129,0.7672,0.8854,27.772316,27.03,5.959,74.737,6.507,273.5067,24.575,0.0208,0.08,996.7027,0
2019-07-11T07:10:46Z,0.307,26.6703,0.7596,0.871,27.722587,26.9,6.3724,80.127,6.504,273.8853,23.741,0.0208,0.078,996.6653,0
2019-07-11T07:10:46Z,0.328,26.7144,0.7672,0.871,27.711669,26.849,6.8174,85.853,6.502,274.3396,22.841,0.0208,0.079,996.6379,0
2019-07-11T07:10:46Z,0.351,26.7536,0.7939,0.871,27.667379,26.763,7.2111,90.893,6.506,275.286,22.365,0.0208,0.079,996.6223,0
2019-07-11T07:10:46Z,0.372,26.7683,0.7672,0.7845,27.718437,26.796,7.5307,94.971,6.511,275.3238,21.471,0.0208,0.077,996.6105,0
2019-07-11T07:10:46Z,0.401,26.7722,0.8893,0.871,27.707353,26.774,7.7622,97.921,6.504,275.5131,20.717,0.0208,0.08,996.5999,0
2019-07-11T07:10:46Z,0.418,26.7641,0.8969,0.8277,27.621916,26.66,7.896,99.626,6.492,276.1567,20.406,0.0208,0.081,996.5959,0
2019-07-11T07:10:46Z,0.424,26.7419,0.9198,0.9719,27.587785,26.658,7.9198,99.937,6.481,276.1188,20.281,0.0208,0.079,996.5949,0
2019-07-11T07:10:46Z,0.427,26.7392,0.9122,0.871,27.631342,26.661,7.8506,99.067,6.472,276.3838,20.085,0.0208,0.074,996.5971,0
2019-07-11T07:10:46Z,0.444,26.8025,0.8282,0.8277,27.804685,26.89,7.7464,97.75,6.475,276.7246,19.384,0.0209,0.068,996.6033,0
2019-07-11T07:10:46Z,0.479,26.956,0.8473,0.8854,27.727526,26.782,7.6407,96.415,6.479,277.2546,18.864,0.0208,0.066,996.6041,0
2019-07-11T07:10:46Z,0.51,27.1015,0.8435,0.9287,27.668119,26.698,7.5594,95.39,6.472,277.671,18.678,0.0208,0.069,996.5871,0
2019-07-11T07:10:46Z,0.523,27.1863,0.8511,1.0296,27.819347,26.777,7.4996,94.637,6.454,277.5953,18.532,0.0209,0.07,996.5451,0
2019-07-11T07:10:46Z,0.535,27.237,0.7672,0.8422,27.83549,26.703,7.4546,94.07,6.45,278.0874,18.463,0.0209,0.07,996.505,0
2019-07-11T07:10:46Z,0.551,27.2663,0.7939,0.9287,27.766464,26.606,7.4277,93.733,6.456,278.3903,18.149,0.0209,0.073,996.4817,0
2019-07-11T07:10:46Z,0.572,27.2842,0.7901,0.9287,27.727484,26.527,7.4155,93.583,6.467,278.5417,17.679,0.0209,0.078,996.4677,0
2019-07-11T07:10:46Z,0.596,27.2939,0.8206,0.9719,27.765493,26.566,7.4111,93.53,6.458,278.6931,17.295,0.0209,0.081,996.4597,0
2019-07-11T07:10:46Z,0.603,27.2995,0.7596,0.8422,27.719151,26.503,7.3992000000000004,93.381,6.443,278.8067,17.109,0.0209,0.075,996.4547,0
