Date,Depth_m,PAR,Chla_ugL
2019-08-01T10:57:25Z,0.047,1173,1.5485
2019-08-01T10:57:25Z,0.065,973.42,1.5634
2019-08-01T10:57:25Z,0.085,1105,1.5679
2019-08-01T10:57:25Z,0.105,1259.4,1.6209
2019-08-01T10:57:25Z,0.126,1259.5,1.7014
2019-08-01T10:57:25Z,0.149,1118,1.7434
2019-08-01T10:57:25Z,0.172,813.36,1.7471
2019-08-01T10:57:25Z,0.191,575.62,1.7465
2019-08-01T10:57:25Z,0.205,546.78,1.7447
2019-08-01T10:57:25Z,0.218,679.11,1.7428
2019-08-01T10:57:25Z,0.233,904.21,1.749
2019-08-01T10:57:25Z,0.25,1045.5,1.7592
2019-08-01T10:57:25Z,0.27,1081.6,1.7618
2019-08-01T10:57:25Z,0.288,1097.3,1.7549
2019-08-01T10:57:25Z,0.306,1065.8,1.754
2019-08-01T10:57:25Z,0.324,1025,1.7676
2019-08-01T10:57:25Z,0.342,1006.3,1.7719
2019-08-01T10:57:25Z,0.36,986.26,1.7627
2019-08-01T10:57:25Z,0.375,1014.2,1.7606
2019-08-01T10:57:25Z,0.385,1059.8,1.7646
2019-08-01T10:57:25Z,0.394,1037.8,1.7676
2019-08-01T10:57:25Z,0.407,956.26,1.7701
2019-08-01T10:57:25Z,0.422,923.47,1.7687
2019-08-01T10:57:25Z,0.437,914.69,1.7605
2019-08-01T10:57:25Z,0.453,857.93,1.7482
2019-08-01T10:57:25Z,0.476,830.39,1.7328
2019-08-01T10:57:25Z,0.504,833.29,1.721
2019-08-01T10:57:25Z,0.528,823.98,1.7104
2019-08-01T10:57:25Z,0.544,815.03,1.7089
2019-08-01T10:57:25Z,0.558,784.93,1.7368
2019-08-01T10:57:25Z,0.576,738.99,1.7618
2019-08-01T10:57:25Z,0.595,689.2,1.7602
2019-08-01T10:57:25Z,0.612,638.58,1.7857
2019-08-01T10:57:25Z,0.626,609.54,1.8547
2019-08-01T10:57:25Z,0.638,635.5,1.9001
2019-08-01T10:57:25Z,0.653,695.19,1.9016
2019-08-01T10:57:25Z,0.675,718.96,1.8806
2019-08-01T10:57:25Z,0.7,706.03,1.8459
2019-08-01T10:57:25Z,0.723,689.99,1.8205
2019-08-01T10:57:25Z,0.741,670.14,1.8175
2019-08-01T10:57:25Z,0.756,650.28,1.8176
2019-08-01T10:57:25Z,0.768,629.22,1.7862
2019-08-01T10:57:25Z,0.781,608.08,1.7337
2019-08-01T10:57:25Z,0.795,600.24,1.703
