Date,Depth_m,Temp_C,Chla_ugL,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,pH,ORP_mV,PAR,Salinity,Descent Rate (m/s),Density_mg_m3,Flag
2019-08-05T11:38:36Z,0.003,26.2194,3.4022,4.0644,35.078,35.950568,5.4896,67.962,8.311,178.9338,683.63,1.7918552242633403,0.077,996.7449,0
2019-08-05T11:38:36Z,0.025,26.2188,3.571,4.1594,34.991,35.865628,5.6421,69.858,8.309,179.0765,665.83,1.7871722748863361,0.096,996.7452,0
2019-08-05T11:38:36Z,0.057,26.2212,3.6524,4.2274,34.987,35.86144,5.8493,72.423,8.307,179.2611,627,1.7868647098859096,0.111,996.7448,0
2019-08-05T11:38:36Z,0.098,26.228,3.6672,4.2313,35.028,35.89994,6.1137,75.69,8.304,179.5321,534.49,1.7888237048685063,0.126,996.7431,0
2019-08-05T11:38:36Z,0.135,26.2364,3.8026,4.174,35.08,35.950295,6.4169,79.437,8.302,180.2031,478.75,1.7913165736292638,0.139,996.741,0
2019-08-05T11:38:36Z,0.161,26.2461,4.032,4.06,35.217,36.089447,6.7171,83.151,8.301,180.9207,447.82,1.7983557963423882,0.148,996.7384,0
2019-08-05T11:38:36Z,0.193,26.2468,4.1517,3.9985,35.497,36.376479,6.9799,86.403,8.302,181.5831,398.91,1.813473432440694,0.151,996.7384,0
2019-08-05T11:38:36Z,0.24,26.2371,4.1665,3.9881,35.745,36.628066,7.2169,89.333,8.303,182.5333,345.23,1.8272686867791994,0.15,996.7412,0
2019-08-05T11:38:36Z,0.29,26.2328,4.2535,3.9667,35.838,36.719456,7.4894,92.696,8.303,183.5482,304.63,1.8324702471190593,0.15,996.7426,0
2019-08-05T11:38:36Z,0.332,26.2326,4.4155,3.9696,35.843,36.719796,7.8369,96.984,8.301,184.3888,282.75,1.8327480058700356,0.154,996.7429,0
2019-08-05T11:38:36Z,0.362,26.2332,4.503,3.9909,35.826,36.695626,8.2269,101.793,8.299,185.0395,272.19,1.831803609043373,0.157,996.743,0
