Date,Depth_m,PAR,Chla_ugL
2019-08-05T11:53:06Z,-0.106,529.21,3.1037
2019-08-05T11:53:06Z,-0.105,526.85,3.105
2019-08-05T11:53:06Z,-0.104,518.8,3.1089
2019-08-05T11:53:06Z,-0.1,495.37,3.1071
2019-08-05T11:53:06Z,-0.093,457.75,3.1007
2019-08-05T11:53:06Z,-0.085,426.84,3.1016
2019-08-05T11:53:06Z,-0.075,413.95,3.1082
2019-08-05T11:53:06Z,-0.064,409,3.1113
2019-08-05T11:53:06Z,-0.049,405.29,3.1053
2019-08-05T11:53:06Z,-0.033,401.86,3.096
2019-08-05T11:53:06Z,-0.019,396.54,3.1026
2019-08-05T11:53:06Z,-0.011,388.19,3.134
2019-08-05T11:53:06Z,-0.003,354.71,3.1715
2019-08-05T11:53:06Z,0.009,298.98,3.1835
2019-08-05T11:53:06Z,0.025,265.88,3.1754
2019-08-05T11:53:06Z,0.043,252.4,3.2128
2019-08-05T11:53:06Z,0.063,240.68,3.3055
2019-08-05T11:53:06Z,0.08,234.05,3.3585
2019-08-05T11:53:06Z,0.094,229.76,3.3595
2019-08-05T11:53:06Z,0.113,228.49,3.4136
2019-08-05T11:53:06Z,0.14,225.26,3.5274
2019-08-05T11:53:06Z,0.167,215.83,3.5914
2019-08-05T11:53:06Z,0.188,207.08,3.5973
2019-08-05T11:53:06Z,0.204,200.13,3.6343
2019-08-05T11:53:06Z,0.215,191.76,3.7087
2019-08-05T11:53:06Z,0.225,183.75,3.7509
2019-08-05T11:53:06Z,0.237,177.71,3.7552
2019-08-05T11:53:06Z,0.249,173.76,3.7607
2019-08-05T11:53:06Z,0.26,171.38,3.8082
2019-08-05T11:53:06Z,0.27,169.64,3.8969
2019-08-05T11:53:06Z,0.279,168.54,3.9569
2019-08-05T11:53:06Z,0.287,168.04,3.9707
2019-08-05T11:53:06Z,0.294,167.15,3.9935
2019-08-05T11:53:06Z,0.304,165.4,4.0421
2019-08-05T11:53:06Z,0.323,162.85,4.0722
2019-08-05T11:53:06Z,0.349,160.1,4.0809
2019-08-05T11:53:06Z,0.372,158.35,4.0692
2019-08-05T11:53:06Z,0.383,159.99,4.0345
2019-08-05T11:53:06Z,0.387,164.43,4.0163
2019-08-05T11:53:06Z,0.394,165.81,4.0224
2019-08-05T11:53:06Z,0.411,163.76,4.031
2019-08-05T11:53:06Z,0.435,162.87,4.0247
2019-08-05T11:53:06Z,0.455,163.34,4.0074
2019-08-05T11:53:06Z,0.469,164.59,4.0029
2019-08-05T11:53:06Z,0.481,165.69,4.0139
2019-08-05T11:53:06Z,0.493,165.68,4.0273
2019-08-05T11:53:06Z,0.507,165.38,4.0268
2019-08-05T11:53:06Z,0.523,165.31,4.0082
2019-08-05T11:53:06Z,0.541,164.96,4.0015
2019-08-05T11:53:06Z,0.561,164.04,4.0505
2019-08-05T11:53:06Z,0.581,163.97,4.1408
2019-08-05T11:53:06Z,0.597,165.57,4.1918
2019-08-05T11:53:06Z,0.605,168.06,4.1983
2019-08-05T11:53:06Z,0.61,170.56,4.2804
2019-08-05T11:53:06Z,0.616,172.45,4.4307
2019-08-05T11:53:06Z,0.628,173.32,4.4981
2019-08-05T11:53:06Z,0.645,173.22,4.5053
2019-08-05T11:53:06Z,0.665,172.52,4.5789
2019-08-05T11:53:06Z,0.684,171.55,4.7022
2019-08-05T11:53:06Z,0.701,170.19,4.7737
2019-08-05T11:53:06Z,0.718,168.63,4.7845
2019-08-05T11:53:06Z,0.733,166.72,4.7896
2019-08-05T11:53:06Z,0.748,163.82,4.8101
2019-08-05T11:53:06Z,0.766,160.07,4.8317
2019-08-05T11:53:06Z,0.788,155.62,4.852
2019-08-05T11:53:06Z,0.811,151.19,4.9425
2019-08-05T11:53:06Z,0.834,147.57,5.094
2019-08-05T11:53:06Z,0.854,144.59,5.1751
2019-08-05T11:53:06Z,0.872,141.99,5.1863
2019-08-05T11:53:06Z,0.89,139.01,5.1947
2019-08-05T11:53:06Z,0.91,135.61,5.2769
2019-08-05T11:53:06Z,0.932,132.35,5.4435
2019-08-05T11:53:06Z,0.956,129.22,5.5441
2019-08-05T11:53:06Z,0.978,126.04,5.5569
2019-08-05T11:53:06Z,1,122.88,5.5461
2019-08-05T11:53:06Z,1.019,120.37,5.5174
2019-08-05T11:53:06Z,1.032,118.54,5.4964
2019-08-05T11:53:06Z,1.04,116.82,5.5004
2019-08-05T11:53:06Z,1.049,115.11,5.5913
2019-08-05T11:53:06Z,1.06,113.2,5.7547
2019-08-05T11:53:06Z,1.075,110.77,5.8369
2019-08-05T11:53:06Z,1.096,108.02,5.8654
2019-08-05T11:53:06Z,1.121,105.14,6.1782
2019-08-05T11:53:06Z,1.147,102.15,6.7494
2019-08-05T11:53:06Z,1.175,99.3,7.0661
2019-08-05T11:53:06Z,1.201,96.868,7.1119
2019-08-05T11:53:06Z,1.223,94.818,7.2772
2019-08-05T11:53:06Z,1.243,92.768,7.5825
2019-08-05T11:53:06Z,1.262,90.715,7.7512
2019-08-05T11:53:06Z,1.279,88.854,7.7652
2019-08-05T11:53:06Z,1.297,87.005,7.7688
2019-08-05T11:53:06Z,1.315,85.197,7.8468
2019-08-05T11:53:06Z,1.332,83.64,7.9893
2019-08-05T11:53:06Z,1.347,82.407,8.0522
2019-08-05T11:53:06Z,1.359,81.545,8.0523
2019-08-05T11:53:06Z,1.368,80.773,8.1381
2019-08-05T11:53:06Z,1.377,79.774,8.292
2019-08-05T11:53:06Z,1.391,78.641,8.3786
2019-08-05T11:53:06Z,1.407,77.414,8.3874
2019-08-05T11:53:06Z,1.425,76.1,8.2855
2019-08-05T11:53:06Z,1.444,74.736,8.1001
2019-08-05T11:53:06Z,1.462,73.266,8.0104
2019-08-05T11:53:06Z,1.481,71.845,7.9984
2019-08-05T11:53:06Z,1.498,70.528,7.9029
2019-08-05T11:53:06Z,1.516,69.033,7.7313
2019-08-05T11:53:06Z,1.535,67.311,7.6403
2019-08-05T11:53:06Z,1.555,65.571,7.6351
2019-08-05T11:53:06Z,1.575,63.883,7.6511
2019-08-05T11:53:06Z,1.596,62.342,7.6865
