Date,Depth_m,Temp_C,Chla_ugL,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,pH,ORP_mV,PAR,Salinity,Descent Rate (m/s),Density_mg_m3,Flag
2019-08-05T12:01:40Z,0.006,26.4675,3.6476,3.2424,35.159,36.195407,6.4799,80.557,8.264,214.1038,610.58,1.7868490255921003,0.073,996.6783,0
2019-08-05T12:01:40Z,0.036,26.4655,3.7608,3.2943,35.186,36.241786,6.4761,80.548,8.262,213.1577,513.07,1.7883768288790678,0.077,996.679,0
2019-08-05T12:01:40Z,0.063,26.4534,3.83,3.3209,35.226,36.297956,6.4644,80.434,8.262,212.6868,454.5,1.7909859630676508,0.077,996.6823,0
2019-08-05T12:01:40Z,0.082,26.4441,3.835,3.3348,35.225,36.303338,6.4565,80.349,8.262,204.28,431.84,1.7912831123294435,0.073,996.685,0
2019-08-05T12:01:40Z,0.092,26.4646,3.812,3.2657,35.103,36.17993,6.461,80.409,8.26,187.5709,428.45,1.7839432391180556,0.068,996.6795,0
2019-08-05T12:01:40Z,0.101,26.496,3.786,3.1081,34.934,36.011785,6.4775,80.628,8.258,176.8862,452.03,1.7736767986907722,0.064,996.671,0
2019-08-05T12:01:40Z,0.115,26.52,3.7716,3.0351,34.834,35.920541,6.4982,80.909,8.26,173.9516,461.07,1.7674078596280671,0.062,996.6646,0
2019-08-05T12:01:40Z,0.137,26.5289,3.7676,3.071,34.81,35.901839,6.5148,81.129,8.263,172.2218,429.28,1.7657872832280423,0.062,996.6623,0
2019-08-05T12:01:40Z,0.159,26.524,3.7817,3.083,34.825,35.912604,6.5213,81.2,8.264,170.8561,392.25,1.7667747252060502,0.062,996.6637,0
2019-08-05T12:01:40Z,0.176,26.5325,3.8032,3.0487,34.843,35.923753,6.5177,81.139,8.264,169.7428,384.41,1.7674248075868273,0.061,996.6614,0
2019-08-05T12:01:40Z,0.188,26.5575,3.8112,3.0173,34.833,35.90969,6.5082,81.011,8.264,169.7734,388.35,1.7659578451222782,0.056,996.6547,0
