Date,Depth_m,Temp_C,Chla_ugL,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,pH,ORP_mV,PAR,Salinity,Descent.Rate..m.s.,Density_mg_m3,Flag
2020-06-18T07:01:02Z,0.047,18.5443,2.6658,8.2299,29.534,25.718591,6.3801,97.1,7.25,227.7884,19.601,1.7742057708211532,0.021,998.5097,0
2020-06-18T07:01:02Z,0.051,18.5366,2.664,8.1867,29.513,25.693441,6.3722,97.045,7.279,227.7254,19.472,1.7731960655305123,0.021,998.5112,0
2020-06-18T07:01:02Z,0.057,18.539,2.7229,8.2022,29.489,25.667156,6.3673,96.961,7.313,227.8119,19.227,1.7715695726983145,0.022,998.5107,0
2020-06-18T07:01:02Z,0.065,18.5473,2.8534,8.2453,29.48,25.654472,6.3633,96.883,7.346,227.8028,19.052,1.7706478265730359,0.023,998.5092,0
2020-06-18T07:01:02Z,0.07,18.5385,2.9263,8.2618,29.497,25.66693,6.3607,96.819,7.372,227.5285,18.987,1.7720986821520477,0.024,998.5109,0
2020-06-18T07:01:02Z,0.075,18.5231,2.9273,8.2295,29.524,25.690927,6.3614,96.735,7.392,227.4208,18.826,1.7744645281496894,0.025,998.5139,0
2020-06-18T07:01:02Z,0.082,18.5147,2.8749,8.1637,29.524,25.690917,6.3545,96.652,7.407,227.4473,18.554,1.7748190535156738,0.025,998.5155,0
2020-06-18T07:01:02Z,0.089,18.5068,2.7787,8.1182,29.499,25.666804,6.3503,96.583,7.416,227.4186,18.375,1.7735626030909903,0.025,998.517,0
2020-06-18T07:01:02Z,0.095,18.5015,2.7273,8.0574,29.486,25.65308,6.3491,96.535,7.426,227.6761,18.264,1.7729594271911462,0.026,998.518,0
2020-06-18T07:01:02Z,0.101,18.5038,2.7208,7.9786,29.485,25.651834,6.3413,96.52,7.431,227.894,18.136,1.7727986232643143,0.027,998.5177,0
2020-06-18T07:01:02Z,0.108,18.5077,2.7191,7.9551,29.488,25.651729,6.3356,96.528,7.416,227.7304,18.041,1.7728247092863045,0.028,998.517,0
2020-06-18T07:01:02Z,0.113,18.4993,2.736,7.9784,29.494,25.651814,6.3321,96.544,7.393,227.5899,17.865,1.7735607397466842,0.029,998.5185,0
2020-06-18T07:01:02Z,0.122,18.493,2.7723,8.0199,29.5,25.652854,6.3294,96.592,7.38,227.4861,17.578,1.774208264596569,0.03,998.5198,0
2020-06-18T07:01:02Z,0.132,18.4979,2.7954,8.045,29.518,25.664292,6.3278,96.673,7.371,227.3361,17.372,1.775146047085739,0.032,998.519,0
2020-06-18T07:01:02Z,0.14,18.494,2.806,8.0083,29.52,25.663252,6.3298,96.714,7.364,227.325,17.245,1.775437940899522,0.032,998.5197,0
2020-06-18T07:01:02Z,0.147,18.4813,2.9287,7.9192,29.494,25.640284,6.3316,96.694,7.366,227.4378,17.032,1.774320182761391,0.032,998.5222,0
2020-06-18T07:01:02Z,0.157,18.4724,3.1533,7.8249,29.491,25.640284,6.3345,96.655,7.371,227.4956,16.831,1.7745050336261752,0.031,998.5239,0
2020-06-18T07:01:02Z,0.165,18.4673,3.271,7.7613,29.515,25.663262,6.3445,96.663,7.379,227.7649,16.75,1.7762481752587505,0.029,998.5249,0
2020-06-18T07:01:02Z,0.171,18.4621,3.2738,7.734,29.515,25.664397,6.3472,96.704,7.389,228.1985,16.626,1.7764681219372245,0.027,998.5259,0
2020-06-18T07:01:02Z,0.178,18.4609,3.2923,7.7359,29.503,25.654007,6.3455,96.715,7.396,228.0926,16.471,1.775754680614748,0.026,998.5262,0
2020-06-18T07:01:02Z,0.184,18.4661,3.3521,7.7492,29.516,25.664499,6.3401,96.723,7.401,227.861,16.361,1.7763622127859215,0.025,998.5252,0
2020-06-18T07:01:02Z,0.19,18.4724,3.3951,7.7919,29.517,25.664403,6.3391,96.712,7.408,227.8072,16.216,1.7761592702342,0.023,998.524,0
2020-06-18T07:01:02Z,0.196,18.4738,3.3933,7.8062,29.503,25.652853,6.3465,96.662,7.416,227.6141,16.089,1.7752088234200545,0.022,998.5238,0
2020-06-18T07:01:02Z,0.201,18.471800000000002,3.3877,7.7148,29.501,25.651689,6.3434,96.63,7.427,227.6777,16.016,1.7751659621128548,0.021,998.5241,0
2020-06-18T07:01:02Z,0.205,18.4714,3.3943,7.6146,29.501,25.650336,6.3456,96.606,7.442,228.2319,15.91,1.7751828282340076,0.021,998.5243,0
2020-06-18T07:01:02Z,0.21,18.4699,3.3869,7.591,29.492,25.63649,6.3468,96.523,7.46,228.8089,15.793,1.7746732363440645,0.024,998.5246,0
2020-06-18T07:01:02Z,0.215,18.4698,3.3749,7.6006,29.475,25.611121,6.3402,96.395,7.476,228.9755,15.672,1.7735953122533155,0.028,998.5246,0
2020-06-18T07:01:02Z,0.221,18.4731,3.3443,7.6269,29.471,25.597285,6.3383,96.321,7.488,229.0413,15.434,1.7732012803150785,0.033,998.524,0
2020-06-18T07:01:02Z,0.231,18.4734,3.2844,7.7033,29.477,25.596036,6.3391,96.3,7.497,229.2604,15.074,1.7735702189385,0.037,998.5241,0
2020-06-18T07:01:02Z,0.244,18.4628,3.2611,7.804,29.48,25.596026,6.3355,96.288,7.503,229.3884,14.708,1.7742086427464427,0.039,998.5261,0
2020-06-18T07:01:02Z,0.256,18.4408,3.2719,7.849,29.484,25.597159,6.3249,96.284,7.508,229.4695,14.406,1.7753932104176302,0.04,998.5303,0
2020-06-18T07:01:02Z,0.267,18.4203,3.2624,7.801,29.505,25.609728,6.3242,96.271,7.51,229.8975,14.143,1.777598760601403,0.039,998.5342,0
2020-06-18T07:01:02Z,0.276,18.4098,3.2132,7.7384,29.529,25.621148,6.326,96.26,7.509,230.4334,13.897,1.7795734409390058,0.037,998.5362,0
2020-06-18T07:01:02Z,0.284,18.4063,3.154,7.7443,29.52,25.608369,6.3242,96.264,7.506,230.6139,13.67,1.7791479586795207,0.033,998.5369,0
