Date,Depth_m,Temp_C,Chla_ugL,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,pH,ORP_mV,PAR,Salinity,Descent.Rate..m.s.,Density_mg_m3,Flag
2020-06-18T07:01:02Z,0.1,18.5038,2.7208,7.9786,29.485,25.651834,6.3413,96.52,7.431,227.894,18.136,1.7727986232643143,0.027,998.5177,0
2020-06-18T07:01:02Z,0.3,18.3676,3.0616,7.7698,29.541,25.565469,6.3274,96.356,7.49,231.6781,12.408,1.7821296716126958,0.031,998.5445,0
2020-06-18T07:01:02Z,0.6,18.0989,4.3112,7.9963,29.681,25.579321,6.3393,96.136,7.306,234.8555,7.4268,1.8026001460319594,0.026,998.5963,0
2020-06-18T07:01:02Z,1,16.9336,5.1424,8.3673,29.964,25.120334,6.4758,95.24,7.172,236.1803,4.4571,1.8728269459041345,0.024,998.807,0
2020-06-18T07:01:02Z,1.3,16.7903,6.086,10.9628,29.708,24.826787,6.4928,94.739,7.073,238.0828,2.589,1.862401750645282,0.029,998.8332,0
2020-06-18T07:01:02Z,1.6,16.5205,7.4198,12.0006,29.128,24.164642,6.3386,92.849,7.034,239.0966,1.4897,1.8360492233939703,0.03,998.8802,0
2020-06-18T07:01:02Z,2,16.314,5.5275,16.0018,29.167,24.066266,5.9367,86.546,6.988,240.973,0.78097,1.848011488511999,0.025,998.9162,0
2020-06-18T07:01:02Z,2.3,15.9711,4.3841,20.3655,29.174,23.866055,5.6503,81.404,6.954,242.6323,0.35246,1.8642107358080129,0.043,998.9739,0
2020-06-18T07:01:02Z,2.6,14.9382,3.6599,21.9532,32.207,25.635535,4.8188,64.924,6.915,243.9595,0.12673,2.124225107629231,0.038,999.1374,0
2020-06-18T07:01:02Z,3,13.7578,4.1288,17.28,34.922,27.014137,2.3003,25.637,6.853,246.4802,0.12378,2.385290485012783,0.033,999.3086,0
2020-06-18T07:01:02Z,3.3,13.215,2.1845,9.6464,37.983,28.944392,0.475,4.821,6.787,249.044,0.12373,2.6447531413509893,0.044,999.3828,0
2020-06-18T07:01:02Z,3.6,12.6431,11.8008,7.6287,42.6,32.054582,0.1403,2.051,6.711,245.178,0.12377,3.0328591853702442,0.018,999.4578,0
2020-06-18T07:01:02Z,4,11.9704,5.0127,5.3887,48.917,36.150472,0.0821,1.048,6.625,222.2633,0.12376,3.5772252386352017,0.028,999.5409,0
2020-06-18T07:01:02Z,4.3,11.5146,1.4705,4.0351,54.639,39.876114,0.0599,0.796,6.558,164.5754,0.1237,4.074795653580007,0.022,999.5948,0
2020-06-18T07:01:02Z,4.6,11.0906,1.3917,4.218,57.637,41.59744,0.0598,0.72,6.519,132.5422,0.12369,4.36363868557482,0.027,999.642,0
2020-06-18T07:01:02Z,5,10.6719,0.9226,3.1692,60.735,43.267304,0.0579,0.69,6.49,94.6098,0.12363,4.667590459104546,0.042,999.6866,0
2020-06-18T07:01:02Z,5.3,10.2641,0.4695,3.2667,61.993,43.676664,0.0488,0.671,6.483,57.3486,0.12367,4.8245118305877766,0.034,999.727,0
2020-06-18T07:01:02Z,5.6,10.0459,0.1996,2.9741,63.198,44.224804,0.0472,0.604,6.487,18.3374,0.12382,4.954521540741544,0.037,999.7486,0
2020-06-18T07:01:02Z,6,9.7264,0.0218,2.5309,64.988,45.099237,0.0503,0.557,6.484,-13.4017,0.12365,5.150088941109354,0.05,999.7782,0
2020-06-18T07:01:02Z,6.3,9.5015,-0.0681,2.1549,67.088,46.376085,0.0455,0.609,6.489,-33.9678,0.12374,5.361856558788605,0.036,999.7993,0
2020-06-18T07:01:02Z,6.6,9.3365,-0.052,2.1196,69.022,47.353841,0.0546,0.576,6.494,-47.0733,0.12371,5.5530784707761995,0.045,999.8148,0
2020-06-18T07:01:02Z,7,9.2258,-0.1045,2.1063,70.24,48.041516,0.0463,0.592,6.507,-59.7764,0.12376,5.6756597302734795,0.048,999.8255,0
2020-06-18T07:01:02Z,7.3,9.1458,-0.1865,1.9488,72.238,49.359856,0.0445,0.51,6.515,-67.6024,0.1237,5.862031675408183,0.047,999.834,0
2020-06-18T07:01:02Z,7.6,9.0713,-0.1784,1.8834,74.149,50.524676,0.0435,0.559,6.525,-74.7047,0.12369,6.041109246710128,0.037,999.8416,0
2020-06-18T07:01:02Z,8,9.0275,-0.1646,1.6072,78.14,53.133958,0.0531,0.547,6.538,-82.4022,0.12364,6.398648594898403,0.043,999.8475,0
2020-06-18T07:01:02Z,8.3,8.9111,-0.2422,1.8353,93.326,63.283743,0.0485,0.577,6.52,-88.729,0.12363,7.7703307537949495,0.048,999.8636,0
2020-06-18T07:01:02Z,8.6,8.8808,-0.2483,2.3908,95.405,64.630202,0.037,0.513,6.52,-87.9202,0.12368,7.96362370477397,0.055,999.8681,0
2020-06-18T07:01:02Z,9,8.8524,-0.2403,2.2076,98.477,66.666439,0.0503,0.52,6.545,-86.5438,0.12372,8.246744710542263,0.042,999.8727,0
2020-06-18T07:01:02Z,9.3,8.8301,-0.2254,6.2424,111.529,75.459762,0.0444,0.53,6.545,-86.2138,0.12373,9.437401076714643,0.066,999.8804,0
