Date,Depth_m,PAR,Chla_ugL
2020-06-18T05:04:04Z,0.161,117.5,1.0205
2020-06-18T05:04:04Z,0.161,117.59,1.0119
2020-06-18T05:04:04Z,0.161,117.36,0.9894
2020-06-18T05:04:04Z,0.161,116.95,0.9774
2020-06-18T05:04:04Z,0.162,116.57,0.9717
2020-06-18T05:04:04Z,0.162,116.09,0.9677
2020-06-18T05:04:04Z,0.162,115.72,0.9674
2020-06-18T05:04:04Z,0.163,115.93,0.9676
2020-06-18T05:04:04Z,0.163,117.08,0.9798
2020-06-18T05:04:04Z,0.158,119.06,1.0009
2020-06-18T05:04:04Z,0.145,121.13,1.003
2020-06-18T05:04:04Z,0.134,122.38,0.9958
2020-06-18T05:04:04Z,0.129,122.42,0.9997
2020-06-18T05:04:04Z,0.133,121.88,1.0308
2020-06-18T05:04:04Z,0.14,121.2,1.0865
2020-06-18T05:04:04Z,0.147,119.8,1.1203
2020-06-18T05:04:04Z,0.156,117.58,1.1335
2020-06-18T05:04:04Z,0.166,114.99,1.1412
2020-06-18T05:04:04Z,0.176,112.63,1.1377
2020-06-18T05:04:04Z,0.185,110.94,1.1392
2020-06-18T05:04:04Z,0.193,109.8,1.1392
2020-06-18T05:04:04Z,0.201,109.35,1.1385
2020-06-18T05:04:04Z,0.207,109.64,1.1599
2020-06-18T05:04:04Z,0.209,110.31,1.1872
2020-06-18T05:04:04Z,0.209,110.62,1.2012
2020-06-18T05:04:04Z,0.21,110.17,1.2147
2020-06-18T05:04:04Z,0.215,109.26,1.2364
2020-06-18T05:04:04Z,0.222,107.86,1.2537
2020-06-18T05:04:04Z,0.23,106.59,1.2615
2020-06-18T05:04:04Z,0.233,105.84,1.2736
2020-06-18T05:04:04Z,0.231,105.29,1.2857
2020-06-18T05:04:04Z,0.23,104.94,1.2841
2020-06-18T05:04:04Z,0.231,104.81,1.2733
2020-06-18T05:04:04Z,0.236,104.7,1.2305
2020-06-18T05:04:04Z,0.242,104.68,1.1673
2020-06-18T05:04:04Z,0.246,104.9,1.1397
2020-06-18T05:04:04Z,0.246,104.77,1.1443
2020-06-18T05:04:04Z,0.25,103.74,1.1653
2020-06-18T05:04:04Z,0.26,102.25,1.1839
2020-06-18T05:04:04Z,0.27,101.35,1.1883
2020-06-18T05:04:04Z,0.275,100.79,1.1903
2020-06-18T05:04:04Z,0.279,99.945,1.1888
2020-06-18T05:04:04Z,0.282,99.411,1.1886
2020-06-18T05:04:04Z,0.285,99.032,1.1872
2020-06-18T05:04:04Z,0.292,97.969,1.1827
2020-06-18T05:04:04Z,0.306,96.333,1.1914
2020-06-18T05:04:04Z,0.325,94.788,1.2344
2020-06-18T05:04:04Z,0.344,93.653,1.3023
2020-06-18T05:04:04Z,0.36,92.721,1.3455
2020-06-18T05:04:04Z,0.374,91.361,1.3461
2020-06-18T05:04:04Z,0.387,89.843,1.3191
2020-06-18T05:04:04Z,0.399,88.751,1.2764
2020-06-18T05:04:04Z,0.407,87.885,1.2493
2020-06-18T05:04:04Z,0.413,87.145,1.258
2020-06-18T05:04:04Z,0.419,86.698,1.2678
2020-06-18T05:04:04Z,0.424,86.306,1.2633
