Date,Depth_m,PAR,Chla_ugL
2020-06-29T05:00:17Z,-0.684,951.59,-0.9198
2020-06-29T05:00:17Z,-0.685,875.54,-0.9323
2020-06-29T05:00:17Z,-0.685,932.75,-0.9336
2020-06-29T05:00:17Z,-0.685,1014.5,-0.9259
2020-06-29T05:00:17Z,-0.685,1029.7,-0.9349
2020-06-29T05:00:17Z,-0.685,1025.2,-0.937
2020-06-29T05:00:17Z,-0.685,1032.5,-0.9228
2020-06-29T05:00:17Z,-0.685,1039.2,-0.9247
2020-06-29T05:00:17Z,-0.685,943.56,-0.9415
2020-06-29T05:00:17Z,-0.685,761.73,-0.9446
2020-06-29T05:00:17Z,-0.685,578.75,-0.9331
2020-06-29T05:00:17Z,-0.685,545.87,-0.9261
2020-06-29T05:00:17Z,-0.685,628.19,-0.9272
2020-06-29T05:00:17Z,-0.685,489.01,-0.9278
2020-06-29T05:00:17Z,-0.684,273.96,-0.9229
2020-06-29T05:00:17Z,-0.684,213.89,-0.9352
2020-06-29T05:00:17Z,-0.684,208.66,-0.971
2020-06-29T05:00:17Z,-0.684,200.19,-0.9835
2020-06-29T05:00:17Z,-0.684,163.64,-0.972
2020-06-29T05:00:17Z,-0.684,120.94,-0.9659
2020-06-29T05:00:17Z,-0.684,120.39,-0.9481
2020-06-29T05:00:17Z,-0.684,286.34,-0.9287
2020-06-29T05:00:17Z,-0.684,582.38,-0.9318
2020-06-29T05:00:17Z,-0.684,751.56,-0.9278
2020-06-29T05:00:17Z,-0.684,800.84,-0.7755
2020-06-29T05:00:17Z,-0.683,851.39,-0.4924
2020-06-29T05:00:17Z,-0.675,891.74,-0.3366
2020-06-29T05:00:17Z,-0.645,916.63,-0.3127
2020-06-29T05:00:17Z,-0.594,921.83,-0.2037
2020-06-29T05:00:17Z,-0.539,903.78,-0.0014
2020-06-29T05:00:17Z,-0.489,868.72,0.1115
2020-06-29T05:00:17Z,-0.435,825.46,0.1405
2020-06-29T05:00:17Z,-0.382,788.89,0.292
2020-06-29T05:00:17Z,-0.336,770.74,0.5605
2020-06-29T05:00:17Z,-0.295,770.35,0.7168
2020-06-29T05:00:17Z,-0.255,785.15,0.7324
2020-06-29T05:00:17Z,-0.214,811.74,0.7398
2020-06-29T05:00:17Z,-0.168,830.27,0.7683
2020-06-29T05:00:17Z,-0.118,747.47,0.7907
2020-06-29T05:00:17Z,-0.072,690.34,0.8014
2020-06-29T05:00:17Z,-0.033,738.42,0.8307
2020-06-29T05:00:17Z,-0.006,649.34,0.8875
2020-06-29T05:00:17Z,0.014,546.74,0.9252
2020-06-29T05:00:17Z,0.029,549.98,0.9329
2020-06-29T05:00:17Z,0.034,483.06,0.9338
2020-06-29T05:00:17Z,0.035,433.65,0.9552
2020-06-29T05:00:17Z,0.042,516.18,1.0102
2020-06-29T05:00:17Z,0.054,541.88,1.0555
2020-06-29T05:00:17Z,0.062,451.52,1.0725
2020-06-29T05:00:17Z,0.064,414.56,1.0727
2020-06-29T05:00:17Z,0.062,417.43,1.0583
2020-06-29T05:00:17Z,0.057,423.32,1.0411
2020-06-29T05:00:17Z,0.052,447.45,1.0467
2020-06-29T05:00:17Z,0.051,430.06,1.0587
2020-06-29T05:00:17Z,0.055,461.66,1.0535
2020-06-29T05:00:17Z,0.07,569.74,1.0504
2020-06-29T05:00:17Z,0.097,566.41,1.0502
2020-06-29T05:00:17Z,0.131,451.3,1.0417
2020-06-29T05:00:17Z,0.164,387.74,1.0229
2020-06-29T05:00:17Z,0.191,409.7,1.0039
2020-06-29T05:00:17Z,0.213,398.72,0.9941
2020-06-29T05:00:17Z,0.229,337.95,1.0086
2020-06-29T05:00:17Z,0.24,336.62,1.0453
2020-06-29T05:00:17Z,0.248,361.07,1.0662
2020-06-29T05:00:17Z,0.254,336.79,1.0617
2020-06-29T05:00:17Z,0.262,362.36,1.0477
2020-06-29T05:00:17Z,0.271,406.9,1.0498
2020-06-29T05:00:17Z,0.278,353.25,1.0676
2020-06-29T05:00:17Z,0.283,335.21,1.0721
2020-06-29T05:00:17Z,0.288,374.96,1.0661
2020-06-29T05:00:17Z,0.292,372.18,1.1288
2020-06-29T05:00:17Z,0.301,394.96,1.2577
2020-06-29T05:00:17Z,0.312,466.58,1.3277
2020-06-29T05:00:17Z,0.32,473.33,1.3364
2020-06-29T05:00:17Z,0.326,396.14,1.3538
2020-06-29T05:00:17Z,0.335,360.75,1.3848
2020-06-29T05:00:17Z,0.348,379.28,1.3968
2020-06-29T05:00:17Z,0.359,353.53,1.384
2020-06-29T05:00:17Z,0.369,324.22,1.3541
2020-06-29T05:00:17Z,0.378,363.37,1.322
2020-06-29T05:00:17Z,0.386,383.69,1.32
2020-06-29T05:00:17Z,0.392,349.29,1.3294
2020-06-29T05:00:17Z,0.4,347.32,1.3309
2020-06-29T05:00:17Z,0.406,373.35,1.3385
2020-06-29T05:00:17Z,0.411,355.06,1.3449
2020-06-29T05:00:17Z,0.413,324.05,1.3414
2020-06-29T05:00:17Z,0.413,379.76,1.3347
2020-06-29T05:00:17Z,0.414,431.93,1.3304
2020-06-29T05:00:17Z,0.415,369.08,1.3364
2020-06-29T05:00:17Z,0.415,322.86,1.3413
2020-06-29T05:00:17Z,0.415,342.98,1.3326
2020-06-29T05:00:17Z,0.416,350.86,1.336
2020-06-29T05:00:17Z,0.416,339.53,1.3633
