Date,Depth_m,PAR,Chla_ugL
2020-07-05T21:24:12Z,0.014,345.58,0.9427
2020-07-05T21:24:12Z,0.014,300.28,0.9277
2020-07-05T21:24:12Z,0.015,269.48,0.9242
2020-07-05T21:24:12Z,0.015,251.78,0.9301
2020-07-05T21:24:12Z,0.015,242.03,0.9321
2020-07-05T21:24:12Z,0.015,237.06,0.9289
2020-07-05T21:24:12Z,0.015,233.26,0.9299
2020-07-05T21:24:12Z,0.016,230.83,0.9343
2020-07-05T21:24:12Z,0.016,230.52,0.9345
2020-07-05T21:24:12Z,0.017,232.74,0.9136
2020-07-05T21:24:12Z,0.018,245.98,0.8818
2020-07-05T21:24:12Z,0.02,292.99,0.8743
2020-07-05T21:24:12Z,0.024,358.29,0.8802
2020-07-05T21:24:12Z,0.028,464.28,0.8674
2020-07-05T21:24:12Z,0.03,655.86,0.8244
2020-07-05T21:24:12Z,0.033,680.19,0.789
2020-07-05T21:24:12Z,0.039,465.52,0.7928
2020-07-05T21:24:12Z,0.045,357.42,0.8422
2020-07-05T21:24:12Z,0.047,384.42,0.9082
2020-07-05T21:24:12Z,0.048,406.56,0.9329
2020-07-05T21:24:12Z,0.049,378.91,0.9311
2020-07-05T21:24:12Z,0.052,300.55,0.954
2020-07-05T21:24:12Z,0.057,262.4,0.9996
2020-07-05T21:24:12Z,0.062,261.18,1.0245
2020-07-05T21:24:12Z,0.065,258.95,1.0167
2020-07-05T21:24:12Z,0.07,264.24,0.9911
2020-07-05T21:24:12Z,0.075,267.27,0.9628
2020-07-05T21:24:12Z,0.078,263.22,0.9412
2020-07-05T21:24:12Z,0.079,260.19,0.9214
2020-07-05T21:24:12Z,0.081,259.29,0.9135
2020-07-05T21:24:12Z,0.082,259.1,0.9222
2020-07-05T21:24:12Z,0.083,263.3,0.9318
2020-07-05T21:24:12Z,0.085,272.05,0.9337
2020-07-05T21:24:12Z,0.086,284.26,0.9264
2020-07-05T21:24:12Z,0.087,300.54,0.9101
2020-07-05T21:24:12Z,0.088,316.64,0.8892
2020-07-05T21:24:12Z,0.091,337.39,0.8744
2020-07-05T21:24:12Z,0.094,367.51,0.8642
2020-07-05T21:24:12Z,0.098,395.64,0.8507
2020-07-05T21:24:12Z,0.101,417.04,0.8453
2020-07-05T21:24:12Z,0.104,445.78,0.856
2020-07-05T21:24:12Z,0.106,494.48,0.8655
2020-07-05T21:24:12Z,0.108,554.54,0.8355
2020-07-05T21:24:12Z,0.109,606.61,0.7706
2020-07-05T21:24:12Z,0.112,658.01,0.7299
2020-07-05T21:24:12Z,0.114,715.38,0.7339
2020-07-05T21:24:12Z,0.117,765.07,0.7334
2020-07-05T21:24:12Z,0.119,805.44,0.7057
2020-07-05T21:24:12Z,0.12,839.41,0.6852
2020-07-05T21:24:12Z,0.123,880.9,0.6759
2020-07-05T21:24:12Z,0.126,922.17,0.6695
2020-07-05T21:24:12Z,0.129,944.27,0.6655
2020-07-05T21:24:12Z,0.132,960.15,0.6655
2020-07-05T21:24:12Z,0.135,974.16,0.6784
2020-07-05T21:24:12Z,0.138,979.71,0.688
2020-07-05T21:24:12Z,0.142,986.19,0.7238
2020-07-05T21:24:12Z,0.144,1000.2,0.8059
2020-07-05T21:24:12Z,0.147,1005.3,0.8608
2020-07-05T21:24:12Z,0.15,1002.5,0.8636
2020-07-05T21:24:12Z,0.153,1000.5,0.8399
2020-07-05T21:24:12Z,0.156,994.82,0.8125
2020-07-05T21:24:12Z,0.158,994.46,0.7993
2020-07-05T21:24:12Z,0.159,993.31,0.7944
2020-07-05T21:24:12Z,0.16,991.12,0.7914
2020-07-05T21:24:12Z,0.16,1004.9,0.7916
2020-07-05T21:24:12Z,0.161,1017.3,0.7969
2020-07-05T21:24:12Z,0.164,1012.6,0.7982
2020-07-05T21:24:12Z,0.17,1001.4,0.8362
2020-07-05T21:24:12Z,0.176,987.22,0.913
2020-07-05T21:24:12Z,0.179,983.15,0.9444
2020-07-05T21:24:12Z,0.18,978.64,0.9396
2020-07-05T21:24:12Z,0.182,970.32,0.9401
2020-07-05T21:24:12Z,0.184,986.5,0.9795
2020-07-05T21:24:12Z,0.189,1006.2,1.0531
2020-07-05T21:24:12Z,0.193,1005.1,1.0776
2020-07-05T21:24:12Z,0.195,988.04,1.0656
2020-07-05T21:24:12Z,0.196,988.11,1.0504
2020-07-05T21:24:12Z,0.198,1010.1,1.0186
2020-07-05T21:24:12Z,0.199,1008.7,0.9959
2020-07-05T21:24:12Z,0.202,995.14,0.995
2020-07-05T21:24:12Z,0.204,982.9,0.9886
2020-07-05T21:24:12Z,0.206,969.34,0.9657
2020-07-05T21:24:12Z,0.208,980.3,0.9479
2020-07-05T21:24:12Z,0.209,1001.8,0.9349
2020-07-05T21:24:12Z,0.21,1003.2,0.8945
2020-07-05T21:24:12Z,0.214,984.46,0.8416
2020-07-05T21:24:12Z,0.218,969.09,0.8197
2020-07-05T21:24:12Z,0.221,974.72,0.8011
2020-07-05T21:24:12Z,0.225,962.34,0.769
2020-07-05T21:24:12Z,0.229,925.53,0.7456
2020-07-05T21:24:12Z,0.231,935.07,0.7376
2020-07-05T21:24:12Z,0.234,966.7,0.7392
2020-07-05T21:24:12Z,0.236,987.1,0.7276
2020-07-05T21:24:12Z,0.238,1011.2,0.702
2020-07-05T21:24:12Z,0.241,974.7,0.6873
2020-07-05T21:24:12Z,0.244,930.82,0.6829
2020-07-05T21:24:12Z,0.247,940.53,0.6689
2020-07-05T21:24:12Z,0.251,930.87,0.6127
2020-07-05T21:24:12Z,0.255,878.52,0.5188
2020-07-05T21:24:12Z,0.258,841.77,0.4679
2020-07-05T21:24:12Z,0.26,893.96,0.4649
2020-07-05T21:24:12Z,0.262,950.1,0.4734
2020-07-05T21:24:12Z,0.264,928.35,0.503
2020-07-05T21:24:12Z,0.266,887.79,0.5279
2020-07-05T21:24:12Z,0.268,870.19,0.5355
2020-07-05T21:24:12Z,0.271,884.27,0.5474
2020-07-05T21:24:12Z,0.275,912.13,0.5666
2020-07-05T21:24:12Z,0.277,948.17,0.5866
2020-07-05T21:24:12Z,0.279,973.21,0.5981
2020-07-05T21:24:12Z,0.281,932.5,0.5824
2020-07-05T21:24:12Z,0.283,855.01,0.5484
2020-07-05T21:24:12Z,0.285,837.11,0.53
2020-07-05T21:24:12Z,0.288,892.23,0.5321
2020-07-05T21:24:12Z,0.29,945.13,0.5356
2020-07-05T21:24:12Z,0.292,975.48,0.5438
2020-07-05T21:24:12Z,0.295,996.51,0.5742
2020-07-05T21:24:12Z,0.298,964.56,0.6067
2020-07-05T21:24:12Z,0.301,903.29,0.6136
2020-07-05T21:24:12Z,0.305,889.13,0.5905
2020-07-05T21:24:12Z,0.308,949.75,0.5562
2020-07-05T21:24:12Z,0.311,963.81,0.5326
2020-07-05T21:24:12Z,0.314,868,0.5245
2020-07-05T21:24:12Z,0.316,877.46,0.5345
2020-07-05T21:24:12Z,0.317,978.09,0.5395
2020-07-05T21:24:12Z,0.318,964.18,0.5272
2020-07-05T21:24:12Z,0.319,903.61,0.5292
2020-07-05T21:24:12Z,0.321,875.6,0.5638
2020-07-05T21:24:12Z,0.323,826.35,0.6115
2020-07-05T21:24:12Z,0.325,849.46,0.6293
2020-07-05T21:24:12Z,0.328,944.98,0.607
2020-07-05T21:24:12Z,0.332,966.08,0.5895
2020-07-05T21:24:12Z,0.336,941.8,0.5903
2020-07-05T21:24:12Z,0.34,871.52,0.5877
2020-07-05T21:24:12Z,0.344,878.25,0.5869
2020-07-05T21:24:12Z,0.346,966.52,0.5904
2020-07-05T21:24:12Z,0.349,900.59,0.6009
2020-07-05T21:24:12Z,0.351,869.15,0.6088
2020-07-05T21:24:12Z,0.353,953.25,0.6003
2020-07-05T21:24:12Z,0.355,947,0.5941
2020-07-05T21:24:12Z,0.356,922.95,0.6007
2020-07-05T21:24:12Z,0.359,942.92,0.6133
2020-07-05T21:24:12Z,0.365,899.22,0.6123
2020-07-05T21:24:12Z,0.37,847.96,0.5981
2020-07-05T21:24:12Z,0.375,844.89,0.5936
2020-07-05T21:24:12Z,0.378,860.11,0.5969
2020-07-05T21:24:12Z,0.38,876.02,0.599
2020-07-05T21:24:12Z,0.383,819.66,0.6002
2020-07-05T21:24:12Z,0.385,784.22,0.6118
2020-07-05T21:24:12Z,0.387,794.57,0.6437
2020-07-05T21:24:12Z,0.39,770.2,0.671
2020-07-05T21:24:12Z,0.393,821.15,0.6752
2020-07-05T21:24:12Z,0.398,922.11,0.6658
2020-07-05T21:24:12Z,0.402,924.26,0.6538
2020-07-05T21:24:12Z,0.405,863.17,0.6527
2020-07-05T21:24:12Z,0.407,789.63,0.6619
2020-07-05T21:24:12Z,0.409,732.65,0.6701
2020-07-05T21:24:12Z,0.41,727.63,0.6666
2020-07-05T21:24:12Z,0.412,721.89,0.6581
2020-07-05T21:24:12Z,0.414,660.79,0.6615
2020-07-05T21:24:12Z,0.415,569.05,0.6606
2020-07-05T21:24:12Z,0.418,599.88,0.6563
2020-07-05T21:24:12Z,0.421,783.3,0.6671
2020-07-05T21:24:12Z,0.423,839.02,0.6767
2020-07-05T21:24:12Z,0.425,655.63,0.677
2020-07-05T21:24:12Z,0.427,445.82,0.6905
2020-07-05T21:24:12Z,0.429,354.91,0.7149
2020-07-05T21:24:12Z,0.431,351.87,0.7242
2020-07-05T21:24:12Z,0.434,397.35,0.7268
2020-07-05T21:24:12Z,0.437,438.65,0.7368
2020-07-05T21:24:12Z,0.439,451.77,0.7403
