Date,Depth_m,PAR,Chla_ugL
2020-07-07T20:43:41Z,0.202,944.3,-0.2776
2020-07-07T20:43:41Z,0.197,902.15,-0.2753
2020-07-07T20:43:41Z,0.194,988.13,-0.2677
2020-07-07T20:43:41Z,0.193,1100.7,-0.2532
2020-07-07T20:43:41Z,0.194,838.18,-0.2426
2020-07-07T20:43:41Z,0.197,660.45,-0.2447
2020-07-07T20:43:41Z,0.2,830.67,-0.2499
2020-07-07T20:43:41Z,0.202,950.45,-0.2485
2020-07-07T20:43:41Z,0.205,866.14,-0.2367
2020-07-07T20:43:41Z,0.206,757.43,-0.2319
2020-07-07T20:43:41Z,0.206,764.36,-0.2471
2020-07-07T20:43:41Z,0.206,917.39,-0.2682
2020-07-07T20:43:41Z,0.205,1077,-0.2767
2020-07-07T20:43:41Z,0.201,982.52,-0.2641
2020-07-07T20:43:41Z,0.2,793.34,-0.2403
2020-07-07T20:43:41Z,0.203,727.59,-0.2367
2020-07-07T20:43:41Z,0.205,724.92,-0.2395
2020-07-07T20:43:41Z,0.205,809.96,-0.2166
2020-07-07T20:43:41Z,0.205,905.57,-0.1889
2020-07-07T20:43:41Z,0.205,835.91,-0.1716
2020-07-07T20:43:41Z,0.202,773.36,-0.189
2020-07-07T20:43:41Z,0.198,1019.3,-0.237
2020-07-07T20:43:41Z,0.2,1229.3,-0.2556
2020-07-07T20:43:41Z,0.204,1085.8,-0.2431
2020-07-07T20:43:41Z,0.207,1201.5,-0.2379
2020-07-07T20:43:41Z,0.209,1528,-0.2413
2020-07-07T20:43:41Z,0.21,1405.9,-0.2452
2020-07-07T20:43:41Z,0.212,1117.8,-0.2558
2020-07-07T20:43:41Z,0.212,1068.3,-0.2559
2020-07-07T20:43:41Z,0.209,1148.8,-0.2462
2020-07-07T20:43:41Z,0.207,1141.6,-0.2434
2020-07-07T20:43:41Z,0.207,1131.3,-0.2415
2020-07-07T20:43:41Z,0.208,1143.1,-0.242
2020-07-07T20:43:41Z,0.212,1053.2,-0.24
2020-07-07T20:43:41Z,0.218,1019.2,-0.2364
2020-07-07T20:43:41Z,0.222,1135.2,-0.2369
2020-07-07T20:43:41Z,0.219,1237.8,-0.2359
2020-07-07T20:43:41Z,0.215,1188.7,-0.2434
2020-07-07T20:43:41Z,0.214,1046.7,-0.2521
2020-07-07T20:43:41Z,0.214,885.1,-0.2457
2020-07-07T20:43:41Z,0.215,869.33,-0.2327
2020-07-07T20:43:41Z,0.217,956.99,-0.209
2020-07-07T20:43:41Z,0.216,959.27,-0.1875
2020-07-07T20:43:41Z,0.212,972.63,-0.193
2020-07-07T20:43:41Z,0.21,958.2,-0.1987
2020-07-07T20:43:41Z,0.213,1092.8,-0.1989
2020-07-07T20:43:41Z,0.216,1255.4,-0.2146
2020-07-07T20:43:41Z,0.215,1165.8,-0.2362
2020-07-07T20:43:41Z,0.212,1323.9,-0.2507
2020-07-07T20:43:41Z,0.211,1418.5,-0.2557
2020-07-07T20:43:41Z,0.211,1103.9,-0.2499
2020-07-07T20:43:41Z,0.214,1017.2,-0.2372
2020-07-07T20:43:41Z,0.215,1055,-0.2352
2020-07-07T20:43:41Z,0.213,881.06,-0.245
2020-07-07T20:43:41Z,0.212,775.97,-0.251
2020-07-07T20:43:41Z,0.214,946.35,-0.2412
2020-07-07T20:43:41Z,0.219,1242.3,-0.2307
2020-07-07T20:43:41Z,0.226,1341.8,-0.2391
2020-07-07T20:43:41Z,0.234,1200.5,-0.2469
2020-07-07T20:43:41Z,0.244,1060.8,-0.2493
2020-07-07T20:43:41Z,0.253,1170.8,-0.2485
2020-07-07T20:43:41Z,0.257,1375,-0.2379
2020-07-07T20:43:41Z,0.256,1288.3,-0.2355
2020-07-07T20:43:41Z,0.257,1130.4,-0.2389
2020-07-07T20:43:41Z,0.267,1073.6,-0.2407
2020-07-07T20:43:41Z,0.28,1012.2,-0.2474
2020-07-07T20:43:41Z,0.295,1006.8,-0.2531
2020-07-07T20:43:41Z,0.315,999.1,-0.2531
2020-07-07T20:43:41Z,0.347,897.75,-0.2467
2020-07-07T20:43:41Z,0.389,799.96,-0.2519
2020-07-07T20:43:41Z,0.439,882.72,-0.2585
2020-07-07T20:43:41Z,0.49,987.5,-0.2504
2020-07-07T20:43:41Z,0.539,931.42,-0.2489
2020-07-07T20:43:41Z,0.578,883.35,-0.2414
2020-07-07T20:43:41Z,0.603,853.47,-0.235
2020-07-07T20:43:41Z,0.615,953.34,-0.2488
2020-07-07T20:43:41Z,0.62,1096.5,-0.2548
2020-07-07T20:43:41Z,0.621,1090.5,-0.2509
2020-07-07T20:43:41Z,0.621,1110,-0.2495
2020-07-07T20:43:41Z,0.618,1132.5,-0.2473
2020-07-07T20:43:41Z,0.611,1076.2,-0.2527
2020-07-07T20:43:41Z,0.604,890.74,-0.2671
2020-07-07T20:43:41Z,0.602,727.39,-0.2599
2020-07-07T20:43:41Z,0.605,676.69,-0.2418
2020-07-07T20:43:41Z,0.612,684.1,-0.2387
2020-07-07T20:43:41Z,0.621,699.86,-0.2411
2020-07-07T20:43:41Z,0.63,763.59,-0.252
2020-07-07T20:43:41Z,0.636,898.31,-0.2557
2020-07-07T20:43:41Z,0.642,1020.9,-0.2482
2020-07-07T20:43:41Z,0.65,1094.8,-0.2469
2020-07-07T20:43:41Z,0.659,979.84,-0.2394
2020-07-07T20:43:41Z,0.669,858.92,-0.215
2020-07-07T20:43:41Z,0.683,867.49,-0.1908
2020-07-07T20:43:41Z,0.701,838.89,-0.1848
2020-07-07T20:43:41Z,0.72,829.38,-0.181
2020-07-07T20:43:41Z,0.742,982.88,-0.1734
2020-07-07T20:43:41Z,0.767,1055.6,-0.188
2020-07-07T20:43:41Z,0.793,853.58,-0.2053
2020-07-07T20:43:41Z,0.817,691.17,-0.1916
2020-07-07T20:43:41Z,0.836,692.31,-0.1749
2020-07-07T20:43:41Z,0.849,680.61,-0.1747
2020-07-07T20:43:41Z,0.862,651,-0.1796
2020-07-07T20:43:41Z,0.876,748.05,-0.1865
2020-07-07T20:43:41Z,0.891,802.39,-0.1821
2020-07-07T20:43:41Z,0.907,709.46,-0.1551
2020-07-07T20:43:41Z,0.921,690.73,-0.1267
2020-07-07T20:43:41Z,0.934,789,-0.1252
2020-07-07T20:43:41Z,0.946,850.58,-0.1357
2020-07-07T20:43:41Z,0.957,1087.9,-0.1308
2020-07-07T20:43:41Z,0.966,1310.2,-0.1229
2020-07-07T20:43:41Z,0.975,973.49,-0.117
2020-07-07T20:43:41Z,0.985,662.89,-0.1161
2020-07-07T20:43:41Z,0.996,628.95,-0.1127
2020-07-07T20:43:41Z,1.007,572.81,-0.0849
2020-07-07T20:43:41Z,1.017,530.9,-0.0567
2020-07-07T20:43:41Z,1.028,507.73,-0.0397
2020-07-07T20:43:41Z,1.039,513.7,-0.031
2020-07-07T20:43:41Z,1.051,658.41,-0.0275
2020-07-07T20:43:41Z,1.063,871.08,-0.0169
2020-07-07T20:43:41Z,1.076,808.9,-0.0081
2020-07-07T20:43:41Z,1.091,592.46,-0.0066
2020-07-07T20:43:41Z,1.111,577.45,0.0018
2020-07-07T20:43:41Z,1.134,646.25,0.0077
2020-07-07T20:43:41Z,1.156,598.82,-0.0028
2020-07-07T20:43:41Z,1.175,578.07,-0.0102
2020-07-07T20:43:41Z,1.191,578.57,0.0034
2020-07-07T20:43:41Z,1.204,493.57,0.0376
2020-07-07T20:43:41Z,1.215,457.22,0.0599
2020-07-07T20:43:41Z,1.229,475.13,0.0541
2020-07-07T20:43:41Z,1.247,436.19,0.0533
2020-07-07T20:43:41Z,1.267,412.38,0.0596
2020-07-07T20:43:41Z,1.286,462.25,0.0636
2020-07-07T20:43:41Z,1.301,513.23,0.0726
2020-07-07T20:43:41Z,1.312,526.47,0.0733
2020-07-07T20:43:41Z,1.325,506.12,0.0628
2020-07-07T20:43:41Z,1.34,517.88,0.0603
2020-07-07T20:43:41Z,1.358,550.22,0.0709
2020-07-07T20:43:41Z,1.378,509.06,0.067
2020-07-07T20:43:41Z,1.402,501.44,0.052
2020-07-07T20:43:41Z,1.428,535.33,0.052
2020-07-07T20:43:41Z,1.453,506.75,0.0665
2020-07-07T20:43:41Z,1.473,515.8,0.1135
2020-07-07T20:43:41Z,1.489,528.44,0.1713
2020-07-07T20:43:41Z,1.504,496.5,0.1929
2020-07-07T20:43:41Z,1.52,496.6,0.1931
2020-07-07T20:43:41Z,1.536,496.01,0.1929
2020-07-07T20:43:41Z,1.556,479.16,0.2008
2020-07-07T20:43:41Z,1.583,492.93,0.2118
2020-07-07T20:43:41Z,1.616,523.03,0.2122
2020-07-07T20:43:41Z,1.645,492.98,0.2052
2020-07-07T20:43:41Z,1.664,466.88,0.2122
2020-07-07T20:43:41Z,1.679,512,0.2402
2020-07-07T20:43:41Z,1.689,516.47,0.2667
2020-07-07T20:43:41Z,1.695,472.03,0.2757
2020-07-07T20:43:41Z,1.7,490.03,0.2724
2020-07-07T20:43:41Z,1.709,519.1,0.275
2020-07-07T20:43:41Z,1.721,488.7,0.279
2020-07-07T20:43:41Z,1.734,441.79,0.2721
