Date,Depth_m,PAR,Chla_ugL
2020-07-09T02:22:06Z,0.004,442.03,1.1613
2020-07-09T02:22:06Z,0.004,441.35,1.1709
2020-07-09T02:22:06Z,0.004,439.39,1.1717
2020-07-09T02:22:06Z,0.004,435.25,1.1714
2020-07-09T02:22:06Z,0.004,431.07,1.1762
2020-07-09T02:22:06Z,0.004,431.8,1.1725
2020-07-09T02:22:06Z,0.004,435.76,1.1552
2020-07-09T02:22:06Z,0.004,441.15,1.1483
2020-07-09T02:22:06Z,0.004,442.15,1.1562
2020-07-09T02:22:06Z,0.004,438.63,1.1557
2020-07-09T02:22:06Z,0.006,433.06,1.1224
2020-07-09T02:22:06Z,0.017,419.92,1.059
2020-07-09T02:22:06Z,0.037,405.52,1.0188
2020-07-09T02:22:06Z,0.055,399.9,1.0182
2020-07-09T02:22:06Z,0.061,400.38,1.0226
2020-07-09T02:22:06Z,0.065,396.74,1.0242
2020-07-09T02:22:06Z,0.07,391.09,1.0282
2020-07-09T02:22:06Z,0.074,388.62,1.0333
2020-07-09T02:22:06Z,0.078,386.28,1.0187
2020-07-09T02:22:06Z,0.079,390.61,0.9752
2020-07-09T02:22:06Z,0.072,397.37,0.9466
2020-07-09T02:22:06Z,0.057,395.98,0.9496
2020-07-09T02:22:06Z,0.045,395.83,0.9733
2020-07-09T02:22:06Z,0.039,402.7,1.0041
2020-07-09T02:22:06Z,0.039,407.05,1.0167
2020-07-09T02:22:06Z,0.041,400.9,1.0215
2020-07-09T02:22:06Z,0.048,387.95,1.0231
2020-07-09T02:22:06Z,0.066,378.18,1.0172
2020-07-09T02:22:06Z,0.088,375.36,1.0169
2020-07-09T02:22:06Z,0.1,372.06,1.0104
2020-07-09T02:22:06Z,0.104,366.33,1.005
2020-07-09T02:22:06Z,0.104,365.28,1.0183
2020-07-09T02:22:06Z,0.105,367.99,1.0273
2020-07-09T02:22:06Z,0.11,367.02,1.0188
2020-07-09T02:22:06Z,0.12,363.22,1.0017
2020-07-09T02:22:06Z,0.13,358.97,0.9827
2020-07-09T02:22:06Z,0.136,353.87,0.9607
2020-07-09T02:22:06Z,0.138,351.88,0.9456
2020-07-09T02:22:06Z,0.138,350.98,0.9431
2020-07-09T02:22:06Z,0.139,348.46,0.9498
2020-07-09T02:22:06Z,0.142,345.7,0.959
2020-07-09T02:22:06Z,0.145,344.04,0.959
2020-07-09T02:22:06Z,0.149,342.09,0.9509
2020-07-09T02:22:06Z,0.159,335.61,0.9466
2020-07-09T02:22:06Z,0.174,326.61,0.9548
2020-07-09T02:22:06Z,0.19,320.45,0.9542
2020-07-09T02:22:06Z,0.203,318.4,0.9392
2020-07-09T02:22:06Z,0.211,318.15,0.936
2020-07-09T02:22:06Z,0.216,316.7,0.9626
2020-07-09T02:22:06Z,0.219,314.1,1.0042
2020-07-09T02:22:06Z,0.223,311.98,1.019
2020-07-09T02:22:06Z,0.229,310.87,1.0076
2020-07-09T02:22:06Z,0.234,309.94,1.0201
2020-07-09T02:22:06Z,0.238,308.61,1.0651
2020-07-09T02:22:06Z,0.241,307.04,1.093
2020-07-09T02:22:06Z,0.245,305.51,1.0906
2020-07-09T02:22:06Z,0.252,305.09,1.0832
2020-07-09T02:22:06Z,0.262,304.48,1.0803
2020-07-09T02:22:06Z,0.274,302.32,1.0839
2020-07-09T02:22:06Z,0.289,299.83,1.0984
2020-07-09T02:22:06Z,0.302,298.07,1.1043
2020-07-09T02:22:06Z,0.309,297.01,1.0969
2020-07-09T02:22:06Z,0.314,295.88,1.095
2020-07-09T02:22:06Z,0.318,294.73,1.0912
2020-07-09T02:22:06Z,0.32,294.27,1.0787
2020-07-09T02:22:06Z,0.322,294.03,1.068
2020-07-09T02:22:06Z,0.322,294.16,1.0668
2020-07-09T02:22:06Z,0.323,295.31,1.0743
2020-07-09T02:22:06Z,0.324,296.74,1.0817
2020-07-09T02:22:06Z,0.327,297.2,1.0609
2020-07-09T02:22:06Z,0.332,296.25,1.0234
2020-07-09T02:22:06Z,0.342,293.85,1.0101
2020-07-09T02:22:06Z,0.355,291.13,1.015
2020-07-09T02:22:06Z,0.368,289.76,1.0343
2020-07-09T02:22:06Z,0.376,289.01,1.0618
2020-07-09T02:22:06Z,0.38,288.27,1.0806
2020-07-09T02:22:06Z,0.382,287.62,1.0991
2020-07-09T02:22:06Z,0.385,287.34,1.1051
2020-07-09T02:22:06Z,0.388,287.59,1.0859
2020-07-09T02:22:06Z,0.39,287.76,1.0672
2020-07-09T02:22:06Z,0.393,287.91,1.0705
2020-07-09T02:22:06Z,0.396,287.86,1.1064
2020-07-09T02:22:06Z,0.4,287.39,1.1477
2020-07-09T02:22:06Z,0.405,287.14,1.1505
2020-07-09T02:22:06Z,0.413,287.84,1.1402
2020-07-09T02:22:06Z,0.418,288.77,1.1952
2020-07-09T02:22:06Z,0.42,289.56,1.3008
2020-07-09T02:22:06Z,0.422,290.81,1.3585
2020-07-09T02:22:06Z,0.425,291.57,1.358
2020-07-09T02:22:06Z,0.429,290.65,1.2855
2020-07-09T02:22:06Z,0.434,289.5,1.16
2020-07-09T02:22:06Z,0.439,290,1.0888
2020-07-09T02:22:06Z,0.444,290.71,1.073
2020-07-09T02:22:06Z,0.447,290.36,1.065
2020-07-09T02:22:06Z,0.449,290.15,1.0675
2020-07-09T02:22:06Z,0.452,290.98,1.084
2020-07-09T02:22:06Z,0.456,291.51,1.093
2020-07-09T02:22:06Z,0.458,290.98,1.0814
2020-07-09T02:22:06Z,0.461,291.65,1.0672
2020-07-09T02:22:06Z,0.464,292.83,1.0748
2020-07-09T02:22:06Z,0.468,292.29,1.0878
2020-07-09T02:22:06Z,0.474,291.38,1.0803
2020-07-09T02:22:06Z,0.479,291.89,1.0793
2020-07-09T02:22:06Z,0.483,292.9,1.0955
2020-07-09T02:22:06Z,0.487,293.18,1.1046
2020-07-09T02:22:06Z,0.492,292.33,1.1026
2020-07-09T02:22:06Z,0.5,290.61,1.1099
2020-07-09T02:22:06Z,0.507,289.95,1.1358
2020-07-09T02:22:06Z,0.512,290.49,1.1585
2020-07-09T02:22:06Z,0.515,290.89,1.1645
2020-07-09T02:22:06Z,0.517,290.97,1.1711
2020-07-09T02:22:06Z,0.518,291.11,1.1899
2020-07-09T02:22:06Z,0.521,291.63,1.2104
2020-07-09T02:22:06Z,0.524,291.98,1.2289
2020-07-09T02:22:06Z,0.528,291.62,1.2329
2020-07-09T02:22:06Z,0.53,291.57,1.22
2020-07-09T02:22:06Z,0.531,292.36,1.2063
2020-07-09T02:22:06Z,0.531,293,1.2006
2020-07-09T02:22:06Z,0.533,292.1,1.2084
2020-07-09T02:22:06Z,0.539,288.99,1.2152
2020-07-09T02:22:06Z,0.554,285.8,1.2155
2020-07-09T02:22:06Z,0.569,284.96,1.2125
2020-07-09T02:22:06Z,0.579,284.81,1.2162
2020-07-09T02:22:06Z,0.585,283.31,1.2231
2020-07-09T02:22:06Z,0.591,281.97,1.2101
2020-07-09T02:22:06Z,0.596,281.21,1.2021
2020-07-09T02:22:06Z,0.601,280.15,1.2216
2020-07-09T02:22:06Z,0.607,277.63,1.2734
2020-07-09T02:22:06Z,0.626,271.69,1.3324
2020-07-09T02:22:06Z,0.661,264.25,1.3542
2020-07-09T02:22:06Z,0.696,259.65,1.3558
2020-07-09T02:22:06Z,0.715,258.39,1.3426
2020-07-09T02:22:06Z,0.72,257.92,1.309
2020-07-09T02:22:06Z,0.72,256.98,1.2828
2020-07-09T02:22:06Z,0.721,255.79,1.2729
2020-07-09T02:22:06Z,0.725,254.68,1.2759
2020-07-09T02:22:06Z,0.729,253.37,1.2995
2020-07-09T02:22:06Z,0.731,252.23,1.329
2020-07-09T02:22:06Z,0.728,252.74,1.3379
2020-07-09T02:22:06Z,0.718,254.98,1.3306
2020-07-09T02:22:06Z,0.695,258.06,1.2975
2020-07-09T02:22:06Z,0.667,260.59,1.2432
2020-07-09T02:22:06Z,0.65,260.11,1.208
2020-07-09T02:22:06Z,0.655,255.02,1.1966
2020-07-09T02:22:06Z,0.688,247.76,1.2104
2020-07-09T02:22:06Z,0.729,243.32,1.2505
2020-07-09T02:22:06Z,0.754,240.83,1.2812
2020-07-09T02:22:06Z,0.767,237.22,1.2956
2020-07-09T02:22:06Z,0.786,232.96,1.3766
2020-07-09T02:22:06Z,0.813,227.95,1.5251
2020-07-09T02:22:06Z,0.841,223.4,1.6139
2020-07-09T02:22:06Z,0.861,221.01,1.6294
2020-07-09T02:22:06Z,0.869,219.62,1.6278
2020-07-09T02:22:06Z,0.87,218.32,1.6224
2020-07-09T02:22:06Z,0.868,217.71,1.6218
2020-07-09T02:22:06Z,0.866,216.43,1.6206
2020-07-09T02:22:06Z,0.87,213.15,1.6172
2020-07-09T02:22:06Z,0.882,210.11,1.6472
2020-07-09T02:22:06Z,0.894,208.21,1.7166
2020-07-09T02:22:06Z,0.904,205.74,1.7603
2020-07-09T02:22:06Z,0.918,202.31,1.7561
2020-07-09T02:22:06Z,0.935,199.23,1.7701
2020-07-09T02:22:06Z,0.949,196.83,1.8249
2020-07-09T02:22:06Z,0.963,193.82,1.8748
2020-07-09T02:22:06Z,0.981,190.47,1.9058
2020-07-09T02:22:06Z,1.002,187.77,1.9338
2020-07-09T02:22:06Z,1.019,186.12,1.9741
2020-07-09T02:22:06Z,1.029,185.58,2.0028
2020-07-09T02:22:06Z,1.033,185.41,2.0136
2020-07-09T02:22:06Z,1.033,185.39,2.0375
2020-07-09T02:22:06Z,1.035,185.46,2.0437
2020-07-09T02:22:06Z,1.041,185.35,2.0213
2020-07-09T02:22:06Z,1.052,185.36,2.0249
