Date,Depth_m,PAR,Chla_ugL
2020-07-12T22:08:51Z,-0.412,105.03,0.9522
2020-07-12T22:08:51Z,-0.411,104.84,0.9422
2020-07-12T22:08:51Z,-0.408,104.71,0.9047
2020-07-12T22:08:51Z,-0.398,105.65,0.8806
2020-07-12T22:08:51Z,-0.377,107.35,0.8886
2020-07-12T22:08:51Z,-0.356,113.56,0.9059
2020-07-12T22:08:51Z,-0.341,177.83,0.8999
2020-07-12T22:08:51Z,-0.325,291.68,0.8825
2020-07-12T22:08:51Z,-0.31,581.08,0.8756
2020-07-12T22:08:51Z,-0.295,782.1,0.884
2020-07-12T22:08:51Z,-0.275,457.22,0.9169
2020-07-12T22:08:51Z,-0.257,138.1,0.9494
2020-07-12T22:08:51Z,-0.238,107.79,0.9524
2020-07-12T22:08:51Z,-0.212,105.19,0.9436
2020-07-12T22:08:51Z,-0.187,105.75,0.9292
2020-07-12T22:08:51Z,-0.167,107.01,0.9124
2020-07-12T22:08:51Z,-0.144,107.89,0.9024
2020-07-12T22:08:51Z,-0.115,107.78,0.8935
2020-07-12T22:08:51Z,-0.094,107.46,0.9102
2020-07-12T22:08:51Z,-0.084,111.4,0.952
2020-07-12T22:08:51Z,-0.078,113.32,0.9693
2020-07-12T22:08:51Z,-0.068,106,0.9569
2020-07-12T22:08:51Z,-0.053,100.85,0.9364
2020-07-12T22:08:51Z,-0.031,99.924,0.9208
2020-07-12T22:08:51Z,-0.009,98.894,0.9121
2020-07-12T22:08:51Z,0.006,98.543,0.8982
2020-07-12T22:08:51Z,0.017,98.653,0.8866
2020-07-12T22:08:51Z,0.026,98.767,0.8861
2020-07-12T22:08:51Z,0.032,98.203,0.892
2020-07-12T22:08:51Z,0.037,97.31,0.9004
2020-07-12T22:08:51Z,0.043,95.547,0.9018
2020-07-12T22:08:51Z,0.048,94.723,0.8896
2020-07-12T22:08:51Z,0.053,95.174,0.8864
2020-07-12T22:08:51Z,0.055,95.735,0.9014
2020-07-12T22:08:51Z,0.055,96.004,0.9092
2020-07-12T22:08:51Z,0.057,95.46,0.9324
2020-07-12T22:08:51Z,0.062,95.542,0.9917
2020-07-12T22:08:51Z,0.068,95.968,1.0344
2020-07-12T22:08:51Z,0.073,95.242,1.0386
2020-07-12T22:08:51Z,0.076,94.252,1.0146
2020-07-12T22:08:51Z,0.078,94.602,0.9824
2020-07-12T22:08:51Z,0.081,95.584,0.9724
2020-07-12T22:08:51Z,0.086,95.944,0.9614
2020-07-12T22:08:51Z,0.09,96.004,0.9252
2020-07-12T22:08:51Z,0.095,97.183,0.8887
2020-07-12T22:08:51Z,0.104,99.511,0.8814
2020-07-12T22:08:51Z,0.114,100.52,0.8941
2020-07-12T22:08:51Z,0.122,100.37,0.89
2020-07-12T22:08:51Z,0.124,100.47,0.8605
2020-07-12T22:08:51Z,0.124,101.84,0.8329
2020-07-12T22:08:51Z,0.124,104.04,0.8234
2020-07-12T22:08:51Z,0.124,104.05,0.822
2020-07-12T22:08:51Z,0.124,102.17,0.8156
2020-07-12T22:08:51Z,0.124,101.33,0.8045
2020-07-12T22:08:51Z,0.124,102.44,0.8016
2020-07-12T22:08:51Z,0.124,103.71,0.81
2020-07-12T22:08:51Z,0.125,105,0.8191
2020-07-12T22:08:51Z,0.129,108.03,0.8168
2020-07-12T22:08:51Z,0.136,109.81,0.8099
2020-07-12T22:08:51Z,0.141,109.43,0.8214
2020-07-12T22:08:51Z,0.143,109.95,0.8327
2020-07-12T22:08:51Z,0.144,116.19,0.8226
2020-07-12T22:08:51Z,0.148,177.9,0.8141
2020-07-12T22:08:51Z,0.156,237.95,0.8148
2020-07-12T22:08:51Z,0.163,198.97,0.8214
2020-07-12T22:08:51Z,0.167,165.87,0.8277
2020-07-12T22:08:51Z,0.168,171,0.824
2020-07-12T22:08:51Z,0.168,159.47,0.8144
2020-07-12T22:08:51Z,0.168,166.56,0.8072
2020-07-12T22:08:51Z,0.168,178.03,0.8322
2020-07-12T22:08:51Z,0.168,202.26,0.8788
2020-07-12T22:08:51Z,0.17,273.23,0.8936
2020-07-12T22:08:51Z,0.179,461.03,0.8868
2020-07-12T22:08:51Z,0.197,768.41,0.8723
2020-07-12T22:08:51Z,0.217,1242.8,0.8433
2020-07-12T22:08:51Z,0.228,1568.4,0.8314
2020-07-12T22:08:51Z,0.232,1245.7,0.8335
2020-07-12T22:08:51Z,0.233,1117.4,0.8589
2020-07-12T22:08:51Z,0.235,1380.2,0.9193
2020-07-12T22:08:51Z,0.237,1132.4,0.9537
2020-07-12T22:08:51Z,0.237,783.2,0.9511
2020-07-12T22:08:51Z,0.237,1052.2,0.9166
2020-07-12T22:08:51Z,0.237,1415.9,0.8603
2020-07-12T22:08:51Z,0.238,1248.7,0.8236
2020-07-12T22:08:51Z,0.24,988.5,0.8061
2020-07-12T22:08:51Z,0.24,898.25,0.7828
2020-07-12T22:08:51Z,0.241,891.43,0.7612
2020-07-12T22:08:51Z,0.241,903.82,0.7735
2020-07-12T22:08:51Z,0.242,921.04,0.7799
2020-07-12T22:08:51Z,0.242,1004.9,0.7519
2020-07-12T22:08:51Z,0.243,938.44,0.7682
2020-07-12T22:08:51Z,0.243,820.89,0.8438
2020-07-12T22:08:51Z,0.243,824.03,0.8936
2020-07-12T22:08:51Z,0.243,769.39,0.8937
2020-07-12T22:08:51Z,0.243,776.89,0.8926
2020-07-12T22:08:51Z,0.243,818.91,0.9181
2020-07-12T22:08:51Z,0.243,626.98,0.9448
2020-07-12T22:08:51Z,0.243,400.37,0.9582
2020-07-12T22:08:51Z,0.243,391.68,0.9648
2020-07-12T22:08:51Z,0.243,515.43,0.9581
2020-07-12T22:08:51Z,0.243,523.73,0.9536
2020-07-12T22:08:51Z,0.244,431.43,0.9586
2020-07-12T22:08:51Z,0.244,384.92,0.9703
2020-07-12T22:08:51Z,0.244,431.82,0.9997
2020-07-12T22:08:51Z,0.244,563.67,1.0285
