Date,Depth_m,PAR,Chla_ugL
2020-07-13T00:18:57Z,-0.53,2130,2.1782
2020-07-13T00:18:57Z,-0.482,2133.4,2.2168
2020-07-13T00:18:57Z,-0.428,2138.1,2.1609
2020-07-13T00:18:57Z,-0.403,2138.7,1.5024
2020-07-13T00:18:57Z,-0.414,2133.5,0.3112
2020-07-13T00:18:57Z,-0.444,2127,-0.3306
2020-07-13T00:18:57Z,-0.471,2122.7,-0.3926
2020-07-13T00:18:57Z,-0.484,2121.1,-0.4766
2020-07-13T00:18:57Z,-0.487,2121.6,-0.6311
2020-07-13T00:18:57Z,-0.487,2122.1,-0.7155
2020-07-13T00:18:57Z,-0.486,2123.7,-0.7059
2020-07-13T00:18:57Z,-0.484,2125.7,-0.6005
2020-07-13T00:18:57Z,-0.479,2127.2,-0.4233
2020-07-13T00:18:57Z,-0.468,2130,-0.3275
2020-07-13T00:18:57Z,-0.448,2132.3,-0.2913
2020-07-13T00:18:57Z,-0.414,2133.7,-0.0418
2020-07-13T00:18:57Z,-0.374,2136.2,0.3992
2020-07-13T00:18:57Z,-0.344,2139.9,0.6357
2020-07-13T00:18:57Z,-0.328,2142.3,0.6613
2020-07-13T00:18:57Z,-0.318,2141.9,0.6607
2020-07-13T00:18:57Z,-0.308,2141.7,0.6385
2020-07-13T00:18:57Z,-0.297,2145.9,0.61240000000000006
2020-07-13T00:18:57Z,-0.287,2149.9,0.5924
2020-07-13T00:18:57Z,-0.276,2148.9,0.6071
2020-07-13T00:18:57Z,-0.264,2145.2,0.6851
2020-07-13T00:18:57Z,-0.255,2142,0.7732
2020-07-13T00:18:57Z,-0.25,2141.1,0.8046
2020-07-13T00:18:57Z,-0.245,2142.2,0.8065
2020-07-13T00:18:57Z,-0.239,2143.7,0.8436
2020-07-13T00:18:57Z,-0.232,2144.4,0.9106
2020-07-13T00:18:57Z,-0.224,2146.4,0.9488
2020-07-13T00:18:57Z,-0.215,2148.9,0.9433
2020-07-13T00:18:57Z,-0.206,2150.3,0.9012
2020-07-13T00:18:57Z,-0.199,2151.3,0.8405
2020-07-13T00:18:57Z,-0.194,2150.3,0.8003
2020-07-13T00:18:57Z,-0.19,2148.6,0.7775
2020-07-13T00:18:57Z,-0.185,2148.7,0.708
2020-07-13T00:18:57Z,-0.181,2148.1,0.5986
2020-07-13T00:18:57Z,-0.178,2146.4,0.5513
2020-07-13T00:18:57Z,-0.176,2145.7,0.556
2020-07-13T00:18:57Z,-0.174,2145.2,0.5987
2020-07-13T00:18:57Z,-0.173,2145.3,0.6855
2020-07-13T00:18:57Z,-0.173,2145.5,0.7378
2020-07-13T00:18:57Z,-0.173,2145,0.7545
2020-07-13T00:18:57Z,-0.168,2146.4,0.7538
2020-07-13T00:18:57Z,-0.15,2149.4,0.7197
2020-07-13T00:18:57Z,-0.125,2149,0.686
2020-07-13T00:18:57Z,-0.104,2115.7,0.6804
2020-07-13T00:18:57Z,-0.088,2038.2,0.6795
2020-07-13T00:18:57Z,-0.075,1951.7,0.6372
2020-07-13T00:18:57Z,-0.065,1918.5,0.5699
2020-07-13T00:18:57Z,-0.057,1606.9,0.5419
2020-07-13T00:18:57Z,-0.05,892.72,0.5477
2020-07-13T00:18:57Z,-0.043,387.49,0.6112
2020-07-13T00:18:57Z,-0.037,207.99,0.7274
2020-07-13T00:18:57Z,-0.03,166.54,0.789
2020-07-13T00:18:57Z,-0.025,572.14,0.8037
2020-07-13T00:18:57Z,-0.021,949.89,0.8093
2020-07-13T00:18:57Z,-0.017,571.47,0.7994
2020-07-13T00:18:57Z,-0.015,157.39,0.7993
2020-07-13T00:18:57Z,-0.013,121.65,0.8077
2020-07-13T00:18:57Z,-0.011,135.18,0.8061
2020-07-13T00:18:57Z,-0.008,291.07,0.7988
2020-07-13T00:18:57Z,-0.002,799.13,0.7951
2020-07-13T00:18:57Z,0.007,1370.2,0.7998
2020-07-13T00:18:57Z,0.013,1558,0.8271
2020-07-13T00:18:57Z,0.017,1469.8,0.8677
2020-07-13T00:18:57Z,0.02,1282.8,0.8811
2020-07-13T00:18:57Z,0.025,1135.3,0.865
2020-07-13T00:18:57Z,0.031,1137.2,0.8628
2020-07-13T00:18:57Z,0.037,1152.2,0.8923
2020-07-13T00:18:57Z,0.042,1082.3,0.9266
2020-07-13T00:18:57Z,0.047,904.29,0.9351
2020-07-13T00:18:57Z,0.053,593.29,0.9276
2020-07-13T00:18:57Z,0.058,319.93,0.9307
2020-07-13T00:18:57Z,0.061,190.74,0.9351
2020-07-13T00:18:57Z,0.063,140.73,0.9328
2020-07-13T00:18:57Z,0.064,127.56,0.932
2020-07-13T00:18:57Z,0.065,123.39,0.9353
2020-07-13T00:18:57Z,0.068,121.23,0.944
2020-07-13T00:18:57Z,0.072,118.8,0.9418
2020-07-13T00:18:57Z,0.077,117.25,0.9272
2020-07-13T00:18:57Z,0.082,116.31,0.9203
2020-07-13T00:18:57Z,0.088,115.82,0.925
2020-07-13T00:18:57Z,0.094,116.79,0.9361
2020-07-13T00:18:57Z,0.099,118.98,0.9404
2020-07-13T00:18:57Z,0.105,121.22,0.9582
2020-07-13T00:18:57Z,0.111,122.16,0.9989
2020-07-13T00:18:57Z,0.116,121.52,1.022
2020-07-13T00:18:57Z,0.12,120.95,1.0277
2020-07-13T00:18:57Z,0.124,121.04,1.0293
2020-07-13T00:18:57Z,0.128,121.05,1.0227
2020-07-13T00:18:57Z,0.131,121.39,1.0151
2020-07-13T00:18:57Z,0.136,122.57,1.0039
2020-07-13T00:18:57Z,0.141,123.37,0.992
2020-07-13T00:18:57Z,0.146,122.25,0.9764
2020-07-13T00:18:57Z,0.151,121.24,0.9578
2020-07-13T00:18:57Z,0.155,122.65,0.9575
2020-07-13T00:18:57Z,0.159,124.48,0.954
2020-07-13T00:18:57Z,0.162,124.73,0.9348
2020-07-13T00:18:57Z,0.164,124.56,0.9254
2020-07-13T00:18:57Z,0.167,124.39,0.9355
2020-07-13T00:18:57Z,0.172,124.81,0.9525
2020-07-13T00:18:57Z,0.178,126.7,0.9495
2020-07-13T00:18:57Z,0.183,127.81,0.9377
2020-07-13T00:18:57Z,0.186,128.22,0.9435
2020-07-13T00:18:57Z,0.187,128.79,0.9525
2020-07-13T00:18:57Z,0.19,129.68,0.9508
2020-07-13T00:18:57Z,0.195,131.65,0.9421
2020-07-13T00:18:57Z,0.202,132.5,0.9338
2020-07-13T00:18:57Z,0.208,131.31,0.9353
2020-07-13T00:18:57Z,0.213,130.51,0.9416
2020-07-13T00:18:57Z,0.218,132.16,0.953
2020-07-13T00:18:57Z,0.225,134.01,0.9776
2020-07-13T00:18:57Z,0.231,135.69,1.0002
2020-07-13T00:18:57Z,0.236,139.62,1.0076
2020-07-13T00:18:57Z,0.241,144.27,0.9996
2020-07-13T00:18:57Z,0.246,146.69,0.9894
2020-07-13T00:18:57Z,0.251,143.42,0.9896
2020-07-13T00:18:57Z,0.257,138.17,1.002
2020-07-13T00:18:57Z,0.263,137.19,1.0058
2020-07-13T00:18:57Z,0.27,141.54,0.9786
2020-07-13T00:18:57Z,0.276,165.55,0.9486
2020-07-13T00:18:57Z,0.283,189.71,0.9392
2020-07-13T00:18:57Z,0.288,190.24,0.9422
2020-07-13T00:18:57Z,0.294,189.63,0.9452
2020-07-13T00:18:57Z,0.299,205.1,0.9386
2020-07-13T00:18:57Z,0.305,231.5,0.9296
2020-07-13T00:18:57Z,0.311,221.34,0.9498
2020-07-13T00:18:57Z,0.316,176.93,0.9923
2020-07-13T00:18:57Z,0.318,165.58,1.014
2020-07-13T00:18:57Z,0.319,211.27,1.0127
2020-07-13T00:18:57Z,0.32,247.66,1.0044
2020-07-13T00:18:57Z,0.323,217.17,0.9902
2020-07-13T00:18:57Z,0.328,187.84,0.9654
2020-07-13T00:18:57Z,0.331,219.74,0.9431
2020-07-13T00:18:57Z,0.333,273.41,0.9298
2020-07-13T00:18:57Z,0.334,277.28,0.9379
2020-07-13T00:18:57Z,0.335,222.24,0.9649
2020-07-13T00:18:57Z,0.336,166.57,0.9612
2020-07-13T00:18:57Z,0.338,156.37,0.931
2020-07-13T00:18:57Z,0.342,179.31,0.9245
2020-07-13T00:18:57Z,0.346,176.21,0.9388
2020-07-13T00:18:57Z,0.351,141.16,0.9418
2020-07-13T00:18:57Z,0.356,122.87,0.9331
2020-07-13T00:18:57Z,0.36,123.12,0.9287
2020-07-13T00:18:57Z,0.362,121.19,0.9362
2020-07-13T00:18:57Z,0.365,119.84,0.9472
2020-07-13T00:18:57Z,0.369,119.62,0.9562
2020-07-13T00:18:57Z,0.374,117.51,0.9599
2020-07-13T00:18:57Z,0.379,116.38,0.9531
2020-07-13T00:18:57Z,0.383,116.78,0.9504
2020-07-13T00:18:57Z,0.387,117.14,0.947
2020-07-13T00:18:57Z,0.393,117.91,0.9306
2020-07-13T00:18:57Z,0.402,118.69,0.9332
2020-07-13T00:18:57Z,0.412,118.45,0.969
2020-07-13T00:18:57Z,0.418,118.13,1.001
2020-07-13T00:18:57Z,0.421,118.41,1.0054
2020-07-13T00:18:57Z,0.424,118.68,0.9651
2020-07-13T00:18:57Z,0.429,118.68,0.9052
